,0
0,。ぼくも、自分の老婆の前で母の弁当を食べてみた。会社の事務室で書類を前に食事をする事務員のように平気で食べることができた。医師に
1,うちの大学の事務室の落し物コーナーには、大学の近くの風俗店の会員カードが貼ってあることがあります。まあ仮名
2,、お互いに目を合わせた。修道士は店の奥へ入って行き、そこの事務室の中に消えて行った。シスターたちは恥ずかしさをこらえながら、もぞもぞと尼僧服を
3,作用するのである。数年前、ブリガム・ヤング大学、マリオット・スクール・オブ・マネジメントで教鞭をとっていたとき、ある生徒が事務室に訪ねてきた。私の担当するクラスでの自分の成績を聞きに来た
4,を受けるかわからないからと、熱心に説明した。岸田部長に電話すると、すぐ事務室で会うというので、三人を大政翼賛会の文化部長室に案内した。天理教の先生方は、訪問
5,も魅力があったらこんなことは言わないのですが、保育中に園長と１時間位、事務室で話し込んじゃうし、休憩は一人長いし、クラスの保育士間で揉め事があったとき
6,は受刑者のような気分になってしまった。コレッジョは三階建で、二階には事務室、大食堂、礼拝堂、ピアノの入った練習室などがあり、学生たちの部屋は二階と
7,」という表現が大好きである。いかにもかわいくておいしそうに響く（しかしこれを北海道大学の事務室で使ったら、「女々しい」表現だと非難された。「女々しい」自体、差別的
8,、タミー・アミットさんのフォトスタジオ兼住居だ。１階には撮影に使うスタジオスペースの他、モデル用メイクアップルーム、事務室、シャワールーム、トイレ、ゲスト用ベッドコーナーなどがあり、広い間取りが存分に活かされている。バー
9,。天皇、皇后もまた長寿が気になってこられたのだろうか。入口が事務室で、右が特産品の売店、左が食堂。先に食堂をのぞいておくと、
10,は鉄骨を入れた鉄筋コンクリート造で、巨大架構の２階と屋上の大ばりの間に８階分の事務室が、鉄骨柱を介して吊り支えられています。サイドコアに大ばりを載せる点では、
11,の切石の上に腕拱みて空を見上ぐる男ありたり人気なき夜の事務室にけたたましく電話の鈴の鳴りて止みたり原文は三行分かち書きだが、紙幅の
12,５「やあ、どうです、ごきげんは」朝、私たちが事務室に入っていったとき、トニー・シェーファーは満足そうに言った。「すっかり見ちがえるよう
13,は店の奥の地下室にあり、部外者の立ち入りは固く禁じられている。貴重品類は事務室の金庫に入れておく決まりになっているだけに、ロッカーのほうは鍵をかける者
14,ません．．私と孫泰英さん全部の報道に関して、先に報道した事実を私の事務室と関係がないことです．８月初めに愛好者の会見は国内外に言った事を
15,それから、新築なった茂吉記念館へ向かった。初めは一般の人が多いので、事務室で休み、先述の歌を筆で書き、それから館内を一巡した。守谷誠二郎記念室という
16,に引きあげた。残ったクリスが、キャンセルの手続きをし、パスポートを持つと、事務室のチーフと一緒にボートでサントリーニに向かった。三十分ほどで帰って来て、
17,彼の事務室におもちゃのキャノン砲を飾り、その筒先を一ブロック先のプルデンシャル・ビルにあるジャック・コップの事務室に向け、来客に見せては喜んでいた。ニーダム・ハーパー社は、上場していない広告会社
18,は全部明るいガラス窓であり、窓を開けるとさわやかな空気がいっぱいに流れ込んできた。事務室にはたくさんの本があり、新聞が配達され、紙もペンもインクもあっ
19,・・お日様が恋しい一日となりそうです。そろそろ竹馬も壊れかかって・・事務室に「こわれました〜〜〜」って持ってきてもらっています。そしてメンテナンス
20,の中に爆音が充満する。ガルシアはタマノに手を振って笑みを見せると事務室にある奥のドアを開いて外に出ていった。自分が運転してき
21,を考えすぎるから男の介護人は雇用しないだろう。２月４日（七名）このところ、事務室をはじめとして、辞める人が続出している。夜は新年会。２月５日（九．五名
22,、「ちょっと事務室まで顔を出してくれ」とそう云うから、いぶかりながら裏の事務室をのぞきこんでみると、思いがけなく恵子が顔を見せており、「おめでとうございます。
23,たしかに、切手も貼ってない、鉛筆書きの、あやふやな郵便物は、時には事務室の片隅に放って置かれることもないではなかったろう。待ちあぐねると、彼女
24,『ＮＮＡツアーシステム』の金沢支店になっていた。スタッフの女性に来意を告げると、事務室の奥から、五十歳前後の男が顔を見せた。「コーヒールームに、行きましょう」
25,はだれだ、何だ！鉄筆、鉄筆、鉄筆…（三）一時〇〇分原紙が事務室に向かう。戸を開けると、ヒヤーとした視線が交差する。若い仲間のＫ君
26,だった。ほとんどひとけのなくなった電車から降りて階段を下り、小さな駅の事務室に顔を出す。するとそこには、もうひとり先に傘を忘れた先客がい
27,、アイランド郡裁判所の二階の廊下でハツエに話しかけただけだった。ハツエは、裁判所補佐人の事務室の真ん前の廊下のベンチに、アーチ形の窓を背にして坐っていた。
28,が住居であると解すべきである。したがって，起臥寝食の場所ばかりでなく，実験室，研究室，事務室なども日常生活が可能な設備を備えている限り住居となりうる。日常生活に使用する場所であれ
29,，出札口なんか本当に駅員がいるんじゃないかとびっくりしました。米屋：そうそう。でも事務室のなかには入れないんですよね。それはちょっと残念ですが，これだけ良好
30,私は笑って言った。「じゃ、待っててね」小走りに校舎の事務室へと急ぐ。冷たい飲物の自動販売機があるのだ。「あ、いけない。小銭
31,黙って封を切ることは出来ませんので、開けて読んであげてから、事務室へ返してください。ご家族に連絡しなければいけないことがあるかもわかりませんから」。
