,0
0,を走った。春休みを終え、久々の登校だった。教師のいいところは会社員に比べて休みが多いことだ。ただ生徒と一緒に休んでいるわけではなく、なん
1,。受賞理由は「生体高分子の同定および構造解析のための手法の開発」。島津製作所に勤める会社員であり、サラリーマンのノーベル賞受賞として日本国内で話題となった。同年文化勲章受章、文化功労者となる。
2,美しさに惹かれて買いました。混ぜたときの発色のよさもお気に入り」（会社員・二十六歳）「真珠のような光沢がいつまでも持続するのがいい」（事務職
3,考えさせられた。思い切り泣きたいひとにオススメの作品。八十点（久保田裕さん三十三歳・会社員）古風な建物と近代的な建物が入り混じった、上海の景色が印象深い。外国人の
4,か注意とかはしないもんですか？謎というか不思議です。二十八才会社員♂飲食店でおむつを換えるなんて、すごく非常識ですよね。もちろん店員に言って
5,立ちはだかる「三つの差」「イヤな上司がいてやる気が起きない」…会社員の悩み相談を聞くと、この声がトップを占めるだろうか。理由はわかる。
6,ここのカテは主婦層が多いですか？今頃の時間は会社員は忙しいですか？私はＯＬ・・・・暇じゃないけど、なぜーか知恵袋
7,ＣＡＳＥ１橋の下熊本浩一（埼玉県／三十二歳／会社員）いじる場所は選ばない…通勤途中にエキマニ交換だ！？ｐｈｏｔｏ―金上学ガレージ種別●
8,人がやりやすくて、成功しやすい方法である。この場合、他社製品について考えてもよいが、会社員は自社製品について考えるのが一番やりやすい。ＯＬのＳ子さんは、日用品メーカーのＤ社に勤め
9,、これって普通？遣いすぎ？皆様の意見お願い致します。夫婦二人（共に二十六歳：会社員）子供なし急な出費がない限り、月により異なる残業代も生活費の残りも出来る限り
10,医療事務の収入ってどのくらいでしょうか？国家資格ではないので、会社員と同じくらいと考えてよいのでしょうか？まず今の状態で言えば、派遣か
11,集めている、こういう人も世間にはいるのだと思い、そうした生活なら会社員も悪くない、と思ったりした。今は、古い名盤は次から次
12,のでしょうか？「レッド」の今後の展開もお願いします。（東京都・匿名希望／？・会社員）Ａ’六十九年十二月十七日生まれ。京都府出身。身長百七十七ｃｍ。Ａ型。特技はギター、ドラム
13,は、漁師、自営業者、無職の者が過半数を占めている。約六十万円以上の海女は、会社員が多い（図十六）。図十五蔚山Ａ洞海女の兼業状況図十六収入別にみた
14,れていた方お願いします。今ホステスと付き合うかどうか悩んでます。当方普通の会社員です。彼女をホステスと総称してる時点で、止めた方が良いですね！上手く
15,。たとえば今年の９月、ＮＡＳＡが不正アクセスを受けた事件では、日本のある会社員が自宅で常時接続していたパソコンが知らぬ間に踏み台として利用され、結果として
16,でよかった。メディアへの風刺がわかりやすく描かれている。百点（藤田雄久さん二十三歳・会社員）物語が裏をかいて進んでいくので、予想がつかず面白かった。報道の
17,アクセスが来たそうです。笑えましたが、これが現実でしょうか？以前は会社員と掲載していたそうですが、１件もアクセスが無かったそうです。現実です。
18,を置き、定職には就かず、派遣やバイトを転々と。私たちは主人は会社員（正社員）、私はパート（契約社員）、子どもはまだいません。夫婦ぐるみで
19,二十万ほど。でも整備士はそれほど珍しい職業でもなく、個人でやらない限り、会社員ではこんなもんではないでしょうか。それに、仕事の厳しさを考えれば、トータルで
20,は平成十五年９月，「まちづくり市民塾」を開始した。これは，公募で選ばれた会社員や主婦など総勢六十六名が，行政と共同で松山市のまちづくりについて話し合いまちづくりを進めるもの
21,貯蓄と保険の両方でそなえるように考えて、ほどほどの金額に抑えましょう。会社員や専業主婦なら、医療保障の日額は五千円から１万円が目安です。ただし貯蓄が少ない場合
22,と思うんですけど、私の買える家はいくらぐらいでしょうか」（Ｋさん・二十九歳・会社員）Ｋさんの「買える家」が具体的にいくらの家なのか。それは
23,とマイルス・デイビスのみに限ることにしたから他は譲ることにした、と言っていたが、会社員の中にもサラリーでレコードを集めている、こういう人も世間にはいるのだ
24,のトピックス：交通事故送検される吉田圭吾容疑者＝６日午後０時三十八分、大阪市中央区大阪・梅田の交差点で会社員、鈴木源太郎さん（三十）が車にはねられ、約３キロ引きずられて死亡した事件で、
25,「飽きのこないデザインと、ほどよい大人っぽさが気に入ってます」（二十九歳・会社員）「品がよくて高級感があるので、持っているだけで自信が持てる」（
26,がある（四十代、茨城、借家）・官民共存として、自営業者などは公庫利用をしやすく、会社員は銀行系ローンを利用しやすくする（二十代、山梨、借家）・民業圧迫と言う前に銀行は
27,まだ先の話なんですが、気になったのでわかる方教えてください。いま、会社員で働いています。８月中旬に出産予定です。産休、育休を取る予定です。７月頭くらい
28,の問題は、連中が今何をしとるかということや。組を離れて会社員になったわけやない。形の上では堅気になったはずやが、
29,なかったんですが。」「生島さん。あなた何を仰るのよ。あなた、現に会社員になっていらっしゃるじゃありませんか。」「…。」私はぐッと
30,ゴールドラメを重ねれば遊び心ある目元に。「これひとつでいろいろなメークが楽しめる」（会社員・二十五歳）「大粒のゴールドラメがお気に入り」（販売員・二十一歳）「手ごろな価格が
31,提示されて怒ったみたいですが、なんでそれで怒るんですか？？普通の会社員は千万貰えれば良い方だと言うのに・・。３億なら三十年分貰えるみたいな感じ
32,期間満了にて退職する・・という意味ですか。育児休業期間中は在籍社員として一定期間（会社によって違う）会社員として雇用が保証されます。従って健康保険・厚生年金等もその期間はカウントされますし、更に休業期間中
33,で知った男性の数は、四人。北海道へくる飛行機のなかで知り合った会社員の人と。あとは国鉄の機関士さんと、画家の先生と、外人さんとまで
34,たら財布、とか・・仕事や趣味に合わせるのもいいと思いますよ。会社員だったらネクタイとピンのセット、靴なんかもいいと思います。女性は一泊で
35,に残る。おとぎ話のような美しいシーンなどもあり楽しめる。九十点（浦口友喜さん二十九歳・会社員）雑踏の中を歩くシーンに、とても共感が持てて面白かった。働く女性にとって
36,な番組、人でもＯＫです。↑栃木県・神威／？・？↑東京都・■■■■／二十四歳・会社員ご意見フリーマーケット男子禁制！？の面白さに大笑い！！☆悔しいけれど「中居正広の金曜日のスマたちへ
37,３の時から専門を卒業するまでの３年間は学生だったので（主人は２つ年上の会社員）手作りのお弁当は毎年。その他に、主人の好きなブランドのお財布・キーホルダー・二人
38,もいるので、「青果店から見た経済」などというテーマも考えています。会社員でないからビジネスにつながる話が聞けないというのは間違った決めつけです。たとえば、
39,いまでもときどき、離婚しないほうがよかったかもしれないと思うことがあります」（三十才・会社員）５月に厚生労働省が発表した『母子家庭白書』によると、’０３年度の母子家庭世帯数は百二十二万五千四百世帯で
40,のに比較すると，主婦，専門職人，自営業者などは味（糖度）を重視しており，会社員は鮮度，自営業者は大きさ・模様が重要であるとして捉える傾向がある。また，柑橘
41,たいという夢は抱いていたものの、すぐになれるわけもなく、大学卒業後、数年間は会社員として働きました。その間、英語の勉強ができる時間はせいぜい一日一時間半。多い
42,ついに夫婦で外出できるようになった明平規男さん五十六歳●会社員、悦江さん四十四歳●主婦明平さんご夫妻との出会いは、千九百九十五年八月、新宿の三越で
43,猶予をもらいました。家族の時間も大切にしたいのですが、実際みなさんの会社員としての勤務実働時間はどのくらいですか？もうかれこれ十年以上働いていますが、自分としては
44,）〔事例〕３月３日に発生した名古屋市内の百貨店に対する恐喝未遂事件で，即日逮捕した会社員（四十一）の声と脅迫電話の声について声紋鑑定した結果，同一であることが確認できた
45,、絶対に必要ないと思うのですが…いかがでしょうか？愛媛県・うるるん（三十二才・会社員）―人生なんてすべてがそういうムダなもんに囲まれて生きるっていうこと
46,会社員をしています。先日、何気に自分の年金手帳（黄色）を見たところ、会社員を始めた時の日付のものでした。それ以外に、年金手帳らしきものは見当たりませ
47,、現場では命懸けだが、彼らの月給は一万ケニアシリング（約百二十ドル）前後。一般の会社員の給与より低い。訓練最後の日、村に立てこもった密猟者をとらえるシミュレーションに密猟者役
48,岩下邸◎神奈川県藤沢市スペースを有効利用した変形デッキは多目的アウトドアリビングＤＡＴＡ施主岩下健児さん（四十歳）職業会社員ＤＩＹ歴５年家族構成４人（妻、娘２人）写真◎高島宏幸／イラスト◎山本勇
49,である天皇陛下に敬意を払うのは自然の成り行きです。身近な例えに置き換えると、会社員が自分の属する会社の社章や社名やロゴマークなどの象徴的なものに対し敬意を払う
50,に重点を置いた分、リップは色を押さえながらヌーディな仕上げに。尾崎未知さんおざきみち会社員パーリーなブロンズカラーを重ねたチークで、変身後顔の凹凸もはっきりした。鈍いマットな
51,で、わずか五日で退院し、通院しながら検査やリハビリを続けていた。父親の会社員、元茂さん（四十二）は、「元気に帰国ができました。みなさんの支援が
52,体力といったが、実際に寝る暇がないというだけではない。通常の会社員とは比較にならないほど、仕事の密度が濃いのだ。特に日本のホワイトカラーの
53,僕にはよくわからなかった。いまでも、わかりきれていないところがある。会社員になってどうするのか。就職する会社を、なぜそんなに薄弱な理由で、
54,七十五．五％となっており，なかでも高校生が二十．七％と最も多く，次いで工員，店員，会社員の順となっている。少年，成人別では少年が七十四．九％，成人が二十五．一％となっ
55,た。ほかにも、「パソコンの（インターネット上のバックアップセンターへの）バックアップ」（会社員二十九歳）や、「家電とインターネットの接続。ホームページからのレシピ情報など情報を取り込んで
56,しもマルクスやレーニンの書いたものを耽読したものだった。しかし大学を卒業し、会社員として仕事をしていくうちにマルクスもレーニンもいつしか本箱の片隅に。マルクス
57,さくっと小遣い稼ぎ」だ。ｉｌｌｕｓｔｒａｔｉｏｎ村林タカノブ入社以来７年、毎月２万円をコツコツ積み立ててきた会社員の紀子さん（三十）は昨年６月、貯まった金額を見て改めて憤りを感じた
58,（小学校高学年の時）から、男性にしか興味をもてません。（現在三十三歳会社員♂）職場の同僚や上司（男性）など、少しでも「素敵な人！
59,十八歳の女子高生にとって二十九歳の会社員は恋愛対象になりますか？趣味を通じて知り合って、割と仲が良いのですが、最近
60,ので、スゴく楽しんで見られた。次回作が待ちきれない。九十点（金沢宏さん二十四歳・会社員）“犬夜叉”の出生の秘密が明らかになるなど、ファンにはたまらない内容
61,「役者」の肩書がピッタリの堂々たる存在感の持ち主である。（東京都・ミュウミュウ／二十六歳・会社員）新たな直江像を作りあげた中居クンに☆「白い影」（ＴＢＳ）の中居正広くんを
62,紹介してくれたのだ。谷口が進学をやめて料理の世界へはいりたいといったとき、会社員であった父に反対された。神田川に会うとき、父も同伴した。そして、
63,もっと電話料金を安くしてほしい。ＮＴＴの電話回線しか使えないユーザーは損ばかりだ」（会社員二十三歳）など、高速化と同時に値下げをしなければユーザーの不満は高まりそうな
64,て元気になられた患者さんの話です。来院当時六十二歳の男性で、中肉中背の会社員。わりと静かな物腰の方でした。六か月前からときどき軽い腹痛があり、少し食欲
65,ささやく。「実感？」「ええ」「通信社勤めと言っても僕も会社員だ。加盟新聞社にいい記事を送った時は痛快だが、君とどこか違う
66,た！ところでボクの若奥様の年金はどうなってるんだろ。教えてほしい！（二十五歳・会社員）Ａ．奥様には優遇制度あり。でもこれからキビシクなるか。会社員は国民年金の
67,、そいつの家が雨もりしたら、ウチから板を持ち出して打ちつけてやるといった具合だ。会社員の子供は何もないからバカにされていたようだ。オヤジの定期券を
68,は職人芸みたいなところがありますから、うちの社員には自分たちのことを「会社員」とはいわずに「書店員」という人が多い。大きな店だと角川文庫だけ
69,アイラインを引いたらまぶたには薄い色を使う。このほうがおしゃれに見える」（会社員・二十八歳）「カラーアイライナーとパールシャドウの組み合わせが気に入っている」（教員・二十九歳）
70,財形年金貯蓄で自分年金を作る！会社員が安全確実な積立を使って年金を上乗せする方法、教えます！財形年金貯蓄は、非課税で
71,を導入する予定。でも転職したらボクの四百一ｋは、どうなっちゃうの？（二十四歳・会社員）Ａ．転職を決める前にその会社の年金制度をチェックしよう。転職先に確定拠出年金（
72,た中畑亜紀江さんの知人の中から、七月二十五日から二十七日までの間、休暇を取った会社員、あるいは役所勤めかも分かりませんが、そういう人をさがすのも手ではないでしょう
73,で「二十代」が若干多くなっている。職業別では、全体では五十七．七％が「会社員」であるが、総貸付残高別でみてみると、規模が大きくなるほど「会社員」の比率
74,ていた。おいたち父、母、母方の祖母、本人の四人家族。父は会社員。おとなしく真面目な人である。母はずっと仕事を続け、はっきりとした自分の
75,一戸建てを購入予定です。（夫会社員、私無職、子供一人）先日ハウスメーカーの営業マンと打ち合わせをしていたんですけど
76,ラッシュ時は、携帯電話をいじることもできないくらい、周りの乗客と密着します。会社員のカバンを持つ手がお尻に触れて、本当に嫌な思いを何回もし
77,クロムハーツで、タイで購入したウォレットチェーンにガボールのトップを付けている。鈴木英明さん（二十六才・会社員）ペンダントヘッド、３つのリングのすべてがナグァールのもの。古着などのラフな着こなしに
78,さんのお仕事なんですか？ＰＣに詳しいのでコンピューター関係のお仕事ですか？ただの会社員です。建設業関係ですが。人よりちょっとだけ余計に、パソコンに興味があるだけです
79,に喜ばれていますよ。パートに出るよりよっぽどましじゃーないですか？中途半端な会社員よりも稼いでいるので、文句は言われませんよ。のびのびと毎日取引してます
80,心境としては前向きで、足が地に着いてきた。定年が見えてきた会社員としては、こんな割り切った言い方が口をついて出るのが、不安をかくすとき
81,ラインをくずして。重×軽のバランスが絶妙な、ニューマッシュルーム。松本リカさん／二十一歳会社員髪質パーマとカラーの繰り返しでぼろぼろ。トリートメントは必須。髪型へのこだわりアレンジ
82,実家の母親とテレビ電話で話したい」（主婦三十二歳）、「ソフトウエアのダウンロード」（会社員三十二歳）など、現在の静的なホームページやサービスではなく、もっと動的なコンテンツやサービスを
83,など、女性不信者続出しそうな内容。なのに大笑い。（東京都・楽しくて眠れない／四十五歳・会社員）あぁ、また早朝からツッコミの一日…★放送で気になることを書きます
84,仕事運に効く風水術は知ってますか？？■自営業と会社員とでは対象が異なります。■己の努力が最大の戦力です。
85,投資単位そのものが低くなり、全体的に気軽に投資しやすい環境が整ってきた」年末は会社員が牽引役昨年十二月三十日、東京証券取引市場の大納会で、日経平均の終値は１万六百七十六円と４年ぶりに
86,も改善。「緊急の目元ケアにはこれ。たるみを上げてくれる」（二十八歳・会社員）プリモディアルアンタンスユー￥五千（ランコム）保湿効果があるハチミツエキスを配合。肌を
87,に、出発の警笛はいつもより少し長かった。仕事帰りに立ち寄った千葉県船橋市の会社員、吉野泰宏さん（三十八）は最終列車がゆっくりと走り出すのを見送った。大分市出身の吉野さんは
88,ナントカ虎○（虎がつく以外思い出せない）って人は引退したんでしょうか？荒木定虎くん。会社員をしているそうです。噂によると、大京というマンション販売の会社で営業しているらしいですよ
89,見ると、私は現実剝離を起こしていたのである。昭和四十三年春、大学を出て会社員になった時、私はその会社員になったという現実が、またどうしても現実と
