,0
0,学校施設の建築年度古川小学校１棟Ｓ三十七・Ｓ四十三２棟Ｓ五十二・Ｓ五十三体育館Ｓ四十七古川西小学校１棟Ｓ四十五特別棟Ｓ五十七体育館Ｓ四十五河合小学校
1,ビデオテープレコーダー（ＶＴＲ）を見せているとき、何くわぬ顔で画面の前を横切る。体育館で講演を聞いているとき、長引く話に例によってトイレに行かせてほしいと言う生徒
2,をしている。地震が起こってすぐに、被災地へと飛んだ。小千谷地区のある体育館では、家から避難してきた高齢者が何人も集まって、そこで話し合いをし
3,私は、やっぱり国会なり官邸の機能が、ここが壊滅したときにどこかの体育館借りてできるかと、やってくださいよ、そんなもの、ぜいたくな建物造らずに。
4,のボールがぶつかったりして、想像もできないくらいにいたんでしまったのです。体育館のすみに、ゴミのようにピアノがおかれていたことは、ピアノにとっては
5,ています。今年は十月４日（土）十三：００〜十五：００に開催。雨天時でも体育館を利用して開催します。Ｅｙｅｌｏｖｅアイラブ逗子エコイベント編６月の環境月間中の市内でのできごと
6,た。ⅰ国立競技場国立競技場の施設は，霞ヶ丘，代々木，西が丘等において，陸上競技場，体育館，水泳プール，ラグビー場などの各種施設が管理・運営されており，国際的な競技会に利用される一方で
7,ます、私達の話しを聞いて下さい」式が終わり、全員が退場した。一人体育館に沢田がいる。重い引き戸を開ける。田んぼと川が見える。彼は風景の
8,。当日、直接会場へお越しください。その他１雪遊びができる服装でご参加ください。２体育館でも遊べます。ジャンパーや外靴を入れる袋をお持ちください。３車での来場は
9,寝かせた瞬間、跳びすさって面を打った。きれいに入った。ポコーンと音が体育館に響いた。やった。勇は部長の旗を見た。上ってはい
10,合唱していた歌はなんですか？仰げば尊しではないやつです。マヤが体育館の入り口に立っているときに流れていた歌です。今頃こんな質問してすいません。「
11,の郵便振替用紙、インターネット（ｒｕｎｎｅｔ．ｊｐ／）でお申し込みください。※大会パンフレットは市役所１階ホール、各地区支所・連絡所、体育館、民間スポーツ施設、スポーツ用品店にて配布中。ホームページｈｔｔｐ：／／ｗｗｗ．ｃｉｔｙ．ｗａｋａｙａｍａ．ｗａｋａｙａｍａ．ｊｐ／ｍｅｎｕ＿１／ｊａｚｚ／ｊａｚｚ．ｈｔｍｌ詳しくは【体育振興課ＴＥＬ４３５‐１３６４】
12,ため、安易に公園用地が使用された結果である。隅田公園でも浅草側に台東区の体育館が千九百五十七年（昭和三十二年）に設置され、オープンスペースが減少した。また最近では仮設
13,説明し、加えて１回の運動時間や運動頻度についても説明します。できれば処方した運動を体育館などで実際に体験させてみて、からだで覚えさせるというステップをここに挿入します
14,「ＨＯＰＥＬＥＳＳ！」千九百八十五年、九月二十九日、日曜日の午後二時過ぎ、新潟市立鏡淵小学校の体育館は、「万歳！」の声に沸いていた。ＰＴＡ懇親球技大会の最終種目、バレーボールの試合
15,１月十一日、元町北小学校で「タッピー冬まつり」が開催。子どもたちの元気な歓声が、グラウンドと体育館に響きわたりました。新年の門出を祝って１月７日、サッポロテイセンホールで「東区新年交礼会」
16,映画会を開いている。町が全面的に協力してくれているので、会場は島の学校の体育館である。今年で九回目。島にはむかし映画館が一つあった。コンクリートの壁面
17,我が国の体育・スポーツ施設数は，約三十万か所であり，小・中・高・高専・大学等の学校体育施設が最も多く，次いで運動広場，体育館，水泳プールなどの公共スポーツ施設となっている。市町村が行う学校体育施設開放事業の推進を図るとともに，
18,肩を落として言う。演劇や発表会などをするクラスやクラブは、交替で体育館の舞台を使うことになる。とはいえ、リハーサルで体育館を使えるのは、それぞれに割り当て
19,は二千人上下と白館の半分だったため、二千七年夏に白館が取り壊ししたため、台北市唯一の体育館となったが、やはりＳＢＬの開催はできませんでした。しかし、昨年新荘体育館
