,0
0,なく頂点に達した。交響詩というジャンルの完成者として彼をしのぐ者は、存命中の作曲家の中には誰もいなかった。彼は世界的に有名な作曲家となり、
1,ＰｈｉｌｉｐｐＴｅｌｅｍａｎｎ，千六百八十一年３月十四日−千七百六十七年６月二十五日）は、後期バロック音楽を代表するドイツの作曲家である。生前は同時代の作曲家であったバッハやヘンデルより、人気と名声のあった
2,●向いている仕事オリジナリティーが要求される職業向き。大人数の組織で働くよりも、作曲家や文筆業など、自分の個性が収入に直結する仕事に向いています。また、同じ
3,の精神的な構えの重要性を実証したものといえよう。大江氏夫妻は、息子の光氏を作曲家にしようとしたのではなく、重い障害のなかからかすかにのぞき出した創造の芽を
4,、またそれに比べコープランドの音楽が大衆に浸透しなかったにもかかわらず、合衆国の音楽批評家と作曲家は一致してコープランドをアメリカ音楽の長あるいは父に指名した。千九百七十年代の中頃にジュリアード音楽院
5,ような思いでしたが、なにもかも辛抱しました。それから彼はグラーフという作曲家（といってもフルート協奏曲しか書いていませんが）について大いに話しまくりました。「まったくただもの
6,とばし、その激しい音楽と力強い合唱曲が当時の愛国運動にピッタリだったことから愛国の作曲家となり、引き続き『二人のフォスカリ』（四十四年）、『ショヴァンナ・ダルコ』（四十五年）、
7,ていった。その顔ぶれたるや、そうそうたるものである。ざっとあげてみても、作曲家のモーツアルト、ハイドン、フランス革命の闘士ヴォルテール、プロイセン王のフリードリヒ２世、種痘の発見者ジェンナー、ナポレオン１世
8,。●好きなアーティスト（５つまで）＜マッド＞＜クレイジー＞マッド＞ここでは作曲家をカテゴライズ。こうして見ると俺の選択がモロに七十〜八十年代のロボットアニメのそれ
9,・ウィンダーミアの扇》のオペラ化に出演したとき、マーシュが贈ってくれたものだ。作曲家はカヴァルティヴァニと言っているけれど、これが仮名であることは誰もが知っていた。
10,高尚なものになっていた。音楽についての話がよく出た。ポスト・マーラーの作曲家は誰かということになり、おれはブルックナーの名を挙げたが、先輩はショスタコーヴィッチ
11,ています。ピアノ音楽が西欧からの輸入文化だけに、その入門書もこれまでは外国の作曲家の作品ばかりでしたが、最近では日本人のオリジナルによる教材も出版されるように
12,Ｇｒｉｌｌｐａｒｚｅｒ；千七百九十一〜千八百七十二）―作家で詩人ジギスムント・タールベルク（ＳｉｇｉｓｍｕｎｄＴｈａｌｂｅｒｇ；千八百十二〜七十一）―ピアニストで作曲家アンリ・ヴュータン（ＨｅｎｒｉＶｉｅｕｘｔｅｍｐｓ；千八百二十〜八十一）―ベルギーのヴァイオリニストで作曲家グスターフ・ノッテボーム（Ｍａｒｔｉｎ
13,Ｌｉｐａｔｔｉ」（千九百十七年３月十九日−千九百五十年十二月２日）は、ルーマニアのピアニスト、作曲家です。ブカレスト生まれ。アルフレッド・コルトーに魅入られて教えを受けるが、三十三歳でジュネーヴ郊外でこの世を去り
14,現代音楽における、スペクトル学派とはどのような人たちを指すのでしょうか？そして、どういう作曲家がいますか？教えてください。スペクトル楽派ですね。音楽の場合「楽派」と表記し
15,な初演ののちにモーツァルトがプラハを離れてからは、ベルトラムカではこの偉大な作曲家の霊が落ち着かずに家中をさまよっているといううわさがたった。『ドン・ジョヴァンニ』を
16,ヒイズミマサユ機さんです。彼のパフォーマンスは、生で観るともっといいですよ！それに作曲家としても彼は素晴らしいです。東京事変のデビュー曲である「群青日和」の作曲をしたの
17,の間にも到達しないほどの円熟に達してしまった。演奏の名手としても、作曲家としても、千七百七十七年から八十一年にかけて発揮された入神の技を彼は所有しかけてい
18,故郷はもう吸収すべきものを残していないし、これまで半生に遭遇した各地の作曲家から与えられた課題もことごとく解決してしまっていたので、新しい天地が必要だった。
19,◆編曲草凪藍★武満徹（千九百三十〜九十六）現代日本を代表する作曲家のひとり。「小さな空」は，千九百七十九年から’九十二年にかけて作曲した十二の
20,なって聴き、書き加え、演奏のアドヴァイスまでしてくださることもあった。もちろん一般の作曲家は、完成した時点で記されている指示通りに演奏されることを望む方々がまずほとんど
21,してホール建設は本格的に動きはじめ、わたしも関わってゆくのである。指揮者やソリストだけでなく、作曲家の方々にも懇意にしていただいた。特に武満徹さんは、新曲を作曲すると、「
22,に結実したのかという問題にささやかな光を投じるためのものであった。しかしながら，作曲家は時代や世間から孤立無縁の存在ではなく，常に生きた時代の文化の磁場の
23,ものであることは、今回初めて知ったのだが、とにかくハイドンが明るいユーモアに満ちた作曲家と思っていた人間にはちょっと信じられない短調の曲想だった。例えば譜例
24,三十二歳頃）屈折した愛の生涯を生きたグスタフ・マーラー（千八百六十年〜千九百十一年）。オーストリアの作曲家で、ヴァーグナーから強い影響を受けた。指揮者としても活躍しウィーン宮廷歌劇場指揮者としてこの歌劇場の水準
25,そのバルトーク（千八百八十一―千九百四十五）ですが、前にも述べた通り彼はハンガリーの作曲家です。ピアノ音楽史におけるバルトークの位置は、印象派のドビュッシーのあとにつづく、〈新音楽
26,五十七の変奏曲》、幻想曲（ホ短調）ロッティＡｎｔｏｎｉｏＬｏｔｔｉ伊千六百六十七頃〜千七百四十オルガニスト、作曲家。レグレンツィに学び、サン・マルコ寺院の楽長をつとめた。作風は古い対位法様式とスカルラッティ、ヘンデル等
27,つまり古典派の交響曲の典型的な第一楽章の形式によっているのだが、ベルリオーズ以前のフランスの作曲家で、この曲のようにソナタ形式をこなし、すぐれた交響曲を書いてみせた人
28,までしか遡らないということにもなる。すなわち，ヴァーグナーに影響を与えたはずの作曲家や作品が言及されることはなく，すべてはヴァーグナーに始まり，そこから流れ出すという展望が，
29,に大きく寄与されていることを付記したい。また、幸子と同郷の長野県茅野市出身の作曲家、竹内邦光氏（昭和音楽大学助教授）も、連弾曲『謐』および『揺曳』などの逸品を
30,何かのはずみで「僕はセヴラックが大好きなんです」と言った。好きな作曲家のことが話題になったのであろう。石田さんは顔を細めるようにして、「
31,なかで古典派の交響曲の豊かな実りを受け継ぎ、それを後世に伝えようとした作曲家がウィーンに一人いた。ベートーヴェンとおなじ時代を生き、しかし偉大な先輩とは
32,旋律、リズムに着目国民的音楽の創作者ノルウェーの作曲家。ライプチヒ音楽院に留学。帰国後、ベルゲンで作曲家、ピアニストとして活動を始める。ノルウェーの民謡や楽器、舞曲の旋律、リズムに基づい
33,人たちは、十五〜十六世紀頃活躍した、テルグ語［現アーンドラ・プラデーシュ州の公用語］とサンスクリット語に堪能な詩人であり作曲家であり、また学者でもあった人々で、現アーンドラ・プラデーシュ州にヴィシュヌ派の信仰を広めるのに
34,をするのはフェアではないだろう。しかし、もうしばらくのあいだだけでも、グラミー賞受賞の作曲家、そして今は映画スターとして知られるマックス・エリスでない自分を楽しみたかった。カーラとの
35,へと委ねられることになったのである。さて，これまでの考察はすべて，ブゾーニという作曲家のなかで，オペラというジャンルがどのような視点のもとで育まれ，どのよう
36,より八時半の方がありがたい。オペラの見込み客の大半は、ローワー・スロボヴィアンとかいう前衛電子音楽の作曲家が書いた新作より、ヴェルディの『アイーダ』の方を見たがる。調査報告はそう
37,日本の植民地時代に新たに編曲された新民謡である。“アリラン”について、不世出の作曲家と言われた古賀政雄は興味ある発言をしている。古賀は「アリランの唄―
38,たけれども、東京で起こった凄惨なファッションモデル連続誘拐バラバラ殺人事件のことだの、なんとかという作曲家の放火殺人だの、それらの一連の事件の犯人が『シリウス』と名乗って新聞社
39,）―ピアニストで作曲家アンリ・ヴュータン（ＨｅｎｒｉＶｉｅｕｘｔｅｍｐｓ；千八百二十〜八十一）―ベルギーのヴァイオリニストで作曲家グスターフ・ノッテボーム（ＭａｒｔｉｎＧｕｓｔａｖＮｏｔｔｅｂｏｈｍ；千八百十七〜八十二）―音楽学者、とくにベートーヴェンの研究で有名
40,．音楽に対して高度の鑑識力をもち芸術的認知に優れた能力をもつ音楽批評家が，優れた作曲家や演奏家であるとは限らない．またすばらしい音楽を聴かせてくれる演奏家が，音楽について
41,も優れた曲線は多く、ダリやピカソをはじめ、イギリスの小説家、オスカー・ワイルドやフランスの作曲家、ドビュッシーなど、その分野での新時代を築いた人が目立ちます。また、
42,で演奏された室内楽」の「予約作曲」で有名な。千六百八十一年−ゲオルク・フィリップ・テレマン、作曲家（＋千七百六十七年）の生誕日です。ゲオルク・フィリップ・テレマンの音楽は例えば「水上の音楽」であり
43,〔Ｉｎｔｒｏｉｔｕｓ〕）。《レクイエム》の自筆スコア譜ザンクト・フローリアンとの訣別千八百五十五年四月、プラハの作曲家でオルガニストのローベルト・フューラー（ＲｏｂｅｒｔＪｏｈａｎｎＮｅｐｏｍｕｋＦｕｈｒｅｒ；千八百七〜六十一）がザンクト・フローリアンに
44,のある俺が、共同炊事場で解体した。その夜、電話以外に何も置いてない作曲家の部屋に住人が集合した。鶏鍋を囲んで、安酒の酒盛りが朝まで続い
45,昔、「ペガサスの朝」を歌っていた五十嵐浩晃は何してるのかな？作曲家・・・・・・・・・・・・・・・・・・・・
46,。恒勇さんは、マルフク・レコードの普久原朝喜さんの息子さんで、「芭蕉布」などのヒット曲を作った作曲家です。しかしなかなかうまくまとまり切らなかったようで、ここに書いたような人たちによって改めて
47,こともある。だから写譜屋さんが美しく浄書したものは、読みやすくはなっていても、作曲家が生みの苦しみの瞬間に残した創作の秘密の痕跡を消し取ってしまったようで
48,ございます。そのため、ＪＡＳＲＡＣにおきましては、ことしの四月に、作詞家、作曲家、音楽出版者、弁護士によりまして構成されます信託約款改正委員会を設置いたしまして、権利者の選択
49,きのうの夕刊から「ヴォルガ」あす閉店作曲家の團伊玖磨や詩人の丸山豊らも通い詰めた福岡県久留米市のスナック「ヴォルガ」が三十一日、四十八年の歴史の
50,コクトー）の時代に完全に入っていったのです。このように音楽史上優れた作曲家であるバルトークですが、優れたピアニストでもあり、二十七歳でブダペストの音楽アカデミーのピアノ教授に
51,、ベルリオーズはパリに行って実行する殺人計画を何度も頭の中で復習した。『作曲家の手記』にはこうある。「先ず夜の九時頃、家内中が集ってお茶
52,第３楽章（ベートーヴェン）ベートーヴェンは二者が対等の関係で対話する二重奏を確立した初めての作曲家といえる。このヴァイオリン・ソナタは，ヴァイオリニストのクロイツェルに捧げられたことからこの名がある
53,への入学であった。このスクールにはアレンジャーの萩田光雄や船山基紀、オフコースの鈴木康博、作曲家の佐藤健、歌手の大橋純子など、のちの日本ポップス界に多大な影響を与える人材がひしめい
54,なる。おそらくベルリオーズは、彼自身の個人的な体験をプログラム付き標題交響曲で表現しようと試みた最初の作曲家である。こういう着想は、古典派の作曲家たちからはけっして出てこないものだった。
55,はけっして〈真摯〉な作品と見なしえないわけではない，というクルジェーネクの見解は，この作曲家がなにをベッカーから継承したのかということを，端的に表している。ドイツ語圏を
56,からです。ですから，日本の童謡にファとシがでてこないということは，作曲家が日本人の音の好みを作曲に生かし，日本の音楽の特徴を大事にし
57,。バッハは十八世紀のポップス公平にいって、現代の“クラシック音楽”を書いている作曲家のほとんどが、進退きわまった状態にある。彼らはすでに発生してしまっている形式を取り入れる
58,いずれにせよそのような予期せぬことが起こるのが〈身体〉という場である。作曲家によって、このような予期せぬ展開と計画的展開とのバランスは異なるだろう。しかし、どんな
59,に、すぐまたブレスラウの人たちに新作を進呈するのは憚られた。だが、この作曲家は性懲りもなく、もう腕前を披露したくてうずうずしていた。彼はわかっていなかっ
60,の曲を持てと野坂のひざをゆすり「お客に対するのは恵子お前だ。作曲家の曲はそれは良い曲だろう。でも、お前の心を弾け。私は評論家
61,ハイドンの研究家ヨーハン・リッター・フォン・ヘルベック（ＪｏｈａｎｎＲｉｔｔｅｒｖｏｎＨｅｒｂｅｃｋ；千八百三十一〜七十七）―指揮者で作曲家カール・ミヒャエル・ツィーラー（ＣａｒｌＭｉｃｈａｅｌＺｉｅｈｒｅｒ；千八百四十三〜千九百二十二）―オペレッタの作曲家で指揮者ゼヒター
62,歌劇におけるナポリ楽派の創始者。イタリア風序曲の確立によって後の交響曲の歴史の創始者になった作曲家。チェンバロ曲：トッカータ、スペインのフォリアによる変奏曲。スカルラッティ（アレッサンドロ）フックスＪｏｈａｎｎＪｏｓｅｐｈ
63,付与することはできなかった。この仕事は、オーストリアやドイツの作曲家でなく、フランスの作曲家によってなされたのである。ベルリオーズと標題交響曲千八百三十年、すなわち、ベートーヴェンの死の三年後、
64,だからこその音楽の魔力を彼は知り尽くし、愛していた。北国の青い山なみ作曲家の石田一郎さんの想い出をぜひ書いておきたいと思って机に向かっているのだが、さて
65,盛りこみ、新しい生命を付与することはできなかった。この仕事は、オーストリアやドイツの作曲家でなく、フランスの作曲家によってなされたのである。ベルリオーズと標題交響曲千八百三十年、すなわち、ベートーヴェン
