,0
0,だｎ（ｒｙ友達と遊んだ事算数がとてもキライだった（いまも）こと保健室が凄く癒される空間だったこと教室の風景担任の家担任が家庭訪問に来た
1,↓↓↓苦しい…（；艸；｀。）背中も痛いし…早く帰りたい保健室行こうかまよってるし…リアル苦しいやばい…
2,た。「念のために保健室に行ったほうがいいわね。私、保健室の先生がいるか確認してくるね」と、花子は更衣室を出ていく。
3,。授業が始まって数十分してから、終わったので、ビクビクしながら廊下を歩いて（保健室に行こうかどうか悩みながら・・・）いたら、別のクラスの男の
4,としている神崎は、職員室に机を持っていない。学校に到着するとまずまっさきに保健室に行き、白衣を着る。白衣は仕事着であると同時に、神崎のいささか教師ずれした私服を
5,七月の林間学舎に備えて、乗り物に弱い児童のために「乗り物酔い防止の自律訓練」を保健室で行ったが、育子も来ていた。そして、林間学舎に参加することができた。一学期間
6,をしている。淡々と作業をこなし少々孤独な面もある。学校で言えば保健室みたいな所。そんな場所なのでちょっと息抜きをしたくなったり、グチをこぼしたく
7,約百人は精神的な変調がしばしば体に表れるという。原因不明の頭痛や腹痛などで保健室を利用する子は、多い日で九十人に上る。長期的なケア体制が求められている
8,環境を整えながら、励まして行かすこともできるでしょう。一時的に、遅刻や早退、保健室の利用なども考えてみることもできます。大切なことは、子どもの様子を
9,は、曖昧な態度を取り続けた。この準備室でキスを受け入れたくせに逃げ出し、保健室では自分から抱き締めたあげく、泣いて嫌がった。好意を受け入れてくれないの
10,腹いてー。』ってわめいてみたんだけど、ママったら、『じゃあ学校の保健室で診てもらいさい。』って、かけ布団ひっぺがしたよ。ぜんぜん信用してくれない。
11,ずらりと薬瓶の並んだ棚、白い布のついたて、ベッド、体重計。私立竜野宮学院の保健室である。星河院冬香は、学院理事長の孫娘であり、生徒会副会長で、ゲートマスターだ。かろうじて
12,温かみのある学校です。校舎配置は、グランド全体を見渡せるところに、職員室、校長室、保健室を配し、低学年、中、高学年教室群、特別教室群とし、また、多目的ホール兼ランチルームを設け全学年の
13,「どうしたの？新子、ケガしたの？」ああまただ。保健室に入っていくと、ひづる先生は新子に、ケガ？と聞いた。ケガ
