,0
0,。将軍以外は男子禁制であったが、将軍の親戚に当たる御三家、御三卿、御台所、側室の親戚、老中など幕府の重臣、加えて、大奥付きの医者や僧侶は立ち入ることができ
1,た将軍家では、八百屋の娘でも又菓子屋の娘でも、美人であれば側室にし、その間にできた男子は、本妻に男子がない時は将軍に
2,年齢は信長よりもうんと下で、永禄十三年（千五百七十年）三月頃に二十一歳で信長の側室となったといいますから、信長が四十九歳で死んだ時には三十三歳でした
3,清宮の女官は皇太后、太皇太后、皇后を別格として、その次のクラスが皇帝の側室の妃嬪。皇貴妃（一人）、貴妃（二人）、妃（四人）、嬪（
4,長田忠致に裏切られ討たれてしまいます。金王丸は、都にいる常盤御前（義朝の側室）に義朝の最期を伝えるため京を目指したのです。全国各地の金王丸伝承金王道に
5,晴れて京入りを果たしている。宣賢殿は見事なるお手配じゃ。わが娘を将軍の側室にあげられたも、ここに通ずる一本の道であったもの。わが知らぬ女
6,水戸藩士谷重則の娘で、頼房の側室である。当時の例として、頼房には十人近い側室がいたが、生涯正室をもつことはなかった。谷重則の妻が藩邸に出仕しており
7,覚悟は出来ています」お春の方のいう通りだった。将軍様のお手つきの側室はもちろん、富士局のような大奥を取り仕切る幹部達は、一生、大奥の外へは
8,をさずかりました。けれども、おね様は、頼るお方はあなた様お一人でございますよ。側室もその秀勝殿も、この私ならば普通ではすみませぬ」秀吉は重い顔に
9,な女性がいいといった。徳川家康も同じようなことをいっている。義建の側室はどんな女性だったのか、しかし、どこの歴史もそうだが、こと女性の
10,主君信長の恩は須弥山よりも重いといいながら、信長の娘をも恥じることなく側室にした。前にも述べた二女の冬姫には肘鉄を食らわされた。
11,は似合いませぬ」断固として承知をしなかったのは、秀吉の側室のひとりで、前田利家の三女に生まれた於麻阿（加賀殿）のみといわれている。
12,は二十歳か二十一歳ぐらい。織田家の美形の血を引く彼女は、この日参加した側室の中で、最も若く、桜の花と匂うばかりの美しさを競って、老い
13,なる者もまた、朝倉氏の遺臣である可能性が大きいのではないでしょうか。利家の最初の側室で、秀吉の養女になった菊の母親笠間氏も、父の笠間与七が、やはり朝倉
14,。讃岐局＝篠原涼子正室・涼子に子ができないからと、政村の勧めで時頼の側室になる。が、時宗の誕生で人生は暗転。わが子・時利の立場を
15,と岡崎のお方との間に姫が出来たればこそ、その姫が義晴の側室になられたればこそ、将軍家と清原家との縁が出来た。姫の誕生
16,あるいは五人も産んだけれども男子は一人しかいないなどという場合なら、夫に側室をすすめるケースも見られたし、そうでなくても、「あなた、本妻一人なんて
17,し、そうでなくても、「あなた、本妻一人なんておかしいですから、あの侍女を側室にしてはいかが」などと、妻自身のめがねにかなったおとなしい腰元などを推薦する
18,いう。慶長十六年（千六百十一）五月七日、徳川二代将軍秀忠を父、北条家浪人の娘でその側室となっていた神尾静を母として生まれた。ただし出生地は、江戸城大奥ではなかった。
19,。全く冗談ではなかった。もし、そんなことになった日には自分は死後も側室と夫の寵を争うことになりそうだった。気がつくと侍女たちは霜、おく
20,手紙が数々残っている中で、彼女関係のものが一通もないのは、三の丸殿が側室になった時期が、秀吉の最晩年と非常に遅かったからではないだろうかと思わ
21,上、昨今、病床に臥せがちである。夭逝が多かった子のなかで、成育している側室が産んだ嫡男はまだ十三歳で、凡庸の質であった。盛常に不慮の事
22,諸侯の大臣を自由に更迭するでしょうし、秦室の女子や側室を諸侯の夫人や側室として押しつけ、魏にも納れるでしょう。これでも、魏王は安閑としていられる
23,、妻一人が産む数には限りがあります。そこで、”子産みマシーン“として側室を置くわけです。武将が何人もの側室を置くことは常識でした。むしろ
24,ました。そして、お濃の方が去ったあと、生駒御前と呼ばれていた側室の吉乃（吉野とも）が信長の正室の座を継ぐという設定にしました。
25,たクロンボーク城である。ガイドの話ではイギリス王家から嫁して来た王女が、王と側室の陰謀のために十数年間幽閉されていたという小部屋があった。哀しい話であるが
26,、改めて興味を持った人も多いと思います。大奥とは正室をはじめ、側室や女中たちが一堂に集まる将軍の私邸です。将軍以外は男子禁制の華やかな世界ですが
27,権中納言ノ局はたのまれたそうだ。ご入内当日だけの母代には、大御所の側室の阿茶ノ局が選ばれて、姫君のご後見をすることになった。神尾なにがしと
28,身の回りの世話をする“ということの意味も明らかです。とすればチヨは、側室となることを前提として、まつの意志に従って名護屋の利家のもとに遣わさ
