,0
0,そうで・・でも、おばちゃんに怒られてました・・夏入院も黙ってろって言ってて二人しか残ってない兄弟だからなんかあったら電話しなさい！
1,に行く。日が暮れて着く。診察を受け、入院絶対必要なりとの診断にて入院と決定す。小生、保証人として用紙に記名し爪印を捺す。病室に太宰を置い
2,そこからの紹介でくるのですか。梅園そうです。渡辺かかりつけの医師が入院の診療にもこられるわけですか。梅園そうです。ただ病院には病院
3,てこの法律による医療を受けさせる必要があると認める場合医療を受けさせるために入院をさせる旨の決定二前号の場合を除き、対象行為を行った際の
4,である。図表４‐八入院料と看護配置基準１）入院基本料平成十二年４月より、入院の機能分化を進め、医療の質の向上と医療提供の効率化を図るため、入院環境料、
5,「よかったら入院させるようはからってもいいよ。小さな病室なら用意してあげられる」「入院はどうしてもいやだと言うんです」「いつ亡くなっても不思議はない。さもなけれ
6,や、病変部の周囲の皮膚を引きのばしてカバーしなければならなかったのです。そのため、長期の入院や長時間の手術が必要でした。しかし、現在では、日帰り治療が可能な
7,中小企業で働く従業員のための制度です。月々わずかな掛金で、死亡、障害、入院、住宅災害などの事態に対してセットで保障し、さらに結婚、出産、銀婚、小・中・高校入学祝にも
8,８月の始めから子供が入院をしずっと付き添いで病院にいました。今日退院してきてビックリ！！体重
9,を終了するまでに、一か月以上かかることも珍しくありません。そしてガンとわかってから入院の予約をして入院待ちの期間がさらに一か月以上かかる、こんなことは日常茶飯事なのです。
10,に伴う家族の付添い、面会のあり方はどうあるべきなのだろうか。小児の入院は、短期間のことが多い。一部、腎臓病や白血病など長期となるものもある
11,「おおむね５日以内に入院」というように明確にするべきではないか。事故と入院との因果関係においては，単に事故発生からの一律の時間をもってその関係の有無を判断する
12,この頃の癖になっていた。俊輔の熱は、今から一週間ほど前、入院から約一月目で、初めて落着いた。あの日、俊輔は、この病室の隅で、
13,ます。まず、わが家にとって二つの大事件がありました。一つは、父の入院です。この頃、父はオートバイに乗っていて、車に衝突され大ケガをし
14,こと。（５）安易に警察官の応援を求めたこと。（６）入院に至る経過において，精神科ソーシャルワーカーの行為は，当時の精神衛生法に照らして違法性はないこと
15,は刑事事件としての裁判になってしまったことにやるせなさを感じているのだろう長男のお嫁さんの入院・・切迫なんとかで出産まで安静のため入院らしい明日の休み連れ合いは横浜の
16,復帰することを促進するため、この法律による医療を受けさせる必要があると認める場合入院によらない医療を受けさせる旨の決定三前二号の場合に当たらないとき
17,整備が進み，交通機関の発達により移動が容易になるにしたがって，医療機関への入院や外来診療が増大し，自宅における診療は急速に減少した。しかし，成人病中心の疾病構造
18,なければならない。２前条第一項第二号の決定を受けた者は、厚生労働大臣が定める指定通院医療機関による入院によらない医療を受けなければならない。３厚生労働大臣は、前条第一項第一号又は第二号の決定
19,を聞けば良かった…。もしかしたら手術になるかも…。まさか，入院は…［爆］最悪や…＿｜￣｜○
20,命ぜられた医師は、当該鑑定の結果に、当該対象者の病状に基づき、この法律による入院による医療の必要性に関する意見を付さなければならない。４裁判所は、第一項の鑑定を命じ
21,見えにくくなり、校医の紹介で小倉記念病院の脳神経外科を受診。「頭蓋咽頭腫」と診断され、入院。開頭手術を受けたところ、状態が悪化し、一ヵ月後に死亡。一年二ヵ月後、両親が原告
22,破り、中耳隔壁の隙き間を埋める手術は、入院四日目の午後におこなわれた。入院は十五日間で済んだが、術後しばらく絶対安静を強いられていたこともあって、退院し
