,0
0,与謝５ｃｍ、弥栄町野中３ｃｍを記録した。上世屋地区ではこの日、神社の社殿や公民館の外壁をトタンで覆った「雪囲い」の取り外し作業が予定されていたが、急きょ
1,日の慰問として９月７日（日）から十五日（月）にかけて、町内外の公民館や施設など計二十四ヶ所で「ひょっとこ踊り」を披露しました。赤い着物に白い帯とふんどし
2,た。（６）公共的施設の整備ア漁村における生涯学習の推進を図るため，公民館，図書館等の社会教育施設の整備及びこれらの施設における学習活動，地域活動について引き続き助成した。イ
3,地方法務局（四十二か所）及びその支局（二百五十二か所）に常時開設している常設人権相談所並びに市町村役場、公会堂、公民館、集会所、デパート等で臨時に開設する特設人権相談所において、人権相談の一環として交通事故に関する相談を受ける
4,ひもとく学びやの跡と昨年から休校になった河内小穴笠分校への愛着を歌い上げる。公民館に集まる人たちを中心に五年前から歌作りに取り組んできた。歌詞は神田茂幸館長が作り、
5,施設の整備事業，例えば，道路，橋梁，港湾施設，上下水道，市場，学校，病院，公民館，教会，訓練所などである。（ｉｉ）試験的事業開発事業のうち試験的に行われる
6,参加しやすいように配慮を行う必要がある。このため，これらの活動の拠点となる公民館，図書館，博物館等の社会教育施設においては，スロープ，障害者用トイレ等の整備について配慮を行うなどし
7,という病院はあっという間に満杯になったの。病院だけじゃないわよ、公民館も学校もね。それは仕方のないことだったけど、お世話をしたおおぜい
8,て適切な財政措置ならびに行政指導の充実強化に格段の意を用いる必要がある。ア公民館の適正な配置を促進し、職員および施設・設備を充実すること公民館はその設置館数においても
9,、高等学校費１．９％増（同０．０％増）、教育総務費０．２％増（同２．０％増）とそれぞれ増加しているが、公民館、図書館、博物館等の社会教育施設に係る経費等である社会教育費及び中学校費は、それぞれ２．５％減（同２．０％減
10,１利用者真岡市自然教育センターは、老人研修センターとしても活用され、真岡市内老人クラブ会員（福祉事務所に登録）及び公民館の高齢者大学に加入しているお年寄りが利用しています。老人研修は、真岡市内４地区（真岡・山前・大内・中村）
11,共通。土日祝日は小・中学生無料）■ところ・問い合わせ同館（南区味方二百十三‐１）☎３７３‐６６００●公民館●白根学習館まつり出品・展示部門（第２部）白根絞りの作品を展示します。■とき十一月１日（
12,だろう？」とお思いの方もいるかと思います。みなさんには、学校や公民館、公園などの敷地に、先端に大きなスピーカーが取り付けられている柱があり、平日
13,を推進するために、講座やイベントなどを一覧にした生涯学習大学ガイドブック『誘・遊・友』を発行しました。公民館や図書館、草津アミカホール、生涯学習スポーツ課で配布します。市のホームページ（ｈｔｔｐ：／／ｗｗｗ．ｃｉｔｙ．ｋｕｓａｔｓｕ．ｓｈｉｇａ．ｊｐ／）からもダウンロードできます
14,た雨宮氏は八十七年、大分県宇佐市に施設を開き、九十一年には山間部の高齢者のため公民館などで出張型デイサービスを全国に先駆けて始めた。そうした雨宮氏の取り組みに最も敏感
15,市民ネットワークづくりを進めてまいります。併せて、地域コミュニティ活動の核となる、各町内会が設置する公民館の改築などに対し、引き続き助成を行い、地域コミュニティの活性化と住民の自治意識の醸成を
16,コミユニテイの形成と人間性の伸長に果たす役割が、改めて重視されなければならない。このような公民館の性格づけのうえに立つて施設の増設および専門職員の増員により、その機能を充実する
17,鉢植えの花を玄関先まで持ってきてくれた人。外来通院へ付き添ってくれた人たち。公民館の仲間の集まりへ根気よく誘ってくれた人たち。車に私を乗せ桜見物に連れて
18,メンバーを４班に分け、班ごとに担当の日を決めて行われ、夜９時に公民館に集まり、反射材でできたベストを着用の上、拍子木を打ち、「戸締り用心、
19,住居表示の実施に伴い、電子データを切り替えます。これらの作業のため、市民センター（公民館）と市民交流プラザで行っている住民票や戸籍、税務証明などの発行業務について、下記の
20,青年の協力なくては実行が困難な重大行事が待ち受けている。青年は地域や公民館などの理解や協力、拠点がなければ青年会独自の活動ができない。地域もまた
21,（☎８２０‐６５６３）、たちばな漁業協同組合（☎８３０‐２２３６）時間を作って、出かけてみませんか公民館でエンジョイライフ公民館まつり公立公民館の学習グループや、子どもたちによる作品展示、舞台発表などがあります。ぜひご来場ください
22,だと解される。住民の平等利用権がとりわけ強調されるのが、集会施設であろう。「公民館」を宗派行事や政党活動や営利事業に使うことは禁じられているが（社会教育法二十三）、
