,0
0,。多くは北の食糧難や経済危機が深刻化した九十四年前後から、国境を越えて日本の公館へ駆け込んだ人たちだ。五十九〜八十四年の帰還事業では、在日朝鮮人と結婚した女性約千八百人を
1,、法的な根拠ということですので、ちょっと国際法上の観点で御説明申し上げます。これは、公館、大使館及び総領事館にかかわる部分と、それから一般の、我が国の邦人、企業あるいは
2,ます。そういうことが国際法上確立されたルールとなってきております。このこと、公館の場合とややちょっと性質を異にいたしますけれども、そこを併せまして、
3,と争っていたオーストラリアに変更して欲しいです客観的に見て、自国内にある他国の公館への襲撃を黙認するような対応は、間違いなくどの国から見てもありえない行為
4,気持ちだった。家族側は、飯倉公館で「宣告」を受けたが、当初、公館に出向くことも、「なぜ我々を呼びつけるのか」と反発の声もあった
5,があって、人々のくらしを支えている。前世紀、テヘランでは大使館など外国の公館の多くがカナートの終点であるオアシスの近くに設けられたという。また、
6,と推定している。この電文で杉原は、避難民のうちには近くに中南米国の公館が存在せず、またカウナスの日本領事館の引揚げ期限［九月五日］が近いのでとりあえず日本通過ヴィザを
7,の話もあるようだが謝罪なしの補償を受けるようなことは愚です。むしろ公館は現状維持して海外マスコミ向けにモニュメント化することをお勧めします。
8,ております。しかしながら、御存じのように、大変な暴力的な行動もあり、また我が公館、また在中の国民に相当な被害が出ておるということも起こっておりますので、
9,も、今取りまとめ中であるということを申し上げたいと思います。○白眞勲君今のはいわゆる公館、在外公館、いわゆる中国におる日本の大使館、領事館についてだと思うんですけれども、
10,、また同時に、今、白委員がおっしゃいましたように、中国にあるアメリカの公館も抗議行動の対象になって被害を受けたわけでございます。私の記憶で
11,がおこった。１千九百二十七年３月，南京に入城した中国の国民革命軍が，外国の公館や居留民を襲撃して死傷者が出た。その際，アメリカ・イギリスは武力報復をおこなったが
12,が、僕も朝鮮人学校にかけ込めば、亡命と扱ってくれますか？いいえ、朝鮮人学校は公館ではないので無理です。警官だって入れます。
13,右宣言を受諾す」と決定された。この決定は直ちに公式通告として、スイスおよびスウェーデンの公館を通じて連合国に伝達され、ラジオで海外向けに放送された。先の『バーゼル新報』号外はこれ
14,で、その考えをすでにラッセル外相とも話し合ったことをほのめかしており、さらに、江戸の公館にいた通訳生で、のちに実現した遣欧使節への随行を命じられることになる、ジョン・マクドナルド
15,のに「いまから南朝鮮の映画を見よう」と言ったりする。すると、全員、公館の隣にある映写室に移動して映画を見ることになる。金正日のこうした性格の
16,まして、国際法上、接受国たる中国政府は、大使館や領事館、総領事館を損壊から保護し、公館の安寧の妨害等を防止するために適当なすべての措置をとる特別の責務を有している
