,0
0,いうことがあったか、ということではなくて、そのときに、道修町の、ある商家の丁稚が、どういう悲しい思いをしたか、であって、その悲しい思いの
1,てつくった作品なのである。煎茶に魅せられて売茶翁という名を聞くと、商家の出身のように思いがちだが、そうではない。彼は武家の出身であっ
2,た。徳川家を始めとして武家の経済は崩壊し始めていた。力を持ち始めたのは商家だった。約束の五年後の文政五年（千八百二十二）、金次郎は服部家の全ての
3,によって支えられてきた庶民信仰を感じるんです。平城京の元興寺は他の寺院や門前町の商家によって侵蝕され、没落してゆくのですが、法隆寺の方は幹線の意味が失われると
4,日本では、血の繫がりのない与之介も「竹島」を名乗ることで、この商家の一族となるのである。十月末、幕府使番馬場宮内尚恒、斎藤左源太利紀両名が赤穂に来着、永井伊賀守家の入封
5,」に対して「蝮の吉次」の異名を取る岡っ引き、吉次。十手をちらつかせて商家をゆすったりするタチの悪い岡っ引きですが、これがケチでひねくれていて、でも
6,ノ辻を中心にして、南北に十町半。南町と北町とに分けられ、商家が軒を連ねて商いは旺盛であった。その城下町がいま灰塵に帰そうとし
7,言われるベルゲンは、中世ハンザ同盟の時代に発展した街で、三角屋根が連なる木造の商家が残っている。世界遺産に登録されたのも、そんなドイツ人商館の家々が美しく立ち並ぶブリッゲン地区
8,教養人で、林吉もその影響から読書好きの少年として育った。ところが祖父が「商家に学問はいらない」という考えだったため、高等小学校を卒業後は家業に従事させ
9,、おきみは母親のたもとを摑んだ。表通りを永代橋に向けて歩いた。商家の軒には、雪が薄く積もっている。真っ白な雪と、茶色の軒と
10,使っての商売は危険、と何度か禁止令を出すほど数が増える。しかし商家の奉公人、あるいは参勤交代で江戸に来ている下級武士など単身赴任者は多く、旅人や出稼ぎ人など
11,故郷・五個荘町では３月三十一日まで、近江商人屋敷（入館四百円）、歴史民俗資料館（三百円）など５館で商家の家宝雛を展示する「五個荘ひな人形めぐり」を開催中。十九、二十六日には、貸切電車内での食事
12,も深いところを流れる水面まで石組みの道をつけて荷揚げ場が作ってあり、そこで商家の者が物を洗うけれども、土質のせいかそれとも市中を流れる間
13,せたわけである。脇町の中心を通る本通りにあたる南町通りには、藍商の古い商家の面影を伝える本瓦葺き、塗籠め壁の家々が今も軒を連ねている。隣家との
14,をすぎたところで、若者は女連れの旅人を正面に見ることになった。商家の娘とお供をする手代、といった主従に違いない。商家の娘は十七、八、手代らしい男
15,のきかない堅さに息苦しいものを感じていたのだろうか。人の出入りの多い商家の末っ子として育った父は、母の品の良い堅実さにひかれ、強く結婚
16,を有難いと思ったことはない。短歌が好きだというだけで、それ以外は平凡な商家の主婦で、文学少女のまま年とったような人だった。私が出家し
17,大学其他教育あり流行を追い、快楽を求むる人々は王党に属し、小地主、商家、貿易家、道徳家の一流は国会軍に属せり、最も著しきは東部諸州が徹頭徹尾、
18,丁稚には御祝儀が渡される（三島祐一著『船場道修町より』）。在りし日の船場の商家のお正月がしのばれる。京都のおけら火京都のお正月は、除夜の鐘が鳴る
19,て、実に痛恨にたえない思いがする。昭和三十年代頃の下京界隈祗園祭に風情を添える商家の屏風展覧因幡薬師
20,てみたい。百足屋おばんざい新町錦明治時代の面影残す、懐石風おばんざい明治二十年に建築された呉服問屋の商家を復元。白壁に糸屋格子、走り庭の「おくどさん」が当時の面影をしのばせる。
21,たものとして「漢意」といって批判している。本居宣長千七百三十〜千八百一伊勢松坂（三重県松阪市）の商家に生まれ，二十三歳のとき京都にのぼって医学を研究し郷里に帰って開業した。
22,に、と立上り、廊下へ出ていったが、なかなか戻らなかった。大きな商家というのは、店、帳場と奥とが離れていて、こちらは全く静かで
23,ました。明治時代前半に建てられた「仙臺屋」は、遠野地方の伝統的な町家（商家）の形態を伝える貴重な建物群として評価されています。今夏には、市内の
24,、それでも不足の事態を生じるときは、足軽などの軽輩の士は、宿内の商家や民家に止宿した（『片岡家文書』）。先触・関札と準備諸大名の宿泊が決定する
25,今にも飛びだしかねない勢で、指令をあおいだ。三十郎は通行人をよそおい、商家の立看板の陰から顔色もかえずに喧嘩の様子を見まもっている。「大丈夫
26,の状態がほぼわかる。銅を魚の鱗状に貼りつけたもので、関東大震災後に、商家に流行した建築である。すなわち、この家は戦災を免れたことになる。かつて、
27,何軒もひっそりと佇んでいる。二人は、ゆっくり観光見物を始めた。「昨日の商家とは、随分対象的ですね」と、酋長が言う。「そうだなあ。民家
28,ながれており、千住大橋がかかっている。奥州道の咽喉というべきところであるから、旅籠や商家がおおく、遊女屋もある。千住大橋が前方に見えてきたころ、ふと甚右衛門はいや
29,八月の条にいわく、「申年の頃より、脱藩浪士の類にや、官吏又は商家其の余おのれが銜む輩の行跡、或ひは異艦掃斥の趣意、横浜貿易の淑慝等、自己
30,六十四台貞光町大須賀十一‐１☎０８８３‐６２‐５０００交通ＪＲ貞光駅から徒歩十分貞光町の二層うだつ江戸中期以降、商家が栄えた貞光町では、商人たちが成功の証として競って「うだつ」のある
31,がいまだ幕府に信頼されていないことへの不満が広がる。そんな中、桝屋という商家に肥後勤王党の宮部（四方堂亘）がかくまわれていることが判明。観柳斎（八嶋智人）が
32,。■「古式享保頭立雛」吉徳資料室蔵江戸時代中頃の立ち雛です。■「三ツ会ひいな遊びの図」東京都立中央図書館蔵江戸時代の商家のひな祭りの様子です。各地のひな人形かくちのひなにんぎょう宮崎県青島神社の守り雛吉徳資料室蔵願かけ雛
33,友人でもあった。三四郎の実家は、東京にあった。かなり裕福な商家であったが、次男坊で肌合の変っていた三四郎は、Ｗ大学の英文科を卒えると
34,須川は無言だった。老人は六十年輩であろうか。長身の人品卑しからぬ、いかにも商家の隠居といった風態にみえた。「まあ、しかし死ななくて何よりですなあ。
35,た。柳通りにも店はあったが、土地柄が本郷のせいか三崎の商家よりはちょうと気どった感じで落ち着いてはいたが活気に乏しかった。カフェ
36,経営を大きく働社中と元金社中に分けたのもそのためである。「日本の商家の悪いところは、世襲制と、大福帳だ」かれは常にそういっていた
37,！交渉成立だ！そなたの願い、叶えようぞ！」柏崎でも屈指の商家だった。越後上布の反物を扱う大店で、越後国内のみならず遠く京からも
38,飛んで行く。この辺りは全くの屋敷町で、二丁行っても三丁行っても商家はない。フトある大きな邸宅の門の中の玄関の横に、高さ一間半も
39,休み、百姓は野良を休んで飾り物の製作に夢中でした、私の家は商家でございましたが店の者はみんなして万国旗を染めるために苦心惨憺たるものでし
40,たことがあったんだ」「何を怪しんだんです」「二代目葵小僧が、押し入った商家のことでよ」「商家がどうかしたんですかい」「二代目葵小僧
41,へ向かう参拝客が和紙づくりを伝えたという説もある。江戸時代には江戸や桐生の商家で大福帳として愛用された。明治初期には二十余戸が副業として桐生紙を漉いたが、
42,ました。（２月十六日）個性豊かなひな飾りで「和」を演出江戸・明治時代など古くから商家に伝わるひな人形や手作りの「つるし雛」・「傘福」、ハスの葉や実で
43,の風情を醸している。街の中には石垣塀と趣が異なる防火壁、火切り石垣の商家や民家も見られる。交通／対馬空港から車約二十分、厳原港から徒歩約十五分石屋根火災、
44,はそこに自分のコンプレックスを見出すことから、特に毛嫌いしたようであった。河合耆三郎が商家の出であり、金銀出納の不始末という罪の性質もあって切腹を許さなかったの
45,が過ぎ、冬になった。彼は夜はこやし小屋の中で寝、昼は商家の店先をうろつき歩く日々であった。（十三）本文解釈ある日の朝、
46,祭礼がおこなわれる。この日の名物としては芝日影町日比谷稲荷の初午の灯籠がある。商家は自分の店で商っている商品、工家は作っている工品を使って灯籠の絵
47,積んで行かれ、その二つのものよりもずつと無造作な取引で、子守女として或る商家に置き去りにされた（以下略）作中に登場する何人かの女性の一人、
48,から聞かされたそれぞれの家の家訓は千家にもあてはまると思うな」「商家の家訓がですか」「三井では代々、分割を行わないこと、を
49,である。翌朝になって、じつは無一文だという。年は二十六で、江戸の商家の生れだが、家がつぶれてしまったので、大阪へ行って身を立てようと
50,。観光地以外では、元興寺近辺の「ならまち」の散策はいかがでしょう？古い町並み、商家のすすけた看板、魔よけの身代わり猿など、もう一つの奈良を発見できると思います。
51,、長屋の住人などは板戸・舞良戸・腰高障子がふつうで、ふすま障子には縁がなかったろうが、商家でも少し大きな家は客間や主人たちの部屋にはもうめずらしいことではなかったし、
52,「だれだい？あ、番頭さんですか、まあ、どうぞお上がりになってください」番頭商家などの使用人の頭。「いやいや、上がっちゃいられないんだが、…おまえさん
53,福来友吉博士福来友吉が生まれたのは、明治二年十一月三日、岐阜県の大野郡高山町であった。商家の子として生まれた友吉少年は、早くから明晰な頭脳の持ち主として知られ、人々
54,の居所を探せ。石切場から帰ったのは間違いない。両国広小路の出店から、通り沿いの商家、一軒も手を抜くんじゃねえ」相模屋伝兵衛の口調が伝法なものになっ
55,がつかなかった。霊が、一体。女の霊だ。三十路半ばか。商家の内儀といった風情の形をしている。晴家たちは知らなかったが、その霊
56,。くらくて、はっきりわからないが、道の両側とも、古い家なみがつづいている。商家ではなく、しもた屋だ。もちろん、こんな山のなかの町には、空襲もなかっ
57,にたらず」（「春色梅児誉美』）というように、半ば弁解をよそおいながら、商家の娘たちや花柳界の女性の御機嫌を取りむすぶことを忘れていない。感傷的な恋物語の
58,総席数Ｃ十席、Ｔ百二十席定休日火曜近所で見かけた舟板塀の商家船板塀の商家は白嘉（はっか）といい油商であった。南側全面が船板壁でこれだけ
59,わけだ。これも酒道の心のひとつなのである。さらに武士の家だけでなく、商家においても酒道というものが存在していた。たとえば、これから嫁に出る女性には
60,な主人公が登場する噺のマクラに使われるもので…使用人が二十人もいようという大きな商家の旦那が、遊んでいる丁稚を見て、十人でもやっていけるんじゃないかと
61,５月には，城下町として出発した後，和紙の販売で繁栄し，卯建を上げた商家の並ぶ美濃市美濃町（岐阜県）を重要伝統的建造物群保存地区に加え，重要伝統的建造物群保存地区は，全国で四十八市町村，五十三保存地区
62,…）］調百とも書く。銭百文きっちり。丁稚［でっち］商家に年季奉公する年少者。丁銀［ちょうぎん（チヤウ…）］銀貨。なまこ形で「宝
63,行われ国指定の重要無形民族文化財に指定されている。又日本地図を作った伊能忠敬の育った大きな商家もあります。
64,午後５時（３日（月）は午後４時まで）今年も、市内五十八か所で、商家に伝わる江戸・明治時代などの雛人形や、手作りによる色とりどりの「つるし雛」、ハスの
65,か、そうした感触がよく伝わってくる。柴田宵曲は本名泰助、明治三十年東京日本橋の商家に生れ、昭和四十一年に死んだホトトギス系の俳人。子規に打ち込んで、『子規居士』
66,台上を降り、左へ折れると、明治・大正にもどったようなふるい町並になる。商家も素封家ふうの家も白壁が塗られ、隣家とのあいだにうだつを上げている家
67,、曲がった腰に拳を当てつつ、向こうから危な気な足取りでやってくる。商家の隠居といった印象で、うち白顎髭の二人が宗重と芳に気付き、離れた所
68,簡単な家族の昼のパン（昼食）」に招かれている。ハンザ同盟の町々の商家では、四時になって昼食をとるのがふつうだった。トーマス・マンの別
69,と違った所有概念をもっていた者として、特に興味があるのは、徳川時代における商家であった。資本主義における財産は個人のものである。例えば、ハワード・ヒューズという個人のものである
70,如心斎自身も両家の人たちからさまざまなことを学んだ。「でも、あちらは商家、こちらは茶家…何かとちがいますね」「そりゃそうやけど、学ぶ
71,」と内心嫉妬したり、ところどころに人間臭いところがあるのが良いです。隠居して商家の寮に寮番として住まう慶次郎の元に、度々舞い込んでくる悲喜こもごもの物語。
72,二年（千八百六十九）、現在の山形県で旅館を営む渡部家の六男として生まれる。小学校卒業後に商家に奉公していたが、自ら雑誌の発行や執筆などを試み、やがて東雲堂の編集者
73,た。大通りのよく整備された道、街路樹、歩道、西洋風建築の家、土蔵造りの商家、軍隊施設、各種の学校、各所の河岸市場などなど、篤にはすべて興味深いものであっ
74,は、酒に決まっている。かれ以外の堀千助と黒川新兵衛は無類の酒好き。裕福な商家の供応にも馴れており、当然といいたげに大きくうなずき、林蔵の困惑顔を、
75,たから、何となく浮々し、よくこの界隈を歩いたものである。どの商家も稼業を休んで、店一面に緋の毛氈を布き屏風を立て、その前で
76,見返り柳の近くを、反対側の裏道へ入る。そこは多くはモルタル塗りの住宅や商家だが、道を折れると、めずらしく燻んだ板羽目の平屋が二軒、棟つづきにある
77,なくなってきていた。口には出せぬサクの不安はつのる。「農家や商家へ口減らしにやるのではない。充分な教育を受けさせてやりたいためじゃ」自分自身を
78,に見ることになった。商家の娘とお供をする手代、といった主従に違いない。商家の娘は十七、八、手代らしい男は三十歳ぐらいだろう。若者は、ニヤリとした
79,の間、板の間があり、その奥に的がある。畳敷の間に、商家の旦那ふうの男の背中が見える。その横には弓矢の面倒をみながら男
80,重い空から大粒の雨が落ち始めた。急な雨で、通りのひとが商家の軒に逃げて行く。おふみはその間を縫って、八幡宮へと駆けた
81,た可能性が推測されます。同じく江戸時代後期の江戸好みの古今雛は中城町（現中央一丁目）の商家に残されており、まちかど蔵「大徳」で『第４回土浦の雛まつり』期間中にご覧いただけます。近世の
82,半端で終ったので元に戻したい。三崎坂から谷中小学校までは道の両側に商家がならび普段の買物には不自由することがなかった。柳通りにも店はあった
83,てくるのかもしれない。白井道場にくる門弟の大半は、ふだん田畑を耕している郷士や商家の小倅だが、伝五郎ははじめて迎える大藩の藩士だった。会津藩は内実が豊か
84,に歩いてくる。若者はわざわざ道の端に寄って、こっちへ向かってくる商家の娘と手代の正面を進んでいった。ぶつかりそうになって、娘と
85,みちびいて、マーサが部屋にはいってくるのをみたとたん、自分が四路街の商家にいることを思いだした。いつのまにか灯台に火がともり、窓
86,え。二代目葵小僧もまるでそいつを聞いていたみてえに、そのとおりにおれが挙げた商家だけを襲っているってことに気がついたのよ」「そう言われてみる
87,でいるが、大半が木造や、正面だけがコンクリート造りになった二階屋で、店舗や商家のようだった。「赤坂見附」という市電の停車場を右手に通り過ぎた。兵隊
88,その潰した物を練ったりするための土焼製の道具がすり鉢だ。しかし、飲食業界や商家ではこれらを「あたり木」「あたりばち」（あたり鉢）と呼ぶ。「すり鉢」
89,極めた頃の散財とは、比較にならないものの、三間五間の表間口を張った商家では、こうした旅行に堪えない。しかるに、破産して逼塞した紀文は
90,、江戸にも勤王の志士と称する浪人たちが多くなった。そういう者たちが、商家を荒らす。彼らは、主上のために働いている、だから軍資金を出せ、という
91,どうかしたんですかい」「二代目葵小僧に襲われるかもしれねえ紀州御用の商家として、池之端仲町の加納屋、日本橋通二丁目の上総屋、鎌倉河岸の市野屋、芝神明前の大和屋、上野広小路
92,はもう一度、それを考えてみた。素良の心の中には、武士と商家の跡取り娘という、本来越えてはならぬ壁で隔てられていた二人が結ばれようとしている
93,例の忍びの首領と思える男が立っていた。着ている物は諏訪あたりにいる商家のあるじといった風情だが、目の鋭さは商人のものではない。乙左衛門だな
94,については公明正大にやろうと申し合わせていたが、じっさいには江戸府内で被害をこうむった商家は少なくなかったのである。なかでも神戸六郎、朽葉新吉などが浪士組の名をかたり、
95,人間の栄養は十分だと信じられていた時代で、このため江戸や大坂の商家の奉公人のあいだで脚気がひろがり、“江戸病”などといわれたりした。
96,たようです。残念ながら当館の古今雛の詳しい来歴は不明ですが、土浦城下の商家が所有していた可能性が推測されます。同じく江戸時代後期の江戸好みの古今雛は中城町（現中央
97,が宿駅になりました。浦和宿は、本陣１軒、脇本陣３軒、旅籠十五軒、商家二百軒余りがありました。本陣を代々勤めた星野権兵衛家は大きな敷地を占め、加賀前田家や
98,を怪しんだんです」「二代目葵小僧が、押し入った商家のことでよ」「商家がどうかしたんですかい」「二代目葵小僧に襲われるかもしれねえ紀州御用
99,かどわかしてでも連れてくるのが女衒だ。そうなったら家が百姓だろうが商家だろうがおかまいなし。その方が金がかからなくていいと、かどわかし専門の女衒までいる
100,は一刻も早く用事を済ませて帰りたいと思った。呉服町には多くの商家が並び、ちらほらと武家の女たちが見えたせいかも知れない。その中に
101,↓↓もう一人は女優、岡崎友紀さん、・・・行き先は徳島県。岡崎友紀さんは「古い商家が立ち並ぶ町へ行きたい！」と徳島県・旧貞光町へ・・・さてと・・・今回
102,をさがし、私的に寄付金をつのって墓地を改修した。その後、東京日本橋の商家のうまれの文倉平次郎という人が、峯吉の墓を発見した。文倉平次郎という人は
103,実情として見のがすことはできない。幸いこの卯之町という商人町の仲之町が、江戸末期の商家の家並をのこしている。この一角に立つだけでも、宇和島藩の当時の実力が
104,浸かって暮らそうというのだ。十五歳前後で元服をむかえた武士や奉公に出された商家の人々も、目標は四十歳までを第一の人生と置き、以後第二の人生に
105,は毎年江戸参府を義務付けられたのです。カピタンが江戸滞在中に巻き起こったのが蘭語ブームです。商家の看板やハッピにはオランダ文字が使われ、オランダ料理（ターフル料理）まで巷でもてはやされ
106,の名前を明かさなかったが、息子を利夫と呼んでいた。どこか日本橋辺の商家の主人らしく、その口調は生粋の東京弁である。老人の息子は、海軍に入隊し
107,評されている。西の内紙の生産は、江戸時代に水戸藩の保護奨励により大いに発展した。商家では西の内紙を用いて大福帳をつくるのがならわしであった。また、水戸藩の大事業
108,が町域に住むことは禁止された（前田玄以定書天正二十年）。西側の大きな商家は京都府指定文化財になっている須田家住宅である。松葉屋の屋号で、江戸時代中期四百年前の向日町草創期から醤油屋
109,とき死別した。彼は伯父アブー・ターリブに養育され、はじめ牧夫として、後には裕福な商家の寡婦ハディジャのもとで番頭として働いた。彼は二十四歳のとき、十六歳年上のハディジャと
110,といった理由で辞めさせる。江戸時代にはその不正によって、身内にとどまらず他の商家にまで迷惑をかけると、同業者組合に布令を出した。「店の何某は
111,であろうか、私も人様に言いながら自分に深く言い聞かせるものがある。昔の商家の師走はことに忙しかった。大所帯を裏方で支える姑は、寒さが厳しくなる
112,寝転んだので斬れなかった。人を斬ったことのない連中だ。以蔵は商家の軒下まで転がっていった。何のために転がったのか。四人にはわから
113,武士たちの宿泊日程が、きまると、宿割をする。本陣・脇本陣・旅籠屋、不足の場合に備えて商家などへの宿泊人数を決定する。その際、宿泊に関して必需品に不足の物品を取揃えることになる
114,このようなことを考えると江戸時代やそれ以前に枕を購入して使うことは武家や商家の一部であり、商いとしては江戸下期の箱枕や撥枕の時代を除くと、量的に
115,入りぬれば十二須田町鍛冶町うち通り今川橋よ本石町室町すぎて日本橋さても都の大通り十三商家は櫛の歯をならべガス燈電燈夜をてらし通り三丁四丁目やつづく中橋広小路十四
116,瀧廉太郎旧宅から竹田市歴史資料館へ向かう途中にある、長さ十二ｍ、高さ２．４ｍ、幅２．４ｍのトンネル。商家の敷地にあった岩山を昭和六十二年にトンネルとして整備。人や車が通ると
117,ではない。一例をあげれば、同じ徳川期から明治、いや戦前まで残っていた町の商家の奉公人たちの人間関係がある。ふつう番頭、手代、丁稚というような職能序列区分があるが
118,乃美氏の城下町であった。治行は少し緊張した気分で街に入っていった。商家が続く町並みの軒が低く、なにか城下町という感じがしなかった。乃美城も
119,…江戸風町並み守る優しい人々に感動！岡崎友紀さんが徳島県旧貞光町（現つるぎ町）を訪れる。岡崎さんは古い商家が立ち並ぶ町で、密集した民家を火事から守るために屋根に付けられていた”
120,とおりでござんすね」「おれの見込みとして、二代目葵小僧に目をつけられそうな商家ってのを聞かせたのは、源次郎さんと大原幽学の二人しかいねえ。源次郎さんを
121,、種々手をつくしているうちに大坂浪人の神戸六郎ら十七、八人が、東海道を下り浪士組を詐称して商家をかすめたり両国の見世物で象の鼻を切りおとすなどとさわぎ、酒代をせしめた
122,。江戸時代末に江戸の町場の拡大によって、江戸の問屋から仕入れた商品を小売りする商家が品川宿周辺にしだいにふえていった。酒屋、荒物屋などの近くの農家に生活必需品を
123,へ進む。この道筋には江戸の頃の家々もたちならんでいる。これらの家は商家だったことをしのばせる宇建（卯建＝隣家との間の庇に上に設け
124,は二十六歳、役者にしたいような美男子だった。お出入り先はすべて武家屋敷と裕福な商家の女の世界なので、美男の長七には大した人気が集中していた。
125,‐１問い合わせ先脇町観光協会☎０８８３‐５３‐８５９９みる藍商人の町として栄えた脇町には重厚な造りの商家が立ち並ぶ。うだつをはじめ昔懐かしい看板や漆喰壁に風情を感じながら、のんびりと町並み散策を
126,吹きやんだ。嵐の去った後の芝の町並は無気味なほどに静穏である。商家はまだどこも暖簾をあげていない。早起きの商家の小僧がぼつぼつ大戸をあけ
127,真似をする事が大壮に流行って、芸者はもちろん、町方の女は立派な商家の娘にても、過半は髪の形がまず江戸風と唱える姿にて、処女の
128,を暗示しているのだろう。『枕童児―』にはその他、寺子屋師匠とその教え子、商家の丁稚と手代、茶屋での舞台子と客との売色風景と、それらしい男色図を散見する
129,二代目葵小僧の挑戦を、受けて立つというのとも違っている。一連の紀州御用の商家が襲われた事件で、敗北を喫したからその穴埋めをするというつもりもなかっ
130,た。芭蕉に詳しく、蓑虫庵や『貝おほひ』についても詳しい人で、三筋町通りの商家の旦那だった。藩政時代、三筋町には特権的な政商が集められ、地子免除（無税
131,十席、Ｔ百二十席定休日火曜近所で見かけた舟板塀の商家船板塀の商家は白嘉（はっか）といい油商であった。南側全面が船板壁でこれだけの長い船板壁
132,寒いのにご苦労さまです。中へ入ってくださいな」お駒はひと月足らずの間に、すっかり商家の女房らしくなっていて、愛想よく重助を暖簾の奥の細工場へ招き入れた。
133,れたという。現在も本町付近には、戦禍を逃れるために壁を黒く塗りつぶした商家が残り、当時の様子を偲ばせる。駅から十五分ほど歩き、この地方独特
134,たが、それはあくまでも世間の目、警察の目を瞞着するためのもので、商家の番頭などそういつまでもやっているつもりはなかった。寅吉の働く質屋は
135,を迫られ、苛酷な流転の後、同じ運命の朝鮮男性とめぐりあって、川崎屋という商家を築き上げます。しかし夫婦とも「高麗のもの」なので、「町中吟味」の上
136,店では、西洋式の簿記を採用した。かれは、江戸時代からの日本の商家のしきたりを極力壊そうとした。経営を大きく働社中と元金社中に分けたの
137,など惜しんでは相ならぬ。職方の者どもに金が渡れば、それだけ洛中の商家が潤い、洛中が繁昌すれば、つまるところ朝廷のお為にもなる勘定ではないか」
138,別として、父親は堅くしまり屋、息子は道楽三昧、番頭は要領よくずるがしこいという、大きな商家にはあり勝ちの人間模様。これは、三遊亭圓馬（三代目）が、朝寝坊む
139,組の指揮官を番頭といい、その指揮下の武士を番士といった。時代劇で商家の番頭はすぐ丁稚たちをぶんなぐる。商家の手代、丁稚を使う有力な使用人の指揮ぶり
140,一つ。師範学校の社会的地位の高さが地方名望家の子弟を引きつけたのです。大きな地主や旧い商家などの長男の任務は、親の仕事を継ぐことです。東京に出て出世する
