,0
0,が５ｃｍの長方形の面は，いくつありますか。十六みどりさんたちは，先週，図書室の本を読んだ３年生の人数を調べて，下の表のようにまとめまし
1,群がった報道陣から、亡命と帰国について質問を浴びせかけられるのではないかと想像し、船の図書室に閉じこもって、亡命について想定質問をつくり、まったく相反する二通りの答を用意した。一つ
2,一万九千九百九十五米ドル〜、比較的高額なツアーである。船は全室バスルームつき、他にはラウンジ、プール、図書室などの完備した上級クラスのものを使用している。食事も飽きが来ないよう、国際色
3,、文化祭でクラスが何を催すか、具体的に決めなくてはならない。ネタを探しに図書室に向かいながら、頭を抱えたくなってきた。手伝ってやる、と永田は言っ
4,近づく三人の距離。地下には、宿泊客が置いていく様々な本が収められた図書室がある。本に挟まっていたという一枚の写真を探すため、ある夜、三人
5,あります。詳しくは▼秋の有田陶磁器まつり実行委員会イベント部会（有田商工会議所）☎四十二．四一一一図書室からこんにちは十月の図書室の開館時間・休館日・生涯学習センター図書室（☎四十三．二三二七）火〜金曜十時〜十八時土・日曜十時〜十七時
6,を代表するもう一つの島だった。フラウ・フォン・ガルリッツの部屋付きメイドという地位を利用して、アンナは図書室の中を気楽に歩きまわった。今では、これが彼女の正当な相続分だ
7,クリストファーとジャマイマ、それにこの夜の主人役のマウントバッテンの三人はブロードランドの東棟にある図書室に入った。千冊以上の本が三方の壁を埋めている。残りの一方の壁
8,冴子が頷いた。「あの奥には何があるの？」「図書室と放送室と、視聴覚教室と…あと、この階は一年生の教室だったな」
9,指導しているところでございます。また、それらの教室を改造して読書活動のために使用する図書室や図書スペース等、教育方法の変化に対応した施設へ有効利用を図る場合には大規模改造事業の国庫補助対象
10,そのまま蝶になって空を飛びまわる。だれにも読まれない書物が眠っている図書室には、棚の一列一列に無数の死体が書籍の代わりに横たわっている。ここ
11,修道士たちが急場の措置で火の広がりをくい止めようと行き来するさまを見つめた。「図書室が…」「さっきあんたが言ったことだが」エズラが言った。「
12,みんなは、口々に先生にいった。「ねえ、今日の一時間目は、図書室にしよう！！」「そうかい」と、校長先生は、みんなが興奮している
13,の体育会系古典教師、岩田は月イチで、ノートとレポートの提出を生徒に義務づけている。図書室から持ち込んだ資料と合わせて、それはかなりの量にのぼった。「借り
14,ある。本に挟まっていたという一枚の写真を探すため、ある夜、三人は図書室の本をかたっぱしから開き始める…。会社を逃げ出した女、丁寧な日本語を話す美しい
15,厚い判例集がうず高く、乱雑に積み上げてある。それを見るたびにうんざりした。ジョージタウンの図書室は、近くでもっとも完備したロー・ライブラリーで、誰でも自由に利用できるため、近所の
16,まあちゃんのながいかみ」ほか。いずれも午後３時〜３時三十分。会場１階「図書室」。対象幼児以上。読み手ふしこ絵本の会「どんぐり」。東区内各地区センター講座受講生募集○
17,より豊かにしてくれるでしょう。１教室のプレート［木／十二×二十一ｃｍ］生徒作品２図書室の表示［紙など／幅三十ｃｍ］生徒作品３クラスの応援旗［布／九十×九十ｃｍ
18,。ひとかたならぬご厚意に心より感謝申し上げます。」美言さんの通ってらっしゃる中学校の校長先生と図書室の司書の方からお礼状という形で出版社のほうにお手紙をいただきました☆☆
19,の準備で、めまぐるしく過ぎていった。二人がバーバラの夫婦の感受性訓練セミナーを受けた図書室で式を挙げてはどうかというのはブロディの案だった。ささやかな、
20,行われる学校が増えている。また，児童生徒の減少に伴う余裕教室を地域の学習施設（図書室，郷土資料室など）に転用したり，特別教室として整備し，住民の利用にも供する例も
21,も頷いたが、とうとう最後まで驚くことはしなかった。三人は職員室から図書室に寄り、手分けしてそれぞれ本を棚に返しはじめた。「うんしょ…っ」
22,コーヒーを飲んでいたんです。彼女に訊きたいことがあったんですが、彼女が図書室でないほうがいいと言ったので」「ほう？」パスコーは微笑しながら言った
23,二千八年１月十一日、全国一斉発売！新たに１万語を収録し、十年ぶりの大改定！問合せ：総合文化会館イリス（図書室）☎（五十二）三千二百二十一人口・世帯数平成二十年２月１日現在＊（）内は前月比■
24,図書室冬休みが終わって、学校に集まった生徒たちは、休みの間に、素晴らしい事
25,たしかにわたしにはそう見えた。そうか、わかったぞ。櫛田さんがなぜ毎日図書室にかようのか、なぜそこで編み物をするのか。目的は梅村さんなんだ。
26,マンガ研究会とかグルメ同好会とか、この学校にもほそぼそとなら文化部もあって、図書室でダベッっていることが多い。櫛田さんもその中に参加しているのを見たことがある
27,のんびりお散歩していて驚かされる。見晴らしのよい館内には四十四台の望遠鏡が設置され、図書室や展示室などもありゆっくり観察できる。野鳥病院では事故にあった野鳥などが保護され
28,のなかに、たったひとりですわっているような気がしました。昼休みに、図書室に本をかえしにいって、もどってみたら、教室にはだれもいません
29,セミは今夜もなくよ〜になったんやって・・・図書室にある佐々木先生の本にいろんな事書いてあったな・・・・と
30,で絵画を始めたそうですが、なかなかの腕前。ぜひ一度ご覧になってください。図書室だより高田図書室（高田公民館分室）☎５４‐２９１１午前十時〜午後６時火曜日定休本郷図書室（本郷公民館内）☎
31,』という本は面白かった。これは非常にいい本だと思います。学校の図書室から借りたのですがね。それから君は読んだかも知れないが、『雨月物語
32,の友達といるのはうっとうしく感じている。休憩時間は、一緒に外で遊ぶより、図書室に行く。本を読むのではなくながめていたり、移動教室に早く行って、ボーッとしていたり
33,櫛田さんに子どもあつかいされたことが、すこしもいやではなかった。「あの…櫛田さんと図書室の結びつきですが…」この言葉は部長からいわれ、なんども練習した。
34,ぴっけやまのおならくらべ」ほか。いずれも午後３時〜３時三十分。会場１階「図書室」。対象幼児以上。読み手ふしこ絵本の会「どんぐり」。児童館だより○児童会館
35,のできる点を考えてみよう。写真８のような施設には，診療所，食堂，図書室などが併設されており，高齢者が趣味のサークル活動を楽しんでいる。高齢者自身が施設の運営
36,こんなに長くて大きい葉っぱは、はじめて見ました。（そうだ、学校の図書室で調べてみよう）休み時間に、植物図鑑を見ました。なにしろ、木の名まえが
37,新田第２保育園内☎３７９‐１９１５）部屋から電車が見えるよ。南八幡こども館（勤労福祉センター内☎３７０‐５２０１）図書室や体を動かして遊ぶ部屋など、３つの部屋があるよ。田尻こども館（田尻老人いこいの
38,多目的ホール兼ランチルームを設け全学年の交流の場となることを期待しています。中央には、図書室、パソコン室を配し高機能かつ多機能で、弾力的な学習環境に努め、地域連携としての開かれた
39,にお応えできない場合があります。詳しくは▼秋の有田陶磁器まつり実行委員会イベント部会（有田商工会議所）☎四十二．四一一一図書室からこんにちは十月の図書室の開館時間・休館日・生涯学習センター図書室（☎四十三．二三二七）火〜金曜十時〜十八時
40,打ち解けられないエミーの気持ち、僕にもなんとなくわかる気がした。図書室には、詩集もたくさんあるよ。わたしが読んだのは、「いそがなくてもいい
41,渉は小部屋のひとつを通り抜けて、廊下をやってきたふたりといっしょに図書室へ入った。そして、書棚から短編集を抜き出した。「これです」岩盤男
42,図書室休業のお知らせ２月十九日（火）〜二十六日（火）は「特別整理日」のため図書室は休業となります。休業期間中の本の返却はイリス外側にある図書返却ポストを利用してください。
43,を双肩にになうことである。なんのためにそんな苦労をするのか。豪奢な図書室で詩を読んだり、壺や彫像を眺めたり、あるいはまた、膝にエウニケの
44,、迫力ある構図で覇を競っていた。昆虫、天文、乗り物など、小学校の図書室には各社のものがズラッと並んでいた。大阪万博が開催されたころの京都
45,」を意味する観念連合語であることを推論する。海は母の象徴だそうだ。なお、図書室で啄木全集にあたってみたら、野口米次郎の英詩集「東海より」をほめたたえた啄木の時評
46,をあげたときはいつもの笑顔にもどっていた。「ごめんね。ひどい図書室の主だね。」わたしは自己嫌悪で顔があげられないまま図書室をで
47,靴／５日と同じ十ＴｈｕｒｓｄａｙＣ＋ｃ＋ｉ依頼者からの質問に回答するため、図書室で過去の資料をじっくり読み込みます書類作成のため、過去の判例を調べるのも、
48,の完全な秩序がルネサンス的だし、そこには、全体に穹窿天井を架けた美しい図書室（千四百四十四完成）もある。さらにメディチ家のため、カファッジョロ、カレッジ、トレッビオのヴィラを再設計し
49,なあ。ちょいと行ってくる」能勢はデータベースの検索さえせずに、まっすぐに図書室の一角へ向かう。秋葉図書館の全蔵書の動態情報まで頭に叩きこんでいるのではないか。文子が
50,いった。そして「もしそんなカネがあるんなら、本でも買って稲穂小の図書室に石原慎太郎コーナーでもつくんなさい」と提案した。後日、関係者が本のリストを送る
51,との極貧生活のなかで、出久根の唯一の慰めは読書だった。学校の図書室にある本はすべて読破し、水戸からひと月に一度くる移動図書館の本を、架空の
52,ているが、一向に効き目がない。土曜日の朝早く、ロー・スクールのまだ人けのない図書室に入ると、金曜日の夜までの戦いのあとそのままに、見渡す限り机の
53,ており、第一回は「ベルギー象徴派の画家たち」です。さらに「コレクションギャラリー」と隣接する美術館の図書室「アートライブラリー」をリニューアル。こちらも無料で利用できます。ぜひ美術館を訪れて、多彩
54,てみると、次のような答えが返ってきます。「昨日の放課後、図書室のドアの前で純子とばったりと会った」「今日、学校へくる途中、
55,電気設備工事が完了しました。次のとおり再開します。貸室等３月十日（月）から。図書室３月十一日（火）から。■絵本の読み聞かせの会日時・内容３月十二日（水）「
56,ガソリンスタンドに車を停めていたら、その前を通りかかったのさ。向こうが。―図書室へ行かないか。その短編集とやらを見てみたい」岩盤男は椅子を引いて
57,水）「はなをくんくん」ほか。いずれも午後３時〜３時三十分。会場１階「図書室」。対象幼児以上。読み手ふしこ絵本の会「どんぐり」。栄地区センターから■お話の扉お話を
58,た詩歌集。千八百三年、ボイレン修道院が国有化されることになり、調査が行われた。その結果、図書室から古い歌を集めた写本が発見された。その中の歌は約三百編にのぼり
