,0
0,様に思ふ。歩いてゐる内に、又停車場の前に戻つてしまつた。広場の一方を仕切つてゐる崖の下に、公衆電話があつて、中に灯りがともつ
1,に面したお店が多くて明るい。広場Ｔ字となった通路のところにちょっとした広場がある。不二家よこ最近見かけない不二家も健在。
2,は、なぜこのように世界の各地につくられたのだろうか。斜行する街路と丸い広場からなる都市パターンは、図面でみると美しいが、実際に道を歩いてもその
3,抱えた少女が、そう話しかけてきた。「つい数か月前まで、街なかのソリ（広場の名前）にいたのよ。あそこによく、私たちに会いにきてた
4,を売る露店が出ていた。ゴローは車のなかに残し、父さんとふたりで広場を歩いた。日除けパラソルのひとつに陣取ってコーラを飲みはじめてじきに、父さんがどこ
5,十二高千穂通り十条。永らくおぼえてきた地名の六叉路に着いたのは、大和ホテルの広場から十分のちぐらいだったと思う。王向東さんの小声で、車が停ったとき、さっき
6,宣言し、その修復再生を実現した。半径半マイルの円い市街にある路地、市場、通り、広場、教会、レストラン、ホテル、ほとんどすべて丸石敷きの遊歩道などを、みごとに復元したのである
7,新たな設置場所を探し始める。候補に挙がったのは、パリ西部の郊外ベルヴィユにあるサン・ファルゴ広場だった。同時にシャップは、パネルを用いた錘式同期通信は取りやめにして、通信装置
8,考えていること、日本側の対応などについて語っておきたいと思う。天安門事件前に、あの広場に集まった学生や市民、それに労働者の統率のとれていることに僕は感心し
9,のような坂道に沿って住居がくっつくようにして並び、教会の鐘楼や広場の時計塔が高くそびえ、たいてい小高い場所に建設されるので、遠くからでもその存在
10,なんかゴージャスなショッピングモール。ひゃー、すごい吹き抜け！吹き抜けの一番下は、ちょっとした広場になっていて、潜水艦の置物が置いてある。その途中の階には、サメ
11,の児童が楽しめるステージなど。十一月十六日（日）午前十一時〜午後４時、おくんち広場（夢彩都横）で。入場無料。直接会場へ。問＝市保育会（☎８２４‐０５６７）子どもたちの
12,ました。「元標の広場」「乙姫広場」「滝の広場」「花の広場」てのがありました。平成二年七月から三年五月にかけて整備された
13,にソックリ。さて、それはだれ？Ⅲミステリーワールドのなかをあちこち歩きまわっていると、広場でひとりの女の子がしゃがみこんでいるのを発見。女の子は気分が悪そうで、顔色
14,悪く、通りに人はまばらで、更に走り、大通りから横路に入った海辺の広場で、まさに車に乗り込もうとしている男女を見つけ、かけ寄った。幸い、この店
15,ｍａｔｓｕｄｏ．ｃｈｉｂａ．ｊｐ／ｍ＿ｍｕｓｅ／新京成線八柱松戸市千駄堀六百七十一☎０４７（３８４）８１８１緑豊かな総合公園「二十一世紀の森と広場」の中に松戸市立博物館はある。ここでは、３万年前の旧石器・縄文時代から常盤平団地が誕生した
16,が返ってこないことが多く、とてもブルーな気持ちになります。最初に広場に行ったのは、赤ちゃんが２カ月のころでした。すでにいくつかのグループが
17,は車止めを乗り越え、機関車と炭水車が駅の外壁を突き破って駅前広場に転落した。広場に居合わせた市民に負傷者が出た。病院では、人事不省に陥ったサビーヌ
18,は最後の煙草に火をつけ、神経質そうにそれを吸った。はるか先の広場の角で電車が停車するたびに目を凝らした。別の道から帰宅したに違いない
19,しかし永かったぜながかったなあ／おれたちの鬼の顔の歴史／踏んまえているこの広場は／日本の冬の最後の結晶どんとかがり火を焚け！／おれたちの顔
20,、回りに建物があり教会も倉庫となっていたが、建物を壊して回りを広場にしすっきりさせた。緑の丸い屋根、茶色のレンガの建物、静かに音楽
21,のはじめのほうは、見そこなっても大したことはないでしょう」彼女は駅の広場までわたしを送って行って、それから引き返すと言った。こんなことまでしてくれるという
22,ているグランデ広場。中世以来の家々、ルネッサンス時代の館、ヴァザーリ（十六世紀）の建築による回廊「ロッジア」が広場を取り囲んでいる。ルネッサンスの中心地―フィレンツェ四月十七日。今日はアレッツォから列車で往復し
23,など思い思いの遊びを体験。保育園の雰囲気を肌で感じていました。にこにこ広場は今後も十一月にかけて村内各保育園で行われます。申し込みなどは必要ありません
24,象徴的な小屋が納められている―まで行列して進むように促している、ブラマンテの長い広場である。デカルトがそこを訪れたかも知れない時代には、丸屋根は四人の
25,山道というか崖路なんて歩きなれていませんしね（汗そうこうして山頂付近の広場へ。東屋もあるし、ここをベースに城跡を見て回りました。別段
26,なぞない鍋北有楽町・■■■■■皆さんからの写真や投稿をお待ちしています▶「みんなの広場」では、エッセイおよび市内で撮影した写真やイラストなどを募集▶写真には
27,て、まるで何にも知らないような顔つきをして、すぐにみんなの集まっている広場へ駆けつけるという寸法じゃ」彼らの商議がすんでから一時間とたたないうちに
28,、近在からも集って来た村の人間たちで埋っていた。丘の下の広場で、牛が二頭、既に角を突き合せている。双方で押し合うのを、力士
29,なものに演出するか，ということだろう．イタリア型の都市に特徴的な街の中心の広場を生かし，そこに屋外大スクリーンを設置して上映を行うロカルノ映画祭（スイスのイタリア語圏）は特に
30,二日後にアラスカのテラーに着陸している。実は、〈ノルゲ号〉の離陸直前に、この広場にアメリカのリチャード・バードがフロイド・ベネットとともに飛行機で到着した。彼らも北極点への初めて
