,0
0,では表現できなかった題材をとりあげることが可能になったのである。その他、彫師、摺師の卓越した技術と力量を見逃がしてはならない。絵双六の場合には、どのよう
1,、先の、あれ、亀頭にも彫れるぐらいだから…」先輩もおれも彫師の説明にただ頷くばかりだった。やがて、御開帳となった。ぱらりと開げ
2,は仏教にとりいれられて不動明王と名をかえたそうだ」鉄男は講釈好きの彫師、彫清を思いかえした。彫清は神奈川県登戸に住む腕のいい彫師で、鉄男が
3,「よし、これだ」当時まだ三十三。客気にまかせて寅吉は吉原弁財天近くに住む彫師を訪ねた。「やめたほうがいいよ」その頃もう五十は越し
4,のおのぶという平凡な女と、よりを戻して女の子までつくり、彼は腕利きの彫師であるまえに、子どもにからまれるおやじにもなりきっていた。ときは天保四
5,が女になにかいった。すると、女はやおら腰を立てた。彫師が立てた女の股間をのぞき、寅吉も身を乗り出したが、寅吉の目
6,とした細面のお姐さんがおれと先輩の前に現われた。この時二人は彫師の奥さんからすすめられた昆布茶を飲んでいた。部屋の中には電気ストーブの温気
7,人の表情がわかりました。下絵を描いた絵師、それを版木に彫った彫師、いずれも一人一人の表情をないがしろにはしていません。左隅、小屋掛け芝居の
8,にぎりの部分と針の取り付け部分をネジ式に切り離して、どちらも熱処理できるようにしている彫師もいる（二代目彫長）。刺青用の針鋼鉄の針は非常に優れている。弾力
9,彫師の職業は絵描きになるんですか？彫師の職業は彫師ですよ。絵描きでは
10,カネもかかる。だからやめたがいいといっている」彫蝶とかいう初老の彫師はそういったが、いったんこうときめて彫師を訪ねた寅吉だった。
11,人それぞれの形をしているから、それぞれの体にあてはめなければならない。だが、絵の描ける彫師の少ない現状では無理だろうから、図柄の概念をもつという意味で、基本的図柄を
12,「殿方の想像はみんな一緒ですよねえ、師匠…」姐さんは、艶然として彫師の顔を見た。すると彫師は、姐さんに、先ずは入門の彫から見せ
13,だった。そして、この兄貴分と一緒に歩きまわったのが、関西と関東の彫師の家だった。おれも個人的に東西の彫師を何人か知っているが、先輩
14,薄い部分に染めていくのを「あけぼのぼかし」といって、この濃淡の出し方が、彫師の技術を見せどころである。薄墨を流したようなぼかしを「水ぼかし」という
15,」彫蝶とかいう初老の彫師はそういったが、いったんこうときめて彫師を訪ねた寅吉だった。痛いのも痒いのも承知の助だった。「
16,なるものには決して劣らない、あるいはそれ以上のものであり、版元、戯作者、絵師、彫師、摺師の心が一つに融合したハートのこもった、それでいて、ユーモア
17,、彫師に相談したほうが良い。体つきや皮膚の色まで留意してみてくれるような彫師をえらぶことである。初日体を清潔にして、特に体毛が濃い人は
18,こわばってしまうので、適切ではない。毛筆で描くのが最もよい。ただしタトゥでは、彫師はほとんど、ステンシルペーパーなどを利用して描かれた肌絵を体に写しとるが、間違って
19,」という。この水ぼかしの代わりに、薄い水色などでその効果を出そうとする彫師もいるが、あまり感心しない。色刺しまたは色ぼかし通常最後の過程である。色を染める
20,彫師の職業は絵描きになるんですか？彫師の職業は彫師ですよ。絵描きではありませんので。
21,利用するほうがよい。あまり完璧な絵画の下絵集は技術の向上につながらないため、彫師には適切なものとはいい難い。固いボールペンなどを使うと、体がこわばっ
22,舌の先端は女の股間深く差し込まれている。寅吉が呆然としている間に彫師が女になにかいった。すると、女はやおら腰を立てた。
23,と肌の中で広がり、最後には何だかわからなくなってしまうので、心得のある彫師は小さいものは彫らない。肌も各人によって異なるが、余程肌の良い人で
24,れている。刺青（タトゥ）の実際図柄えらび自分の好みばかり主張しないで、彫師に相談したほうが良い。体つきや皮膚の色まで留意してみてくれるような彫師を
25,彫師の職業は絵描きになるんですか？彫師の職業は彫師ですよ。絵描きではありませんので。
26,にそんなことをいった。「どうして」寅吉が口を尖らせると、彫師は、「だいいちに痛い。針の傷み、それから発熱。そのつぎには瘡蓋、
27,―見本ですか」「色の具合とか線を校正して貰うために東京の彫師か摺師が送ったのさ。それだと商品じゃないから失敗作でも別に構わ
28,ない才次郎の家へ、おいちは、ある日たまらなくなって押し掛けてしまう。絵師と彫師の仕事の上での打ち合わせという理由はいくらでもたつ。しかし、途中で
29,たのが、関西と関東の彫師の家だった。おれも個人的に東西の彫師を何人か知っているが、先輩はもっと詳しかった。「×代目の彫師○○の本当
30,がいいよ」その頃もう五十は越していただろう、町では評判の彫師が寅吉にそんなことをいった。「どうして」寅吉が口を尖らせる
31,行っちまう。もうおそらく二度と自分の作のあの蝮には会うことはなかろう。彫師というのは考えてみりゃあじけない仕事だ。あの女は死ぬ前に遺言をして
32,逆に貼りつけたりしないようにしなければいけない。それが済んだら、彫師の指示通りにする。和彫りの場合、仕事布団に横たわる。筋彫りは、手彫りでも
33,×代目の彫師△△に当る」といった系譜を知っておられたので、珍しい彫師を訪れ、その作品と対面したものだ。作品は人肌に彫られたもの
34,が、先輩はもっと詳しかった。「×代目の彫師○○の本当の師匠筋は×代目の彫師△△に当る」といった系譜を知っておられたので、珍しい彫師を訪れ
35,よねえ、師匠…」姐さんは、艶然として彫師の顔を見た。すると彫師は、姐さんに、先ずは入門の彫から見せてあげなさいよと促した。
36,。彫る深さの関係で、年月がたっても墨の色褪せが少なく、熟達した彫師にかかると、その美しさには目を奪われるほど。彫りの痛みも、客
37,かお二人で当てて下さい」二人は、声をそろえて、あそこというと、彫師と姐さんは、顔見合わせてにっこりした。当っていたのだ。「殿方の想像
38,鉄男は講釈好きの彫師、彫清を思いかえした。彫清は神奈川県登戸に住む腕のいい彫師で、鉄男が若かりしころ、その肌に惚れて格安で仕事をした。
