,0
0,、任命の日以前五年間において、資本金三十億円以上の株式会社の代表権を有する役員または事業者団体の役員であった者は、委員長または委員となることができないものとしております。第六に
1,経営業務の管理責任者の設置（一般建設業，特定建設業に共通）法人である場合においてはその役員（業務を執行する社員，取締役またはこれらに準ずる者）のうち常勤であるものの１人が
2,審査の対象となる治験に係る審議及び採決に参加することができない。一治験依頼者の役員又は職員その他の治験依頼者と密接な関係を有する者二自ら治験を実施する者
3,や原料配給を受け取って、２つの単位組合へ配分するための機関であった。龍野産地からの役員は、昭和十五年２月に理事小寺慶之助（第２代）の死去で、５月に監事の円尾亀次郎が
4,数若しくはこれらに準ずるものの規模の割合が，おおむね５倍以内であること，または現物出資法人の役員と被現物出資法人の特定役員（常務以上）が，被現物出資法人の特定役員となること２現物出資法人の現物出資事業
5,社会保険の適用事業所となっていない場合もあります。したがって、新規適用が完了するまでは、役員や従業員の皆様には、国民健康保険等や国民年金の継続をしてもらいましょう（無保険や無年金
6,ていない貸金業者に対して、貸金業協会の定款、業務規程その他の規則を考慮し、当該貸金業者又はその役員若しくは使用人が遵守すべき規則（以下「社内規則」という。）の作成又は変更を
7,、８．５ｋｍのパレード走行の後、日本ＣＳＣ８ｋｍサーキットを十三周する百十二．五ｋｍの短くもアップダウンの激しいコース。役員は前夜サイテル（ＣＳＣの宿舎）泊。０６１５から朝食、修善寺駅前に移動する役員は０７００発の
8,のだが、行内には松本秘書室長に対する激しい怨念が渦を巻いていた。ある役員は筆者にこう呟いた。「われわれはあの男だけは絶対に許さない。
9,、剥奪された・・・と報道されていますが『はい、返すネ』って役員の方にお返ししたのでしょうか？金メダルはまだ貰えていないようです。ちなみに、今
10,デゴザイマセウカ、尚甚ダ細カイ問題ニナリマスルガ、役員ガ中途退任ヲスルト云フヤウナ場合ニ、其ノ後任ノ役員ノ任期ニ付テ規定ガゴザイマセヌガ、大体総裁ト其ノ他ノ役員ト云フモノハ任期ヲ同一ニシテ
11,をつけてあった。「赤いリボンは、ここのゴミ置場の鍵です。私が役員なので。青いリボンは実家の玄関の鍵です」天井に切ってある、点検用
12,規定による試験事務の停止の命令に違反したときは、その違反行為をした指定試験機関の役員又は職員は、一年以下の懲役又は五十万円以下の罰金に処する。第四十六条第三十八条の規定に
13,：十一／十五（土）、十六（日）〕【予定】５月に第１回新委員会を開催し、役員を互選します。その後、２カ月に１回程度の割合で委員会を開催し、守山文化祭ＯＮＳＴＡＧＥ
14,任せっきりということではなくて、例えば具体的に申し上げますと、優先出資証券への出資者については役員の任免に係る一定の議決権を認めるとか、株式会社でいいますと例の株主代表訴訟権
15,資本金を増加するものとする。第二章役員及び職員（役員）第六条センターに、役員として、その長である理事長及び監事二人を置く。２センターに、役員として、
