,0
0,平成５年、春のことであった。成田は北見市の「フェニックス」というパチンコ屋の従業員となり、隣接する寮で生活を始めた。店員は皆親切で、誰もが
1,）患者への対応（ｂ）医療スタッフのトレーニングとコンサルテーション（ｃ）ＤＶ被害にあっている従業員への対応その他に、ＤＶ教育・予防に関するポスターやパンフレット等の配布や、ＤＶに関するイベント等
2,。Ａ貸し切りは合併した因島・瀬戸田地域の学校関係と各種団体の需要によるもので、乗り合いは従業員の教育の成果や子ども百十番バスなどの市民ニーズに即した対応等、複合的な要因によるもの
3,。もちろん、同根より生じた松下電器と三洋電機の間には、販売店、技術、従業員をめぐる紛争が生じたろうし、公式の社史には伝えられてはいないが、
4,が爆発すると退職してしまうということがわかった。そこで、Ｍさんは、社長に従業員の定着率を高め、会社が発展するための条件のひとつとして、つぎのような理由から
5,）によると、約８割の企業で継続雇用後の雇用形態を嘱託等に切り換えており、また、六十歳以上の従業員が会社から期待されている役割としては、後進の指導・助言、専門的知識・ノウハウの提供、経験や
6,でございますとか、あるいはいろいろな小売業の販売員等の様々な公務にない種類の従業員が含まれておりますので、その結果、私どもの調査と大きく食い違うわけでございます
7,上部機関が事実上、決めてしまう。このため、経営者は、任期中に最も利益を上げ、従業員や労働者からいい評判を得ることに汲々として、将来についてあまり考えない。その結果
8,つけ、輸出していきたい。・原材料の木材の調達、販売先で岐阜はわずかであり、従業員も県外出身者という中で、高山の香りにこだわり、高山で事業展開を続けていきたい。
9,審議会あるいは商業活動調整協議会、いわゆる商調協ですね、この組織及び運営については消費者及び中小小売業者及びその従業員の意見が十分に反映される措置をすることという附帯決議が衆議院の商工委員会でなされ
10,利益の増加を図る経営者が出てこないともかぎりません。そうなると、従業員の解雇や給与カットなどの影響で、年金基金の規模が縮小することにもなりかねないことになり
11,を理由に批判したり、例外をもうけるのにも慎重でなければならない。もっとも、相互保有が従業員の信頼を維持（あるいは保護）するための装置として役立っているのだという見方はなお尊重
12,たたゆみない改善が必要。→「コンティニュアス・インプルーブメント（継続改善）」「制約理論」（３）「従業員に権限を委譲」従業員と会社に一体感があれば、従業員も責任を感じ
13,に薄暗く、夕方といった風情だろうか。大道では侍や町人の扮装をした従業員による小芝居が上演されていた。また奥にある大広間「中村座」では、さまざま
14,は，第２次改良標準化プラントで約七十日となることが期待される。ⅲ従業員の作業放射線量の低減従業員の作業放射線量の低減について種々の検討及び設備の開発が行われ，第２次改良標準化プラントで従来の
15,、従業員の見やすい場所へ掲示し、または備え付けること、書面で交付する、などの方法により従業員に周知させなければならないことを説明した。以上のことをＭさんは就業規則作成委員会で説明した
16,通商産業省において，昭和五十年に軽水炉改良標準化委員会が設置され自主技術による軽水炉の信頼性，稼動率の向上，従業員の被ばく低減化等を目指した軽水炉改良標準化計画が開始された。第１次改良標準化は，昭和五十年度から昭和五十二年度
17,。。。ヤマダ電機は、急成長の陰で、午前９時から午後８時まで働いていた従業員をタダ働きだぜ！！！！！！＞＜そんなのやだよーーーーーーーーー。。嫌
18,もとづかないことを条件とする。したがって，登録会社またはその子会社の現在の経営者または従業員は，監査委員会のメンバーに就くことは認められない。しかし退職した経営者または従業員は
19,「縫製は、女性の職場」というイメージがあるが、この工場では男女平等に従業員を採用している。優秀な労働力確保のためだという。作業中の女性に、年齢や
20,のは千九百四十三年五月末のことであった。その要点は各報国会や連盟の他に百人以上の従業員を使用する会社、商店、工場、同業者組合等はもとより、団体に属さない一般国民であっても
21,と見まがうアートフラワーをはじめインテリアグッズもＣＨＩＣＰＬＡＮＥＴＥ開店してもうすぐ１年という『シックプラネット』。従業員は、写真の若い家族とその友達だけで、内装、ディスプレイから、商品の買い付け
22,があるので、窓口で申請書類をもらうときに確認しておこう労働基準監督署とハローワークへの届出従業員を１人でも雇用した場合は、労働者災害補償保険と雇用保険の強制適用事業所になる。採用したらすぐ
23,属しながらも、企業特殊的な職業能力を発揮し企業に貢献することと企業による雇用継続とを、従業員と企業とは取り引きし、年々契約し直していると考えるのである。そこでは、従業員は企業組織
24,から動く必要がある。オフィスの廊下や工場の中を定期的に歩き、少人数で従業員と話す機会を作り、パートナー企業、主要な業者、顧客を頻繁に訪問する。従業員や
25,た。したがって全員がその後遺症に悩まされている。企業の存続のために多くの従業員が職を失い、更に生産業の海外シフトでダウンサイジングが進み、いっそう雇用の機会を減少さ
26,代議員大会が開催された。その頃は居住地単位で代議員を選出するので、寮生や寮の従業員から出すのに苦労した。手当が出ないので尚更だ。小倉花枝は私が頼む
27,もめて、平手打ちを食らったのだという。「女を殴るなんて、それも従業員を殴るなんて、穏やかじゃないな。いったい何があったんだ？」「ハリーの
28,または社外に漏らすこと（７）その他、前各号に準ずる行為（報告義務等）第４条従業員は、以下の場合には、直ちに会社に連絡し、会社の指示に従って適切
29,にどれだけ深く浸透することができるかという点に重きをおいている。ちなみに，同社とその従業員が作り出した伝説の一例としてつぎのようなものがある。１顧客がメーシーズ
30,経営によって、ＤＴＬは年々成長を続け、ＤＴＬが所在するペンブルックの町で一番多くの従業員を雇う会社になった。従業員それぞれ、自分の給与分は自分で稼ぎ出していた。だから
