,0
0,、厳しい報いとなって現れている。日本への憎しみを鈍らせたのでは、戦場での恐怖に負けて、ただ空へ向けて銃を放つことしかできなくなり
1,検視第一日目から、カルテの書式などをまとめる一方、二十名の歯科医の間を廻り、戦場のような修羅場で戸惑っている医師をバックアップする大国医師は、心身共に疲労の極み達し
2,は島原半島の各地でだれが買ったのか、明言を避けています。しかし、戦場で生捕られた転売される人々を、島原半島の港々で待ち受けていたのは
3,た。九十三年に『ＵＦＣ』が開かれ、トーナメントに出場したホイスは、グレイシー・トレインによって戦場に向かう、紛れもない一族の代表だった。もしもホイスが敗れるようなこと
4,の子２歳、本当に甘えたかったときに下の子が生まれてそれからの戦場のような日々で上の子の２歳からの記憶があまりないの。（＾＾；赤ちゃん
5,や恋人や、幼い子供や、老人たちである。無防備な非力な非戦闘員たちを、殺戮し、戦場でどれだけ大量の兵士たちが虐殺されようと、戦争は殺した人間を殊勲者にする
6,をやってました。失われた熱を呼び覚ますように・・・・！ふたたび戦場へ舞い戻ったわけです。まぁ、久しぶりなので当然のようにフルボッコにされまし
7,また北流し、このふたつの川は北のかたスノンという町の北で合流している。戦場となったのは、いわば川中島とでもいうべきところで、丘の南方に
8,。そこにカティがやってきて、卒論を褒め、「次に合うのは戦場かしら？できたら、敵同士で会いたくは無いわね」というカティ。時間は現代
9,。そのほうもよく存じておるようにわしの家は尾張の小侍の出で、戦場の指揮をあずけるほどの者がおらぬ。来てくれぬか」と、まるで賓客
10,士官ではあったはずだが、伸行はシドニーがどんな階級だったのか、戦場でどんな任務についていたのかさえ知らない。その当時、伸行はまだ
11,。ワルター・ケントの“ザ・ホワイトクリフス・オブ・ドーバー”だ。これも懐古的な古代歌曲だった。海峡のかなたの戦場から、鳥のように高い空を飛んで、故郷の白い崖を越えて帰っ
12,、戦がらみの商いで儲けた者たちから吸いあげた税で生活してきた。本物の戦場にも立ったことはない。姫だからなどと…私は全く偉くないのだ、
13,「それはそうだが、親を子が剋した例はあまりない」「戦場での一騎打ちですから、やむを得ません」「親父どのもおそらく、そうおもっ
14,李自成軍の陣尾というべきもので、これへの攻撃は睿親王ドルゴンみずからが指揮した。この戦場も、烈風が女真軍をたすけた。帝国の興るときには、奇跡があるの
15,」とした政府答弁の不誠実さは、はなはだしいものだった。こうした不誠実は、戦場での死について考えることはゆるされないという禁忌を守りながら、冷戦後の世界において
16,。戦争に勝つためには、国政全般を根本的に見直すべきである、との思考である。戦場における個々の奮闘だけが勝利をもたらすのではない。戦時の際の動員を容易にする
17,五月二日から五日の間にラオス北西部のナムタでプーミ・ノサバン軍に対する攻撃が実施された。戦場での右派の形勢の悪化を明確に示すことで、右派にもアメリカにも
18,聞くところによると、卿はヤン・ウェンリーを処断せよと同盟政府に申し出たそうだが、それは戦場で彼に敗れた報復か？」レンネンカンプは怒りと屈辱に青ざめた。最初
19,後のぼくは方々の戦乱の地をうろつき、開高の方はヴェトナムやナイジェリアの戦場を駆けまわった。ことにヴェトナムは、彼の後半生の主題と化したといっ
20,みる『備前備中国境阿知・児島両内海地域』の一考察」『中世城郭研究』第十二号、千九百九十八年）。その本太城が戦場になったのは、永禄十一年（千五百六十八）九月のことである。このころ本太城を
21,この二本のアメリカ戦争映画の、僕らなりの共通点はといえば、卵である。「『戦場』で、ヴァン・ジョンスンがやっと手に入れてきて、ヘルメットを使って作ろうとした
22,。私は源頼朝に魅力を感じなかった。頼朝は猜疑心の強い男で、戦場の武勇伝もない。平家壊滅に貢献した弟の義経を信用せず、謀略で抹殺してしまっ
23,の先生！」と探し回ったのですが、男の教師の何人かは召集されて戦場に、全校生徒はそれぞれ動員、先生たちも引率していったのか誰もいません。
24,合戦がくりひろげられていたが、その戦争の被害はきわめて大きかった。軍隊は、戦場だけでなく、進軍中もあらゆる乱妨狼藉を行なった。軍隊の乱妨は、「ここかしこを放火して
25,ですか、ドーピングコンソメスープ（笑）でも注射してムキムキの完全兵器にしてから兵士を戦場に連れ込めと、んで覚醒状態を落ち着けるために兵士のほっぺたを一発バチンとやったれってことですね
26,秋山は「阿武隈」に、峯木は艦長川井巌大佐の「木曽」に乗艦した。各方面の戦場で、自分がまっさきにひき揚げる陸海軍の指揮官もいたが、秋山、峯木は最後
27,そこにソマリア兵のエキストラが突然現われて撃ってくる。演じているというより本当の戦場のようだった。映画の僕たちの表情は演技じゃないんだよ（笑）」
28,ていますし、あさま山荘の銃撃戦が、今度は法服を着た人たちにバトンタッチされて戦場を変えただけだと思っていますので、是非捕虜として紳士的に扱ってほしいと思い
29,。前に進めない。速攻を得意とする島津軍の足はもつれっぱなしだった。戦場で必死にあがいても、島津の剣先は空を斬り、秀吉の喉元へは
30,が〜できれば張宝の竜巻のように動きまくって欲しかった・・・って、動きまくったら戦場がカオス過ぎｗいつもの同盟連打の儀式をしつつ舞姫を優先して潰しに来る敵
31,僕の村は戦場だった」作品研究」、劇場売りパンフレット『アートシアター十五僕の村は戦場だった』、四―五ページ。これを夢としてしか見られないことが、イワンの
32,。カモは一日に一回はヘマをやる。あやうく火事になるところだった。戦場だから火事なんてどうってことない、といいながらカップラーメンを食べる。タカが、吉兆
33,きた以上、最善の努力をもってたたかうしかない。真田は信州先方衆として逃げ場のない戦場に追いこまれたことになる。これから何年つづくとも知れない戦いである。幸隆もよくよく
34,。村人をポーターに駆り立て、重荷を背負わせ、ろくな食べ物を与えず、危険な戦場へ連れていった。また、略奪や暴行、時には殺人までおこなう兵士たちも
35,には同島の北方約百マイルの地点まで引き揚げるという計画だったのである。すなわち三川は、戦場の位置にもよるが、原則として夜戦を午前二時ごろに打ち切り、それから全速力（三十ノット
36,、お母さんはすべてなんです。戦争に行った祖父がいつも言ってました。戦場で死んでいった兵士たちが最後に言う言葉で一番多かったのは「お母さん」だっ
37,猪、狐、兎、あなぐま、鹿などが、けたたましく咆えたり鳴いたりしながら、戦場を無秩序に走りまわった。
38,薦めしません。座っての観戦ができないような状況に陥ることもあります。「戦場」という言葉を想像してもらえれば、お勧めしない理由が分かると思います。それ以外の
39,。なんぞ、美味い食べ物はないか」太顚はすでに勝敗の帰趨を悟って、戦場にいる態度とはとても思えない。「ない。貴殿は、殿軍という大切な
