,0
0,，本稿では，筆者が直接訪れて調査をすることができた，インドネシアとシンガポールの文書館に焦点を当て，それらのプロジェクトの進行状況，特徴，ならびに問題点などを紹介しようと思う
1,その両者の相違が次第に認識され始めた。国立文書館は千八百七十九年から、地方の文書館は千八百八十四年から内務省の手を離れて文部省に所属することとなった。これに伴って既に
2,であるとする従来の主張から後退した案である。しかし、この案が前記の文書館の案と同時期に発表されたにもかかわらず、文書館改革案に対してムイエが行ったような迅速かつ
3,の蔵書が、（ｉ）公衆に公開されているか、又は（ｉｉ）図書館もしくは文書館又はそれが属する施設と特に関係がある研究者のみならず、専門分野において研究を行う他の
4,がじゅうぶん申し開きのできる用意ができている筈だ、というのであった。アンダースンは文書館が閉まるまでに、つぎの手紙―プロテスタントの指導者ラスムス・ニールセンの書いたものを走り読みする時間しか
5,返還要求されなかったんです。それで全部保存されて今に至っています。この文書館ははっきり言えば死んでしまった文書館です。どうしてかというと、千九百四十五年までケーニヒスベルクに
6,しかるのちに書き起こして，テープと書き起こした内容の双方を文書館内で保管している。この文書館ではまた，ビデオ，写真，映画など視聴覚史料の収集も行い，そのための部門
7,とそれに対する批判を見てゆきたい。１文書館と図書館ＥＣにとって図書館と文書館は創立以来、卒業生を多数送り込んで耕して来たいわば隣あった自分の畑であっ
8,の特異な形で、元はバルト海の辺りに大きな領地を持っていた。この文書館が一番最初にできたのは千二百三十年。そして、千二百三十年からやがて宗教改革を経て、
9,な事件を扱うのは適切ではないし、またその権限もないというのであった。文書館を出ようとしたとき、アンダースンは館長である老紳士といっしょになった。二人
10,は、図書館における複写について、次のように述べている。すなわち、「図書館もしくは文書館又は職務の範囲内で行動するその職員が、本条に明記する条件に基づき、著作物の複製物一部
11,ました。そこの古い建物にあったんですが、この文書館は本来は修道院の文書館だったんです。しかし、この修道院は中世には武装していた修道院の特異な形
12,二十数年後に行ったときはもちろん、古文書は塩鉱から出されていました。しかし、文書館としては十分機能していない建物にそれが置かれていました。相当ひどい状態でし
13,関する特別委員会の設置文部省は千九百五年五月二十六日の法律で文部大臣を委員長とする図書館と文書館の業務組織に関する諸問題を検討する委員会を設置した。これには前記の訴訟問題やドヴィルの
14,文書は，ほとんど皆無に近い。日本軍，あるいは軍政監部関係の文書は，終戦時にはまだ文書館に移管されておらず，各官庁，事業所の手中にあった。そしてこれらが連合国軍側に
15,この国におけるローマカトリック教の末期を記録した文献が、例の大火から免れて町の文書館に保存されているのを知った。それを調査したり、コピーしたりするのにたぶん
16,産業，農業と商業（８）科学および技術情報（９）情報産業（十）図書館と文書館（十一）公的および私的セクターの問題（十二）公式情報の伝達：情報公開（十三）出版
17,手紙を出して、こういう文書が見たいということを言っておくわけです。文書館の文書というのは膨大なものがありまして、本とは違いますから、
18,人々の記録を残そうという意図だったのである。このセンターは，千九百八十五年には文書館から分離して，オーラル・ヒストリー・デパートメントという独立組織になった。その後さらに千九百九十三年には，国立博物館
19,、文書館というのは本来今生きているものなんです。つまり、ドイツのある町の文書館を見ますと、例えば、私はハンブルクの歴史を書く約束を昔ある出版社と
20,、図書館の中のシャルティストの在り方とそれに対する批判を見てゆきたい。１文書館と図書館ＥＣにとって図書館と文書館は創立以来、卒業生を多数送り込んで耕して来た
21,シャルティスト以外のさまざまな専攻分野を持つ人材が必要であるからＣＡＦＢも必要と認めている。しかし文書館にはＥＣという伝統のある養成課程があるのだからそれ以外の人を入れる必要を認め
22,土地のいわば台帳というものが全部あるわけです。したがって、例えば、私がいた文書館などには余りそういう人は来ませんが、ハンブルクの文書館などには時々
23,は当初国立文書館（ＮａｔｉｏｎａｌＡｒｃｈｉｖｅｓｏｆＳｉｎｇａｐｏｒｅ）を中心に始められた。この文書館は比較的新しく，独立後の千九百六十八年に設立されたものである。この文書館内の部局として，
24,という作業と並行して，インフォーマントが所蔵していた書類や写真なども提供してもらい，文書館に納めた。利用者はマイクロフィルムでそれらを見ることができる。以上のふたつのテーマ以外に
25,全部保存されて今に至っています。この文書館ははっきり言えば死んでしまった文書館です。どうしてかというと、千九百四十五年までケーニヒスベルクにあったわけですから、それ以後の
26,な問題提起が行われるようになった。その契機となったのは第一に文書館と図書館との関係の再検討、第二に国全体の図書館文書館政策の改革計画のための委員会の
27,もよそに出したことがない、貸し出しはしていないのです。それと、文書館は全館禁煙です。これも余計な話なんですが、私は当時、自分でパイプ
28,、そういうことをいろいろ案をつくったわけです。そのときに私はハンブルクの文書館に初めて出掛けていった。前もって手紙を出しまして、これとこれと
29,開発途上国援助の両面から多角的に展開されつつある。千九百七十六年からは，各国内の図書館，資料館，文書館に関するインフラストラクチャーの整理計画（ＮＡＴＩＳ）等をＵＮＩＳＩＳＴ事業と一体的に実施する総合情報計画（ＧＩＰ）が発足し
