,0
0,踏み切る心づもりらしゅうございます。その範囲は宮、公卿、大名、有司、志士、浪士、すべてにわたります由、藩邸では近衛家に対して何とか打つ手はあるまじきか、
1,外人居留地を襲うという噂がひろがり、居留民は自衛のため義勇軍を組織したことがあった。浪士の襲撃は行なわれなかったが、これを契機としてイギリスとフランスは自国の軍隊
2,吉良邸討入後、江戸高輪の細川家上屋敷にお預け中の大石内蔵助のある一日を描いたもので、浪士の介添え役であった細川家家臣堀内伝右衛門筆の「覚書」に拠っている。「堀内伝右衛門覚書」は「赤城義臣対話」
3,、彼は一切、言い訳はしませんでした。やがて、内蔵助は四十六人の浪士を率いて吉良邸に討ち入り、見事、旧主の仇討ちを果たします。全員切腹を命じ
4,た。外は、なんとなく騒がしいように感ぜられた。誰もかれも浪士の復讐のことを知って、自分の仕事を忘れて興奮して、髪結床や茶店
5,高齢だったから許されなかった。それでも無人は、息子の三平共々、脇から浪士を支援することに努め、多くの情報を提供した。大石内蔵助はじめ、原惣右衛門、富森助右衛門、潮田又之丞
6,手段をもって有志を赦免することに周旋したと言わねばならぬ。これによりてまもなく浪士をゆるし、これを召募して言路を開くということは関白さんから江戸総裁職松平春獄さんにお達しになった。
7,生じ、これまで嫌疑のために入獄し、または逃亡したる有志を赦免し、あるいは尽忠報国の浪士を召集することになりました。これらの勤王攘夷の論をとなえる者に言いたいことを言わ
8,に三月二日、当時の総理大臣にあたる幕府の大老、彦根の城主井伊直弼が、水戸の浪士に桜田門の外で斬り殺されたというのです。この井伊直弼は日米修好通商条約の締結、批准
9,もいう。ええじゃないか騒動は、七月に伊勢ではじまって、お札をまき散らす浪士が徒歩で行く速度で、伊勢を中心にして東西へ広がったから、江戸
10,。」という徂徠の意見と同じものです。２はわからないことはないのですが、浪士にとっては「よけいなお世話よ」といいたいはずです。そうなるとは限らない
11,借用し、翌十六日には勇が鎖帷子を借りていったという。江戸市中に増え続ける浪士をいかにすべきか、幕府が思案していたところへ、清河八郎が「浪人を募集し
12,ぬように挙止出没してあったものらしい。初め八郎は自分の姓命を称して浪士の頭領とならんとせしが、山岡鉄太郎、高橋泥舟などが忠告して、「
13,、浅野浪人を警戒する勢力の動きを知るというのもある。後には市中にひそむ浪士に雇われたり、身分を隠した大石内蔵助の身辺を守る仕事をたのまれたり、
14,といって席を蹴って立ち去る者もいた。しかし近藤たちからすれば、そんな浪士は、「それでは、はじめから金目当で応募したのか」と、その動機の
15,宇津木があわてて主君の後を追ったが間にあわなかった。犯人が水戸脱藩の浪士と分かり、彦根藩兵は激怒した。悲憤慷慨した彦根藩兵は、水戸藩討ち入りを叫び、戦争前夜の
16,国境の川、神流川を目ざした。さびれた街道筋の家並みだった。一人の浪士が、明和元年（千七百六十四）に起きた一揆―伝馬騒動では、このあたりの農民多数が蜂起した
17,に応じ、文久三年二月三、四日の両日に小石川伝通院に集まり、採用試験を受けた浪士は千人を超えた。武芸の手練を試す試合の検分役には、松平主税介、山岡鉄太郎
18,いい。ところが、黒船がきて大老井伊直弼の首がとんだとか、攘夷派の浪士がアメリカ人を斬ったとか、高輪・東禅寺のイギリス公使館に浪士が斬り込んだなどの事件が
19,行きましょう」「飲みに？」と歳三は怪訝な顔になった。若い浪士に飲みに誘われたことは初めてだ。「おかしなことを言うぜ、総司
20,おくれたとさえいわれる志士の大殺戮である。六月七日夜。長州肥後土佐その他脱藩の浪士が、三条小橋の池田屋へ集合して、恐るべき陰謀を画策していると探知した新選組で
21,とだんだんご相談になって、京都からお達しになりました以上は、ひとまず五十名だけ勤王攘夷の浪士をつのり京都へ上らせんと相談がきまったそうでござります。（『史談会速記録』
22,原市之進の悲劇平岡暗殺以前にも、文久二年十月二十三日、慶喜の側用人中根長十郎が、江戸雉子橋で浪士に暗殺されている。平岡の暗殺は慶喜に大きな打撃を与えたが、次
