,0
0,と、ダニーはいった。「間もなく、警官はいなくなって、消防士だけがビルに入りこむはずだ。やっと静かになるだろう」「集団ヒステリーだって？
1,て、現在は消防士を志しています。テレビドラマで自分の危険を顧みない勇気ある消防士の姿を見て、感動したことがきっかけです。以前、消火器を扱う機会
2,わかってもらえるだろうか。というわけで、こうした装備に金を使えるような消防士は一人もいないし、かといって装備を携帯しなければ仕事にならない
3,などがつかわれたが、現在では「駅員」「漁師」「農民」「消防士」というようにかわってきた。これからは「弁護士」「栄養士」「看護士
4,郵送による申込み８月十五日（金）必着詳しくはお問い合わせください。平成二十一年度採用消防士（伊那市職員）募集消防士（伊那市職員）を募集します。■試験区分・募集人員上級、中級、初級若干名■第一次試験日・場所
5,それもちっこい方の―を彷彿させる十三歳のチビ・裕孝。そして身の丈ほぼ二メートルの消防士の俺。誰が見ても関係を見抜けない、はちゃめちゃな四人。血の
6,。「多数の負傷者が出た。死者も何人か出たらしい。警官や消防士の間にパニックが起こっている。特にビルの中に入った警官は様子がおかしい
7,と日常的に接するような職場の人―ＩＣＵー（集中治療室）の看護婦、救急隊員、消防士、警察官、記者、災害救助の専門家なども、バーンアウトの危険性にさらされます（表
8,ハリガンと呼ばれているのだ。これで開けられないドアや鍵はほとんどないので、消防士が必ず携帯する道具だ。ここでも使う機会があるだろうと考えた。「ラビット・ツール
9,ショーカンパニー）」（大阪府八尾市）が神戸で上演するミュージカルのテーマソングで、阪神・淡路大震災で活躍した消防士にささげた歌を、米中枢同時テロの救助にあたったニューヨーク（ＮＹ）の消防士のため
10,ば「避難完了」の設計で、火災や非常時には、部屋で待っていれば、消防士が助けに来てくれるものと考えている。「炎上するビルを見上げ、消防士たちはみんな
11,、ノートを取り出すと、柏木に話を振った。柏木は、中央署に勤務する消防士だった。階級は、消防司令補だというが、冴葉には、どのくらいの序列
12,はそれにある。問題解決場面で，問題の維持要因や，悪化要因に注目しなければならないとは，消防士のこの動きのことをいっている。不登校の問題も，人間と環境の関係
13,黒い報告書「正義のファイアマン」が消せなかった「箱入り名器」への煩悩消防士の岩崎晃児は妻帯者。防火訓練中に知り合った折井益美と、遊びのつもりで肉体関係を持った
14,消防士は火事がないときは、何をやってるんですか？ずっと訓練ってワケでも
15,神崎について、好江は、時彦と同じ回答をした。二人に関しては、近所の消防士だという認識らしい。三嶋に関しては、接客しているだけあって、顔は知っていた
16,倒れている人を救出して！ポンプ車はどうしたっ」制服を着た消防士が大きな手振りで指示を下している。益美はとんでもないところに来合わせたと思い
17,消防出初め式の日取りが決まって１月６日に多い理由を教えてください。一月五日位までは消防士の正月気分が抜けないのでは？
18,、挨拶に来てくれたり、菓子折の一つも持ってきてくれる人もいる。消防士はみんな言う。その感謝の顔を見れば、どんな苦労も疲れも吹っ飛んでしまうと
19,たら、速やかに人命を救助し、被害を広めないように鎮圧しなくてはならない。そのために消防士は日夜訓練をして来るべき時に備え、設備も揃えていなくてはならない。それ
20,パラメディックという千時間もしくは二千時間訓練を受けた看護士が同乗して病院に行く。日本の場合は消防士なので消防署の方に属するのですが、お医者様と連携をとってという建前になっ
21,。軍隊に「ほこり」はひつようです。しかし「おごり」は必要有りません。消防士の方々や警察官の人々と同じように軍隊の人達にも「自分の変わりに
22,消火器を扱う機会があり、「水を的に当てることが難しく、上手に扱える消防士がすごいと思い、憧れが強くなった」と言います。「消防士に必要
23,た。―いや、忘れて下さい」小坂はあわてて話を終わらせた。消防士は恨まれることもあるが、でも感謝されることの方が多い。もちろん活動中には罵倒
