,0
0,ている。システムだけではなく、生のコミュニケーションを通じて徹底して現場の情報を集める。つまり「現場の見える化」を実践しているのだ。さらに、居酒屋・外食チェーンのワタミフードサービスでは「顧客の
1,後だった。ドクター・ブラックウェルの調書の後半は、月曜日の朝、急遽呼びだされて現場に駆けつけたくだりで、これはもっぱら冷徹な医学用語にみちていた。彼女は遺体
2,のだ（政府の統計では十五パーセントとなっているが）。先ほどの稲刈りや道路工事の現場を見てもわかるように、その日暮らしが当たり前なのだ。働き手がいくらでも
3,生きてる鮎を？」「どうもそうらしいんじゃが、わしはまだその現場を見たことがない」「ぼくは信じられませんね」と井手は
4,た。この雪の中、何というタフさぶり。やるな姜文。行きあたりばったりの極致。現場にいなくて良かった。十一月二十二日曇り〈Ｓ＃十八Ｂ、三十八、三十八Ｂ
5,けど、ある婚礼の当日になってお客さんが二人増えたと連絡があった。現場のシェフは平気で「できん」って言いましたよ。「１日二十件も婚礼
6,の拡大等による救急業務の高度化の推進にあわせて、救急事故発生時において、救急隊到着前に、バイスタンダー（現場に居合わせた人）による適切な心肺マッサージや人工呼吸などの応急手当の実施を確保することが
7,僕も働いてる若者をそうは知らないけど、家を建ててたとき、現場の若いやつとチラッとだけど話をすると、いいんですねえ、なんだか感じが
8,も珍しいでしょうが、その作業服も、たんに制服だから着ているのではなく、実際にみずから現場の作業にかかわっているからこそ着ていたのです。本田さんは工場の環境をよく
9,、回転灯を灯すと目立ってしまう面パトではなく、あえて私用車を使って臨場していた。現場に一番乗りした浅倉が近くの自販機で買っていた冷たい缶コーヒーを飲みながら、団地の
10,私は話しつづけた。とりあえず、至急片づけるべき問題がある。朝のうちに―現場が封鎖されないうちに、リグビーのことを警察に伝えておかなければならないのだ。殺人事件で
11,就職しました。植林に興味があったこと、大学で学んだこと、そして就職し現場で学んだことをもっと生かした活動ができないかと思ったのがきっかけです
12,を追ッ駈けましょう」田部井氏は、居間の入口まで行って、その中で頻りに現場の情況をノートしていた警官へ、外出を断ると、私へ眼配しながら玄関口へ
13,た人がいたらしいです。で、警察（所轄）に行ったのですが、現場の警察官の人が、その右翼団体が規模の大きい所だった為、とても怖がってい
14,あれば，店長の判断でマニュアルを逸脱することも認められている。こうして，現場の知恵と蓄積した知識とを融合させるのである。このような組織運営方法が，目立た
15,は３回ほど、葉選寧の職場である軍総政治部を視察したが、多忙な葉は１回しか現場に居合わせなかった。その時、葉選寧が挨拶する前に、江沢民は自分から手を
16,なってしまいました。しかし、あれが一人でやれる仕事ではないということは、われわれ現場に携わった者としてよくわかっています。結局、三鷹事件も真相はいまだにわかってい
17,があった。逃走は殺害したあと、現場から私がバイクの背に乗り、現場を離脱し、パッポンをぬけ、あらかじめ用意してある車のところまで行く。そこから車で
18,句会の現場（４）「魚座」句会土曜日は魚座の日創刊号の「魚座」誌をひらく。一ページ目に今井杏太郎主宰の
19,、大勢の夜食だった。一計を案じた。おでんや焼き芋の屋台を見つけ出し、現場のビルに寄るよう、商売のルート変更をお願いしたのである。そうして迎えた昭和四十三
20,に与えられた仕事場で勉強をしていました。いつもと変わらず、現場の人達の楽しそうな会話が現場に流れます。すると、急に現場が
