,0
0,ています。オープン球場を作るのに二百億、ドーム球場三百億。とても現在生きている人たちが新しい球場を拝む事は出来ません。これは、もたもたしている官財に「作ってくれ！」
1,必要以上に「人気が無い」ことを強調する報道が目立つように思います。実際に球場に足を運ぶ人の数は、私が子供の頃より増えていると思います
2,これって日本ではファイターズがやってますが、日本だけじゃなくて他のチームや球場でもやってる（た）んですか？発祥はメジャーですか？それともただの
3,緊迫した雰囲気の中でまわりから見つめられ、期待されている空気と視線。ビジターの球場なら、この野郎と思われている、打たれろ打たれろ打たれろという視線のほうが
4,自由見学となっている。その為、色んな所を、それなりの時間を掛けて見学できる。球場へ飲食物を持ち込む事は禁止されている。多分、球場内の飲食店は、開いているのではない
5,を球場の名前に持ってきましたか〜。このキャッチフレーズ自体は結構好きなので、球場の名前も早く耳になじむようになるといいな♪
6,それにさすが、みなさん野球をよく知っていますよ。興奮しました」試合後も球場に残り、日本から運び込んだウエイトトレーニング・マシーンで、黙々と汗を流すイチロー。百六十二試合という長丁場
7,ているときのような表情だ。新しいグローブを胸にしっかりと抱えている。「球場まで、いったいどのくらいかかったんだ？」彼は肩をすぼめ、ため息交じりに言っ
8,ことになる。「偶然とはいえ、光栄です」と松井。そんなことが素直に喜べるような球場である。（シカゴ共同＝神田洋）シカゴのリグリー・フィールドでカブスと対戦し、センターの守備に就く
9,は、私の車の隣に止まっていた古いジャガーのトランクに腰を掛け、球場から出てくる私を待っていた。彼が誰であるかを、私は知っ
10,赤と黒のプラスチック・スパイクの付いた、ナイキ社製の本格的な野球シューズだった。ティモシーは球場に来るなり、私に駆け寄ってきて言ったものだ。「監督、見
11,に。嫁台風が来てたんです。で、すっごい階段多いじゃないですか、球場って。野球部の子がスタンドの上までお母さんをおぶって。―野球部員が迎え
12,ことがありますか？」「いや、いつも新聞では読んでいたがね。球場に試合を観戦しにいく金も時間もなかった」「株式市場が崩壊したとき
13,にわかファンでも優勝って嬉しいものですか？生粋の阪神ファンぶっていてもどうせ今年も球場に行ってないんでしょ。行ったよ！神宮球場のヤクルトｖｓ阪神。甲子園球場は行ってないけど
14,よねみてるだけで泣けてくるわ長渕さんが歌ってる球場全体で歌ってるこの広い球場でみんな声揃ってるわすごい！！清原選手の挨拶始まったやっぱりスターやなぁ
15,スポーツ市営球場の抽選日について使用期間５月１日（木）〜十月十三日（月）球場清水野球場、緑ケ丘野球場抽選日・場所４月４日（金）十三時三十分から総合体育館で※少年野球場と
16,ツタが改装された球場に戻ることになりました。甲子園のシンボルであるツタは、球場の改装に伴い刈り取られることになりました。そこで、日本高野連は、平成十二年に日本高野連
17,。まだ使える。いい球場だ」と話し「ルースが建てた家」と呼ばれる球場との別れを惜しんだ。
18,も出来ませんね。本当は今日は主人とナイター（北信越ＢＣリーグの信濃グランセローズ戦）近くの球場に観に行こうって言っていたのに…主人は昼間、会社の焼肉会が長引い
19,は？Ａ実況では、選手の話を集めたメモ帳が何より大事。球場には巨人の特打ちが始まる午後１時四十五分に入って、練習の合間を縫って
20,似ていることから跳ね発ち〈はねだち〉野球のゲーム終了後、直ちに荷物をまとめて次の球場へ移動すること釣りアブレ釣りで魚が一匹も釣れないことうわずる水面を擦るくらいまで
21,。あと、周辺住民の配慮や、治安の悪化も考えて。それから、何も「球場の目の前まで車で行く」と考えず、２〜３駅手前の駅に車を停め
22,はオリックスでわずか１勝。この試合に懸けていた三十四歳のベテラン右腕が、寂しそうに球場を後にした。○…沖原「完敗です」礒部が故障で先発を
23,“中畑清”などと黒々と書いている。何しろ彼らはこの試合を見るために朝五時に球場にかけつけたのだが、すでに百五十人の人が並んでいて、「きょうはちょっと
24,！」と叫びたい衝動にかられた。自分の事棚に上げて。しかしまあ球場着いたら居るわ居るわ、ナメた奴らが。鳶の格好した人、やたら他
25,球場での鳴り物での応援を禁止されたプロ野球・中日の私設応援団に所属するファン約百人が十九日、
26,汗を流した。日差しこそ強いが、風が涼しく感じる中での練習。球場はフェンスのラバーが装着されるなど、４月に視察した時に比べて安全面でも
27,やがて、勝利をたたえて、勝った方のチームが、ホームプレート上に並び、校歌が球場に流れ始めた。その時だった。隣の席で、目に涙を
