,0
0,発言を扱ったところはあったが、反応が早いとは言えなかった。やはり皇室の血統問題は“くれぐれも慎重に扱うべし”とする風潮はある」（同）
1,。そして、彼女は、自分たちの逃亡のお膳立てをしてくれるようにと、さまざまな皇室の貴重品を彼に送った。それはすべてソロヴィヨフが着服してしまった。だが、ボリシェヴィキ
2,は高昌王と群臣のために宴会をひらいた。王の妻の宇文氏が唐の皇室と親戚になりたいと願ったので、太宗は彼女に李姓（唐の皇室の
3,黒背広にあたるのはローブ・モンタント。アフタヌーン・ドレス、カクテル・ドレスとも呼ばれます。日本の皇室ではシルク製で、長袖、長い裾、胸の開いていないもの、色は黒以外
4,折から、いつまた発生しないとも限らない。不幸つづきの上、神宮祭主という、皇室には極めて重要な仕事をもつ和子さんが、とすっかり同情した美智子妃は、「
5,はあるが、彼女たちを情報源として獲得できたという話はあまり聞いたことがない。皇室のボディーガード二千一（平成＋三）年十二月、三笠宮寛仁親王家の長女、彬子さまが二十歳の
6,そして、「宮内庁御用掛」に就任したことに関連して、「本来左翼的だった前衛歌人が皇室に仕えるようになったことに対しては批判がある」ということについては、これは
7,てゆかせたわけではない。泉涌寺はもともと（と言つても後鳥羽院のころから）皇室の菩提所で、南北朝のころには前後九代の天皇の火葬所になつたし、
8,家庭的」な皇室との接し方があり、それはおそらく、戦後の「開かれた皇室」の下地となっているようにすら思われる。東條を論じていると結局は
9,ため九州にある某市のホテルに招かれた。このホテルは歴史も旧く、皇室が利用なさることでも有名との触れ込みだった。かつては日本旅館だったそうだが
10,も出せなかったのではなかろうか。順調な滑り出しのもと、「国民とともに歩む皇室」をめざす両陛下は、開かれた皇室への改善を次々と実践された。
11,日本の家庭も、日本の企業も日本の地域共同体も、日本の政府も日本の皇室も、滅びつつあることの不安を自覚しながら、何とか生き長らえています。そうならば、
12,皇太子の発言の背景には天皇・皇后との距離感があるという。また、雅子妃が皇室に敵意を持っているとまで書いている。この記事を書いたリチャード・パリー記者は、ニュースソースについて
13,京都にこられると、そこにおとまりになる。そこはもちろん公開されていない。皇室の財産なのである。ところで紫宸殿や小御所などを別として、そのほかの現在緑地
14,の皇室と親戚になりたいと願ったので、太宗は彼女に李姓（唐の皇室の姓）を賜わり、常楽公主に封じたという。宇文氏はもともと隋の皇室
15,４号新宿線初台出入口、中央自動車道八王子インターチェンジを経て陵所（武蔵野陵）へ向かった。陵所では再び皇室の儀式として「陵所の儀」が行われ、昭和天皇の霊柩が陵に納められ
16,やふたりの娘たちと皇后の親しい交流にも注目が集まった。とくに問題もなく皇室に適応しているかに見える紀子さまは、当然のように天皇一家のご静養にも合流し、
17,、我が国民の礼譲を尊ぶ性格が表はされてゐるのであつて、万世一系の皇室を頂き得る国民の特色も此処に根ざしてゐるのである。二十一同前、四百十四頁。なお
18,である。これは恐らく、昭和天皇の御慫慂によるものと拝察する。その終戦非常の際、皇室によつて靖国の祭祀は護られたのである。この御秘事に、私は双眸に涙の
19,をする可能性は絶えず開いておくべきであろう。たとえばイギリスの王子と日本の皇室のメンバーの縁談が起こるようであれば、日本は東洋の変な国ではないのだという
20,た。日本の天皇は政治的なお立場にはないのだが、各国が日本と皇室に期待している証であろう。この晩餐会では、陛下はタキシードにブラックタイ、皇后さまは白
21,帰属した結果，皇室の経費は国庫によってまかなわれることになった。憲法は，「すべて皇室の費用は，予算に計上して国会の議決を経なければならない」（八十八条後段）とする
22,「皇室用財産」を「行政財産」の一種として認めている）。９‐３．２皇室の経費皇室の財産がすべて国に帰属した結果，皇室の経費は国庫によってまかなわ
23,さて、事件の結末はどうなったであろうか。大国ロシアを恐れた松方内閣は、皇室に対する大逆罪（刑法百十六号）を適用して犯人を死刑にしようと圧力をかけた。
24,んです。こういうばかげた事態というものを、正にあれは共産主義者だったんでしょう、しかし皇室の崇拝者でもあった不思議な人ですけれども、あれがとにかく京都のためじゃなしに
25,。国民と縁が切れたら、皇室の意味がない」ひるがえって「平成の皇室」はどうか。天皇家のスポークスマンは現在、広報担当となった侍従が引き継ぎ、週
26,明治時代の功績を激賞し、こうしたことを成し遂げられたのは、日本民族が「皇室の御旗」の下でともに前進してきたからだと強調した。維新を
27,の場合も過失犯の場合も、一般人と同じ刑罰法規が適用されます。戦前の「皇室に対する罪」（刑七十三−七十六）は昭和二十二年に刑法典から削除されました。
28,からのお出ましのご要望が多く、なかなか実現できない」（同幹部）のが実状だ。皇室のスポークスマンかつて「天皇の語り部」と称される人がいた。半世紀にわたって昭和天皇
29,皇室の方々はテレビはＮＨＫしか見ないのでしょうか？バラエティーとか見るのでしょうか？
30,平安朝の初期であって嵯峨天皇の時代（八百九〜八百二十三）である」と述べている。桐文は皇室の文様として取り入れられ、高貴な文様であったことが、この記録からうかがえる。そして
31,があったら、宮内庁から御指摘をいただければと思います。○角田説明員御指摘のとおり、皇室と稲作とは古来より極めて深いつながりがございます。すなわち古事記に、アマテラスオオミカミが大嘗
32,て、何もかもふっとんでしまう、それと同じような感じだ。■日本の皇室は開くべからずしかし、紀子さんもあくまでわれわれの手の届かないところにいてほしい
33,は、「謹で按ずるに、伊勢大廟は、万世一系、天壌と窮りなき我皇室の本源たる天祖神霊の鎮座し給ふ所にして、実に我が帝国の宗廟なれば、
34,ので、機会があるのは仕方無いのかもしれません。でも、本当に天皇が開かれた皇室というのなら、少しでも日常生活に影響を及ぼさない経路を選ぶべきだろう。宇都宮
35,削除されました。なお、「皇室典範」は皇位継承、皇族、摂政、皇室会議等の、皇室の身分関係の法であって、刑罰法規ではありません。
36,ましょうといったってそれは無理な相談だよ。さっきもいったように、皇室も開かれた皇室なんていって降りてきてくれる必要なんてさらさらない。一般庶民の方
37,。皇太子旗＝天皇旗と同形だが、縁の近く周辺に白いわくがある。皇統譜＝皇室の戸籍簿と系譜を兼ねたもので、大統譜と皇族譜に分かれる。大統譜＝皇統譜中、
38,も菊と同じように古より観賞されてきた。観桜つまり花見がそうである。皇室においても菊花の観賞にとどまらず、桜の観賞もされてきた。観桜会、
39,神話の舞台で天皇家の遠い先祖とつながりがあるだけでなく、その後の時代にも皇室との婚姻関係があったと『記・紀』では伝えているのである。私には“
40,行った修養団の天幕講習会に皇太子殿下（昭和天皇）をはじめ皇族の方々が台臨されて以来、皇室からは暖かく接していただいている。本部のあるＳＹＤ（修養団）会館は十六階建ての堂々
41,は百済系」そのわずかな機会を捉えて発した天皇の「ゆかり発言」は、皇室にまつわる「もうひとつのタブー」の存在を韓国メディアに意識させることにもつながった
42,「桐の文様が、竹、鳳凰とともに衣服に付けられたのは、皇室において黄櫨（ハゼの木）染の御袍である。この黄櫨染の御袍がはじめて歴史に
43,こうした感覚は、やや上の世代と微妙に異なる。「雅子さまは皇室に入る時に、民間とは違う生活になるとわかっていらしたはず。美智子さま
44,だ叔父上が、いまさらどうして、みずから謀反など企む道理がありましょう。だいいち、謝氏は皇室とはその時点で、なんの姻戚関係もありませんでした。簒奪を企みよう
45,？基本的に内閣や国民が認めるなら個人的には良いと思いますが。女性は皇室から出るので誰とでも自由に結婚できますが、男性は結婚相手が皇室に入る
46,、下巻は単に光厳院から光明・崇光天皇へという継承の儀式の事ではなく、夫をはじめ西園寺家と皇室の亡き人々の菩提を弔う仏事や、諸寺霊場へ参詣して結縁したり談義を聴聞するという
47,送り込み、皇室外交の活用に積極的な外務省だが、その損得計算は冷厳だ。現在、皇室の国際親善を取り仕切る式部官長のポストにあり、過去には韓国公使も務めた川島裕・元外務次官は、
48,のほかにも、「皇室後見令」・「皇室遺言令」も制定され、この時期において、皇室において起こるであろうありとあらゆる事態に対応できる法的な根拠がここに完成されたとみる
49,滑り出しのもと、「国民とともに歩む皇室」をめざす両陛下は、開かれた皇室への改善を次々と実践された。即位のときの陛下のお言葉が、
50,の主題といえば、クジラ、死刑、高齢化、コスプレ、経済程度に止まる。あ、皇室があったか。
51,、という記事を週刊誌で読んだことがある。天皇と皇后が訪問したことで日本や皇室の認知度が高くなったこともあってか、「こんなに愛らしいプリンセスはいない」と
52,役割を認めずただ天皇の行為を制限制約することに急であるが、福沢は政治社外における皇室の積極的な役割を認め、皇室財産の豊かならんことを希望していると述べている（
53,向けて発表したマニフェストの中で、「『日本国の象徴』にふさわしい開かれた皇室の実現へ、皇室典範を改正し、女性の皇位継承を可能とします」と謳っている
54,会見、外国訪問や国内のお出かけ、宮中で催されるさまざまな行事や神事…。これら皇室に関連する取材の拠点として、中心的な役割を担っているのが宮内記者会なのだ。この
55,に、どうしたものか雅子妃はボンヤリして何もなさろうとしない」「皇室で使っている御料牧場でとれた牛乳が雅子妃はどうも苦手のようで、市販の
56,ぞナンジ人民飢えて死ねギョメイギョジ』と書いたプラカードがはっきり写っていた。千年来、皇室の近い縁戚として生きてきた二條家にとっては、見るのも畏れ多い気がする不敬の
57,には吉子と伊予王の破滅をまねくことになったのである（後述）。百川の娘旅子が皇室に入ったのは延暦二年ころかと思う（延暦七年五月紀卒伝には「延暦の初め
58,『古事記』などの神話がまとめられた段階で、地方の首長がまつる神は皇室（王家）の祖先神（大物主神、天照大神）の下位に位置づけられた。この時点で
59,名前を暗記させる授業と教育勅語を覚える授業があったと聞いております。当時は皇室に関係した事柄はまちがった答えなどしたら即、鉄拳制裁です。体で覚えさせ
60,これはたいへん詳しいものですが、その要点を一部だけ引用しますと、「天皇、皇室及び帝国政府に関する自由な討議を含む思想、宗教、集会及び言論の自由に対して、制限
61,皇太子が「結婚は私にまかせてほしい」とはっきり言っていれば、今になって皇室の急激な変容に宮内庁や世間が戸惑う、ということもなかったのではないだろうか。とはいえ
62,「おもいのほか」も山形では「もってのほか」と変わる。酒が進み過ぎて、皇室の紋をはばかって…と、由来は諸説あるらしい。
63,とすることにばかり急で、この窮状を助けようなどという考えは出てこない。皇室を思う、忠誠の念の厚い人々にとっては、胸が破れるほどの辛い毎日であっ
64,たが、結局、御師は何も言わずにそれを懐にしまった。皇室のために鬼を利用すると言いきったあの男は、同じ理由で宮内をも利用し
65,に入ることでご自分の夢なり生活スタイルなりを犠牲にされたと言えるでしょう。しかし皇室の公務には外国との交際があったため雅子様としてはご自分の関心の深い
66,『私の心の遍歴』では、自分は幕臣の家系であるため「天皇や皇室に対する真正直な崇拝や尊敬の念は、私にとつて終に縁のないものでし
67,があり、昔、ケガをした亀が温泉で傷をいやし、その亀を皇室に献上したところから「宝亀」の年号が始まったとの伝説がある。
68,厚い帰依の心があった。まえにのべたように三千代は天武朝末頃から歴代の皇室に仕え、夫不比等の薨した翌年である養老五年（七百二十一）に、ついに自ら出家して
69,のテレビニュースのように、錦絵が天皇・皇后の近況を民衆に伝えていた。石版画が皇室の表象として質量ともに重要な意味を担ったということは、二千年に増野恵子が
70,東洋の変な国ではないのだということの文字どおりの実証になるのである。それに皇室の系統を海外に出しておくことは、暴力革命に対する最も有効な抑止力になろう。
71,なるには、紆余曲折を経ねばならなかった。それというのも菊が皇室の紋章として採用されたからである。菊紋が朝廷で用いられるようになったの
72,。その間、人にかえりみられない。ヤング・サムライに忠告する。キミ達は、菊（皇室）に敬意をはらいつつ、桜花道（武士道）を歩め―と。桜とサムライ
73,内薬司（中務省に属す）と典薬寮（宮内省に属す）とがあった。前者は皇室の医薬や香料のことを掌っており、後者はより広く薬物・療病・薬園のことを管轄してい
74,永野修身軍令部総長など大本宮（天皇に直属する最高の陸海軍統帥部）メンバーと、枢密院（重要な国務と皇室の大事に関し、天皇の諮詢にこたえる合議機関で、成年以上の親王や国務大臣も列席する
75,、自分の苦労は仕方がない、とあきらめさせ、励ますための社会的装置です。明治以降の皇室にはそうした役割が強められました。それは富国強兵のために国民に
76,には結婚式の写真屋として振る舞うことが要求される。彼らの場合、“開かれた皇室”“親しみのある皇室”という現代天皇制を守るキーワードに沿った仕事をしていかなければならなかっ
77,に応じ、皇室のありようについて次のように語っている。「終戦までの皇室はものすごい形で、本来でない形にでっち上げられていた。戦後は硬直しなくなった
78,ば、忘れることはできない。失うストレスはとっても大きい。芹沢さんは、伝統的な皇室の中で雅子さまの「個」の部分が窮屈な思いをしているのではないかと
79,そして詫びる相手に関しては、「皇室ならびに一般読者」となっている。ここでは関係方面が皇室になり、読者諸賢が一般読者になっているのである。すなわち、「関係方面」という実名を使わ
80,両皇統の争いなり」ときめつけたことが「国民をして順逆正邪を誤らしめ、皇室の尊厳を傷つけ奉り、教育の根底を破壊する憂いなきか」と糾問している。二月四日
81,でいるのは、天皇も同様のようだ。天皇陛下は、金大中大統領が来日した折、皇室と韓国の「ゆかり」について言葉を伝えたといわれる「日本の王室は百済系
82,記念貨幣などはむしろ積極的に発行したらどうか、こういうふうに思うわけであります。皇室にこだわると金貨の額面がどうしても上がる、こういう嫌いがあるわけでありましで、
83,の断絶があったことを示している。ある皇室記者に言わせれば、「雅子妃は皇室からドロップアウトしてしまった。はっきり言えば、彼女は皇室に敵意を抱いている。大変ショッキング
84,９‐３．２皇室の経費皇室の財産がすべて国に帰属した結果，皇室の経費は国庫によってまかなわれることになった。憲法は，「すべて皇室の費用は，
85,。昭和三十八年には島津貴子さんの誘拐未遂事件もあった。未遂にすんでよかったが、皇室を狙う犯行が増加の折から、いつまた発生しないとも限らない。不幸つづき
86,も良いですが、日本が世界一と言える物は何がありますか。日本の皇室です。世界がどのように努力しても真似の出来ないものでしょう。皇室が果す
87,に言わせれば、「雅子妃は皇室からドロップアウトしてしまった。はっきり言えば、彼女は皇室に敵意を抱いている。大変ショッキングな話だが、これが皇太子一家の真実であり、
88,て下さい。雅子様は外務省のお仕事をされていたようにキャアウーマンタイプの女性であり、皇室に入ることでご自分の夢なり生活スタイルなりを犠牲にされたと言えるでしょう。しかし
89,「行政財産」の一種として認めている）。９‐３．２皇室の経費皇室の財産がすべて国に帰属した結果，皇室の経費は国庫によってまかなわれることになった。
90,が丸椅子に坐ってあくびをしながら目でいらっしゃいをした。ヒロミちゃんは奥で皇室の奥方がよく被っておられるタイプの黒の帽子を頭にのせて、あれこれショーウィンドウ
91,社告の方がベターだと私が考えた所以である。そしてあの時点では、皇室に対して、ましてや右翼に対して頭を下げることへのためらい、抵抗感といったものが社長の
92,福岡と東京を往復する生活。祝・紀宮様ご婚約内定！新婚生活はどうなるの？これからの「皇室」のあり方はいろんなスタイルでいいサーヤの結婚に対する周りの“負け犬”たちの反応は、
93,ことで、悪い意味に用いられていた。しかし日本では、何しろ左眼から皇室の先祖神がお生まれになったという伝承があるから、「左大臣」は太政官の長官で
94,ので、地方都市をクローズアップしてくれるような人間は、とんといなくなってしまった。そこで皇室のお嫁さんと、宇宙飛行士たちが、わずかに郷土の代表として、気を吐いているに過ぎ
95,納まることを願って御機嫌を取り結ぼうとした。平家は貴種を誇る氏族であり、皇室に繋がればこそ存在の特異性があることを清盛は心得ていた。彼が
96,なのは、菊と違った由来によるものかもしれない。菊はその由来から必然的に皇室と関係を深くした。ところが桜は、一般庶民の目に触れること多々とし
97,「天皇の意向」を受けて訪中を計画したとすれば問題だ。戦後の皇室は、憲法に定められた国事行為以外の活動は許されておらず、政府の専管事項たる
