,0
0,、第十二条第一号に掲げる業務に関し必要な措置をとることを求めることができる。２研究所は、財務大臣から前項の規定による求めがあったときは、正当な理由がない
1,の関係してまいりましたＢ型肝炎ウイルスに対する対策がございます。この仕事を私が国立の研究所で始めたころ、肝がんと関連があるということで非常に熱中してやりました
2,処分に関し必要な事項は、政令で定める。第四章雑則（主務大臣等）第十四条研究所に係る通則法における主務大臣、主務省及び主務省令は、それぞれ国土交通大臣、国土交通省及び国土交通省令とする。
3,、会社は従来の化学分野と生命科学分野という大きな二本柱の性格を持つにいたった。研究所の設立後、農業関係で行われたのは作物の生育を調整して、いかにして
4,があって、「国語」についてのさまざまな研究がおこなわれている。しかし、この研究所の英文名はＮａｔｉｏｎａｌＩｎｓｔｉｔｕｔｅｆｏｒＪａｐａｎｅｓｅＬａｎｇｕａｇｅである。それをもう
5,謎解き「さて、いちばん最初にぼくが不思議だと思ったのは、はじめてこの研究所にきたときです。考えてみれば、あのときクイーンは、露骨に手がかりをあたえ
6,の遺伝子はＤＮＡでできている次なる実験は，ニューヨークのＣｏｌｄＳｐｒｉｎｇＨａｒｂｏｒ研究所にいた正真正銘の分子生物学者，ＡｌｆｒｅｄＨｅｒｓｈｅｙ（ハーシー）とＭａｒｔｈａＣｈａｓｅ（チェース）
7,資質、能力を高めていただければ、いろいろな研究所、さらには企業、さらにはいろいろな研究所への就職という道も開かれていくのではなかろうかというふうに思うわけでござい
8,、ポーランドで染料の開発にたずさわっていたある化学者が米国に移住して、製薬会社の研究所で働きはじめたことによる。彼はポーランドにいたころの染料の研究で扱っ
9,よき弟子といいますか、よき後輩をもつということです。その点についても、研究所には、東洋部はもちろん、西洋部・日本部でも、若い有能な学者をたくさんかかえ
10,（事務所）第四条研究所は、主たる事務所を東京都に置く。（資本金）第五条研究所の資本金は、附則第五条第二項の規定により政府から出資があったものとされ
11,た。ラベルがどこでどう取り違えられたのか、遂に分からずじまいである。厳重警備の研究所から、猛毒物質が何者かによって持ち去られたことがある。事件が起きてから一時間もし
12,３要素を有機的に組み合わせた総合的な技術協力である。通常，活動の拠点となるセンター，研究所などにおいて下記の分野における専門技術者等を養成し，もって開発途上国に対する技術の移転・定着を図っている
13,てやまないボーアの性癖は、論文の執筆だけに限られなかった。ボーアが研究所の拡張工事の現場を訪れたとき、旧知の工事の親方は壁を指差してこう
14,」を冠せられたのは九十九年九月のことである。それは、元専門委員が写真説明原案を研究所から取り寄せ、現在の展示説明文と照合したところ、戦争に関わるほとんどの箇所が大幅に「
15,同項中「前条」とあるのは、「前条及び独立行政法人放射線医学総合研究所法第十条」とする。２研究所の理事及び監事の解任に関する通則法第二十三条第一項の規定の適用については、同項中「前条
16,いわれている。しかし、ＤＮＡチップの購入者を見てみると、多くの場合が大学や研究所の研究者である。ここで、ＤＮＡチップはまだ研究用に使われているのみで、ＣＣＤ
