,0
0,アイスランドの火山群は海底の裂け目である大西洋中央海嶺の上にあり、それゆえの噴火だと考える研究者も多い。しかし、サウンダーズ博士は、シベリアの噴火を起こしたホットスポットの影響のほうが
1,が見られる（第２‐１‐十六図）。第２‐１‐十五図研究者１人当たりの研究者の推移注）１．研究者１人当たりの研究者は，当該年度の研究費を当該年度の
2,ものごとが不変であるとした場合の」という限定が使われねばならない。分析的方法論を用いる研究者は、単一の変数の効果を議論しようとするときにしばしば同様の但し書きを用いね
3,の向上を図ることを基本的な使命の１つとしている。大学等における学術研究は、研究者の自由な発想と自主的な研究活動を源泉として、創造性豊かな新しい知見を生み出す
4,に勝ち星を重ねている。これが最強の棋士である。これは、あるものを研究者が開発したとすると、開発費をかけて進めていって、特許をとって、
5,話します。コンドロイチン硫酸もセレニウムも、決して新しく発見された物質ではなく、すでに多くの研究者の手によって、生体に与える有効的なデータも数多く発表されているのです。「フカヒレ
6,でも新たな機能の発見につながるわけでもない。科学的興味はそがれた。研究者とは、常に喜びと落胆を繰り返している。喜びすぎてもいけないし、落胆しすぎ
7,ので、がっかりさせることをいってはいけないんですが、筑波では、一カ所にいろんな分野の研究者や学者を集めてしまったのですね。すると、研究上ものすごく効率がいいわけですよ。
8,，「研究者の意欲」，「今後の研究の難点」といった項目が増えており，研究者のやる気，意欲をもっと重視しても良いと考えており，評価の考え方を改良すべきであると
9,ますけれども、この動物については、もう既に国土交通省、それから水産庁、そして環境省、そして研究者、ＮＧＯ、こういったものが協力しまして、今、特定計画を前提に話し合いを
10,担当していますので、その重要性は痛いほど認識しています。これからの国文学研究資料館は、研究者のみなさまに少しでも有意義な情報をネットワークを活用して提供発信していく機関となるべき
11,主な医薬品情報データベース７．２電子ジャーナル電子ジャーナル（一次資料）は，迅速な情報収集を必要とする研究者にとって，冊子体同様，よく利用される情報源である．また，図書館運用，書架スペース，雑誌価格の高騰など
12,が、対象児にとって解決しなければならない問題であることを確認し、その問題となる具体的な事実を研究者（以下、指導者という）の解釈を入れないで、正確に客観的にとらえること
13,は学術情報センターや国立歴史民俗博物館と同様に大学共同利用機関のひとつであり，日本文化に関する研究機関として国際的な研究活動や研究者の支援を行っている。同センターが所蔵する和洋の研究文献（図書約十二万冊および雑誌二千六百タイトル）の
14,は我が国の経済発展の基盤をつくっておりますし、その技術革新の担い手である技術者、研究者が第二次産業に行かなくなったということは大変深刻な問題だと思っております。
15,クリエーターが発展途上にある一方で、アニメを取り巻く周辺領域が情報過多に陥っている現在、研究者や批評家などのアニメを見極める「専門家」を自認する人たちは、日本アニメを冷静にかつ
16,。憲甫は癌研放射線科の医局員はもちろんのこと、癌研の研究所の杉村隆、遠藤英也など研究者や外科、内科の若い人たちをはじめ、多くの大学や病院の医師たちとも、よく
17,核開発の正当性を擁護するような内容になっているのだが、アメリカやヨーロッパの当局者や研究者の「イランの核開発は明らかに兵器開発だ」「イランは核兵器開発を隠匿している」という
18,の土器類から，印章やスカラベなどの装飾品にいたるまで幅広い．これまでに多くの研究者がこれらの遺物に強い関心を寄せ，様々な解釈を行っているが，その中心的テーマ
19,にわかるが、キノコは初めてであった。国内の研究実績もそう多くはない。研究者とは不思議なもので、被害が大きく、そして未知の病害かもしれない
20,利用可能な研究資料が増加している。目録情報をオンラインの国際的書誌データベースに載せたり，インターネットを通じて所蔵タイトルを研究者に知らせており，利用の大半は図書館間貸出の手続きを通じて行われている。また新しい
21,公営二十三人，民営９人，特殊法人三百七人となっている。研究関係従事者数は５万８千人であり，このうち研究者が２万７千人で全体の四十五．六％を占め，研究補助者が６．５千人で十一．一％，技能者１万１千人で十八．七％，
22,創出に不可欠であり、企業にとっても大学に対する期待の最も大きい要素である。（１）研究者の育成独創的な研究開発は、若手研究者の豊かな発想をもとに生まれることも多く
23,を図っていく上で，各国間の協力が不可欠であり，国内においてはもちろん，国際的にも研究者及び研究機関の交流や研究成果の公表と相互利用を図ることが必要であろう。第十三図調査研究等
24,慣例であった。センターのスタッフは日本の高等教育政策の流れにも影響を与える著名な研究者であり、文部官僚とも旧知の仲であるようであった。この「頭越し」の交渉は、他大学
25,した中世人が見せる一連の時代性のなかでも、特に頭型の問題は多くの研究者の関心を集めてきた。日本ではなぜか中世頃を境にまた変化の方向
26,ていくという解釈が行われてきた。このような解釈に対しては主にポストプロセスの立場の研究者から環境決定論的であるとか，人間の主体的意思に基づく行動をあまりに軽視しすぎているという批判が
27,だ！そんな研究もあるんですよ（バカらしい）この手の研究は、研究者の思い込みを仮定として研究し少しでも自分の考えに合ってたら「やっぱりそう
28,た学術研究体制の整備を図るため、研究費の充実、大学の研究施設・設備の改善、優れた研究者の養成・確保、基礎研究の重点的推進、卓越した研究拠点（ＣＯＥ）の形成、研究評価の充実、
29,では、いずれこの近辺に地震が起きるとの予測はあった。とくに日本の研究者とイスタンブルのボアジチ大学カンディリ観測所とは共同研究で、震源地周辺に地震観測網をしき、継続的に観測を行っ
30,な研究環境の中で能力を発揮できる機会を与えることにより、創造性・独創性豊かで広い視野を有する研究者を養成するとともに、様々な経験を有する研究者が相互に触発し切磋琢磨することにより、研究機関における
31,と危険の関係の変化を判定することも期待されている．このことは，治験依頼者あるいは研究者によるプロトコール変更の書類中に提出されているすべての新知見だけでなく，プロトコール中に定義されている有害事象を
32,昭和六十二年度）資料：総務庁統計局「ライフサイエンス研究調査報告」（研究者１人当たりの研究費）昭和六十二年度における研究者１人当たりの研究費（人件費を含む）は，二千百五十五万円で対前年度比３．９％増となっている。研究者
33,研究補助者：研究者を補佐し、その指導にしたがって研究に従事する者をいう。技能者：研究者、研究補助者以外の者であって、研究者、研究補助者の指導、監督の下に研究に付随する
34,、大学院、研究所、研究施設などに加え、特定の大学に属さず全国の大学等の研究者が共同で利用し、研究を行う大学共同利用機関を中心に進められている。
35,。したがって、研究を通して鍛えられる博士課程の学生は、単なる学生ではなくて研究者でもある。次世紀の教育の中心となると考えられる博士課程学生に対し、給与型の奨学金の給付
