,0
0,とりかこまれて、あいかわらず身うごきひとつせず、むしろこわいものでも見るように灰色の紳士をながめていました。「どうだね？」とようやく彼は言って、
1,、それよりもなによりも普通につきあっているぶんには智生はさわやかな印象を与える紳士であったけれど、なにかの折にふっと不気味なものを感じないでもなかった
2,題する詩が掲載されているが、その一節に「一等二等がよく売れる／髭の紳士が定華主／中には銭を渡さずに／発車間際に引奪くり／其儘ピーと出て
3,を処分してしまったのですが、どうしても気になって仕方がありません。イタリアの紳士と友達のマダムがもっているもので、指輪がするすると通る弾力のある生地だっ
4,５月６日）過ちを犯した人を許すのも、紳士の心得といえよう。紳士の心得（※１）（※１）原敬の著作物や言行をもとに編集部が
5,、まえでかきあわせました。「第一の問題はこうだ」と、灰色の紳士はまた話し出しました。「きみがいることで、きみの友だちはそもそもどういう
6,ならざるものはない。どこの人民だって、シナの苦力だって、イギリスの紳士だって、自然を愛するのであります。つまり程度の問題だ、ニュアンスの相違だと
7,。四十二歳なら、自分からガッつかないで、向こうから誘ってくるくらいの魅力的な紳士としてふるまって下さい。
8,たスニーカーを履いて登校する子供もいます。それは、子供に対し、「小さな紳士、淑女」であることを求め、保護者にも気品と知性を暗に求める幼稚舎の伝統
9,何れも独身の下宿住ひ、正月が來ても屠蘇一杯飲めぬ不自由に、銀行以外の紳士も多く来会して二十人近くの大人数である。第二次大戦後、ようやく講和条約が結ばれた頃に
10,とまで評するに至っている。バートンの仇敵、『エジンバラ・レヴュー』のヘンリー・リーヴは「きちんとした紳士なら、この本を長く書架に置こうとはしないであろう。ガラン版は子供部屋に
11,は・・・１と２に該当しない人全員ある四十代女性経営者の場合１．少年２．紳士３．老人チェックポイントは靴と加齢臭の有無。１，２は恋はできるけど、
12,なんだけど。「いや、べつに事件が起こったというわけではないのですが」と紳士が言ったので、私はいささかがっかりした。が、あとに続いた言葉は、
13,そうですけど…」「電話一本でひとを探しだすときいたが…」紳士は天井にまで貼ってあるケバケバしいポスターと、香代の若さにとまどっていた。
14,現に行はれてゐる。―第一、地主によつて、次ぎにその指揮の下にある所謂紳士らしき三つの重なる「職業」即ち軍人、法律家、僧侶によつて、しかして最後に商人
15,、あのダイアモンド型の傷跡に目が吸いよせられた。「あなたの蘭です」紳士は上品なしぐさで蘭の花をさしだした。デラは襟もとに目をやり、
16,手渡していた事件です。あれは氷山の一角という関係者もいるのですから、自称球界の紳士もズルズルのズルだったのでしょうか。こういうことばかりが発覚する昨今。日本列島はズル
17,へ山の手線から、胸のポケットにきちんとハンカチを入れてなかなかりゅうとした一人の中年の紳士が降りてきた。赤羽線に乗ろうとしてこちらへ進んでくるなり、いきなり
18,灰色の葉巻をすっています。顔色まで灰そのものの色でした。その紳士はさっきからモモのことを観察していたのでしょう、彼女がふりむくと笑ってうなずきかけて
19,」といい返し、「さあ首をはねろ！」と叫んだ。ウィットに富んだ紳士といえば、千六百三年にジェイムズ一世に対する反逆罪に問われて死刑を宣告されたジョージ・ブルックだっ
20,までやっとって、少しは押すべきツボを知ってるんだろう」「そりゃあ霞が関育ちの紳士にそんなこと出来るわけがないですよ」「それでオレにやれってのか
21,からな。おれはいつも、おまえがおれたちの仲間にはいって、働いて、紳士になって死んでほしかったんだが、もうこうなっちゃ、おまえも、そうする
22,打ち上げに行くことに。その帰り、竜一は人身事故に遭う。しかし、天国での紳士との出会いが運命を変えることに・・・予言公開中！！火山噴火で有名な
23,六月の中頃でした。朝早くから、一見して、町の人とわかる身なりの紳士が二人、そそくさと、校長室へ入っていきました。そして終日、校長先生や先生方
24,」と、ママはこたえた。「こちらがルシアンの父親のデイヴィッドです」紳士はルシアンのパパの手をにぎり―それから、このうえなくふしぎなことをいっ
25,〔ｃｏｕｎｔｒｙｇｅｎｔｌｅｍｅｎ（ｐｌ．）〕にして、即ち地方に土着したるの紳士なり、彼等は多少の土地を有し、土地を有するが故に、土地を耕作する
26,時、何事もうわべ通りに受け取ってはいけないという、先人の教えが頭をよぎりました。紳士の言葉の中に、ある隠された意図がぷんぷんと臭い、私の抱いてい
