,0
0,。彼は、その寺の美しさを守るために生涯をささげようとする。だが、敬愛する老師の裏切り、美のかげにひそむいまわしさゆえに、青年は寺に火を放つ。故市川雷蔵
1,雲水時代と変わらず、つねに質素を旨とされました。ある日、老師の信者の一婦人が、老師が高齢になられてもなお、ごつごつした木綿の
2,に敷いて引き下がりました。夜半になって隠侍はふと目ざめましたが、老師もまだ臥んでおられないようです。気になって隠侍が起きて老師
3,がもどってくるのを見て、ヘクトールはうれしくなった。「青い蓮」の老師と同じくらいの歳の僧侶を連れていたからだ。老僧はヘクトールを見るなり
4,、ちょっと嬉しそうだった。でも店に着いてから久しぶりの英会話となった。老師もなかなか上手に英語を話す。そしてこのフランス人の彼女はイギリスに留学後、パリで
5,こういう問題があって、心労が耐えないのです」というお話をしました。老師もこの問題については新聞などを読んで知っておられたようです。あたたかい慰めの
6,。隠侍は、何ごとかと思いましたが、ふすまの外に坐って、老師の読経の終るのを待ちました。読経が終るのを待ちかね、ふすまをあけ
7,だと思った。しかもこの日、もう一枚頼んでいる洋服を取りに行くというので老師と一緒についていって彼女お勧めの店を数軒案内してもらった。（その中の一軒
8,見てなよッ！！旋牙連山拳っ・・・！」の場面とか老師「さ・・・サモとユンに伝えるかの・・・お主の・・・
9,こともない。「そこで、この際耳に入れておきたいのは」老師は改めて坐りなおった。「ささやかながらわしが半生をかけてこれだけにした
10,からの賜わりものの版本は、まだめったに手に入らない川越本で、これは亡き老師がくせのある書体で自ら写したものを使っていた篤姫にはぐっと読みやすく思える
11,奥さんも中国語を習っていて以前、私もこの彼とあったことがあるし、当然老師も知り合い。そこでそのまま一緒にお茶を飲むことになった。そして店の奥へ
12,ぼし）の狂に至らでわれは目を病む風狂は苦しきならじ老いさびて老師も打ちき羯鼓（かつこ）花月はいざわれも秋夜の笛に狂ひなく羯鼓
13,新しく働くこと、その最初の出来事が参禅である。参禅とは、坐禅から立ち上がって老師と問答すること、坐禅から立ち上がって再び世界に入り世界に於て「対するもの」
14,か、鎌倉円覚寺の今北洪川老師について真剣に禅の道を歩み始める。二十一歳の時である。翌年老師が亡くなった後は、その後継者釈宗演老師のもとで禅の実践を続ける。「大拙」
15,私のクラスがちょっと延びちゃったときに最後の数分、会話の練習もかね老師が教室に彼女を招きいれることもあった。住んでいるのもマンションは違うけど近所
16,緋の毛氈に坐りてあふぐ全山は紅葉無患子の黄色もみぢが照り曇りもの怪しくして老師危ふしいかるがのみ寺の庭に蹴ちらしてわが歎くわけの分らぬ茸月の夜
17,。残る希望は金閣を支配する―後継ぎになることだけだった。幸い、住職である老師は私を大学へやり、後継者として育てる意志を仄めかした。私には二人
18,気になって隠侍が起きて老師のお部屋をそっとのぞきました。見ると、老師はお袈裟をつけて、寄進された寝具の前に端坐されて、低声で読経さ
19,にはかならずお坊さんがいるし、ひょっとしたらこの寺には「青い蓮」に登場する老師に似た老僧がいて、幸福について興味深いことを話してくれるかもしれない。寺まで
20,、記念撮影も終わった彼女。そのあとは最後の電気代を払いに行くという。老師も私も暇だったので一緒についていくことにして歩いていたけどこの日はかなり
21,すると、蒸しあがったときに、かぱっと開いてしまうのだとか。そ〜いえば、老師が粉を間違えたって言っていたけど、いったい何のことだったんだろう。本日
22,当日、西蔵料理の店まで中国語で話をしながら行った。それを聞いていた老師、ちょっと嬉しそうだった。でも店に着いてから久しぶりの英会話となった。
23,終わったあと、老師と一緒に３人でご飯を食べに行った。実は前日、老師に『３人で一緒にご飯を食べに行こう』と誘われていたし、なんと
24,つまり、太公望は、これ以上の不利はないという布陣を選んだのである。「老師、どうしてですか」と、武吉が訊く。「水を背にすると、
25,」と願うのは、これまで兄二人と一緒に外史の漢文を講義してもらった老師は病を得て亡くなったため、斉彬との約束が果せなかったら困るのを
26,を極めよ。そこには甘蠅老師とて古今を曠しゅうする斯道の大家がおられるはず。老師の技に比べれば、我々の射の如きはほとんど児戯に類する。儞の師
27,の一組を寄進しました。匡道老師は大変に喜ばれました。その夜、老師の身辺に仕えて身のまわりのお世話をする役の隠侍が、かの夫人の
28,系譜に連なるものでした。そして、才能はあるがまだ未熟な若者ルーク・スカイウォーカーを教え導く老師として、かつての騎士、超能力者ベン・ケノビがいる。ベンはルークにことあるごとに言い
29,だ。多くの医師の治療にもかかわらず実母が亡くなったのを痛憤して、老師、張元素の下で医学を学び、天才的な感覚で医術を修得したといわれる
30,「先生、昨日の試合は手前の負です」直太郎はきっぱりいって、老師の目を瞶めた。周造がいなくなったから、かわりに自分が選ばれる
31,で押さえて、ひと回しかけ炒めてできあがり私は辛いのが苦手だと言ったら、老師は、豆板醤をいれずに塩で味を調え、オイスターソースで調整するといいですよ
32,ないのじゃから」太公望が、二人を制した。「したが、老師。逃げてからでは、遅いですよ」武吉の吐く息は、まだ荒い
33,！いや〜パンダはやっぱり癒してくれて可愛いですね〜（＾＾）彼らのマスターであるシーフー老師は「ＳＷ」のヨーダみたいでしたが（笑）、ポーの修行シーンは楽しかった
