,0
0,除き、別に辞令を発せられない限り、研究所の成立の日において、研究所の職員となるものとする。第三条前条の規定により研究所の職員となった者に対する
1,というような、いわゆる天下りというものがあるわけです。これに反して一般の職員は一生懸命働いて、自分はそれこそ身も魂もささげ尽くして、私どもはくず鉄と
2,に規定する法人とみなす。（職員に関する経過措置）第六条会社の成立の際現に公社の職員である者は、会社の成立の時に会社の職員となるものとする。２
3,ただしかし、いろいろな人事管理上の問題がありまして、幹部職員と申しますか一般的な職員についてはそういうことは余り起こらないだろうと思いますけれども、また、そういう
4,及び飛行場以外の場所で輸入してはならない。（取締りに従事する職員）第二十六条主務大臣は、その職員のうち政令で定める要件を備えるものに、第六条第一項又は第十条第一項に規定する権限の
5,身近な場所へ出向いて職員が説明「市税出前講座」市内各地へ職員や専門家が出向き、市の計画や暮らしに
6,や自転車などが当たる只今売りさばき中」とありサンタクロースと門松が同居する中発売記念撮影２階に並ぶ職員の内右から３人目山崎東農業と大工に生きて黒木一男（大正七年〜
7,利用者が増えて入れ替わりが激しく、介護が手薄になる。利用者の顔もわからない職員もいるという実態が背景にはあるようだ。以前、介護は行政の「
8,信用保持の義務一信用失墜行為の禁止職員は、その職の信用を傷つけ、又は職員の職全体の不名誉となるような行為をしてはならない（地公法三十三条）。これは、
9,し、国有林には営林局、営林署、担当区それぞれございます。したがいまして、そういう職員に、先ほど大臣からお話しいただきましたように十分その辺の考え方を徹底いたしまして、
10,パソコンなどのＩＴに詳しい人たちの電子申請が増加することで、役所は事務コストを削減し、職員の労働時間にも空きが出る。この浮いたコストと時間を、パソコンが使えない
11,秘密を漏らしてはならない。その職を退いた後も、同様とする。（役員及び職員の地位）第十二条センターの役員及び職員は、刑法（明治四十年法律第四十五号）その
12,自分は前はサービス業についており、今は病院に勤めていますが、病院の職員というのはいわゆる「接客業」という意識が薄いんですね。医師にしろ看護師にしろ受付
13,「ゆう杉並」が「チャレンジ」と「出会いの場」であることを表している。そして、職員の働きかけで、「ゆう杉並」専属のダンスとフリークライミングのチーム（オフィシャルチーム）も発足させることが
14,育児休業をすることができない（育児休業条例§２）。ⅰ非常勤職員ⅱ臨時的に任用される職員ⅲ１年以内に任期の満了する職員及び定年により退職することとなる職員ⅳ定年退職日の
15,。一般病院に比べエイドを増やしているのが特徴であるが、実際にはこれでは職員の数が足りず、より介護に中心がおかれた「特例許可老人病院入院医療管理承認病院」通称「介護力強化病院」と
16,ことが大事だと思っておるわけでございまして、先生のおっしゃるような専門的な職員を各学校に配置できるというところまではなかなか私どもも踏み切れないわけでございますけれども、
17,、谷原小学校の合い言葉です。だれもが「楽しい学校」であるように、児童も職員も保護者も、そして地域の方々も、みんなで考え、協力し、実践している学校です
18,味覚、嗅覚、聴覚に激しく訴えてきますので、普通ならすぐに忘れちれてしまう職員も、読み手の記憶に鮮明に刻みつけられます。きのこのバター炒めのような森の
19,以前、天下りの支配人は夕刻五時になると、繁閑におかまいなく帰宅していたと職員から聞かされ、番匠さんは啞然とするしかなかった。ホテルニューオータニでの活躍番匠さんは「
20,を除き、国家公務員法（昭和二十二年法律第百二十号）第二条に規定する一般職に属する職員（以下「職員」という。）の勤務時間、休日及び休暇に関する事項を定めるものとする。（
21,にかかわらず、研究所の成立の日の前日の属する月の翌月から始める。（研究所の職員となる者の職員団体についての経過措置）第四条研究所の成立の際現に存する国家公務員法（
22,の日の前日に厚生労働省の職員として在職し、附則第二条の規定により引き続いて機構の職員となった者のうち機構の成立の日から雇用保険法による失業等給付の受給資格を取得するまで
23,）第二条機構の成立の際現に経済産業省の部局又は機関で政令で定めるものの職員である者は、別に辞令を発せられない限り、機構の成立の日において、
24,試験事務に関して知り得た秘密を漏らしてはならない。２試験事務に従事する指定試験機関の役員又は職員は、刑法（明治四十年法律第四十五号）その他の罰則の適用については、法令により
25,ため，施設の運営面で，医学的管理が十分なされるように配慮されている。また，職員についても，医師及び看護婦が配置され，その健康管理に特に配慮がなされている。
26,定めるものに属する者に限る。）が研究所の成立の日において研究所の役員又は職員（職員に相当するものに限るものとし、以下この条において「役職員」という
27,。３４時間に十五分の休息時間を与えると、職務の能率を著しく阻害し、又は職員の健康・安全に有害な影響を与えるおそれがある場合には、人事委員会の承認を得
28,で、身近なことだというヒントを得た。ここに焦点を当てることにより、職員の意識もこの一点に集中し、行動に直結できる。しかし、単純で身近なことこそ
29,融和という言葉で団結とチームワークを強調した。糸賀は寝食を忘れて走り回った。職員からは、その識見の広さと誠実さで絶大な信頼を得ていた。この
30,継続長期組合員として共済組合の組合員とすることといたしております。また、国または地方公共団体に出向する職員につきましても、公団等に出向する場合と同様に取り扱うことといたしております。
31,一登録住宅性能評価機関（その者が法人である場合にあっては、その役員）又はその職員（評価員を含む。）で第五条第一項に規定する業務に従事する者二登録住宅型式性能認定等機関（
32,十三裁判官及びその他の裁判所職員十四国会職員十五国会議員の秘書十六防衛庁の職員（防衛庁設置法（昭和二十九年法律第百六十四号）第六十一号第一項に規定する審議会委員及び調停職員等で、人事院規則で指定するもの
33,がいいだろうと思って始めた仕事だ。昼前、痴呆症の老人を自宅まで職員と迎えにゆく。老夫婦の二人住まいで、奥さんの友人が手伝いにきていた。
34,ますが、今のお話のように、訴訟告知がなされるとその効力が個人である職員の方にも及ぶというお話ですけれども、そうであれば、その一段目の訴訟の
35,普通地方公共団体の長及びその補助機関たる常勤の職員、」いろいろこうずっとございまして、「職員に対し、給料及び旅費を支給しなければならない。」二項で、その他の手当等について規定を
36,ハローワークの職員の対応はどうですか？親切な方もいますし、事務的な方もい
37,んか？」すると西山氏はこんな話を始めた。「私が市の職員だった時代、議員がバッジの威力を過信して、職員に無理を押し付けてくること
38,規定する親法人をいう。）であること。ロ登録申請者の役員に占める農林漁業体験民宿業者の役員又は職員（過去二年間に当該農林漁業体験民宿業者の役員又は職員であった者を含む。）の割合が二分の一
39,都市の調査をやっております。それを見ますと、自治体でホームヘルパーの正規の職員は六十三％なんですね。そして、社会福祉協議会では正規の職員は二十二．三％、そして福祉公社で
40,、この条件を当てはめてみましょう。まず、当然のことですが、この拘置所の職員は、真っ先に除外されます。すなわち、松山所長。山崎保安課長。関根保護課長。三代教育課長。岩見看守長。
41,指す。このメッセージは約六分でクロードの元に届けられる。そして今度も、メッセージは職員に提出され、内容が照合された。またしても、内容に違いはない
42,には誰もおらず、「一階に行ったのかも…」若い職員が言うのに、「部屋を片付けてて」游子はエレベーターに乗り込んだ
43,学校給食は私の昼食よりはるかにいいものが出ていますが、あれは職員が作っているのですか？それとも委託する給食センターでつくられているんですか？おいらも、学校給食
44,れている。民営化のためのコスト削減を考えるならば、まず社宅を売却すること。職員には民間企業並みの住宅手当を支給するような改革が望ましい。なぜなら民間企業会計基準に移行する場合
45,たいと思います。○堀籠最高裁判所長官代理者裁判官の勤務場所につきましても、原則として一般の職員が勤務しております裁判所で行うのが原則でございます。ただ、裁判官の職務は
46,項において「密接関係者」という。）に対し報告若しくは資料の提出を命じ、又はその職員に密接関係者の店舗その他の事業所に立ち入り、帳簿、書類その他の物件を検査さ
47,する。第三条研究所の成立の際現に前条に規定する政令で定める部局又は機関の職員である者のうち、研究所の成立の日において引き続き研究所の職員となったもの（
48,：■■■■さん」の４つのチームで具体的な検討を行います。また、市の職員も「まちづくりコーナーチーム」をつくり、まちづくりサポーターの皆さんと同じ視点で、協力しあいながらイベントを盛り上げ
49,、職員が２部に分かれ、当番・非番の順序に隔日ごとに勤務する制度であり、３部制は、職員が３部に分かれ、日勤・当番・非番を組み合わせて勤務する制度である。平成十一年４月１日現在全国九百十一消防本部中、
