,0
0,『張少子の話』『黒鳥』）千九百六十四年下期直木賞千九百二十九年早坂暁（小説家，脚本家）千九百三十二年岸恵子（俳優）千九百三十二年小林亜星（作曲家）関聯サイト
1,切に期待する。ジェームス三木作・演出ジェームス三木千九百三十五年、旧満州奉天（瀋陽）生まれ。野村芳太郎監督に師事し、脚本家となる。舞台演出、映画監督、小説、エッセイなど多彩な活動で著名。主な作品は
2,ある程度の直しには応じることもあるんですが、できあがった脚本はそれがベストで、脚本家にとってはそれが作品なんですね。―インターネットなどに寄せられる視聴者の声で、
3,だ。今までに、フェリーニや、ミケランジェロ・アントニオーニ、フランチェスコ・ロージ、タルコフスキーと、世界一流の監督作品に脚本家として参加している。実はなにを隠そう（隠す必要はなにもないのだが）、
4,か。学校の始業時間に遅れないで行くことができるだろうか…。監督でもあり、脚本家でもあるマジッド・マジディはたった一足の靴で観客の心を鷲摑みにしてしまうのだ。
5,脚本をやっている宮村優子という方は、声優をしているあの宮村優子さんでしょうか？慶次郎縁側日記シリーズの脚本家、宮村優子さんと声優の宮村優子さんとは同名別人です。
6,脚本家／エッセイスト赤坂潭亭亭主高木凛さん書けなくなった脚本家を甦らせた沖縄第一線で活躍する
7,したことから有名になった彼は、千九百九十一年に新聞社を退職し、以後フリーの脚本家として映画界につくした。千九百九十四年からはケルンのメディア芸術大学で脚本論・演劇論も講じていた。
8,笑）。この岩中祥史っていう人、東大文学部を優秀な成績で卒業した有名な脚本家だそうだけど、大バカヤローですね。こんな大バカヤローが生まれたのも、全マスコミ、全教育機関
9,をしてましたね」’八十五年にテレビドラマ『殺して、あなた…』で脚本家としてデビュー。映画『その男、凶暴につき』『不夜城』、テレビドラマ『青い鳥』
10,が言いたかったのではなく、このサミットに参加する一人の女性について話したかったんだよ。脚本家、田淵久美子女史。もちろん友人でもないから知っている範囲の中でのことにはなる
11,より、どういうメッセージを伝えたいかということを考えて書いています」と、脚本家としての思いも語っていたらしいです。冒頭にも書きましたが、麻有ちゃんと
12,恐怖かも…高橋洋ＨｉｒｏｓｈｉＴａｋａｈａｓｈｉ千九百五十九年、千葉県生まれ。「離婚・恐婚・連婚」（九十年森崎東監督）で脚本家としてプロデビュー。「女優霊」（九十五年）「リング」（九十八年）「リング２」（
13,ドラマ「汚れた舌」って、結局脚本家の内舘牧子は何を言いたかったんだと思いますか・・・？結婚してて
14,になるエピソードの脚本を読んだ時、下條アトムはこう思ったげなばい？『この脚本家は、［鬼］ってモンを、ちっとも解っちゃいないねェ？私の師匠は
15,。これはこれでよかった。普通に本棚にしまえた。次は、ある脚本家に色紙に書いてもらったサインである。直接会うという知合いに頼んで書いてもらったもの
16,人、舞台を作る人、などいろんな人がかかわっています。近松はその人形劇に脚本家として貢献したと言うことです
17,の機会なので…」との思いで、受験を決意しました。富良野塾とは脚本家の■■■氏が未来の演劇関係者を育てるために北海道富良野市に開いた演劇を学ぶための学校で、
18,』では江戸川乱歩賞を受賞、黒木瞳（四十三才）主演で映画化された。作家としても脚本家としても絶頂にあったはずのなかで選んだ死。遺体の傍らに置かれ
19,呼びます。時間こそが心の傷の妙薬なのです。■森田芳光（映画監督、脚本家）◇ｈｔｔｐ：／／ｂｌｏｇｓ．ｙａｈｏｏ．ｃｏ．ｊｐ／ｅ＿ｄｒｅａｍ２１／２５７２３７６０．ｈｔｍｌ何より大事なことは、ひたむきな向上心を持っているかどうか
20,』など。大島渚は前掲論文「それは突破口か？」で増村、中平と脚本家の白坂依志夫を《近代主義者》と規定し、《スピーディなセリフ、ダイナミックなアクション。烈しい場面転換
21,をつけずに、知り合いの家のプールで泳いでいると、そこへ、ルビッチの脚本家のひとりがやってきて、このアイデアを彼女に話した。イメージ・チェンジをはかり
22,少しでも潤いを与えてやるために、傑作を残してやるのだ。素晴らしい。脚本家の父親はかくあるべきだ。こんなことを臆面もなく公開文書の中で書け
23,、映画『東京少女』への出演など女優としても活躍する傍ら、８月の『東京少女岡本杏理』で脚本家としての活動も開始したマリカちゃん。今回も、自身の出演作の脚本を手掛けるらしいです
24,とこないのですが・・・。いや、これは悪いのは美海ちゃんではなく脚本家なのだろうけど。ただの変態ですよね、白いマキナの人・・・
25,！」連載二十回何をどう着ればオバサンっぽく見えないか。ドン小西ゲストうちだて・まきこ（脚本家）千九百四十八年秋田県生まれ。武蔵野美術大学卒業。三菱重工業勤務を経て脚本家に。ＮＨＫ連続テレビ小説「ひらり」「私の青空
26,踏み込もうとした時。これはそれなりに決断を要したものである。ラジオの脚本家になったが、昭和三十年はじめにラジオドラマは次第に衰退していく。新劇のために書い
