,0
0,）おもしろかった本の紹介『資産は都心に回帰する』（本郷尚、週刊住宅新聞社）の著者は税理士ですが、資産税に強く、不動産に明るく、そして明確な哲学を持って
1,、あえてこの目次を使って、構造化を求めてみよう。目次とは、その本の著者が認知している構造であり、読者の認知構造ではない。そこで、もう一度自分なりに構造化すること
2,から派生した言葉です。また、「鎖につながれて」とあることから、著者が獄中にいることがわかります。パウロは使徒言行録二十六章二十九節でアグリッパ王に次のよう
3,１人しか乗っていないアメリカ人の車の使い方を非効率的であると批判している、この記事の著者は完全に間違っているのでしょうか。ドライバーたちはそれぞれ個人としての判断では効率的な行動
4,よく覚えている。少女の心をくすぐるタイトルに惹かれて手に取ると、著者は、レモンちゃんと呼ばれる文化放送の人気ＤＪと分かった。カバーには、目が大きく
5,となり、採用されたのが矢代案であった。こうして出来上った美術研究所を著者は千九百四十二年まで主宰されたのであるが、この間に著者の学問の分野は自然に
6,。そんな喪失感が、切なくやさしく描かれた短編小説集。小説チルドレン伊坂幸太郎講談社千五百七十五円吉川英治文学新人賞受賞の著者の受賞後第１作。家裁の調査官が担当した少年の万引き事件。面接をした少年と
7,のガリア征服です。しかし、トライアヌスは、ダキア民族を同化するのではなく、地上から抹殺します。著者の塩野さんは、ガリアとダキアの違いを次の様に整理しています。カエサル
8,から、甥が銅についての本を書いたという旨の手紙を頂戴した。著者の藤野明博士は、専門は原子力である。銅との間柄は、いわば老後のお遊び相手らしく、
9,全体を向上させる機会、ということを基本に捉えていることがよく分かります。著者は、永年米国で医療の現場で働いてきた五十代の女性。慈愛あふれる優しいまなざし
10,をこらえる姿がいたるところで見られた。花束を贈呈されお礼のスピーチをする著者上の写真が載ったアルバムⅡをプレゼントされる’九十二年３月三十一日、オーケストラ・アンサンブル金沢の演奏会で
11,書いたとトムは信じる｝。（４）ザ｛［『形而上学』の著者］が『形而上学』を書いた｝，とトムは信じる。トムは知らない
12,磯」のモチーフの原形だったというのだから、いよいよ、びっくりしないわけにはいかない。著者の「東海の歌」論は、（一）「暇ナ時」主潮との発想関連分析、（二
13,『呉越春秋』は春秋・戦国時代の呉、越両国の史実を記しているし、『越絶史』（著者は未詳であるが、袁康という説もある）は、呉、越、楚の史実
14,のこの話が、どこまでフィジー全土に普及してるのかはさだかでない。トーレンは著者への私信の中で、意外な情報だと驚いている。けれども呪術師は
15,先生専用の本だなに行って、魔道書を取り出してみる。「黒の秘術、上巻。著者ゲールラッハ…。おもしろそうですね。」キャスリーンは本を抱えて席にもどった
16,ており、また第二刷での改訂には盛り込まれなかったものが大部分であった。そして著者の改訂のための書き込みは体系的ではなく、それゆえ、ある個所である改訂がなされてい
17,母が同名異人のサラをつうじて主人公のうちに復活したため、『トレブリンカ』の著者の語っていたユダヤ的輪廻観を逆にたどって母の位置が祖母に変わったものか
18,ずに、「申し訳ありません。間違えました。お許しください」と素直にお詫びせよと著者は説く。自分に責任はないという態度を示してはいけないのであり、「日本で証券営業を
19,言えよう。つまり、文中にどのように理解しにくい専門用語が並んでいても、それは著者がある雰囲気を醸し出そうとして、わざと陳列したものであり、個々の言葉の用法
20,，自己統治主体である親などによる教育課程開発のための実質的には最高の共同審議決定機関になっている。著者は，政治的で不当な干渉を防ぐ観点から，議会関係者を依然として５名含ん
21,として取り組んだのは、ジャイロ機構の力学であった。当時は、宇宙開発の黎明期で、著者が大学二年生のとき（千九百五十七年）に最初の人工衛星スプートニクが地球のまわりを回った。
22,にできないとは、能力の違いのためとしかいえないのではないだろうか。著者の意見では、中国の指導者たちのような先見力に欠けている人物が、日本の
23,京都へ帰る。以後、再び関東の地を踏むことはなかった。『歎異抄』の著者とされる河和田の唯円は、一説に、京都へ戻っていた親鸞を訪ねて
24,この三十年前の問いが甦った。そうだ、『先住民族言語のために』にしよう。著者千九百九十九年三月
25,のままです。不思議な箱でした。左下の写真の貯金箱は、千九百八十八年に著者が宮崎県の観光みやげ店で入手したものです。そのときは珍しいもので大喜びしましたが
26,、途中でやめてもよい本の判断が早い。そしてこの、好きな作家、著者の本や好きなテーマの本をすべて集め、読むということは、自分の文章
27,をもったからだった。報仏寺（真宗大谷派）住所●茨城県水戸市河和田町『歎異抄』の著者とされる河和田の唯円（真佛寺開基の平太郎真仏の弟平次郎）が千二百四十（仁治元）年に
28,にみずから進んで身を投じた戦後の歴代米大統領たちの参戦記。文・平間洋一はじめに著者が昨年（千九百九十四）八月に訪米したときに米国の国立公文書館入口ホールに、写真パネルが掲示され
29,成功しました」的な、よくある類の本かと思っていたのですが、著者のするどい発想に引き込まれてしまいました。眺望を重視したマンション投資法や、物件資料の月並み
30,指導を受けるため「ヴィラ・イ・タッティ」の門扉を叩いた人々が少なくない。若き日の著者もその一人であり、しかも唯一の東洋人であった。が、優れた美術作品に対すると
