,0
0,、私の村ではそれを蓮華といっている。次には立山、剣岳、薬師という順序に雪が来て、やがて、この連嶺が白くなると、鍬ヶ崎、東笠
1,は、屈強な男が死んだのだ。お上人はかって知ったる境内を歩き、薬師の湯と看板が上がっている湯殿の前を過ぎ、花染の湯や無漏の湯
2,に瑠璃殿（収蔵庫）が新しく建ち、広々とした空間の中で、堂々たる薬師三尊像を拝することができた。左手に薬壺をのせ、右手を施無畏の印で結ぶ
3,笑）。滝に打たれて修行もダメ（獏）地下二千ｍより湧き出す源泉「薬師の湯」。「温泉成分分析表」肌触りのイイお湯です。脱衣所の飲料水も…こういうコップに
4,、イラストレーションなどによって、派手な内外装を施したトラックの総称。デコレーショントラックとも。薬師の前でなぜか霊柩車の話になっている以上、自主的にみうらさんを促して退出する
5,ゆっくり一座を見廻した。「私は薬師如来のお力を信じています」「薬師？」誰かの小さな呟きに、元明は胸を張って応えた。
6,とか薬師堂とか聞くんですけど全部何かつながりがあるんでしょうか？それともただ「薬師」って言葉に何か意味があるんでしょうか。薬師如来は西方極楽浄土の阿弥陀如来に対して東方浄瑠璃界の
7,によって、全身の膿を吸いとられることとなったが、こと終ると患者は自ら阿閦仏（薬師と同じような仏）の化身であることを明らかにし、室内は光明と馥郁
8,兄弟分だという伝承はこの地方のオシンメ様を思い出させる。檜枝岐では産神は地蔵や薬師といった境の神で、荒神は盲、聾、啞の三重苦を負った非常に
9,がいます。これが「十六善神」と一般にいわれているものです、これは薬師十二神将に四天王を加えたものとされます。なお、薬師寺金堂の薬師如来の台座
10,の起源は鰐を神格化したヒンドゥー神クンビーラ。神道的にはオオモノヌシ、仏教の世界では薬師十二神将の一と解釈される。庚申ほどでないがさまざまに変容する神だ。ここは予て
11,、四歳のころに日向で下痢の続く伝染病に罹り、ほとんど死にかけたそうだ。薬師の努力や母の必死の看病もあったが、蘇ったのは奇跡に近かっ
12,一体には県文化財指定とある。続いて阿弥陀如来、奥のケースには阿弥陀、大日、薬師、観音、独立ケースには四天王像、二階にも数体がある。これらの中でいちばん
13,阿弥陀如来座像▼本山慈恩寺（山形県寒河江市）…阿弥陀如来座像、騎獅文殊菩薩、騎象普賢菩薩▼勝常寺（福島県河沼郡）…薬師三尊像（平安前期）、聖観音立像（平安前期）、地蔵菩薩立像二体（平安前期）、四天王像（平安前期）
14,たり。そういう動きがボスでの基本的な動きになってますね。僧と薬師が両方いる場合、「導音〜奏水」も有効です。３人連携技能で、僧と薬師
15,に深沙大将。寺側の説明によれば、これはきわめて珍しいことだと言う。確かに、薬師を降三世と深沙が護る形は初めて見た。明王系の仏像が好きな
16,まで概ね公家かそれ相当の家柄の出身者が任命されていた。しかし文観はしがない薬師の息子で、出身も播磨の北条寺という小寺である。東寺や高野山金剛峯寺の高僧からみれ
17,にしても相模湖よりぐっと静かなのがこちらの湖。津久井湖園地のサクラ，三井大橋上，峰の薬師，城山から見る景観がおすすめ。■城山湖本沢ダムでせきとめた湖だが，津久井湖
18,。茨木童子を落とされたのだ。姫様は、朱桜の友人で義姉だ。一応薬師だし、医術も使える。鬼ヶ城へ招かれても、何の不自然もない
19,薬師が両方いる場合、「導音〜奏水」も有効です。３人連携技能で、僧と薬師の組み合わせでしか乗れませんが、双方に同時に詠唱をつけることができるのが最大
20,菩薩を補処の菩薩と呼んでいる。釈迦如来に随侍の文殊・普賢、阿弥陀には観音・勢至、薬師には日光・月光のように三尊の形式であらわされている。像容はインド古代の貴人の
21,行基がこの巨岩を見て薬師如来の薬壺を感得し、一宇を建て、一刀三礼の薬師を刻んだのが寺の開基と伝承されている。初めは幸福寺といい、法相
22,湯小屋の周り参拝客が普通に歩いてるんですよ…なのに窓全開〜〜（´Д｀；）「薬師の湯」入口も窓も全開丸見え――――――っ！
23,僧が村々をめぐり歩いたのだという。磐梯明神の本地仏は薬師如来であり、大頭・小頭は薬師の脇仏である日光・月光菩薩の象徴であろう。春に行われる船引祭では、明神舞が奉納され
24,は多少ちがいますけれども。この宝慶寺の龕仏群は同時にまた、薬師寺東院堂の聖観音像や薬師三尊像の造形表現、表現形式とよく似ていて、影響があったと考えられますから
25,の薬湯参拝客（入山料五百円）は自由に入浴が出来ます（＊’▽’＊）★薬師の湯男女入替眼病★古滝の湯女湯
26,そうさせるだけの巧みな仏像が集中しているという証拠にもなる。さて、薬師の両脇を護るのは十二神将。さらにその外側に控えるのは右に降三世明王、
27,弘長年間には既に荒廃に帰し、天保十一年には大同の建築も失われ、只薬師と四天王及び十二神将の像が残るばかりとなった。明治十二年再び火災に遭った
28,になるとすぐに尾根上に出る。ここで左へと折れ、十分ほど登れば薬師ノ肩に到着だ。この丁字路を左へたどれば７、８分で薬師岳の山頂だ。
