,0
0,の手を引き、破れたドアから外に飛び出した。あとから、遅れて行員が何人も駆け出してくる。彼らを見て黒服の男二人が逃げる。それを
1,うわさ的なものは出ておりますが、是非そういう意味では、足利銀行の内部の行員のそういう待遇といいますか、その辺についてもしっかりそういう立場を尊重して
2,にうつ伏したよ。それじゃ強盗にならないんで、腹からビニール袋を取り出して、行員にチャカ突きつけて『てめえ、早く金入れろ！』と言ったら、いやあ速い速い、
3,集めたり、融資の話をまとめて融資課に持ちこむといった営業なんですが、都市銀行の行員なんてのは、どっちみち信用が第一というだけのくそ面白くもない連中だと思って
4,よ。ベル押すヤツなんていやしない。客は一斉に床にべったり伏せたし、行員はテーブルやカウンターにうつ伏したよ。それじゃ強盗にならないんで、腹からビニール袋
5,。千八百万円ね。最後に笑ったのは、その袋持って出る時、女の行員が『毎度ご利用ありがとうございました』ってお辞儀しやがんの、ハッハハ…」「ハッ
6,銀行の姿勢を理解できないとする者が多いが、日本の銀行でも中堅クラスの行員の中にはこうした姿勢を批判的に見つつ、早期再建の必要性を内々指摘する
7,銀行の口座に振込入金処理をなさしめているが，この点については，Ｂが他の行員による照査の手続を経ないでオンラインシステムの端末機を操作して送信を行う，いわゆるダイレクト送信
8,れる取引企業に多く見られるタイプだけに、無下にはできないのです。現場の行員としては支店長など支店幹部への遠慮もあって、面倒な資料請求は行ないにくいものです。
9,を貸すくせに、「借入理由」の欄に「古書買入」と書くと、とたんに行員の顔が厳しくなる。この理由ではまず稟議を通りませんね、とニベ
10,しないの。ドラマみたいにバッキューンとかじゃないのよ。それで、銀行にいた行員や客がポカンとしてるの。オレ、しょうがないからさあ、カウンターを撃っ
11,ます。というのも、貸金庫の形態がいろいろだからです。全自動のところから、行員が窓口に持ってくるような（物騒？）なところまで、千差万別です。値段
12,がはいったら、すぐに預金させるためですよ。われわれの現地事務所には、各銀行の行員がきょうはどの地主と売買契約が成立するかと、朝から毎日張り込んでるんですから。
13,流される予定である。ビデオに映った川田社長の表情は明らかに緊張しており、二万人の行員の命運を任されることになった重責がうかがえる。もっとも、川田社長は旧経営陣の取締役常務執行役員であり
14,」「そうなんだよ。この二件で十二年だとよ」「ついでに行員のひとりも撃ち殺してりゃ、無期だったのにね」「冗談じゃあないよ…。
15,誰かが休暇をとっていたりするとその分まで働かされます。しかも給料は行員の三分の一！！同じような方いらっしゃいますか？パートですけど同じです。正社員と
16,たところ、少し奥まっていることもあり、後列ベンチの足許はおそらく見えないだろうと思えた。現に行員は接客に専念していて、久藤には一顧だにくれなかった。外に出
17,ことは、考えていませんよ」「それなら、いいんですが、元の行員の事件でも、何か事件を起こすと、必ず会社の名前が出ますので
18,をつくらせ、自分も毎日のように、コートに下りた。学歴のない行員が多いため、学卒者を講師にし、輪番で毎日テーマを変えて勉強会を開か
19,当初から強気であった。「人事部勤務、十五年の中尾さん、貴方ならうちの銀行の行員の大半のことは熟知しているでしょう。この際お手並みを拝見したいものです。うちとして
