,0
0,たワット・タイラーＷａｔＴｙｌｅｒの有名な農民一揆が起こっているが，ボールはウィクリフの教えを説く説教師であったのである．フスとフス戦争ウィクリフよりさらにラディカルな運動に発展したのが，
1,言及することによって、教会に対する王の優位を常に主張しつづけた。有名な神学者であり説教師でもあったランスロット・アンドルーズは、旧約聖書を同じ目的で使い、火薬事件の記念式での演説
2,。作者の故郷）のへんまで行くつもりなんだ」トムはジョン伯父ととっつぁんと説教師が、テントの柱に防水布を張っているのを、そしてまた、なかにひざまずいた
3,ようにそっけなかった。この事典、男の人たちが検閲したんじゃないの？ヒルデガルトは説教師で著述家で医者で博物学者で作曲家だった。そればかりか、「中世の女性は
4,馬丁の裏部屋には気をつけたほうがいいですね。さもないと、その説教師というのにいきなりやりこめられることになるでしょうから。」「ご心配にはおよびませ
5,終わり、反キリスト到来の報に人々は無関心のままである。千四百年代に最も説得力のあった説教師のひとり、サン・ベルナルディーノ・デリ・アルビッツェスキ・ダ・シエナ（千三百八十―千四百四十四年）を取り上げてみると、その人気の秘密は、倫理
6,という関連記事が載っていたが、それを書いた若い記者はさいわい勉強不足で、説教師のババと私とコンラッド・フレッチャー殺しとの結びつきに気づいていなかった。まったく近ごろの若者と
7,フーガのうねりのうちに、とどろきわたるようになったのである。中世末期になると、説教師の言葉に加えて、この思想の新しい表現形態が登場した。すなわち、木版画であって
8,と人差し指でその名刺をつまんで立っていた。何者なの、この人？説教師？ラジオ番組でそういうのをやっているのかもね―生活を改めろ、と
9,た。ジョン・バニヤンは『天路歴程』の著者として有名だが、彼もまたそうした説教師の一人だった。しかしそのような考え方はそうした人々に限られたもの
10,二輪馬車でイルチェスターまで迎えにゆくんだ。おとなも赤ん坊みたいに水で洗うバプティストの説教師なんだ。母さんはそれを聞きにゆくんだよ。うちの父さんみたいな酔っぱらい
11,抑制すべき新たな文書の公布、という形をとることが少なくなかった。他方、説教師のほうは、有力と見なした聴衆を前にして、しばしばその権力を行使する
12,た現象は多くのソウル・シンガーのステージ・アクトの一部となった。会衆の応答を得る説教師の率直な呼びかけが教会の礼拝の一部をなすいっぽう、より複雑なゴスペル・スタイルが練習
13,ディドロによれば、この幸せな島は自由恋愛を謳歌している。だからといって、キリスト教の説教師が予言するように汚らわしい、みだらな状態に陥るようなことはない。それどころか、怯え
14,心を見透しているようで、あなた、パンクをやらしておくのはもったいないわ。宗教家―説教師にでもなったほうがいいんじゃない？」キッドは顔をしかめた。
15,コンセンサスなのだ。自国のサイロが核兵器でいっぱいでありながら、核兵器の保有を批判する説教師は、まさに、他の国々にみずからの例にならえと強要していることになる。端的に
16,、アイルランド人、それにスコットランド系北アイルランドの自由農民であり、瘦せていて、そばかすだらけの者たち、歌手、説教師、闘士、曾祖父アンドリュー・マキンレー“ドック”フェルのようなウイスキー・メーカー、そして、いく人かの叔父
17,をもとめることを重視した。これに対して，紀元前１世紀ごろから，一般民衆ならびにその指導者であった説教師の間で，自分の悟りをもとめるという自利とともに慈悲の利他行を重んじ，
18,が、時がたつにつれてムハンマドの言葉に帰せられていったこともあろう。また、説教師が、自分の説教を権威づけるためにハディースを偽造したこともある。だが、このような
19,ところなんだ」フレンシイはその間、ネイサンを瞶めていました。「おい、説教師の子供。うちの親父が言っていたぞ、お前の親父は夏まで続かない
20,わざとらしく元気よさを装いながら、ウルフが尋ねた。「母さんの気に入っている説教師のことさ」とロビーが口をはさんだ。「ミスタ・マンリーの友だちのビアード爺さんが二輪馬車
21,である．その主要な支持基盤となった中層以下の都市民は，千四百二十一年後半から翌年初頭にかけて説教師ジェリフスキーが指導したプラハにおいて一時的に進出した．終末論の影響を受けた彼らは君主制
22,。また彼は、既成の修道士がホィットフィールドへの説教壇の提供を拒否すると、あらゆる説教師が利用できる会議堂の建設資金を寄付している。こうした敬虔主義と合理主義との協調関係は、
23,ことが、その表情からはっきり見て取れた。彼女は、イルチェスターからやってくる説教師にたいする取りとめのない礼讃の言葉を並べた。部屋じゅう、その高名な人物とかかわる
24,、あっても輸入盤はあまり手に入らなかった。千九百六十二年正月には《ファンクの説教師》と言われたピアニストのホレス・シルバー・クインテットが初来日した。シルバーと言えば、彼の『
25,は廃止されたが、イギリス人の生活からは消え去らなかった。イギリスの最も有名な説教師の一人ジョアンナ・サウスコットは、千七百五十年に生まれたが、神の声を聞きはじめたときにメソジスト派
26,あれほんとのこと言っとるんじゃとしたら―さっきの男がじゃ？」説教師がこたえた。「ありゃあほんとのこと言っとるじゃよ。あの男にすりゃあほんとのことをじゃ。
27,あらかじめおこなうこと）をおこなわれることになった。そのついでに安居院の聖覚を唱導（説教師）として、聖道の諸宗のほかに、別して浄土宗があるわけがない理由を述べ
28,礼拝の音楽の演奏にはいりこんだことだ。そうした行為に熱をいれすぎた説教師が、礼拝中に卒倒することも珍しくなく、そうした現象は多くのソウル・シンガーのステージ・アクト
