,0
0,てはならない。また、合衆国の公職にある者は、その在職中、いずれの議院の議員にもなることができない。第七節（１）歳入の徴収に関するすべての法案
1,記載した資産等報告書を、同日から起算して百日を経過する日までに、その国会議員の属する議院の議長に提出しなければならない。３前項の規定により提出された資産等報告書については、第五条
2,さらに「宣戦講和及び条約の締結」、「戒厳」令、大赦の宣言についても「法律」あるいは議院の同意を必要としたのである。これに対して大総統を拘束する参議院は、第十九条
3,この職務の重大さに深く思いをいたし、公正を旨とし、誠心誠意事に当たり、議院の円満な運営に全力を注ぐ所存であります。何とぞ、よろしく御支援のほどお願い申し上げまし
4,は、議院の補助的権能であるから、調査の目的は、立法、予算審議、行政監督など、議院の権能を有効かつ適切に行うためのものでなければならないし、調査の対象と方法に
5,の提出を求める強制的な権限が付与された。また、本条を受けて、「議院における証人の宣誓及び証言等に関する法律」が制定されている。（２）国政調査権の
6,ている。それぞれの議院の最終意思決定は本会議でおこなわれるが，実質的な審議はそれぞれの議院に設置されている常任委員会（衆議院に十七，参議院に十七）や必要に応じて設け
7,証言並びに記録の提出を要求することができる（六十二条）。４質問権…内閣総理大臣・国務大臣に議院へ出席し答弁・説明することを義務づける（六十三条）。〈司法に関する権限〉弾劾裁判所の設置…罷免
8,なった日から起算して三十日を経過する日までの間）に、その国会議員の属する議院の議長に提出しなければならない。（資産等報告書等の保存及び閲覧）第五条前三条の規定により
9,行使といえども、人権を侵害するような調査が許されないのは当然である。たとえば、議院で証人喚問され、思想・良心の自由の保障に反するような証言を求めることはできない
10,を除いては、国会の会期中逮捕されず、会期前に逮捕された議員は、その議院の要求があれば、会期中これを釈放しなければならない。釈放許して放つこと。身体の
11,この際、証言を求める前に証人に一言申し上げておきます。昭和二十二年法律第二百二十五号、議院における証人の宣誓及び証言等に関する法律によって、証人に証言を求める場合には、その
12,た議員で組織される。また、選挙人は、各州において、州議会における最も議員数の多い議院の議員の選挙人資格を有していなければならない。（２）二十五歳未満の者、七年以上合衆国国民でない
13,応える国政調査の『機能』を強調する趣旨ならばともかく、調査権の『法的性質』として、議院の憲法上の権能と直接関係のない情報提供を目的とする国政調査まで認めるのは、
14,その法案の通過に同意した場合は、法案は大統領の拒否理由と共に他の議院に送付され、他の議院でも同様に再審議が行われる。再び三分の二をもって可決さ
15,てその拘束をとくこと。在監者の拘禁をとくこと。第五十一条両議院の議員は、議院で行つた演説、討論又は表決について、院外で責任を問はれない。演説道理
16,補助的権能説が通説となっている。（３）国政調査権の範囲と限界国政調査権は、議院の補助的権能であるから、調査の目的は、立法、予算審議、行政監督など、議院の権能
17,により任命され選挙はありませんでした。皆さんお金もちでしたから、案外穏健な議院だったようです。又、公家や殿様の子孫ですので「天皇」に対して
18,この際、証言を求める前に証人に一言申し上げておきます。昭和二十二年法律第二百二十五号、議院における証人の宣誓及び証言等に関する法律によって、証人に証言を求める場合には、その
19,議員の釈放要求権この点については、既にのべた（第十四章Ⅲ３参照）。２）議院の資格争訟の裁判権両議院は、「各々その議員の資格に関する争訟を裁判する」（
20,が国権を統括するための独立の権能と解する独立権能説と、もう１つは、国政調査権は、議院の諸権能を有効かつ適切に行使するための手段と解する補助的権能説である。（１）この両説
21,私は法律上非常に不可能だと考えております。○西村（眞）委員これから議院の国政調査権についてちょっと触れたいと思います。行政と立法は、同じテリトリーを守るという
22,損害ニ於ケル防遏ノ手順如何右議院法第四十八条ニ依リ質問ニ及ビ候、国務大臣ハ議院ニ出席シテ答弁アランコトヲ望ム１議院法第四十八条第四十八条は、両院議員は三十名以上の賛成者をえて
23,の自律権」とは、憲法上独立した地位により、各議院が他の国家機関や他の議院から干渉や監督を受けることなく、その内部組織および運営等に関し自主的に決定できる権能を
24,この際、証言を求める前に証人に一言申し上げておきます。昭和二十二年法律第二百二十五号、議院における証人の宣誓及び証言等に関する法律によって、証人に証言を求める場合には、その
25,Ⅶ議院の権能１．議院の自律権（１）序説「議院の自律権」とは、憲法上独立した地位により、各議院が他の国家機関や他の
26,はいう。英人は数百年来議院によりて治められたり。政治家の成功秘訣は、巧みに議院を御するにありし。クロムウェルが議院制御の術に巧みならざりしもの、実に
27,五分の一の要求がある場合は、議事録に記載されなければならない。（４）いずれの議院も、連邦議会の会期中、他の議院の同意がなければ、三日以上休会し、または、
28,に記載されなければならない。（４）いずれの議院も、連邦議会の会期中、他の議院の同意がなければ、三日以上休会し、または、その議場を両議院が開会中の場所の
29,として行なわれる。第五十三条内閣は、国会の臨時会の召集を決定することができる。いづれかの議院の総議員の四分の一以上の要求があれば、内閣は、その召集を決定しなければならない。第五十四条
30,に議席を有すると有しないとにかかはらず、何時でも議案について発言するため議院に出席することができる。又、答弁又は説明のため出席を求められたときは、出席し
31,Ⅶ議院の権能１．議院の自律権（１）序説「議院の自律権」とは
32,資産等補充報告書を、その翌年の四月一日から同月三十日までの間に、その国会議員の属する議院の議長に提出しなければならない。（所得等報告書の提出）第三条国会議員（前年一年間を通じて国会議員であっ
33,衆議院議長として申し上げるのではない。閣下の同郷（山口県）選出の衆議院議員として申し上げるが、いまこの議院の周囲は激昂した民衆に取り巻かれています。政府がここで解散すれば、この
34,に署名し、承認しない場合は拒否理由を添えてそれを発議した議院に還付する。その議院は、その拒否理由の全部を議事録に記載し、法案を再審議する。再審議の結果、その
35,が通例だが，複数の政党やグループが一緒になる場合を統一会派と呼ぶ。議院の運営は会派をもとに協議が進められ，所属議員数によって，人員・質問時間等が割り当てられる。
36,は、反逆罪、重罪、および公安を害する罪の外のあらゆる場合において、会期中の議院に出席中、およびこれへの往復途上に、逮捕されない特権を有する。また、議員
37,が承認する場合はこれに署名し、承認しない場合は拒否理由を添えてそれを発議した議院に還付する。その議院は、その拒否理由の全部を議事録に記載し、法案を再審議する。
38,は、その拒否理由の全部を議事録に記載し、法案を再審議する。再審議の結果、その議院の三分の二がその法案の通過に同意した場合は、法案は大統領の拒否理由と共
39,争訟を裁判する」（憲五十五条）として、議員たるの資格に関する争訟の裁判は、議院の自律権を尊重し、とくにその議員の所属する議院の判断にまかせた。具体的には
40,。また，議員の特権として，１国会の開会中逮捕されない（憲五十条），２議院で行なった演説，討論または表決について，院外で責任を問われない（憲五十一条
41,Ⅶ議院の権能１．議院の自律権（１）序説「議院の自律権」とは、憲法上独立した地位
