,0
0,暑さを和らげ、冬は葉が落ちて日が当たり寒さを凌ぐことができました。まさに農家の知恵なのでしょうが、何より牛への愛情が伝わってくるエピソードです。競馬に
1,な高値で売れませんので、大玉になるように化学肥料を多くやり、夏潅水する農家が多いです。当然味が悪くなりますがやむを得ませんね、私も
2,とって大きな自信になったと思います。市場に出荷する作物を収穫したり、農家の人の話を聞いたりして実際の農業を体験することは、子どもたちの将来
3,美しかった。空気の澄んだ、星の降るような夜だった。遠くに見える農家の集落の明りが、暗闇の中のオアシスのようにキラキラと輝いていた。
4,。「コシ一族」が食味ランキング上位を独占している。高値が魅力に高値で売れるコシヒカリは農家に人気。０４年産は、全国一律に減反面積を配分する方式を改め、売れるコメに多くの
5,が、足元の経営危機にはなんとも鈍感だった。（中略）全国の農家から七十兆円近い貯金を集めながら、農協組織はおよそ金融機関の体を成していなかったという
6,高値ねらいの代表はネギである。イモ、タマネギなどは貯蔵可能期間が長い野菜である。有能な農家は「高値を待つゆとり」があるかどうかが分かれ目だ。値が安いとき
7,は大忙し。塩田は収穫を見届けるため、十月の刈り入れまで残ると言い出す。韓国の農家で、こだわりの米作りを体験する塩田貞治（左端）音楽題名のない音楽会二十一（テレビ朝日系＝
8,な係わり方ができる。実際に農業の本場を訪ね、本格的「援農」を体験することもできる。農家を支援するために国産農産物を宅配便で購入するだけでもよい。何らかの形で「農
9,、味噌がどこにあるか聞いてみると、前にどこかにしまった木更津の農家の味噌を見つけ出すのは容易ではないことがわかる。だしを取り終えてしまったので、
10,には、定番の「京都・奈良」でした。でも・・・３年前から、東北の農家に数名ずつ分かれてホームステイし、農業を体験するスタイルに変わりました。チョットぐれかかっている子供
11,は副業と言われている。しかし、それは専売局の説明で、この収穫・乾燥期間は農家は不眠不休である。二人で一釜を管理し四時間ごとに交替して火焚きとなり、専売局が標準
12,「基幹男女農業専従者のいる農家」とは，いずれも六十歳未満の男子及び女子の農業専従者がいる農家である。３）労働生産性は，自家農業労働時間当たりの農業純生産である。図Ⅲ‐８基幹男子農業専従者の
