,0
0,領主に対する宗祇の阿諛ととれなくもない。雪舟は自分と同年配のこの著名な連歌師を、内心軽蔑していた。雪舟は、この館にくるのを好まない。
1,と書かれている。連歌が盛んだった新在家町でつくられたというのだが、その連歌師の筆頭が玄哉だった。思いがけないところで現代のわれわれも、玄哉の文字どおり「
2,か『徒然草』第八十九段は、飼い犬を「猫また」と誤認して大騒ぎをした連歌師の話である。そこでは「猫また」とは、年をとった猫が変化し
3,、今井宗久のことである。さらに、同じく堺の津田宗及、山上宗二らの茶人グループ、里村紹巴らの連歌師、歌人の細川藤孝、神官の吉田兼見とともに、文人、光秀は、これら当時の超一流
4,では玄哉をはっきり一流とするまでの評価はないようだが、しかし専門の連歌師ではない町衆のなかで玄哉と並ぶほどの活躍をした人はほかに
5,が過大評価されてきたわけだが、玄哉こそが利休の師であり、しかもすぐれた連歌師だったのである。連歌では、それこそ新しい風俗であり、新しい語彙である茶の湯が
6,て、次のような歌を書いたという。宗作というのは相神浦方の連歌師の手光宗作のことで、そのころ、米糠ばかりを食べて飢えをしのんでいたらしい
7,たに違いないが、それほどの旅をしたわけではない。旅程についていうなら中世の連歌師や遊行僧のほうがはるかにすさまじい旅の生涯を送っている。宗祇などは中国、
8,かつては鈴屋（本居宣長）門下の紅一点とうたわれた才媛だそうな。田舎まわりの連歌師が面白半ぶん、さまざまに言い掛けしている場にたまたま行き合わせたが、即座に付句を返して
9,の『言継卿記』天正四年（千五百七十六）十月十一日条に「南町辻玄哉、今朝死すと云々、連歌師一人卒す、不便了（不便々々か）」という記事があり、この日玄哉が没し
10,この時代の京都の法華宗徒として知られる人たちに、豪商の茶屋家・後藤家、刀剣奉行の本阿弥家、連歌師の里村昌休などがいる。玄哉と昌休は法華宗でもつながっていたのである。堺
11,、いつ行っても拒まない娘もいて、まずまず大らかなものだった。連歌師の卵として諸国を巡るうちに、夜這いの習慣にもいろいろあることを知った。
12,というが、これは時宗の教団に入って阿弥号をもらった作庭家や猿楽師、連歌師や立華華道の名手たちのことで、こうした人たちによって、造園や建築が進み、
