,0
0,には、「風の栖」とある。曲がり家に隣接するフェンスで囲われた運動場に二頭の川上犬がいる。龍と完。いとこ同士の雄で、それぞれ六歳と二歳
1,ている。六年の体育委員のお兄さんも、手をとめて森を見ている。運動場を見わたすと、署名をしてくれたバスケットボールクラブの五年の女子も、職員席の給食の
2,へ子ども市立小学校施設開放を行っています。市立小学校では、学校教育活動に支障のない範囲で運動場や体育館、特別教室などの学校施設を地域の子どもたちにかかわる団体の活動の場として活用いただく
3,に運動場で行われた。春さきにしては冷たく、ときどき北風が、黄色いほこりをあげて運動場をふきぬけていく。ヘボン先生は思わず身ぶるいした。寒さのためだけではない。まだ
4,考えながら。何だかもうその先生が好きになったように思いました。いっしょに運動場を散歩しよう。先生は私の大の仲好しになってくださるんだわ…ところが、
5,新宿区立淀橋中学校は都庁から近いところにある。生徒数二百人余り、古い校舎とテニスコート５面分の狭い運動場がある。その周りには防球ネットが高々と張られ、その近くに桜などの
6,からそれらのスポーツ活動に参加することは一目瞭然である。半日休日ではない曜日には、運動場の片隅に寝ころがって友達と話をしていたりする生徒がまったくいないわけではない
7,に出ていき…というのは、私の思い過ごしだったのかもしれません。ふたりで運動場に飛び出して三十分も遊ぶと、ミッキーの耳や尻尾が赤くなってきたからたいへん
8,やよりさんのワークショップに出た。遠藤織枝さんのワークショップでは毎日新聞の畑律江さんと会い、運動場では福島瑞穂さんとも話した。専攻であるジェンダーとメディア関係のワークショップは期間中百二十も開か
9,家のすぐ近くに保育園の運動場が有り色気が無いのでオレンジ色の花が咲くケシ科のタネを蒔きました。上手い
10,全国的に子どもの体力が低下していると言われています。本校でも、休み時間に運動場でサッカーやドッヂボールをしている子がたくさんいますが、それが体力に結びついている
11,、まくしたて、どなりたてるおしかりのことばのほとんどが、わたくしにはいっこうにわからない。―運動場にも出ないで、ずずだまなどするとは何事か―という内容は、その
12,アービングさんは「わたくし考えますに、なぜ花子さんの手紙、この宿に配達されないで運動場に配達されたのでしょうか」と静かな調子で自問自答して「それは花子さんという女
13,目立たないほどに、道路に接して校舎が建つ。その正門と校舎をくぐり抜けると運動場があり、その向こうには新宿高層ビル群が眼前にそそり立つ。まぎれもない都心の学校である
14,遺構二十一である。一辺が約六十六メートルの正方形をしたこの建物の中には吹き抜けの運動場があり、雨天の際にはドーリス式の列柱廊の屋根の下で練習することができた。
15,行うことが指示された。学校現場では、「勤労奉仕」と表現され、当初は運動場の整備や清掃などの軽作業が多かった。日中戦争の長期化により、農村の労働力
16,など土地所有者または当該土地と借地契約を結んでいる者が、住宅建設（建売住宅を含む）、運動場、駐車場、資材置場その他の施設を設置するための土地の埋立てなど▼問合せ環境課
17,眠ると、緑色の夢をみそうな気がした。かるく瞼をとじる。運動場をへだてた教室のほうから、子供の頃に教えられた懐しい唱歌が聞こえてくる
18,有罪を裏付ける書類が、雪崩をうって法廷に提出された。翌朝、被告たちが運動場を離れようとするなか、カイテルは踵を打ちならして姿勢をただし、独房棟へはいる道
19,遺構二十は、パライストラの北に広がっている。これは、長さ約二百二十メートル、幅約百メートルの運動場のまわりを四棟の列柱館が囲んでいるもので、東側の細長い列柱館の内部には
20,。●保険料大人千五百円中学生以下五百円学校体育施設利用について小中学校の体育施設（体育館や運動場）を利用したい団体は、町に登録手続きが必要です。窓口は高田体育館または各公民館に
21,大きな奴を以て任意これを敵中に発射する仕掛である。いくらダムダムだって落雲館の運動場から発射するのだから、書斎に立て籠ってる主人に中る気遣はない。敵といえども弾道の
22,た。私を、雪の降るなかを校庭の隅に立たせておいたり、運動場の端から端まで無理矢理片足跳びをさせたりするのです。この上級生には手も
23,、そうや」「土砂が崩れそうだぜ」「どっしゃー！」「先生、運動場で遊んでいいですか？」「うん、どうじょ」【なんとなく名前が
24,，助成措置を講じている。その結果，公立小・中・高等学校の施設開放率は，昭和五十九年度において体育館七十八．七％，運動場七十八．五％に達している。さらに，昭和六十二年５月には改めて通知を発し，一層の開放
25,奨励します。ところが、新しい学制が施行されてまだ十年程度しか経っていないこの時期、運動場すらない学校が多く、学校側は困り果てます。そこで、いくつかの学校が
26,載っていた。「千九百四十五年（昭和二十年）７月９日午前３時五十分、軽川国民学校の運動場からは明かりがもれ、笑い声が聞こえてきました。そこには長い旅を終え
27,十三時から十四時）十二時半に学校へ行って職員室で監視責任者の道具一式を預かってカンカン照りつける運動場を端から端まで横切ってプールまで歩きました。この監視責任者の道具一式っちゅうのが
28,頭を擡げていきなり走り出す恰好に、どことなくお転婆なところがありました。運動場の石畳に鳴る彼女の勢いのある陽気な足音も私にはお馴染になりまし
29,、８日には、町総合運動場をスタートし県民の日イベント会場を通って、東雲公園を経由して運動場へゴールする十三キロコースのふれあい健康ウォークが開催されました。七百五十人の参加者が車塚古墳を横に見
30,た。運動場のようなグラウンドに降り立ち、待ちかまえていた県知事のオズギョル氏と会談した。運動場に張ったテントは灼熱の暑さであったが、知事は地震後直ちにイスラエル、スイス、
31,ございます。これは一般論で、恐らくその数字というのは、体育館でありますとか運動場の利用とか、そういうことであろうと思うのですよ。ただ、私はもう一つ
32,ふるっていた春吉君が、ふと顔をあげて南を見ると、学校の農場と運動場の境になっている土堤の下に腹ばって、藤井先生が何か土堤のあちら側に
33,や」ヘボン先生はまさかと思った。あすは晴れますように。ピアノは運動場へ出せないから伴奏はオルガンになる。それでもええ、今夜は指に血が
34,に歌わない。掃除といえばびしょびしょの雑巾で拭いていて、よく絞らない。運動場の真ん中に立っていろといえば、喜んで立っていて少しも反省しない。カーテン
35,の授業があった。ショウタの通う小学校は、狭い敷地いっぱいに建てられていて、運動場は校舎の屋上にある。アスファルトで固められた運動場には、トラックの線が
36,４運動場は修羅場さて、草間由紀の恨みを一身に担う会田健治とても、ハリコノトラや、
37,鉄道引込線、教育学校施設、常時八十人〜百人を収容する監獄、大小多数の研究室と教練用馬場、大講堂、運動場と神社まで―の建設が約一年余をかけておこなわれた。周囲に高電圧電線を
38,たのだった。二回目の実地試験の日、太陽が真上からじりじりと照りつけるアンダーソン学校の運動場で待っていると、ビキシーと息子のウィリーがにこにこ顔で隣のシティ・ホールから出てき
39,北海道に向かうのですから当然のことでしょう。手稲に着いた拓北農兵隊の人たちは、運動場での歓迎会の後すぐに、宿舎に移りました。三浦牧場の牛舎を改造した
