,0
0,でぼくは、あれほどきちんとした身なりをし、義父からもついに認められ、あの銀行員からはうやうやしく扱われて、実に居心地のいいひとときを過ごしたのである。それは
1,「大嫌いですよ」と川原拓也はいった。「融資を受ける必要さえなかったら、銀行員とは死んでもつき合いたくないですね」「それはまたひどいいいようです
2,銀行・企業双方がマナーを心得てさえいれば比較的簡単なことです。◆企業側からみた銀行員のタイプ次に、企業側からみた銀行員のタイプを見てみましょう。〈紋切型
3,。数字に疎く、計数などは銀行が判断すべきことだと考えているのか、銀行員を満足させる計数報告ができないタイプです。これでは協力しようにもしようがありませ
4,銀行内で行員の不正事件を暴いた際、刑事さんから、「部長の目は、とても銀行員のものとは思えない。厳しい方ですね」といわれたことを自慢に
5,のことだった。ほぼ同時に境ケイ―旧姓太田ケイも取調室の椅子に腰掛けた。銀行員の妻に収まり、五歳と二歳の女の子の母親でもある。重要参考人の一人である
6,たものと推察されます。千九百九十一年以後十数年間、金利引き上げ交渉の経験がない銀行担当者、特に若手の銀行員が、金利引き上げ交渉をする際にも、味方になるのが、企業格付けと言えます。銀行
7,法律家に事業をやれといったら到底出来ないのである。何かの本で、銀行員が経営者にいろいろと融資の条件をうるさく言うものだから、怒った経営者が「
8,も立とうものなら、睡眠不足になって健康にもよくありません。お坊ちゃま育ちの銀行員は、基本的にこうした汚れ仕事に手を染めません。彼らにできることは
9,「相性」という部分を含めて検討してください。◆銀行員からみた経営者、経理担当者像銀行員は毎日大勢の顧客と接しますが、顧客のなかには実に様々な経営者
10,飯島愛さんの地元はどこですか？お父さんが銀行員って本当ですか？飯島愛は東京都墨田区亀戸出身です。著書「プラトニック・セックス」に父親は銀行員
11,の内川井健男（ニューヨークＴＫＲ代表）十年ぐらい前の冬、カリフォルニアで私（川井）が銀行員をやっていた頃の話だ。カリフォルニア州政府銀行局から検査官がやってきた。当局の
12,です。〈夢のみ語る型〉銀行員には最も対応しづらいタイプ。企業の実情は銀行員のほうがより把握している場合が多く、同業者の情報入手も容易で比較検討がしやすい立場
13,というような「商品の条件変更」交渉においても、「格付けのルール」があることを銀行員が丁寧に説明することによって交渉がスムーズにはこぶことがあります。３金利アップの交渉が
14,は不向きに違いない。銀行員も自己正当化の傾向が強いから証券営業に不向きかもしれないが、銀行員には証券マンにはない別の優位がある。先の本によると、見込み客の
15,んだ？」「おれだって詳しいことは知らないにひとしいけどさ。おやじさんは銀行員だとか聞いたことがある」「銀行員か…銀行家ではないんだろうね。ただの銀行員
16,現代にも通用する原理原則です。企業も銀行交渉の窓口となる人物を冷静に判断し、銀行員が企業担当者をどのように考えているかも勘案したうえで、適切な対応をとるべき
17,那珂川町内でも「オレオレ」と名乗る電話がかかってきたことや、振り込む寸前で銀行員に声をかけられて気付き、振り込まずに済んだという事例も起きています。
18,、わずか五百部のささやかな詩集が出版されます。詩人は、哲学出身の外国為替を担当する銀行員でした。詩集『プルーフロックとその他の観察』は、哲学と文芸の間
19,会った。冷たい印象を受けないこともなかったが、確かに美人だった。銀行員は早めに身を固めた方がいいと言われる。貴之は三十歳を過ぎて
20,て思ったのですが（家事は２人同様にやっていますが）、営業マンとか銀行員と結婚していたら、洗濯するのは、下着、靴下だけ、Ｙシャツとスーツはクリーニングでしょ
21,リストラせずに不良債権をゆっくり処理していても銀行は生き残れたんですね。原告代理人しかし銀行員に言わせると、お互いに融資や預金を取り合ったりして朝から晩まで働きずくめ
22,の目があるから、ドカ食いしないし、ヒマつぶしに食べちゃうこともないし。（二十八歳・銀行員）●週２〜３回のアクアビクス。イヤでもひと前で水着姿になるので、ムダ食いを自分
23,であるという点で僕等はちょっぴりお互いを哀れんでいた酔漢やペテン師百姓や錠前屋偽善者や銀行員大食いや楽天家いたわりあったりいがみあったりして僕等は故国へ送り返される運命をともにし
24,ているはずですがこういう時ってどうすれば良いのでしょうか？ちなみに金額は３万円です。銀行員です。私の銀行のＡＴＭはお客さまが現金やカードを取らないままだと三十秒
25,発見されて強盗に変わるものをいう。「途中強盗」とは，現金等を輸送中の銀行員，郵便局員等又は銀行，郵便局等に行く者若しくは銀行，郵便局等から払戻しを受けて帰る
26,は千二百兆円で、そのうち五十五％の六百六十兆円が預貯金です。ということは、かりにある銀行員の顧客が千二百万円の金融資産を持っているとすれば、その顧客から六百六十万円の預金を獲得すること
27,は訪ねてきて、こんなふうに切り出した。「千三百円ばかりどうでしょう？銀行員ですがね」「担保は？」「それがね、郷里に地所が
28,と誘ってきた。貴之は行内の女性行員からの人気は高かった。普通の銀行員にイメージするような真面目で堅物という、いわゆる銀行員臭さがなかったからだ。がっしりした体軀
