,0
0,）午前９時〜午後５時※月曜日（休日の場合は翌日）休館。入館は閉館三十分前まで。入館料／三百円、高校・大学生二百円、小・中学生百円お問い合わせ／同館（☎八百六十一．四五二〇
1,ままひっそりと彼は死ぬ。そのあとで写真館を訪ねてきた彼女は、なぜ閉館になっているのか分からないでけげんな思いで去ってゆく。不治の病
2,にして文明のあり方や生き方を考える場を設けてきた。九十八年に同館を閉館。この間インドには通算五十五回歴訪したという。外出の際は都内のばあい
3,５月７日（水）休館開館時間＝十：００〜十八：００（金・土曜日は二十：００まで）＊入館は閉館の三十分前までホームページｈｔｔｐ：／／ｗｗｗ．ｃｃｍａ‐ｎｅｔ．ｊｐ／市優良観光土産品を推奨市優良観光土産品推奨審査委員会で、次の六十三品目（二十六店）が
4,（但し９月十五日、十月十三日は、開館）開館時間：十：００〜十七：三十（入場は、閉館の三十分前迄）夜間開館：毎週金曜日は、二十：００迄（９月５日、十二日を除く）これ
5,、二十二、二十九日※２、３、十四、十六、二十三、三十日は展示作業のため閉館米子水鳥公園☎２４‐６１３９◆自然観察会「たくさんの鳥を見よう！」十一日（土）午後１時三十分
6,美形もいる。ファンの女性たちはカメラやビデオを向けたり、プレゼントを渡したり。閉館までロビーの混雑は続いた。“逆宝塚”とも呼ばれる同劇団は男優しか
7,三百五十三の三、電話０８５９‐３９‐８０００）にて開催中。開館時間は午前九時〜午後五時（入館は閉館の三十分前まで）。火曜休館（祝日の場合は翌日）。入館料は八百円。鷲田清一さんの
8,所と、これから行こうとする所を考える」という内藤の新作は、ＯＭＳの閉館をポジティブに考えられる内容になりそうだ。→前売データＰ七十三参照写真／谷古宇正彦３月十四日
9,―三カ月に一回の割で、防災訓練と合わせ、緊急事態発生訓練を行い、熟知させる。４閉館の手順―閉館アナウンス、観客の退館、展示物の点検、消灯、施錠まで。この
10,モノレールも無くなっちゃいました。私も子供のころよく行った遊園地でしたので、閉館のときは寂しかったですね。薔薇園だけ残されたみたいですが、今はそれ
11,の手で一つの時代の終止符を打とうとした試みのようである。ともあれ、閉館に際して刊行された『スタジオ二百活動誌』を見ると、本章で取りあげてきた日印の文化交流
12,今日は、いつになくたくさんのお子たちが遊びに来たーーーーーーーっつ！事件は閉館十分前に起きた。全員、帰った後女子トイレから何やら水の流れる音だあ〜
13,二千八７／５〜８／十七東京都写真美術館恵比寿ガーデンプレイス開館時間：十：００〜十八：００（木・金は二十：００まで。入館は閉館の三十分前まで）休館日：毎週月曜日＊７月二十一日は開館＊７月二十二日は休館一般：八百
14,の■■さんによると、■■■さんは二千二年まで城区で写真スタジオ「オリオン」を経営していたが、病気のため閉館。晩年はこれまで撮影した写真の整理と写真展に向けた準備をしていた
15,大人１枚ね。エトアンｇバヤッｄパラサイサンｇマタンダ百三十六閉館は何時ですか？アノホンｇオラスアンｇサラニト百三十七日本語の
16,水曜日）○８月十四日（木曜日）○８月十五日（金曜日）午前十時〜午後５時◆閉館の三十分前までに受付を済ませてください。※いしいドームＴＥＬ６７５‐２２１１図書カードを当てよう！広報クイズ○
17,から、車で少し登った所にたいら郷土館があったので行って見ましたら、閉館の札が下がっていて・・残念でした。時間がないので、内心はほっとし
