,0
0,（金〜二十：００）、入館は閉館三十分前まで月休（９月二十日、十月十一日は開館）料前売り八百円、当日千円。前売り券はチケットぴあなどで販売。会場／新宿区西新宿
1,（日）９：００〜十七：００（入館は十六：三十まで）●休館日…月曜日（７／二十一は開館）と７／二十二（火）【２「鳥獣戯画」を模写しよう】対象は小・中学生。各先着
2,）午前９時〜午後５時（入館は午後４時三十分）※月曜休館。２月十一日は開館●内容ガス窯陶芸・絞り染め・染織・挙母木綿・トンボ玉の各講座受講者と講師の作品を展示「新・健康づくり豊田二十一」とよたし
3,（木・金は二十：００まで。入館は閉館の三十分前まで）休館日：毎週月曜日＊７月二十一日は開館＊７月二十二日は休館一般：八百（六百四十）円／学生：七百（五百四十）円
4,記した慰霊碑を建てた。ひめゆり学徒隊の足跡を伝える「ひめゆり平和祈念資料館」は今年、開館二十周年を迎えた生き残った元学徒らによる証言が来館者の心をとらえてきたが
5,三井文庫別館開館十時〜十六時三十分１月中旬〜２月中旬・４月上旬〜５月下旬・９月中旬〜十一月下旬に開館月曜・展示替日休入館料五百円電話０３‐３３８７‐２１１１中野区新宿区約５．５キロ１円照寺平安時代の創建とも伝わる
6,０３‐３９５１‐２５１５中野区立歴史民族資料館開館９時〜十七時月曜・第３日曜日休入館料無料電話０３‐３３１９‐９２２１おもちゃ美術館開館十時三十分〜十六時三十分金曜日休電話０３‐３３８７‐５４６１
7,（水）は休園◆考古博物館・少年自然の家５月３日（祝）〜６日（休）は開館「園芸なんでも相談室（無料）」開設相談員（社）日本家庭園芸普及協会ＧＡちば会長・■■■氏日５月１日（
8,金・土曜は十九：００（入館は十八：三十）まで▶休館日＝月曜（４月二十八日、５月５日は開館）、５月７日（水）▶入館料＝▷一般…１、四百円（前売り１、
9,■外海子ども博物館（西出津町二千七百九十四‐１☎０９５９‐２５‐０４２８）休館日＝月曜日。ただし祝日の場合は開館。入館料＝小・中・高生百円、一般百五十円■市の各運動公園などの施設（みどりの課
10,土）〜３月２日（日）午前９時〜午後５時※月曜日休館。２月十一日は開館●ところ民俗資料館●内容当館収蔵資料を中心にひな人形・ひな道具を展示ワークショップ●内容
11,（帰り）沼袋●西部新宿線哲学堂開園９時〜十七時入園料無料電話０３‐３９５１‐２５１５中野区立歴史民族資料館開館９時〜十七時月曜・第３日曜日休入館料無料電話０３‐３３１９‐９２２１おもちゃ美術館開館十時三十分
12,』〔岩波書店〕など多数）解説・沖縄県立平和祈念資料館問題とは沖縄では二千年に、新しい平和祈念資料館の開館がすすめられている。延べ床面積が現資料館の約十倍。展示面積も約五倍に増える。この展示内容が
13,〜十九：三十）●休館日／月曜（４月二十九日〈祝〉、５月６日〈休〉は開館、４月三十日〈火〉、５月７日〈火〉は休館）●入館料／大人千三百円
14,平和の尊さをかみしめていました。市政トピックス宇宙が身近になった日―天文台が開館七月一日、本市西部の錦ケ丘地区に天文台が開館し、開館記念式典が行われました。
15,（土）−二千八年９月二十八日（日）※月曜休館（ただし８月十一．一八日、９月十五．二二日は開館）■開館時間十：００−十八：００■開催場所東京都現代美術館企画展示室１Ｆ・Ｂ２〒
16,）・二十九日（月）〜三十一日（水）＊二十三日（祝）は午後５時まで開館。年始は１月５日（月）より開館■十二月のどっきんどようび十二月十三日（
17,百円小・中学生＝五十円（■■■■■記念美術館☎８４３‐８２０９）※月曜休館（月曜が祝日の場合は開館）。●「■■■■とフランス」一般＝三百五十円小・中・高生＝二百円（■■■■文学館☎
18,で。■ご相談は消費者センター（メルカつきまち４階、相談専用☎八百二十九．一二三四）へお気軽にどうぞ。開館は午前十時です。月曜日休館（祝日の場合、直後の平日）。土・日・祝日も相談できます
19,０８００）時間／９：００〜十七：００（入館は十六：三十まで）休館日／無休■第五十三回館蔵品展（開館五十五周年記念展前期）得山コレクションの茶道具◇３月二十日（木）〜５月十八日（日）観覧料大人
20,郷土博物館地下駐車場・総合駐車場）約二百五十台ＨＰｈｔｔｐ：／／ｋｙｏｉｋｕ．ｃｉｔｙ．ｕｒａｙａｓｕ．ｃｈｉｂａ．ｊｐ／ｈａｋｕｂｕｔｕｋａｎ／ｉｎｄｅｘ．ｈｔｍｌ県立現代産業科学館子どもも大人も、楽しみながら科学を学べる千九百九十四年に開館。常設展示のテーマは、「現代産業の歴史」・「先端技術への招待」・「
