,0
0,全身にわたってさまざまな症状が生じる。（２）感情的ストレス反応情動的反応としては、不安、抑うつ感情、焦燥感、緊張、イライラ、無力感、絶望感、孤独感、罪悪感など、不快な
1,に頼み込んだ。するとカバラ学者たちは、一晩徹夜をして、瞑想にふけった末、不安で居ても立ってもいられない群衆の前にすがたをあらわし、「みなさん
2,下方修正になりそうな不安が重なり、一気にバブル後の最安値付近まで売り込まれました。不安が不安を呼ぶ展開で、その連鎖がここまで大きく下げた要因となります
3,た。同時に、今まで自分がそういう言葉をさりげなくかけてあげたか、不安になってしまった。あまり無理のできない年代だから気をつけたほうが
4,箱がモンベル！？ということは、店頭のじゃなくて、モンベルの通販バージョン！？ちょっと不安になるが、開封！先ず出てきたのは、水筒！「あ、これ、
5,た肉を見ても、抗生物質や農薬は見えません。そういうことに不安を持つ人たちが直接生産者と契約して、安全な肉をつくってもらう組織が少しずつ
6,行った、ところが今度は一座の誰もが前回に感じたあの未知なものに対する不安を感じたりはしなかった。彼らは知っていた、彼らは絶対だと、
7,では、時間通りに食事や入浴を終わらせようとスタッフは走り回り、痴呆のお年寄りは不安になることも多かった。国も「尊厳を保ちながら暮らせる社会づくり」を目標
8,」といわれた全国何十もの工場町が今、かつての産炭地と同じような不安に曝されている。さらに円高の荒波は、輸入競合的な繊維や雑貨、部品工業の
9,な思考へと傾く気づかいは好ましくない。不安によって起こる思考の種類によって，その不安が不利あるいは有害になるかどうかがわかるとＲｕｓｈａｌｌ（千九百七十九）は示唆した。
10,）・社会の動きがめまぐるしくこの時期に公庫をなくすということは、さらに市民生活に不安を与えることになり、今だしてくる案ではない（三十代、滋賀、借家）・
11,そこまで考える余裕もなくて、とにかく自分のことで精一杯。節目節目でそのつど、不安になってました。一年目はサインプレーとか、覚えることもたくさんあるし」
12,にも強い独占欲は好きな相手を遠ざけてしまうし、女性の中には独りぼっちが不安で相手を支配する人もいるようです。ずーっといっしょにいると案外ケンカしちゃって嫌
13,も少なくなるでしょうから。私は子供を産んだ事が無いのですが、今から不安になってます。確かに不安はあります。しかし、今の時代に合わせた
14,指摘されています。そこで，現行の学習指導要領では，児童生徒の発達段階を踏まえ，不安や悩み・ストレスへの対処など，心の健康に関する指導内容を充実させました。２
15,、旦那さんは、動物だろうって言った。物音は毎夜くりかえされたので、奥さんは不安だったけど、だんだん慣れてしまった。夜の物音が聞こえなくなってからはじめて
16,、自然保護団体の意見が割れていたのでは重大な敗北を喫するのではないか、という強い不安が起きているんです」ＷＷＦの貿易監視機関であるトラフィックの、トム・ミリケンが抗議した。「おい
17,の男たちを砂金場の金掘り人夫にとられているコタンの首長はふまんもらして、将来の不安をつのらせていた。また、石狩に領域を接しているコタンの首長たちは、石狩
18,：併走馬のほうを向いての道中。抑えられつつの走りながら、少し折り合いに不安を覚える。やがて、併走馬はついてこれなくなり、その後は真っ直ぐ走行。最後
19,救援投手に必要な条件は？」。彼はこう答えた。「マウンドには不安を持っていかないこと。不安はあるんですよ。打たれたときは反省も
20,が証言のために裁判所にいくときでさえ、緊張して、うまく話せるかどうか不安になることがある。子どもはなおさらである。裁判所を恐ろしいところと思って、おびえている子ども
21,した論争を繰り広げている方、あまりにも悪い評価が多い方など、明らかに不安を感じるような人はとりあえず入れておきます。の三種類です。より多くの人に
22,と戸惑いがありました。特に、文系コースの生徒や物理に直接関係しない生徒の不安は大きかったようです。生徒にとって、学会や大学・研究機関は得体の知れない未知の世界
23,，各種福祉サービスの契約について，その内容を理解したり契約行為を行うことが自分だけでは不安であるとＡさん自身からの訴えがあり，地域福祉権利擁護事業を利用することとなった。地域福祉権利擁護事業の利用を
24,梅雨入りしてしまいました（＾＿＾；）地震の被災地の方にはとても不安な雨になるでしょうね我が家の庭は一段落ですがｍ（＿＿）ｍ
25,の声は、いつしか涙声になっていた。夜道の暗さが、彼女に不安を色濃く与えているのかもしれない。桂木は、いつか聞いた、この区域にまつわる町
26,思ったの？」むさぼるような、それでいて狼狽した、軽蔑的な、不安な、情熱的な表情が、ローランスの顔をさまよった。そして彼女は淋しそうに
27,やリンが含まれていて、虫歯菌が作る酸を薄める力があります。しかし不安や緊張が高まると唾液の分泌が減ってしまいます。緊張して口の中がカラカラ
28,としたらどうでしょうか。現状把握、すなわち自己分析は、自分に自信を持ち、不安を抱かないで生きるために必要な行動なのです。❖やりたい仕事で「ゴール」
29,立ちかわり訪問する「次々販売」の典型例と考えられます。悪質業者は、言葉巧みに高齢者の不安をあおり、親切にして信用させ、年金・貯蓄など大切な財産を狙っています。
30,くらいセックスレスです。つきあっていた頃は毎日のようにしてたのに最初は不安に感じていましたがともに毎日生活すればそんなもんだよと先輩夫婦に言われ
31,は限りません。欲しいモノを買うのも悪くないですが、貯金がなければ不安になるのはありますねぇ。私だったら貯金を選びますね。でも金銭の
32,た。しばらく前からどこを見まわしても自然の風景しか見えないのだ。彼女は不安になった。「ホールデン、車を停めて、道をきいたらどうかしら？
33,か？泥棒とか何かあったとき私が疑われるのではないかと思っていて不安です。信用できない人に鍵を渡したりしないと思うので信用されていると受け取っ
34,ことはいうまでもなく、この不安は社会情勢から説明されねばならぬ。しかしまたこの不安には単に客観的社会的条件からのみ説明し得ないものがある。もしも人間に本来不安なところ
35,がないし」「考えすぎだよ、智佳。もう少し落ち着いて」「だって不安なんだもの」そう言って膝の上で組み合わされた両手を、白くなるほど
36,、一人の確固たる存在になることへと固執させた。彼は常にその不安におびえ、囚われの身となり、そうして少しずつ、生きる術を身に
37,震えて行き果てる、性の悦楽に身をゆだね、陶酔することしか、頭を去来する不安から逃れるすべはない。軀ほど正直で没我的なものはない。凛子の肉体讃歌
38,て下さい．今回東京に行く事になったのですが、あまりなじみがないため交通面で不安があります。行き先は六本木なのですが羽田空港からタクシーで直行するか、電車に乗っ
39,ホームページを公開しています。ＢＢＳも公開？してます。でも個人情報が漏れるか不安です。個人情報をＨＰ上に書き込んだりしなければ、大丈夫でしょうか？個人情報を掲載しなけれ
