,0
0,ということで、私を酔わせようとしているの？」とあるｅメールのなかで不平を言う。ただし、他の多数のｅメールはだいたいがグラブマンが困難な時期を送っ
1,言っている。「自分の担当以外によけいな仕事を頼まれると、たいていの人は不平を言い、嫌がり、バカバカしいと憤慨する。十中八九人までが、なるべく仕事は他にやら
2,を気にかけてなんぞ、おるもんかい。」おじいちゃんも毎年、母さんに不平をこぼす。「あいつはな、ケイト。わしを老人ホームへぶちこんで、そのすき
3,よ。おい」石川啄木には他に「人並の才に過ぎざるわが友の深き不平もあわれなるかな」という歌がある。しかしそんなことを言ったら大喧嘩だ
4,なくなると、働く意欲がなくなるとか、肩書きがないのは社会的に困るなどの不平も多かった。しかし、それは内部的なことにすぎず、どれだけ県民にサービスできるのか
5,に抗して、ハーフハイドは体を立て直した。「それが正常なんだ、警衛兵曹。不平が炎症を起こすことはまずない。奥にたまった毒がぶつぶつ噴き出すときは、
6,いつもはもったいぶって顔を見せようともしないお偉方が何の用だと、不平をこぼしたそうな顔をしてるな」「正直に言えば、大変居心地
7,修養講話の恨みは修養講話の恨みとして、これはナカナカ話せらあ」「それだから余り不平を言うもんじゃないよ。講話が夜業並みに計上してあるんだ」「今夜は講話を
8,だからといって、波止の石垣を外から登らせて追い上げられた。少し不平であったけれども、もともと特別の便乗なのだから仕方がない。その夜は三津
9,たえぐち」「してえ」「ひてえ」ぶてえ［舞台］ぶたい。ふてえら［不平］たいらでないこと。ふてくって［太］太くて。『あんまり（余り
10,から、別にこの部分でひっかかって前へ読み進めないというものでもない。私の不平は、たとえばアメリカ映画を観ていて、そこに出てくる日本人を見て、我々観客が
11,、ふたりしてこの泥棒この泥棒って、ちょっとひどくないか？」エメラインが横から不平を鳴らすと、「ぜんぜん」コラリーとフェリックスはめずらしく気のあったところを
12,、密書を百通書いても間に合わない、そうした気持ちだった。三成は不平たらたらだったが、人質の徴集はけっきょくガラシアが帰天したこの日をもってひとまず
13,一枚の布を巻き付けただけの格好だというのに、彼は陽ざしが強過ぎると不平を言い、コットンのセーターと帽子を離そうとしなかった。ぼんやりと水平線をながめ
14,日本の男子と女子で共通して２年時でチェック率が増加した項目は，「６．不平や不満が多い」（男子ｐ＜．０１，女子ｐ＜．０５），「十．人に
15,公平ということは、誰もが満足しているということではない。誰もがなにかしら、不平を抱えて我慢しているということなのだよ。北府軍と西府が、痛み分けの状態な
16,にして人民は平等なり。公平から不満生ぜず。不公平から不平出ず。不平満ちれば国家疲弊す」「弁士中止。保安条例違反により拘束」大郎がゆっくりとたえを指さす。
17,科学的教義によって成功したのではない。大衆のうちにある永遠の欲望や野心、怨恨、不平、羨望に火を付ける事によってである。これらは一階級の弱点ではない。人間の弱点
18,の祭典』を、それに向いてはいない観衆、だからこそ当然、それについて不平を鳴らした観衆の前で演じなければならなかったのである。聖具室の匂いと教会の華麗さ
19,君子が、気の利かない苦沙弥先生にからかうのは至極尤もなところで、これに不平なのは恐らく、からかわれる当人だけであろう。からかうと云う心理を解剖してみると
20,に帰ってきた。大学のマロン派の級友たちでさえ、レバノンの言いなり状態に不平をもらし始めているという。同じ状況をトルコで経験済みだったセルマには、友人たちの
21,すがすがしいとも言えるが，不便な面もある。しかし，パリに残った人々は不平を言うのではなく，自分も早くヴァカンスに出かけたいと思う。休みの前後の人々の
22,の連中全部を合わせたぐらいですからね」栗林警部が田中警部と顔を見合わせて、不平そうに言ったが、前線に出なければ、危険も少ないのに、それに
23,た。ユニホームに着替える上田らの顔に苦痛が走り、それと共にぶつぶつと不平が口をついて出る。「畜生、この辺がパンパンに張って」と
24,お縫はおかしな女で、あればあるだけつかってしまうが、なければないでも不平も言わなかった。あいかわらず気位が高くて、組長屋の女房たちとは行き来をせず
25,雇用人をつけてもらえる希望に支えられ、辛さを甘受している。彼らが落胆したり、不平を漏らすようなことがあると、監視人たちは、唐突に彼らを儲けさせて慰撫する
26,た。光孝は当時五十五という老齢で、おとなしい人であったので、飾雛たることに不平をおこすようなことはないと思ったのであろう。基経が光孝を見こんだ動機として、
27,準備ができている』で書いているように、「自由主義者は今、保守主義の官僚たちに不平を述べているが、この閣僚たちはただ自由主義の閣僚たちが何十年ものあいだしてきたこと
28,活動家の陳述に正確に明確に応ずることに気乗りしないことを示したことに、不平をいった。彼女は、活動家が、人民に会議派の政策の明瞭な証明を
29,て、ペンキの部分が剥げている鉄製のフェンスに背をもたれさせた少女が、不平を言った。シャツの袖から伸びた白い腕は華奢で、伏せたその瞳
30,、補充は大困難をきたし、内地人はともかくとして、朝鮮、満州、台湾は不平を生じ、反乱が常なく、収拾に困難をきたすことが、容易に想像され
31,彼らは人類の敵、ローマと陛下の敵でございます。人民は陛下に対し奉り、不平を口にしておりますが、陛下、ローマを焼けとお命じになったのは陛下ではなく
32,、これまで幹干しをしていたのを連干しを強制させられた村の人たちの不平の声のようであった。葉煙草生産農家の調査。千九百三十四年、栃木県中川村葉煙草生産農家の経済的構造―耕地所有
33,になってしまうのだろうか。自己中心で周りの人たちへの思いやりも持てずにいつも不平や不満ばかりを言っているような年寄りになってしまうのだろうか」ってね。婆ちゃんだ
34,告発を処理するのための手続き，および登録会社に寄せられた会計，内部会計統制または監査事項に関する不平を受け付け，保持，処理するための手続き，を確立しなければならない。規則もリリースも，監査委員会
35,があったがそれも間もなく消えた。夕刊を見ながら私は断水の不平よりはむしろ修繕工事を不眠不休で監督している、いわゆる責任のある当局の人達の心持を
36,向ってひそかに呟きながら、以前は長として尊敬したひとに、こんなに露骨な不平の感情を抱くようになった自分におどろいているのであった。一たん緒のつい
37,こと，日頃つとめて職場における労働者の態度なり意欲なりの動向をキャッチする必要があり，不平，不満が組合のエネルギーに集中する前に適切な処置をすることが必要。４
38,時代がわれわれに期待していた証言をこの時代にもたらさなかった、現代の人間の不平を代弁できなかった、現代人の救いを求め正義を求める声に耳を貸さなかった
39,人事権者としては、五十人の部下を抱えるくらいのポストの人だったら、ちょっとでも不平を言ったらマイナス査定、昇格はおろか、場合によっては降格させるぐらいの厳しい人事で臨む
40,が決して楽ではないというのに、殿はどこまで御実家につくされるのか、という不平が家中にぶすぶすとくすぶっていた。上野介自身も、そういう心配をしないで
41,創意工夫をトヨタ自動車の方に教えてあげたらいかがでしょう。この前、ある車批評番組で、不平を言うところが無いくらい退屈な車だね、このトヨタ車は・・・って言っ
42,黒く流れ去り、腐った葉のようだ。ざざざあっ、ざざざざあっ。死者の不平のこもる波音を撒きちらしつつ、月灘の海は蒼い闇に消えていった。
43,た。カウンターも椅子席も満員である。「待てば、すぐ空くよ」不平そうな源太郎にいった。実際、空席はすぐに出来た。ラーメンを注文し
44,の淵に誘いつつあるかを知らざるほど近視眼であるかなどというような色々な不平が持ち上ってくる。先達て日本の上流社会の事に関して長い手紙を書いて親戚へ
45,なって余計に使ってしまう。近頃のように不況になると、金がないと不平を言い、金を追いかけて騒ぐ。金に振り回わされる人が多い。だから、金
46,、とお答えいたしましょう。宮廷というところは、すべてが仮面の世界なのです。なにしろ、不平がトラストゥッロの、中傷がグラツィアーノの、裏切りがザンニの、ペテンがポリチネッラの仮面
47,、太陽は、惜しみなく光を与えてくれるではないか。結局、感謝することを忘れ、不平、不満ばかりを言いたてて心を窮屈にし、自ら不幸の穴を掘っているの
48,野心に盲従する手先であり、世界中でしているように、堕落したキリスト教にかこつけ、日本に不平や一揆を広めようとしていると主張する書簡を送った。「われわれの宗教とポルトガル人
49,ものを、どうとも仕様はありはしない。栗村五郎七郎など土壇場で何かぐづぐづ不平を云つたと聞いたがだめだ。おれは唯わるびれず従容として死に就かう
50,。矛盾にみちた交通行政への不満や批判だけでなく、サラリーマン社会のひずんだ構造への不平をさえ、「自転車」でもって表すようになる。つまり「自転車放置」というかたち
51,。春にはいい草が生えるけど、せっかく植えたオート麦が埋まってしまうから。でも不平は言わないわ。またいつでも植えればいいのよ」「君は楽天家だ
52,同定できないものだと思ったのだった。大声で延々とつづきほとほと人を疲れさせる不平が、ひどく耳障りだった。ぼくは突然、この二人の有害な道化どものありきたりな
53,で気を失う者もでてきます。それほどに苛酷な任務でも、不平を言う者はおりません。戦場では、わたしたち兵士は考えることをやめます
54,、と雨翔は思った。おばさんは荷物をすべて渡し終わると、次の人に不平を述べた。その不平が別の誰かの不平を誘発し、全員が口を
55,挑んでいるのであるから、その状態を長く続けることは困難であり、自軍の中に不平や、不和を生じるようになって、自ら敗れ去る公算が多いから、慈の心
56,親がこうして忙しく働けばこそ、子は悠々として勉強もし、親に不平をもつことさえもできるのである。他方において子は親に己れを理解してもらうだけ
57,た。もはやわれわれは、女らしさに対する感情の表出が冷淡だとか物足りないとか不平を述べたてる必要もない。紀元前五世紀の最後の四半期にアテネの婦人が新しい社会的地位を
58,ものだ。「二等、大当たり！道後温泉アベックご招待ーっ」小声で美々子が、不平を洩らした。「なんだ、パリもグアムも駄目だったの」「
59,でした。宮殿のいたるところで、四六時中、廷臣たちはこのあわれな若者に関する、不平、不満、ぐち、中傷、噂にあけくれていました。「あいつはいったい王様
60,貧弱な昼飯だ、これじゃ三日と我慢は出来まいなんて、心の中は大いに不平で、君、三度三度こんなものばかり食わせるのかと、念の為近藤君に
61,理不尽に奪いつくした女を恨む憎しみがいっぱいで、いつのまにか夫への不平も恨みもどこかへ消えはてている。「サキ！ああやっぱりサキか」声
62,のイベントはないのぉ？」「いいじゃん、いろんな幸せもらえそうで。」不平の声をあげる彩夏に、イッちゃんが宥めるように意見を切り返した。そのプラス思考に
63,「お兄ちゃんの音楽の音がうるさい」「妹の電話の声がうるさい」などと不平を言っていますが、「お互いさまでしょ。これだけの空間をもらっただけでも
64,からか盗んできたんじゃないか？」朝日がむつかしい顔を見せると、ルパンは不平そうにわんと鳴いた。「大丈夫、朝日さん。ほらこの券に泥がつい
65,を奏せしかば、大隈の前途洋々として春の海のごとくなれば、大隈はもとより不平なく、後藤はその吼ゆるや獅子のごとくなりしも、今は眠れる猫の如く
66,）本条（２）項に基づく補償目録の公表後、三十五日以内に、関係者から申し立てられた不平を理由として、又は任務の他の理由により補償額の査定を訂正する必要があると
67,山も、もうちょっと親切に出迎えてくれてもよさそうなのに。」ピアックが不平を言った。そのとき、二人は幅のせまい岩棚にいた。右は
68,も余裕もないのだ。みな、つねによりよい仕事の方法を見つけ出そうとしており、不平をこぼす者などいない。採用面接でも、必ず「ポジティブ思考の三つのパワー」
69,。《善良な青年たちよ》とゴーリキーは、人生は単調で空しく凡庸だと不平をならす人たちに言っている―《わたしは諸君のために人生が諸君によき懲罰
70,馬にはミッキーの憂鬱な気分が感染ったようだった。彼は無関心で、不平ひとつこぼさず、頭を低く垂れた。ミッキーは木々のあいだに身を潜め
71,、めったなことでは弱音など吐かない。そればかりか、どんなにつらくても不平を口にしない良妻賢母の嫁であった。家事はもちろんのこと、泥まみれの農作業
72,のです。「なぜ、私がお茶なんかいれなくちゃ、いけないの？」と、不平をこぼすこと自体、すでにその輝きを放棄しています。「せっかくだから、みなさんに
73,なのでした。一応録音が終ってから、気疲れした私は、下河辺さんについ不平をのべたのです。―衛星タイタンの通信施設で待機している朔ちゃんと回線をつなぐのなら
74,ん。むしろ、邪魔だったりするはずですが、ロロは時々、不平等な扱いに不平を言います。保育園の連絡帳もあちこちに散逸していたものを集めるとけっこうな
75,てみたことがあるのでしょうか。会話もなくなり、家に帰ればひとりになりたがると、不平に思う前に、果して、あなたが彼の話を聞こうとする姿勢だったか
76,から、何とかしなければならない。フングーロはいつになったらウサギの料理ができるのかと不平を言う。飼育箱を四つに増やしてみたが、それも一杯になってしまった。
77,。要するに、シナ海と日本の湾内で、ヨーロッパ人が犯す掠奪について、多数の商人たちが不平を述べたのである。これら一連の出来事は、江戸幕府に非常な不快感を与えていたので
78,より今日（けふ）は逃げ去れり病（やまひ）ある獣（けもの）のごとき不平逃げ去れりようつべ（ＹｏｕＹｕｂｅ）で音楽聴いて夕方に歌づくりから逃げてい
79,。」と詫びた。それより馬を並べて追い駆ける。佐久間信盛だけは、駆けながら不平をいう、「殿はさように仰せられても、我々ほどの者はご当家
80,のが「人口超過」、それにたいする一般住民、ことに農産物をあらされる農家からの不平の声である。大分県のサル名所、高崎山でその総計は、すでに二千頭を越した
