,0
0,なかったりするような場合に、それを今度はトレースいたしまして、だれの報告が不正確であるか等々チェックするということも、これまたきわめて大変な事務量を必要といたしまして
1,。［十三］「小さな老婆たち」（ＬｅｓＰｅｔｉｔｅｓＶｉｅｉｌｌｅｓ）より。引用はやや不正確。これを凌ぐことは不可能に見えます。しかしこの印象を、ボードレールはなお一段
2,のに間違いなく、恐らく、ドイツ表現派の中に居たに違いないこの小詩人が、このように不正確に伝わってしまったのは、佐川君だけに責任があるとは言えない。「
3,。この意味で日本の天皇が外国に出かけないのが伝統だ、というのは不正確な認識であると言ってよいと思う。こんな例を挙げたのはほかで
4,ことでございます。ただ、これは全体で見ていますので、それだけ言うと不正確でございますが、四十歳から六十五歳の方だけが介護保険料を負担しますから、その年齢
5,なければならない．日本語で話すときに，特に気をつけるべきことをいくつか述べよう．不正確であいまいなものの言い方を避けて，正しくコミュニケーションを保ち，豊かな人間関係を目指す
6,には化学シナプスの方が便利と言える。反対に、少しでも速く伝達できれば多少不正確でもよいという場合、電気シナプスが有利だろう。伝達物質は神経のホルモンところで、シナプス
7,武器輸出三原則統一見解の後か前かによって武器輸出三原則の適用の問題が起こってくる。こんな不正確な議論で国会はもめているわけですよ。共同開発の定義がはっきりしなければ、それ
8,，精神薬などの不正使用，少しネットをうかがうだけで，法に触れないまでも，不正確で無責任な情報があふれているのも現状である．医薬品情報活動は収集整理のみならず，その評価に
9,のはよくあることである。したがって、いかなる日のいかなるポートフォリオに対しても、方法によっては不正確なＶａＲがはじき出されるに違いないし、場合によってはすべての方法によるＶａＲが信頼性のない
10,だけの数にまで進展することはきわめて考えにくいので、この予測での年数の尺度は不正確ではある。それでもなお、この報告書の作成の際の詳細な観察や計算は
11,たデータにもとづいて現在を再構成し、意味付けてしまうことになりかねない。人の記憶は不正確なもの、また時がたつと過去の記憶は無意識のうちに美化されたり、
12,のかとなると、親の方も戸惑ってしまう。子供たちは友達から性についての不正確な情報を得る。そして結局、正しい知識を持たないまま、フリーセックスがはびこってしまった
13,工業化によって素晴らしい発展を遂げ始めた」という短い文章の中にも、私は事実的に不正確ないし不適切、論理的に不整合な立言を見出す。映画「ラストエンペラー」を見ても、これと
14,の鎌倉幕府の将軍は、頼家〈Ｙｏｒｉｉｙｅ〉ではなく三代、実朝で、年代が不正確であるばかりか、褒賞の単位が「石」で表示されている点は甚だ近世的である
15,、声部ごとに常に把握していないと、全体を漠然と弾いただけではえらく不正確になってしまう。２時間ばかり苦闘して、まあプレリュードとフーガは「今日は形
16,の両説があるが，しかし，後者の否定説の根拠のうち機会原価原理が恣意的であり，不正確であるから資本コストの算定に問題があることは理解できても，それをもって資本コスト
17,に点々打ってグラフつけてゆくと、とても不思議な模様ができあがるという（多分かなり不正確な説明）。この辺全部、数学解説本の受け売りですが、考え方一緒ですよね。ギターの
18,せて，二千年４月から実施したことくらいである。しかしそれさえも不十分な議論と不正確な少子化の予測などで，早くも消費税や保険料を上げる以外に，問題への
19,て話を続けた。「『占い学』というのは魔法の中でも一番不正確な分野の一つです。私があの分野に関しては忍耐強くないということを、皆さん
20,として明治初期に実施された地租改正事業の際の土地調査の結果を基礎とするものであり，不正確なものが少なくない。また，従来の登記所や市町村に保管されている地図（
21,との分化は，司法と福祉との分化を象徴する出来事であり，ここにも，不正確な報道により醸成された厳罰化の世論の影響が見られる。さらに，テキサス州については
22,ます。正確なストロークで撞きだしてもブリッジがぐらついたり、グリップをねじったりすると不正確な撞きになります。初心者は何度でもくり返して、正しいフォーム、正確な
23,熱血同志会解散」などが目にとまった。読んでいて、正確なところもあれば、不正確で気になる箇所も散見される。また、運動部・文化部など部ごとに記録をまとめたもの
24,凝りすぎており，衒学的で，想像力にとぼしく，しかも不幸にして多くのばあい無批判で不正確である．しかしこれによりて日本の科学者を非難するのは不公平である．危険思想がますます
25,訪問したカタール外相とアルジャジーラについて話しあった。その数日後に国防長官ドナルド・ラムズフェルドは、アルジャジーラの「有害で不正確な弁解の余地のない」イラク報道を攻撃した。かれはアブグレイブ刑務所を訪問した五月十四日
26,なければならないのが災害です。そのためには、情報が必要です。それもデマや不正確な情報ではなく、正確な情報をきちんと知らなければなりません。こころのケアについて
27,、対象者が善意でつく嘘や、対象者の置かれていた状況ゆえに生じるバイアス、不正確な言及などを見分けてゆく力をもつことも要求される。一方、かなりの
28,ないように気をつけて走行してください」という答えだった。考えるまでもなく非常に不正確な話で、これが日本なら大問題だろう。でも逆に考えれば「だいたいこんなもん
29,、あらゆる形における写真の複製を機械的にするところの亜鉛版術の利用である。エジプト人および不正確な絵文字、各人が習慣と個人的能力によって判読することができたところの絵文字が始めたものを
30,するという新しい彫刻の在り方を生み出した彫刻家だと言われている．だがこれもまた不正確な表現であろう．というのは，解剖学的な意味での身体の断片は，古代から
31,の存在を認めるという立場である。他方，後者の否定説は，機会原価原理は恣意的であり，不正確であるとして認めず，また支出を要しないのに費用とするのは不合理
32,機関車と貨車５両を破壊することができた。地上からの対空砲火は激しかったが、狙いは不正確だった。「この出撃ではその後、もう２本の列車を見つけ出した。
33,早くして下さい。二、三時間でコンクリートは固まってしまいますから」議論でも、低い声と不正確な発音と長い文章のためボーアの発言は理解しやすいとは言えなかったが、常
34,実施内容や活動後の状況等を、正確に「知らせる」ことが基本だ。情報が不正確であったり不十分であれば、逆に隠したことと同じになり、得られた承認
35,としてフランチャイジーが負うべき事業リスクですが，フランチャイザーが提供した損益予想に関わる情報が不十分または不正確だった場合には，信義則上の情報提供義務違反となることがあります。解説１はじめに
36,）の易しめ」みたいな感じでしょうか。あまり恵比寿の茶を登ってないから不正確ですが。相変わらず、混んでいて、環境はお世辞にもいいとは言えません
37,ます．たとえば，「位置」を正確に測定しようとすると「運動量」の測定が不正確になるという，ニュートン力学ではなかった現象が起こります．また，ある場所に電子がいる
38,受けとめていますので、実感をもって表現することができるものです。他人から聴いたことは、不正確になりやすいものです。いつ、だれから聴いたかはもちろんのこと、他のものごと
39,紙という意味ではなく、報告書の意味）によるデータや情報の収集が行われており、不正確で信頼性の低い方法がハバをきかせている。さらに、作業者の日報や伝票を
40,に引き合っているという法則」と書いたら，それだけで，スペースの無駄だし，不正確な表現にもなります。実際，私たちは，科学の分野では，日常生活で
41,求めて出訴した事例である。ただ、最高裁判所は、明示的な意思に反してことさらに不正確な呼称をしたとか、悪意をもって不正確な呼称をしたなどの
42,心を全面的に開いて正直に対応すること。そして、両者間のコミュニケーションが不十分だったり不正確だったりするときは、セラピストばかりでなく、クライアントのほうでも、双方向のフィードバックを
43,たのが旧阿房郡の儒林だったため、「天山の事に関して記述も少ないし、不正確である」と批判する。天山と旧阿房郡との合併は、名称が阿房郡になった
44,『亞墨新話』など、当時利用できた探検記、漂流記の類であった。これらはどれも不正確あるいは時代遅れで、いわば骨董品的価値しかなく、これらをもって次郎吉の口述内容を検討することはとうてい無理
45,により，次の作業の判断が速くなったり遅くなったり，あるいは正確になったり不正確になったりする作用のことである。インターネットのＷｅｂサイトでの商品購入画面の背景画やバナー広告など
46,をおき、表現を軽視する」「メンツを考え、言い間違いを恐れる」「発音が不正確で、抑揚がなく、どこか冷淡に聞こえる」といったものでした。また「多く
47,（会社の水準より低い）・集団各人の平均産出高は一定していた・集団の生産記録は不正確で，実際より少なめに報告されていた（作業不調時の備え）そして，集団内に
48,が参考人として国会に招致されたうえ、当時の郵政省は視聴者に混乱を生じさせる不正確な表現であったとして厳重注意を行った（ただし訂正放送までは求めなかった）
49,の当時の身分状態を証明するために，行政官庁に対して使用する者が，これら証書が発行の当時すでに不正確であること，または発行後に不正確となったことを，上の者が知っていた
50,図の中心からの方位と距離は正しく表現されているものの，そのほかの要素は不正確な地図である。それぞれの地図がもつひずみと特性を理解して，地図を活用していこう
51,、法律や医療の実務は控えたい。というのも、仮に鑑定や診断が不正確であったり誤ったりしていた場合、当の図書館員および図書館の双方が、医療過誤、
52,蒙古には外蒙古（モンゴル）と内蒙古（中国領）があり、新規本の表記は不正確。それにモンゴルの進攻は名目的にすぎないから落とすのが適切と思う。ｃ日米開戦
53,こう申し上げた次第であります。○大内委員非常に正確になりました。防衛庁長官は不正確なことを言っている。新しい覚書をつくらなければ共同開発はできない、そういう趣旨
54,の割増しとなるが、慶長検地そのものが実際の面積より多く見積もられたり、はなはだ不正確であったので、単純に比較する場合はこれらの竿の長短は無視してよいと思わ
55,の１滴を計算板にたらし，一定区画内の菌数を算定する方法である。菌数が少ない場合は不正確である。赤血球と対比して測定する場合がある。理解度の点検と問題１．物理的性状から
56,ですか？もとの質問をみていないのですが。酸によって変わる、というのは不正確で、ベンゾキノンは（２電子）酸化剤として振る舞うので、適当な還元剤があると（プロトン
57,《外圧》の存在を否定することにあった，といわれている．このように不正確にして歪曲された翻訳がなされた背景には，自説に適合するよう文脈
58,，行政官庁に対して使用する者が，これら証書が発行の当時すでに不正確であること，または発行後に不正確となったことを，上の者が知っていたか，または知りうべきであった
59,和漢船用集」の挿絵が知られているが、石井謙治氏の『図説和船史話』によれば、この絵は不正確なものであるという。ともあれ、鹿丸はこのような伝統ある船型をした帆船
60,イベントリスク二十．２．１リーガルリスクリーガルリスクは，契約が法律的に実行可能でないか不正確なドキュメントによる損失の可能性である．金融機関の顧問弁護士によって開発された方針（ｐｏｌｉｃｙ）を
61,で、比喩が科学的に正確である必要はないのはもちろんだけれども、科学的に不正確であっても心に響く比喩もあれば、科学的な不正確さばかりが目に付いて
62,のか」という基本的な情報である。ところが、意外に家族もよく知らなかったり、不正確な記憶しかないことも少なくない。高齢者の場合、本人がアテにならないこともあっ
63,。当の放送番組調査会の清水英夫委員長（青山学院大学名誉教授）ら四委員も「記事は必ずしも正確ではなく、その不正確な記事が独り歩きして政治問題化し、公権力の干渉を招いた」と指摘したうえ、「
64,中立の翻訳家二人と東洋研究の専門家にアメリカ政府の翻訳を分析してもらった。結果は「不正確」で「巧みに操作されている」というものである。番組に登場した翻訳者の一人
65,ですなどと書いてあるが正確に言うとちょっと違うんだな元気じゃないと書くのも不正確で真相はつまりその中間言いかえれば普通なんだがそれが曲者さ普通ってのは
66,ｈｉｓｔｏｒｉａｍｓｉｃｄｅｃｔａｍｏｒｉｅｎｔａｌｅｍを著した。解題でライスケは、オリエントという呼称を不正確だとして拒絶し、代わりにマホメット教ないしムスリムを用いている。なぜならマホメット教徒の歴史
67,ていた。実をいうと、これは車のスクォットを勘定に入れないので、不正確なものである。もっとも、遅い車ならばトップギアのデータは当らずといえども
68,すでに三度も私にとどけにきていたものなのであった、じつは受取人の名が不正確なので（それでも、イタリア人の局員の手で変な形になぞられた字面を
69,、その後、為替も変わっております。当時二百五十円ぐらいだったかもしれない。ちょっとそこは不正確なんですけれども、当時、仮に一ドル二百五十円だったとすれば、今はそれは一ドル
70,、米の収穫量が違っていたり、新田開発に誤差があったり、領地の面積が不正確だったりすれば、表高をはるかに超えた実収入を大名は得ることができた。
71,ように努めていますが、内容によっては必ずしもそうでない場合があります。もし、不正確な点がございましたら、ｂａｎｂａｎ＠ｓｃｏｌｌａｂｏ．ｃｏｍまで御一報ください。誠意を持って対処させていただきます
72,な意思に反してことさらに不正確な呼称をしたとか、悪意をもって不正確な呼称をしたなどの特段の事情がない限りは違法性はないとして
73,同じく「酒の魂」（Ｌ’ＡｍｅｄｕＶｉｎ）より。ただし引用は不正確である。詩人は、しゃべっているのは自分ではない、葡萄酒だ、と答えることも
74,一般には内部源泉の資本コストの存在は肯定される立場が採られる。要は恣意的で不正確といわれる資本コストをいかに算定するかであるが，この点については次節で検討することと
75,いうことをはっきりしてください。○栗山政府委員お答え申し上げます。先ほど私が引用しました条文、若干不正確でございましたので、さらに補足して御説明いたしますが、相互防衛援助協定の一条四項「各政府は
76,であります。したがいまして、今言ったような事情で非常に不十分で、あるいは不正確な部分もあるかと存じますが、できる限りでということで御報告をさせ
77,なったもの、それはクレオールの言葉でした。安部のクレオール理解には、いくらか不正確なところがあるように思いますが、それだけに独創的なおもしろさもありました
78,伝えるいくつかのエピソードも紹介している。「四歳のヴォルフガンゲルル」（この年齢はおそらく不正確だろう）がいつの間にか「クラヴィア協奏曲」を作曲してしまい、レオポルトをいたく感激させ
79,は，反例もたくさんある．「凝りすぎており，衒学的で，想像力にとぼしく，無批判で不正確」という表現は，少なくとも部分的には，文化の相違に基づくものである．これについて
80,ためにデュ・ブルイユはコンパスの使用を言って、かつてニスロンを悩ませた幾つかの不正確な点を直そうと腐心した（図百二十）。接光線ＥＫ、ＥＬ、元絵の基部ＢＣは
81,自由はないといえよう。そこで、多くの場合応募者は、不利な質問に対しては不正確なもしくは虚偽の申告をすることにならざるをえない。では、この場合に使用者はいかなる
82,連続の要素があるのであって、右の二面の対照を絶対化してとらえるのは不正確であろう。「党＝国家体制」構造の連続の中にも、党支配の強化、また党内反対派の
83,ｓｋｉｌｌｓ交渉の際、また、人の話を対面コミュニケーションで聞いているときに、事実誇張や不正確な言葉（言葉の落とし穴）を区別するためには、次の７つのポイントに注意すべき
84,小脳出血や脊髄小脳変性症など小脳系の障害で出現する．筋緊張は低下し，運動の力・範囲・速度・方向性・タイミングなどが不正確となる．１声の大きさの過度の変動（爆発性）２音・音節の持続時間が不規則で
85,からといって、科学のほうが正確だから良くて（善！）、世間並の見方は不正確だから劣ると断ずるつもりはない。人間はいつも、価値規準を抜きにして
86,心配なのは、アメリカ、イギリスで「大量破壊兵器がある」という開戦前の情報は不正確で誇張があるらしいという報道が続いていることだ。もし、米英政府の情報操作がほんと
87,からかけてきたのだ。「まちがってることばっかり。ほんとよ。報道される半分は不正確なんだから。しかも、それで通ると思っているんだから、頭にくるわよ。
88,を指すものであってどこが悪いのか、と。なるほど「のみ」についてはいささか不正確で誤解を生むことは率直に認めよう。ただし、非マルクス主義との交流なくしておよそ
89,ないとする合理的理由が見当らない。…閲覧を許して謄写をさせないと，不正確な記憶に基づく情報が流布される虞れがあり，却って得策ではない。それを防止するため
90,は問屋不要論につながり、企業組織では中間管理職不要論ということになる。しかし、中抜きという言葉は不正確な表現だと思います。自動車のディーラーのケースでは、中間業者の中抜きが起こっ
91,したらいいんでしょうか？さすらいの市役所職員です。他の回答者の方の答えだと若干不正確なところがあるので、お答えします。まずは、会社に年金手帳を提出します。基礎年金番号
92,その体制が衰退に向かうと予言すればよかったからである。中国の宮廷では、不正確な予測をした占星術師は死刑にされた。そのほかの国の占星術師たちは
93,）「自然界の密航者」朝日新聞社、二百二十六ページ。多種類の動植物が扱われているが、不正確な記述があって内容の信頼性に欠ける。木元新作（千九百七十九）「南の島
94,」こういう回答する人何とかなりませんか？何とかする必要はないと思います。不正確な情報を正すのは、質問者のためです。むしろ指摘された側も感謝すべき
95,「アーベント」と言えば、「夕方」という意味になるが、一体全体、かような不正確なことを、どこの誰が言っているのかと逆に聞かれ、言葉を
96,試験が求めるものについてほかの人による誇張や，間違った時間での試験内容など，不正確な情報にふりまわされることは，なんとしても避けるべきである。受験仲間からの「土壇場情報
97,てかかるわけにはいかないのではないかと思いますが……。○高木説明員収支償うというのはちょっと不正確でございまして、駅をつくることによって増加する収入と増加する経費を比べた場合に
98,、しかも薄暗いなかで急いでなされたことであるから、その間の記憶自体が多少不正確となり、或は事実の一部を見落すことも考えられ、これを理由に被告人自身が
99,」を維持するゆえんであった。三百九頁＊「民族問題を生み出さなかった」というのは不正確である。沖縄については、千八百七十九年の強圧的な「琉球処分」によって、沖縄の独自な歴史性
100,あるが、重要な中間的グループに関しては情報は不十分である。だが、後述の細目はおそらく不正確かもしれないが、全体としての描写は誤っているとは思えない。前述と同様、戦前
101,の性質や働きを調べる際に、それらの物質の影響を受けて、結果が不正確になることがあります。そこで、酵素の性質を正しく調べるには酵素をほかの
102,ＦＡＸという方法でも十分であるという。いたずらにＣＡＤを活用しても，内容が不正確であったり，必要以上と思われる厳しい表面粗さを求められたりすると，何のための
103,いま私がいったぜんたい、なんていうのは、頭の悪い私のいい方で、不正確にちがいない）。この番組は遂に一度も見ることができなかったのは、残念である。
