,0
0,まま御安心願い上げ候。このたびの西洋ゆきはずいぶん金も潤沢に頂戴いたし居り候間、いずくにても少しも不自由なることこれなく威張り居り候ことに御座候。上海にても日本人宗方小太郎、井沢彦三郎などみるみるうちより、
1,、ここに暮らす人々の多くはいまだに貧しい。反日なんてやっているのは、なに不自由なく育ってきた都会の若者たちだろう。彼らには、もっと国内問題も論じてほしい」
2,。個別の「人権」の制約とは一味も二味も違うのである。退位の不自由が持つこのような構造的欠陥にもかかわらず、憲法学者を含め圧倒的多数の国民は、〈犠牲者はたった
3,あげなくては、せっかくの親切も役に立たないのである。こうすれば目の不自由な人は、これからこの人が安全な道を教えてくれるのだという心の準備
4,がよみがえり、そこに新たな意味があたえられ、目に見える男性の生殖器にその不自由の感触が固定される。しかしながら、死に対する恐怖とは逆に、去勢への激しい
5,「女では土方さんにはかなわんな」「あんただって、女に不自由はしていまい」「土方さんは勤王か」「どちらでもないが、
6,が、選挙の争点になる時代だ。○コラム夫と妻老後、体が不自由になった時、夫の六十三％は「妻と一緒に暮らしたい」と答えた
7,で湯先生を縛って鎮に連れてゆき、「闘争」しようとした。が、彼は不自由な足を装っているわけではなく、本当に歩けなかった。それらの人々はただ革命
8,のためのバリアフリーブック』（大月書店，千九百九十八），『ドラえもんの車いすの本：体の不自由な人の生活を知る本』（小学館，千九百九十九），『聴導犬：社会でかつやくする
9,伝えることを残しておきたい」「自分が亡くなった後，家族は困るであろうから，不自由がないように整えておきたい」「家族で最後に旅行をしたい」など，
10,。●火災を小さいうちに消すために、住宅用消火器などを設置する。●お年寄りや身体の不自由な人を守るために、隣近所の協力体制をつくる。平成二十年原因別出火件数古い消火器に注意！
11,育てた。バーバラは幸福な子どもとして、学校生活を終え、就職もして、とくに不自由のない生活を送ってきた。この間、自分の身分証明書を提出させられる機会
12,ようにと、心から望んでおります。十おしゃれ心を忘れない痛かったり、不自由になると、つい身だしなみもお留守になりかねません。生活のリズムを保つために、
13,、栄町から東へ約一キロはなれた横黒にある菰田雅代宅である。雅代は、足の不自由な母親との二人暮らしであったから、関は伊藤を訪ねてここにもよく顔
14,ありません。私たちの目が、その人たちの目になります。目の不自由な人の立場を考えたとき、点字ブロックや音声信号などの施設のバリアフリーが思い浮かびます
15,知性が発達したのかどうか、親御さんたちは不安に思うものである。その他の不自由ながらもボディランゲージによって言葉（＝意思疎通）というものは始まるはずであるが、それがなけれ
16,に、大友家を背負う重鎮であった。道雪は、子供のころ落雷で足を不自由にしていたが、生涯四十回におよぶ合戦で、一度も負けたことのない
17,な目に遭う？なぜお前は責任を取らない？あの事故に遭い、不自由な身体になったから彼女は自殺したんだ。彼は高鷲を執拗に責めた
18,か〉という批判である。そう、私は「退位の不自由」（および「身分離脱の不自由」）にかぎっては、権利保障体系にもとづいて、窮極「人権」が語られるべきだと思う
19,の日記』の世界初のアニメ映画。いつ捕らえられるかわからない恐怖に怯える隠れ家での不自由な生活。そんな中でも明るさや希望を失わず、ひたむきに生きたアンネの
20,，体験者と介助者（観察者）を決める。２体験者は目かくしをして，目の不自由な状態にする。３家のなか，学校内，近所を歩いてみる。４体験者・介助者それぞれの
21,、歯科技術が発達しているから、自分の歯がなくなってもインプラントや精密な入れ歯で不自由はないと思っている人がいるかもしれません。しかし、それは本当でしょうか。どんなに
