,0
0,こう言うなんだよな！！「あのね、多貴。圭祐くんここのところちょっぴり不調でしょ？」母さんはそれでも頷こうとしない俺に、少しだけ俯くと、トーン
1,→夏●気・血・水でいうと→「気」「血」が滞りやすい●不調が出やすい部分→舌●調子が悪いと顔色が…→赤くなる
2,少し寂しくて。親の心は複雑だ。学園まつり秋雪は心配していた体の不調もなく、たくさんの行事に参加できた。夏の終りに催される学園まつりでは、
3,して会いに来ただから込み上げるものがあるのだろう・・・久し振りだからねずっと不調だったから一日延ばしで今日まで待ち続けていたもしもこの日雨が降らなければ
4,入ると自然に治りましたから、結果は母が正しかったんです」もちろん、不調の多い久田さんにも、しのぐ家系の血が脈々と息づいており、おたふく風邪で学校を
5,・・怪しい粉は・・？？顔まで白いぞ・・・耳耳が不調なときに栄養のあるフォーミュラーと言う餌を購入しました。以前おくさんたちの時もウズラ〜さん
6,に目を向けると、そこではまださっきのレポーターとキャスターが、主に鷹塚さんの不調を話題にして会話を続けていた。母さんのむかつき所は、鷹塚さんを批判する
7,！ってことは、クルマのメンテを急いでやんなきゃ、だ。そんなとき、不調で悩んだら速攻、新鮮組に相談だ。メール＆手紙、待ってるヨ〜！ドラテク
8,白朮（オケラ）、桔梗（キキョウ）などの生薬と配合し、下痢をともなう消化器の不調に見られる風寒をともなう内湿の症状の治療薬、藿香正気散に使用。黄芩（スカルキャップ
9,見た。２月二十八日ああ、忙殺される毎日に負けじと奮闘する不屈さ。体の不調だけには敏感にとおびえている臆病さ。でも何より、悲しみを悲しみとして流す
10,、いろいろな講演会やワークショップなどを開催したりもしています。何か心に不調を感じたときや、家族の様子で心配なことがあっても、なかなか病院
11,不眠、自律神経失調症などの精神疾患は、気冷えから起こる。うつ病や自律神経失調症など、精神的に不調の人は、ほとんど例外なく三十六．五度に満たない低体温だという。「このタイプ
12,申し出を受けた」今にして思えば、琴江はすでに自分の体の不調に気づいていたせいではなかったかと通之進はいった。「今、申した
13,不調だったんですが、ここ２週間ほど調子がよく復活しましてました。でもまた不調になりだしました。これはマウスの故障ですか？原因は何が考えられます
14,重く感じたり体がむくんだりイライラしたりするのも、このバランスが崩れるから。そんな不調を整えるためにも、飲料水は大切な役割を果たします」女性のためのクリニック
15,や缶詰を食べ、煙草を吸い、焼酎を飲んだりして眠ってしまいました。不調なエンジンとの格闘で疲れていた。それに、波に揺られる船の上で
16,体調は復活した。なんだ、ただ髪の毛がのびてイライラしていただけだった。不調のときは、爪を切ったり床屋に行ったりジタバタしているうちになんとかなるようだ
17,先行して、しぶとさを生かす？中山は合いそうな６・マコトスパルビエロ。×⇒不調ながら、内からあるいは伸びるかも？１・キクノサリーレ。×⇒中山なら、
18,についてもわたしは疑っています。お父様は晩年、とっくに発作で脳の機能が不調になっていたにもかかわらず、元気なご様子に見えました。でもやはり従来のあの方
19,に限って切らしていたりする（汗）増産しました、が！レイアウトミス、プリンターの不調、ラミネート失敗、他諸処色々有りまして三十枚中十四枚しか使い物にならず！！生存率五十％未満か
20,強請って、やすえを捨てて家に帰る積りだったと。福島は会社が不調で三千万強請った。中本は、それを知って福島を殺して五千万強請って
21,もいえるマンダング人の居住域である。危険は承知のうえだ。イギリス人との交渉の不調、そのため川向こうに渡ることを父に伝えさせるため、アユバは二人の従者を
22,による調停が成立したときは，裁定申請は取り下げられたものとみなされ，また，不調に終わったときは，裁定手続が続行される（公害紛争処理法第四十二条の二十四）。（イ）
23,に描き出している。「彼らは何と結構な人生を送っていることか！心身の不調の手当てをして、かえって病気の数を増やし、合併症に苦しんでいる。しかも、
24,は確実に２次空気（本来入ってはいけない所から入る空気の事）が入り前授のとうりの不調になります。あとゴム製のインマニに亀裂が生じてる場合もアウトです
25,の痛み、発熱、セキなどのカゼの症状から、腹痛、食欲不振など、体の不調に対するショウガの処方が載っています。生ものにショウガが添えられるのは、ショウガの
26,た。ほおずきの棲む世界では、ボスの意をうけて手がけた仕事が不調におわるということは、死をもってあがなわねばならないことのようだった。水島
27,、葛藤パターンの人は、心療内科を受診することが多く、ストレスから来るさまざまな身体の不調を起こしやすいと考えられます。口に出せない怒りを抱えていつも悩んでなど
28,にすると燃料が流れ、オン、リザーブにすると燃料が止まります。コックの不調ですか？そうですね、フェールコックの交換をお進めします。オーバーフローになり、キャブも
29,せてます。コンパに連れて行きたいのですが．．．。体の中が不調なんだと思います。ダイエット（植物性のものを多く摂るなど）や運動をし
30,のですが、何でも指で足裏にある数多くの反射区を刺激し、ストレスや肩凝り・腰痛・冷え性・肌荒れなどの不調を解消する足裏健康法らしいです。リフレクソロジーに関する仕事に就くには学校に通うなどして民間の
31,，学校健康教育の充実が社会的要求になりつつある中，教科に位置づけられている保健学習の実施が不調であるという報告が多くなされてきた。不調の原因として，教師の保健学習に対する姿勢・関心・位置づけ
32,も、当日は完璧に放送できることもあるし、テストがうまくいっても本番が不調に終わることもあるので、確かなことは言えない」〕このような記事を読む
33,掲載しました。数多くのポーズの中には、あなたのちょっとしたからだの不調を改善したり、慢性的になっているやっかいな症状を和らげるポーズも、必ずあるはずです
34,飲み方朝食の代わりに生姜紅茶を飲むことで、健康を増進し、ちょっとした体の不調や、検査値の異常を正常に戻すことは、十分に可能だ。体温低下傾向の
35,。結局、次の枠で再度走行チェックを行ったのだが・・・ん〜、トムキャット、不調。はっきりした原因はわからず。夏バテしてるのかなぁ〜。週末のレースまでに
36,が長すぎると嘆いてました。そういえば、日本も苦戦してしまいて選手達が不調なのも影響してるのでしょうか。でも良く頑張ってますね！バーレーボールはアメリカには
37,ランナーはいない。その分、全員が全力を発揮しなければならない。インターハイ千五百メートル出場の平尾が不調で補欠にすら入れないなど、十五度目の都大路に向けチームはまだ模索中だ。昨年
38,から選ばれるのが通例だ。外交ルートを通じて在英ＣＩＡ責任者に対し会見を申し入れたものの、これも不調に終わった。ＣＩＡは“忙しい”ことを理由に会見を拒否した。「
39,である。「３億追加するので落札してくれ」「半田秘書から『ここまできて、入札を不調にすることはできない。権限のある関係者に確認したが、追加の予算を
40,ず体のあちこちを不調にさせることはくどいほどお話ししてきました。それらの不調は、体のさびと言っていいかもしれません。刀のさびなら研ぎに出して落とす
41,に着任したが、すぐその対応に辟易するようになった。コンピュータがすぐに不調になり、音を立てて止まるトラブルが頻発。七月までの稼働五か月間に、二分以上
42,しましょう。・動物に何かあったらかかりつけの動物病院で相談しましょう。・体に不調を感じたら、早めに受診をしましょう。今一度動物との関係を見つめ直し、
43,ことで。『夜中にｗ−ｉｎｄｓ．のａｇｅｈａライブＤＶＤを観ていたら、プレイヤーの不調により、最後まで観れず、ブチギレて八つ当たりする大人気ないＲｅｗの醜態』をお送りいたしました
44,、現状においては疑問符がつく。このままでは「結局、あのときはＴＡＫＡが不調だった」の一言で片付けられかねない情勢だ。ここは意地の見せどころ。３周年を機
45,気分の不調ゆううつ、イライラする、集中できない、何事にも興味が持てないなど体の不調眠れない、食欲がないだるい、めまいがする、頭が痛い、便秘・下痢など※気分
46,けど。俺が使ってる限りでは不具合なんて一切ないように思われるのだけど…不調なんだそうです。だから明日、修理出すんだって…。なのでまぁ、しばし携帯からの
47,大学病院や総合病院の神経科や精神科、心療内科は、一般の人にとって、初めて心の不調を感じたときに比較的かかりやすいところかもしれません。最先端医療の担い手である大学病院や総合病院では、
48,マイケルは、そんなふうに書いてきている。当のマイケルも出場して、初日は不調だったが、二日目の第一競走「渓谷ステークス」で二着、第三競走の「フジヤマ賞」で優勝し
49,お前の説明が足りないんだろ？と言いたくなる＜（｀＾´）＞十日・バイトが不調…（−＿−；）前日徹夜したせいで、朝の寝起きからモチベーションが悪かったです。一日ずっと
50,、あることなんです。年が年ですからね。寒くなると、どうしてもあちこちが不調になるのは仕方のないこと」「まだお若いですよ、絹枝さんは。うち
51,のは心と体にちょっとした異常が起こっていることが考えられるので、体に不調を感じている場合は、病院へ行ったほうがいい。桜色のツメに必要
52,（十二／二十八曇）只今、ＰＣが不調です。・・・もうボロボロ状態です。一生懸命に再インストールや修復等を試みているのですが
53,れるレメディーは、例えばポースティーラ（Ｐｕｉｓａｔｉｌｌａ）やライコポディウム（Ｌｙｃｏｐｏｄｉｕｍ）のように、すい臓の不調にも効くものなのです。ところが一般の病院で下痢ということで簡単に処方される
54,済生会神奈川県病院に入院した。差当り彼女が受けるのは、機能麻痺ではなくて呼吸器の不調に対する治療ということになっていた。この日の午後遅く、家内が病室に落着い
55,気の停滞や減少が原因です。精・気・神のいずれかが損なわれたときも、不調があらわれてきます。呼吸で体内に取り入れられた混元気は、それらの問題がある
56,の原因発見に迫れると期待なさるかもしれませんが、実際は患者さんが訴えているとおりに、からだの不調が検査の結果としてすべて現れるとはかぎりません。風邪が好例です。風邪
