,0
0,ます。なお社員総会の開催日から移転日までの期間について法律上の制限はありません。各会社の実情にあわせて、実際に移転する時期を設定するようにします。５日付
1,ているわけでございます。既に本年も年末になりまして、官庁やあるいは民間の各会社も期末手当やあるいは賞与等の支給がなされて、今この厚生年金、国民年金の受給者、
2,議事方法について中国会社法は，議長についての規定を設けるにとどめ，基本的に日本商法と同様に各会社の定款や規則または慣行に任せることにする。会社法によれば，株主総会は取締役会長が主宰し
3,が底割れするような事態は防いでいるものの、三月期、期末に向かって、この期末の各会社の経営状態をどう立て直して次年度につないでいくかという重大な問題がそこに横たわっ
4,ており，そのいずれにも該当しない会社を，便宜上「中会社」と呼んでいます。各会社の定義および監査の取扱いの主要な相違点は，下表のとおりです。（注）
5,ところ、いかがでしょうか。○森脇政府委員大変難しい御質問でございます。これをどの限度で各会社が消却のために資本準備金をお使いになるかというのはわかりませんけれども、今まで
6,社員に分配する場合には給料となります。会社から受け取る給料の種類は、各会社によって千差万別ですが、ひとつの例を示すと次のようになっています。【
7,にするといったものといえます。そして、その内容は法令に反しない限り各会社で任意に決定し、また見直しをしてよいものなのです。そういった就業規則の
8,の見通しによる「二年後・三年後の収益予想・計画」を掲載している。この収益計画は日経が各会社に対しアンケート調査したもので、それに対する会社の回答をそのまま載せている。従って、これ
9,れてくる。パンフレットやホームページを開きながら、注意して見てほしいのは、各会社が南極クルーズの中で何に力を入れているかということ。ペンギンが大好きで南極
10,業務担当取締役の担当業務を表現したものと理解することができます。使用人として位置づけるかどうかは，各会社の実情にあわせて考えるべきでしょう。Ｑ７表見代表取締役とはＱ代表取締役では
11,要素のうち，経営者の階層と役割の違いを示すものは，いうまでもなく各会社の階層である。Ｄ社（日本テレビ）とＥ社（東京放送）について，それぞれ十三階層の具体的な
12,が出ました車いすの乗車拒否問題については、いま言うとおり構造を改善するという、積極的に各会社が構造改善に踏み入れることのできるような一つの根拠を与えてやるということ。それからタクシー
13,の路線図がわかりやすく見れるサイトありましたら教えてください！都心から離れた線だと、各会社のＨＰで探して来ることは出来るのですが全部を見渡すことが出来ないので…。私
14,株券廃止後の株式の移転を社債振替制度と類似した振替制度によることとし、非公開会社においては、各会社に、有限会社の持分移転と類似した株式移転の方法を認めることとしています。解説
15,ともなって、東映、松竹、大映、日活、東宝といった五社に代表されるように、各会社で時代劇がさかんに作られるようになっていき、それだけ殺陣師の数も必要と
16,。３取締役会の開催日から移転日までの期間について法律上の制限はありません。各会社の実情にあわせて、実際に本店を移転する日を設定します。４さらに、
17,の免除などを含む。重要な財産であるか否かは、一般的・抽象的に決定できず、各会社の規模・営業財産状態によって具体的に決められる。最判平六・一・二十（金商九百四十三号三頁）は、商法二百六十条二項
18,になる、こういうことでございますので、蓋然性を申し上げれば、恐らく民営化された各会社は、本四公団が振りかわる会社はちょっと疑問なところもございますが、しかしながら、基本的に
19,た。それに対して、通産関係のエネルギー庁等が非常に力を入れていただきまして、全国の各会社から三十四社と聞いておりますが、応援が出て、このガスの復旧に釧路ガスを
20,これは改革法が成立をいたしますると、これは直ちに作業をいたしまして、いわば各会社あるいは事業団への引き継ぎのための資産の区分を明確にしておかなければなりませ
21,のは、私たち購入者です。これは経済用語でいう「合成の誤謬」。一人ひとりや各会社は、それぞれに自身が考える最適な行動をとっているにもかかわらず、全体としてはけっしてよい
22,。最近では、持ち株会社制を採用する企業が増えていますが、持ち株会社になると各会社への統制は厳しくなります。持ち株会社制になると、持ち株会社がすべてを統制する構造に
23,，後ほど詳しく触れることにして，ここでは，レンタカー会社が十分多く存在する市場を想定し，各会社は，市場における料金が一定と考えて，サービス供給量を決めるものとします。
