,0
0,、普仏戦争が大勝利に終わり、皇帝ウィルヘルム一世による新しいドイツ帝国が出来あがると、いわゆる「泡沫会社乱立時代」という未曾有の好景気の中で、人々は誰も彼もが一片の文化を手に入れよう
1,占める主要５政党（現在は３政党）が市町村合併の推進を党の政策として掲げており、未曾有の財政危機という非常事態もあって、行政改革の手段としても市町村合併が推し進められているのである。
2,覚悟していたが、千九百五年十二月のドレスデンでの初演は、「無事」終了した。未曾有の壮絶さに誰もが度肝を抜かれ、どう反応すればよいのかわからないというの
3,後、相生市坪根地区の災害現地を視察いたしました。ここも昭和四十九年の集中豪雨をはるかに上回る未曾有の降雨量によりまして、河川のはんらん、堤防、道路の決壊等により土木、農業施設等
4,だ。日本経済は今、３年前には考えられなかった事態に陥っている。この未曾有の不況から日本が脱出するまでに、多くの企業が生きるか死ぬかの場を
5,、十五年間に及ぶ戦争という不幸な時代に突入する。終戦により平和は取り戻したものの、未曾有の食糧危機に陥り、栄養失調者が続出する。大陸からは、引揚者が続々と帰国し、中国
6,は、国土全体がデルタ地域として低地帯にあるため、洪水の影響を受けやすく、八十八年には未曾有の洪水が発生し、国土の６割近くが冠水、四千六百七十万人が被災した。我が国は、
7,記事を読みはじめた。読む声が大きくなった。「そもそもこの土工は我国の未曾有の大工事にて、かつて故大久保内務卿在世の日、三島県令に属托せられたる詞あるをもって
8,絵葉書）図２火事て焼失した煉瓦街（絵葉書）帝都復興計画に見る銀座の街並み未曾有の大惨事を受けた東京では、いち早く復興事業が行なわれようとしていた。その
9,象徴されて居る様に、全世界の歴史でもどこにも無かった、文字通りに未曾有の被害に、国は完全に荒廃し切って仕舞います。戦後の一時期の可成り長い
10,に１度といっても、日本のアナリストの大半は耳を傾けなかった○そして、日本経済は未曾有の低迷を余儀なくされた今なお、日本国内では「大恐慌のときとは比較
11,てまいる所存でございます。○津川委員最後に、今度の十七号被害に対してでありますが、未曾有の降雨量、長い期間にわたって降った量、一日量、こういう状況であったので、あらゆる
12,財政支出を行う手を打った。以後十年にわたって科学界には大量の研究費が流れ、未曾有の科学技術ブームが生じて、今でも古老科学者の語り草になっている。科学のゴールド・ラッシュの
13,によっても察することができる。今は昔となりぬ。思えば三十八年の台湾センサスは、未曾有の一大事業で、其準備より、実査を経て、整理や編成に至るまで、予期以上の
14,減少が続くなど非常に厳しい財政状況でした。一方「平成の大合併」という市にとって未曾有ともいうべき大きな渦に巻き込まれるなど、市の歴史の中で特に先の
15,は植民地からの経済的・精神的な独立といった問題は、当時から八十年に近い時が流れ、未曾有の「世界大戦」と「経済大戦」を経験した現時点においても、ほとんどそのまま、なんら
16,は、佐野眞一の『だれが「本」を殺すのか』（プレジデント社）だろう。未曾有の出版不況がなぜ起きているのかを、さまざまな分野から捉えていて、「本
17,が、昭電疑獄（千九百四十八年）であり、造船疑獄（千九百五十四年）である。造船疑獄は、政財界に未曾有の混乱を引き起こした。戦争で壊滅状態になり、再建途上にあった海運業は、朝鮮動乱
18,から、会社側に確認されることをおすすめします。百万円を２倍にするには…未曾有（みぞう）の超低金利状態が続いている。大手銀行の大半の普通預金金利は現在、０．０１％以下だ
19,二十一世紀は・・？数千万人を超える感染者、交通網凍結、都市機能停止、経済破綻・・人類を襲う未曾有のパンデミック。医療ものであり、パニックものでありながら、報われない愛・夫婦愛・家族愛・幼い愛など愛する
20,は連日、こんな仰天情報が飛び交っている。後日、ドバイ政府が否定コメントを出したが、未曾有のバブル崩壊で窮地に陥っているのは間違いない。世界最高の八百メートルビル「ブルジュ・ドバイ」
21,であって、青盛敬篤の『晴雨天変日誌』にも書きとめてある。「全国大ニ人民惑ヲ醸未曾有ノ大変、日本ノ大難ヲ生ジ…」大国ロシアと、ことをかまえる事態になりかね
22,なままでは、平行線の外交を続けるだけだと思います。今回は、未曾有の大惨事、なるべく早く自衛隊機の派遣（もちろん、民間機の支援でも良いとは思い
23,とは…？ＫａｍｉｋｉＴｅｔｓｕｏ●奈良県立大学学長●神木哲男幕末維新期、商人たちのなかには未曾有の社会的激震に翻弄されて、姿を消していったものも多い。しかし、危急存亡
24,味もカリフラワーだ！一緒にする、意味があったのか？未曾有の食糧難に、役立つ強い生命力と、高い栄養価、、、なんてのでもなさ
25,移出総額は、千八百八十三〜八十六年には三十万円台で推移しているが、千八百八十七（明治二十）年には未曾有の大凶作で、農作物の生産額は史上最悪となり、砂糖の移出額は大幅に減少した
26,、ラーム・モーハン・ローイなどの熱心な社会改革家を生んでいた。この世紀の最後の年、未曾有の大飢饉に襲われておびただしい死者を出したインドに、総督として赴任したカーゾンは
27,や艦砲射撃の被害はなくなったが、それに代わって国鉄にのしかかったのは、未曾有の石炭不足である。当時の国鉄で電化されていたのは、東京・大阪圏のごく一部
28,た「ひきこもり」がかなりの割合で含まれているはずなのである。こうした未曾有の事態を招いた最大の原因が、小泉内閣の「構造改革」にあることは言う
29,見たものは、１科学技術の産業への応用と生産の組織化による〈富の未曾有の増大〉、それにもかかわらず貧しい労働者の増大と貧困の増大、その結果
30,いまだに真っ正面から向きあえないことではないだろうか。日本は確かにアメリカの保護下で未曾有の繁栄を謳歌してきたが、多くの日本人が国家やそれを象徴する国旗に理不尽
31,ウチは完投能力のある杉内と和田が抜けるから、大隣に頑張ってもらわないと」未曾有の酷暑とも戦う後半戦を前に、王監督は迷いなく大隣をキーマンに指名した
32,、アジア、そして、日本。連日、大手会社のリストラ計画や解雇予定の人数が発表される。未曾有の不況時代である。何か手がないか。打つべき良策はないのか。今
33,もなく常に巨大事故の危険を孕んでいる。そしてひとたび事故が発生すれば、地球規模で未曾有の災厄をもたらす恐れがある。こうした人類破局の危機を考える場合、基本
34,位置しているのです。詰まりは、記者会見直後の須磨警察署前に“集合”した群衆の大半は、震災で未曾有の被害を物質的にも精神的にも蒙った家庭の一員であった可能性が高いのです
35,殿上人（６）好々爺（７）敵愾心（８）法治国（９）未曾有（十）行在所（十一）発頭人（十二）八幡船（十三）罹患者
36,な違いはあれ、ヨーロッパ全体に共通するものであった。さらに十九世紀には、この人口増加は未曾有のものとなる。人口統計の正確度を考えればあくまで概数であるが、ロシアを含め
37,貴重な資料を決して無にすまいと心に誓って保存した。ここに未曾有の大量虐殺事件として県下いっせいに手配の網が打たれたが、すでに凶行後まる一日を経過している
38,しますし、今日のこの円高の問題だとか、こういういろいろなかつてない未曾有の問題点が出たら、即そこで何回も何回も議論をすべきだと考える
39,ゆっくりと立ちあがっていき、十七世紀末、古典的カノンがルイ太陽王のヴェルサイユ宮殿の整型庭園において絶対王政イデオロギーの視覚表現として未曾有の極点に達したとき、そのこれ見よがしの均斉美、幾何学化、確在する中心といった出来方に対抗し
40,２「飛驒一円が、未曾有の飢饉とのことだ」徳川三代将軍家光は、将棋盤上の駒をゆっくりと進めながら
41,という会社も育った。しかし、すべてが右肩上がりだった時代は去り、日本は未曾有の不況のなかであえいでいる。世界ナンバーワンの日本バイク産業とて、いくばくかの痛みや苦しみを
42,撃退して、キリスト教徒側に何人もなしえなかった勝利をもたらしたはずのワラキア公ヴラドは、いまや未曾有の窮地に立たされていた。スルタン・メフメトの軍とともに二十年ぶりに祖国の地を
43,事情に由来している。ルーム＝セルジューク朝のもとで政治的に安定した十二世紀のアナトリアは未曾有の繁栄を経験した。その首都コニヤはシリア、イラク、エジプト方面から西北上してくる商人
44,一方、なおも南下を続ける疫病は、五月にはピレネー山脈を越え、前年に未曾有の飢饉に見舞われたバスク・ナヴァラ地方を襲い、さらに東漸してバルセロナに達する。当時、同市
45,、死亡保障市場の成熟化、少子・高齢化の進行、社会保障制度・年金制度の見直し、また規制緩和・自由化の進展等を受け、未曾有の変革期に突入しています。このような厳しい経営環境下ではありますが、当社
46,には、目先の好況に幻惑されて、それを保持するのに汲々とし、未曾有の好況の裏に潜む危機についての鈍感さ、洞察力の無さが露呈している。高度成長時代と
47,いただくという暗黙の了解があってのことである。だが、その翌年、日本経済は未曾有の不況に襲われ、その会社は急に新卒採用を中止してしまった。
48,？それはたんに芸能の話におわらない。新大陸という「新世界」から押し寄せる未曾有の情報氾濫、経済構造のみならず旧来の世界像の崩壊、さらには深刻な宗教的確執、こういう時代
49,）。（４）阪神・淡路大震災に伴う特則平成７年１月十七日に発生した阪神・淡路大震災が未曾有の大災害をもたらしたことにかえりみ，法人が支出する次のような震災関係の諸費用は
50,と改称され、明治政府のもとで開発の対象とされた背景には、その未曾有の自然資源を開拓することのほかに、外交上の理由があった。十六世紀以降訪れ始めたヨーロッパ人
51,後、九月中旬までに一道三府三十八県に七十万人以上の全国的な大騒動に拡大した、わが国未曾有の事件であった。当時中堅サラリーマンの月給が三―四十円、学生の下宿代三食つき十円前後の頃、
52,結局は、日本の組織に、そして現在が視野に入ってしまう。それは、未曾有の大戦争を東條というリーダーの下で戦ったところに日本の、近代日本の体質が
53,後の各章で議論したい．５‐２‐２消費税現在，国・地方公共団体共に未曾有の財政難に見舞われているが，その財源調達の源泉として，千九百八十九年４月に導入された
54,、四十年前にはまったく手さぐりで番組編成を進めてきたはずなのである。それがこれだけ未曾有の隆盛をきわめている。そして、いままた情報通信技術の急速な進歩によって、そのテレビ揺籃期
55,山本伸一の会長就任十五周年の佳節であった。彼が第三代会長に就任して以来、創価学会は未曾有の大発展を遂げ、十五年前と現在とでは、隔世の感があった。
56,、そしてまた研究されておりますことに敬意を払います。おっしゃるとおり、国鉄はいま未曾有の危機でして、本年度も約二兆円の赤字を出す。分析をすると、その中
57,の成績いかんを憂えていた。何となれば、前回の選挙において、石川県下においては未曾有の選挙干渉が行われ、大隈内閣はこの問題につき、衆議院反対派から猛烈に攻撃せられた
58,を支度ねばならぬかと」。そして末尾をこう締めくくる。歴史は未曾有の大断層に逢着し聖断が下された。目をつぶって、我々は昨日から飛躍する
