,0
0,があるものだなというふうに感じながらあの代表質問をつくらせていただきました。大変未熟でありましたけれども、今度この委員会で少しまた勉強させていただきたいなというふうに
1,きいたのは、そら耳だつたかしら。措辞必ずしも冗漫でないと保せず、イメージも未熟で、他の佳篇をおいてこれだけ引用するのは作者に対して心苦しいのだが、とにかく
2,や、丸山教の開祖・伊藤六郎兵衛の説く「しまつ、つつしみ、たしなみ」といった通俗道徳がとりだされ、未熟な世直しの運動になっていったとされる。安丸にとっては、民衆宗教は社会変革の
3,手本役は、真田幸村と穴山小助である。仲間の中では未熟だが、相手はもっと未熟だから初等教育の見本役としてはちょうどよかった。小太郎のいる方向へ、幸村と小助
4,た著者たちの不手際であろう。ブッダは、デーヴァダッタはまだ入団したばかりの若い僧侶で、未熟で未経験であるとほのめかしている。しかし、この先〔百四十六頁〕で見るように、かなり
5,」「平衡反応」などが出現する．Ｉ感覚従来，新生児は感覚器の発達は未熟と考えられていたが，最近になって多くの機能を備えていることがわかっ
6,華麗なる未熟Ⅰ先日、ポリーニをきいた。御承知と思うけど、ポリーニは千九百四十二年、イタリアの
7,は、その度に病院に走っていましたが、主治医には「消化機能がまだ未熟なんだね〜」と言われます。吐いた内容を見て、前の晩の
8,ます。彼女を頼る人たちがいます。みな。純粋な人たちです。ボクはまだまだ未熟だから、教えて欲しいのです。
9,と子どもがコミュニケーションをとるのはなかなか容易ではありません。それはやはり、子どもの前頭前野が未熟だからなのです。記憶をコントロールしているのも前頭前野で、特に短期の記憶を
10,て激つ墓の木に花咲き父母ら囀れり父母や十月の忌の木の葉髪いまも未熟に父母きそふ繭の中夙に古りたり秋を背に負ふ父母の景桃の世
11,、真向唐竹割になりました。怨念で本日の勝負をおねがいしただけで、拙者の未熟はよくわかっています」「当道場で稽古したいとおっしゃるなら、おことわりする筋もない
12,確かにいけないことですよね。でも、確かに子どもの場合は、言葉も未熟ですし、言い返せずに手が出てしまう子もいると思います。社会では
13,経験に乏しい登山者が増加している。このような背景にあって，五十九年は技術の未熟による転・滑落事故，事前の準備不足や体力不足による過労，発病等，登山に対する基本的な心構えを
14,に半島戦争の古参兵をあまり連れてくることができなかったために、多くの兵士は未熟で、しかも母国の当局が上級の参謀将校をすべて彼に選ばせてくれたわけではなく
15,前節の「空虚」との皮肉な対比。彼は葡萄の木のように未熟の実を落とし、オリーブの木のようにその花を摘み取る。十一オリーブの
16,、早々と三菱に決めてしまえばよかったが、東京銀行に未練もある。そこはまだ未熟な学生の悲しさ。結果として二兎とも逃すことになる。あれほど通いつめた商事が最後
