,0
0,去って行った方々に追いつきはしないでしょう。言葉を集めるか、あるいは沈黙に無量の思いをこめるかが、残された者の礼だと思います。一身を
1,ということを彼は理解していた。しかし、その辛い生活においてさえも、人々は無量の感慨をこめて、作品のなかに自らの人間的な生の喜びの刻印を
2,です」このことばは、いつまでも彼の耳朶に響き渡り、それにつれて無量の感動が、うねりのごとくに湧いた。感涙に眼前の景はかすみ、彼
3,には雲が流れている。俯して地上を見ると、一望万里の黄土、旅情まことに無量というよりほかはない。万里の長城八達嶺古今列女伝『評林古今列女伝』斉の長城図
4,ｂｙＺｅｎの自覚から大拙は、現代の原典的な禅録とも言うべき殆ど無量の欧文和文の金文字を生み出したが、ｌｉｖｉｎｇｂｙＺｅｎの生ける泉
5,まなうらの風景はなに病む前もかかる寡黙の父なりしやあやうし山の無量の光あたたかき風の立つにも病む父と早や去る追憶の如き風景火傷に卓効
6,二十四年間の娘時代、そして東宮妃としての栄光と艱苦の二十九年を想い、込み上げる感慨には無量のものがあったろう。皇后としての約二年間、自信と実績をバックに、美智子さま
7,相聞ゆる撃杵の音と相和し、歴史の興廃と人事の悲哀とを語るものに似て無量の感慨を生せしむ、詞藻を解せさる余まても之を聞ひて一句
8,がよく承知しており、自分で分析してみせた。「自分の内部には、無量の蛮性といったものがひそんで居る。その蛮性が時折破裂し、われながら愛想が尽きる」
9,のは、むろん社会科学の用語ではない。強いてその言葉をつかうと、その事情は、無量ともいえるほどに、多量かつ多様な破砕群であって、一つの文化のなかに
10,と言っても、この世の故郷ではなくて、いのちを生み出してきた、阿弥陀のいのちという無量のいのちを呼び起こしてきた。しかも、そのいのちを限りなく育て上げてくださる、そういういのちの
11,の処置致すべき旨に下命これあらせられ、右事件に付き種々の葛藤を生じ、無量の手数相成らず候様いたしたく、他向とも違い、別て深く心配致し候」と
12,ようといったら、わずか一年半の歳月であるのに、なんという変化であろうか」と無量の感慨を述べながら、《すでに大勢を看破され、政権を返上されたの
13,に入れる白月ひとり打つ碁のいつしらに亡き父と打つ戦ふは劫かたみに打ち返し父よ無量のおもひ積むのみ叛きしも定石なるべし搏たるるにふさひし十七歳の白暁父は
14,にたしかにつきあたっていた。また、ある人がいうには。念仏すればひと声ひと声に無量の生死の罪が消え、光に照らされて、心が柔和になると説か
15,心の裏側の告白がつづく…。ことがあらわれて「Ｋ」が自殺する。無量の淋しさが「先生」を襲い、やがて自分で自分を殺すべきだという考えが
16,孔雀が美しい声で啼いています。その浄土に成仏するために、御仏があらわしてくださる無量の智慧と慈悲がここに示されております」貞心は次第に心竜の説話
17,いのちの故郷です。自分が絶えずそこに立ち帰れば、改めていのちを呼び起こされる。無量のいのちと言っても、いのちが呼び起こされる。いのちの故郷、いのちの国と言ってもいいでしょう
18,を喚起する快いくすぐり笑いを与えてくれたのだった。ルネ・クレール監督の諷刺には狂気の哄笑や無量の苦痛がこもった嘲笑はないが、憐憫にちょっぴり軽蔑をまじえた微笑や、
19,登校時と逆の順序となります。●旭コース登校市野駒谷上小川下小川小川窪寺入長岡無量袖山宮川小学校下校登校時と逆の順序となります。●永井野コース登校北松沢南松沢荻窪杉屋松岸
20,由比屋敷を出ると、冲天にかかった望の月が黄金の光の矢を無量にふりそそいでいて、道ばたの草の一筋々々まで照らしている。（無量光、うれし
21,、さうしてただいま、その井伏さんの選集を編むことを筑摩書房から依頼されて、無量の思ひも存するのである。ばかに自分の事ばかり書きすぎたやうにも思ふが
22,ノ奮闘壮烈ノ状歴然トシテ目ニ在リ。而シテ幽冥途ヲ異ニス。余輩余生ヲ保ツモノ豈無量ノ感ナカランヤ。是ニ於テ同志相謀リ、一大塔ヲ築キ、以テ諸士ノ忠烈ヲ表彰セン
23,声を荒げて部下を叱るなどということは、一度もなかった。じっと、「無量の蛮性」をおさえこむ。感情的に叱れば、部下にも「蛮性」を破裂させ
24,はこんなふうに終わる―おお、わたしにもそんな国が―無言のうちに、無量一千年の高みに昇りつつ、泣かずとも歌わずともいい国が―見つけられ
