,0
0,と、需要が供給を作り出しますので、総需要に等しいように、供給の大きさである総生産の大きさ（国全体の生産額が国内総生産ＧＤＰです）が決まります（矢印２）。概念上、
1,、それに応じて、総生産、国民の所得も同じだけ増加します（「総支出＝総生産＝国民の所得」だからです）。経済の動きはそこで止まりません
2,伴う食料消費の増大，食生活の変化に対応した積極的な生産対策の推進によって，選択的拡大と総生産の増大が実現され，豊かな食生活の形成と農業所得の向上に大きく寄与した。
3,農業生産は，豊凶の差があって変動の大きなものとなっているが，五十年度以降の総生産を主導しているのは米と畜産である。五十年度の農業総生産は前年度比３．０％増となったが
4,ＳＣＩＥＮＣＥＲＥＰＯＲＴ千九百九十三」第１‐１‐二十九（２）図世界の主要国・地域の総生産との対比における論文発表及び特許件数（千九百九十一年）注）１．ＵＮＥＳＣＯのデータを基
5,は、既存資源を確認しなければならないが、ここでは県民が一年間、働いて得られた総生産からみることにする。二千年度現在、第一次産業が一．九％（全国平均一．四％）、第二次産業が十五．八％（
6,が，米を除けば前年度比０．５％増と低いものとなり，五十一年度は米の不作により総生産は前年度比２．５％減となったが，米を除けば畜産の増加が耕種部門の不振を
7,なってからはむしろ当り前と考えられるから、十四‰の自然増加率の下でも、一人当り総生産が増大を続けることは、十分可能であるのみならず、むしろ当然のことと考え
8,＋投資＋政府支出＋貿易収支」だからです）。その結果、それに応じて、総生産、国民の所得も同じだけ増加します（「総支出＝総生産＝国民の所得」だ
9,、その傾向は平成三年まで続いた。昭和六十年に四兆円にとどまっていた医薬品の総生産は平成三年には過去最高の五兆七千億円に達し、短期的な景気循環には左右されにくい高収益体質の産業
10,）」とは，その国の財・サービスの構成（環境に対する負荷の異なる財がそれぞれ総生産のどれだけを占めるのか）が変化することによる環境への影響である。また「
11,従うと、二十八パーミル（‰）となる。したがって国民総生産が年率三％以上になれば、一人当り総生産は増加することになる。（２）簡単な計算法として、ｘが小さいとき、年率百ｘパーセントで
