,0
0,せたという伝承にもとづくものです。すなわち、大神の教えの如く天神地祇、山河海の諸神に幣帛を奉り、大神の御魂を船の上に坐せて、真木の灰を
1,決してこの信心のことを誇らしげに語ってはならない。また、弥陀如来以外の一切の仏・菩薩、および諸神なども自分が信じないだけである。だからといって、しいてこれを軽んじてはならない。
2,記紀によれば、皇祖神の天照大神が弟スサノオノミコトの乱行を悲しみ、天岩戸に隠れた時、諸神が相談してイシコリドメノミコトに鏡を、タマオヤノミコトに玉を作らせて祈ったところ、岩戸から
3,妨害するので、観音だけでなく、竜神の力も借りる。この方式はＢ４男も同様で、諸神に応援を求め、正神の力で邪霊を追放する。Ｂ１女は、死霊の祟りは
4,た諸神、すなわち、門神・戸神・井神・竈神・堂神・庭神・厠神といった神々のことである。これら「宅神」と呼ばれる諸神のうち、竈神については、それが平安時代中期の貴族社会の人々にとっては危険な存在であっ
5,来訪として浄土との交通が確立されると教えていた。本願の名号には諸神や諸仏の万徳がこめられており、したがって正しい念仏者はあらゆる諸仏や諸神の権威を
6,名号には諸神や諸仏の万徳がこめられており、したがって正しい念仏者はあらゆる諸仏や諸神の権威を恐れる必要はないというのである。祖先崇拝も孝養も生霊や怨霊、そして怨霊
7,。また、ノルウェーのフロキ、アイスランドに航せんと出立の際、三羽の鴉を諸神に捧げ、遠く海に浮かんでまず一羽を放つと、もと来し方へ飛び往くを見て
8,て、しいてこれを軽んじてはならない。ほんとうに弥陀一仏の功徳のなかにすべて一切の諸神の功徳がこもっていると思うべきである。なかでも、一切の諸法をそしっ
9,言う宅神とは、門・戸・井・竈・堂（寝殿）・庭・厠といった家宅の主要な要素を神格化した諸神、すなわち、門神・戸神・井神・竈神・堂神・庭神・厠神といった神々のことである。これら「宅神」と呼ばれる諸神の
10,小さな祭壇をはさんで東には、小さなドーリス式神殿の遺構７がある。これは「諸神の母」を祀っていたメトロオンである。ただし、ローマ時代までには、その祭神像は
11,同様に考えることができるのではないだろうか。平安貴族社会の人々にとって、「宅神」と呼ばれる諸神は、文字通りに最も身近な神々であったが、この神々も人々に崇咎をもたらす
12,ある。それは明らかな誤解である。中世を生きた親鸞は、当然、諸仏も諸神もまた魑魅魍魎も認める当時の世界観を共有していたし、実際そのような発言も
13,を運行し、その直下の地上には巫者自身がいて、さらに巫者のまわりには諸神がいて守護してくれる。夜半には十二種類の動物などの霊が毎夜訪問して語り合う
