,0
0,の民間教育』千九百七十五年春季号）では、楽しい授業の条件として、（１）「子どもたちの諸能力を多面的に動員して学習をすすめ」るよう努める、（２）「可能なかぎり
1,ことです。大分前から私は、詩人はこの上なく聰明であり、…想像力は、諸能力のうちでもっとも科学的な能力であって、それは、想像力だけが、普遍的アナロジー、あるいは
2,その他の集団の発展をめざす多様な実践的活動…子どもたちの活動の幅を拡げ、諸能力の相互に結びついた発達…子どもたちが織りなす人間的結びつきの民主的な発展をめざ」し、「この
3,二十六年から専門家，学識経験者から成る文化財部会を設け，児童が楽しく利用し，情操を高め，諸能力を発達させる優良児童文化財の推薦を行っている。平成７年度における推薦件数は，音響・映像四十八点，出版物
4,、「人格は何よりも、さまざまな社会的諸関係における単位であ」り、「人間の諸能力の総体であり」、「対象、環境、外界に意識的に働きかけ、これを変更しようと
5,に、つまり、空間と時間の外側に、人間の精神的世界の外側に、人間の諸能力が到達しうるあらゆる領域の外側に、ひとつの実在が存在する。この実在にたいして、
6,た企業を支えるための『生きる力』が必要となる。個々の生徒に要求される諸能力、資質の育成こそが『生きる力』の実態だ」と言った。千九百九十九年
7,みずからが生活の仕方や生き方を調整や統合できたこと，またさまざまな問題解決をする諸能力を取得できたことから，専門機関は通信制予備校のリストや，資格取得での該当条件などの各種情報提供
8,機会をとらえて、主体形成されていかなければならない。「開発」は、自立に必要な諸能力の自己啓発という意味する。十）１）に同じ、十六頁。３「主張」について
9,で個人的なもの。二つのものを区別しなければならない。１、ランガージュを実現するための一般的な諸能力の行使（発声行為など）。２、個人の思考に基づいたラングというコードの
10,いいました。「心意ノ諸力」とは，知覚力・想像力・推論力・弁決力・比較力・概念力などで，人間の心理を諸能力の連合としてとらえる考え方です。この理論を基礎に，東京師範学校助教諭若林虎三郎・附属小学校訓導白井毅篇『改正教授術』全５巻が千八百八十三年
11,さまざまに表現して遊びます。このような子どもの欲求を満たすことによって、子どもの諸能力も高まっていき、自分自身が好ましく思え、自信を持つことができるようになるのです。２歳
12,、子どもたちを「未来の主権者」に育てるために「道徳的退廃の克服」、彼らの「諸能力の多面的な発達」、「社会の一員として、自由と民主主義の担い手にふさわしく育てる
13,引用はＨｏｒｉｓｃｈ（千九百七十九）の資料集による。「…彼は今、精神的な諸能力において十二、三歳の少年に匹敵する。学び、また自分自身を発達させようという彼の欲望
14,指摘するように、スピノザ的な神について述べているわけでもない。それは「人間の諸能力が到達しうるあらゆる領域の外側」にあるものであり、その限りではカントの物自体に
15,、今やその正しさが分かって来た。『生きる力』とは、児童・生徒の多様な諸能力に応じた真に『生きる力』の育成ではなく、大競争時代を生き残る企業のための
