,0
0,レスリー・チャン×チェン・カイコープレミアムＢＯＸ十一月９日（金）発売兄弟子に恋心を抱き続ける女形の京劇役者、人を愛せない非情のジゴロ。香港の貴公子レスリー・チャンの新たな魅力を引き出した、巨匠チェン・カイコーの傑作２本がセット
1,て、危険な殺人者が動きだす。彼のあとには無残な死体が転がる。この非情な殺戮を追う老保安官ベル。突然の血と暴力に染まるフロンティアに、ベルは、そして
2,から見ると「非情」に思う人もいるかもしれない。しかし、私としては決して「非情」なのではなく、「ひとり」を基本に考えればこうなるということを書いたつもり
3,世界だからといっても「情」というものが介在して、どんな場合でも非情にはなり切れないだろうことは容易に推察できる。また、ここは競り合いに持ち込んだ方
4,）」またしても声を殺して笑う集団。同じ人間をここまで蔑む非情な十七歳。ストーブの熱でズボンの内ももが熱くなっていたのに気付かないほど
5,。この照会に対する回答書は、いわば事情届の提出に代わるものといえるものであり、非情に重要なものである。６照会等に対し第三債務者が回答する責任についてすでに「Ⅴ
6,要求をのむような情をはさむ余地は、いっさいない。厳しく、ときには非情であるが、最終的には部下に才能を授けて幸福にしてくれる人間が、「
7,、白幡を逮捕することで事件を解決できると考えた。だが、犯人はあくまでも非情だった。白幡の役割が終わった途端、口をふさいだ。そこまで
8,おれたちはこいつを引き抜くまで食事なしだからな。いいか、わかったか」その非情な声が山のなかにいやにするどく響き渡るのだった。すると幸治のグループからも
9,も、ジョンはどこにもおさまらないという運命を選ばされたのである。彼の非情で残酷なところは、彼の弱さや愛情飢餓と裏腹の関係にあった。この
10,託しながらも、教育の力のおよばぬ荒廃した大人社会と、子どもたちとの闘いを非情に描ききる側面を見せている。
11,ためには手段を選ばない資本の論理、少数者の苦痛には関心を払わない非情な政治がからみあって公害戦争はエスカレートし、いたるところでおかされているではありませんか。営々
12,平家の兵に囲まれた後白河は、近臣が次々に捕らえられて行く中で非情にも放言されたという。「こは、何事ぞや。御咎めあるべし
13,正確に伸びた。考えると却って動きが鈍くなる。戦いだけに心を向け、非情な戦士に徹した。「少しは…」片づいたようだ。黒い影
