,0
0,長男の嫁です。義理の父母は墓を持ってません。どちらかが、亡くなった時に私たちに建てろ
1,敷地となっている土地又は借地権でその年１月１日における所有期間が十年を超えるもの（父母又は祖父母（以下「父等」といいます。）が居住の用に供していた
2,虐待者二十三件中不明（記載からは不明）３件を除くと，虐待者のほとんどは実の父母どちらか（もしくは両方）である。継父，実母の内縁関係の夫（同棲相手）が４件
3,私がふだんに母と呼び父と言うのは、昔も今も育ての父母のことです。私は中学校（男子だけの学校で五年制）に進学できる成績はあっ
4,社会全体においても、地域社会においても、家庭においても、子どもたちを守ることは、男女（父母）を問わず大人たるものの重大な責任のひとつのはずである。が、こう
5,第五には、精神の集注統一（瞑想）を敬う。６第六には、父母を敬い、すなおに従う。７第七には、勝手気ままにだらけないようにする
6,と仮定すると、おおよそ二十七代前のご先祖・・・という事になります。二十七代というと父母２人の二十七乗で、私の先祖は単純で１億三千四百二十一万七千七百二十八人の祖先がいる事になり、
7,はその『仮名法語』のなかに「白骨無常を示す事」という一条をもうけて、父母、師長、夫婦、兄弟、朋友のすべてが一人残らず白骨となることを繰り返し
8,てしまうのはちょっと早計です。守護霊との関係は、すでに亡くなった曽祖父母、祖父母、父母、兄弟姉妹だけでなく、すでに記憶から消えてしまっている伯父、叔父、伯母、叔母、従兄弟、
9,、事実上行われている夫婦の一体化を法的に強調し、また夫の父母と妻の父母とは親族であるとし、夫の所属していた家族と妻の所属していた家族
10,。縱い病有りと雖も、能く自ら勉励して己れに克ち…人事に交わりなば、父母をして深く憂えむること、是の如くなるには至らじ…」（
11,や兄弟姉妹の愛にはぐくまれて、わたしは大きくなったということでした。改めて父母と家族に心から感謝しています。九州からいらしたフーチの先生は、わたし
12,の場合四百円という掛金、これはぼくの認識の間違いですか。四百円の掛金が父母だけの負担になっているというようなところはあるんですかないんですか。○
13,または母が相続人となります。遺産の分割割合は、配偶者が三分の二、残り三分の一を父母で分けます。また、父母がともに亡くなっているときは、その親である祖父母
14,しかし、どうやら両親の元に返るてだてができてその通りになった。そして父母に近寄って歓喜する、という譬えですが、まさに行者もそれと同じようであると
15,１泊２日２３月上旬。１泊２日▽硫黄島▽対象＝当戦域戦没者の配偶者、子、父母、兄弟姉妹で過去に参加経験の無い人▽定員＝１五十人、２百人・選考▽申込締切＝
16,大麻を購入し，数回使用後，残りを所持していたところを見つかり，逮捕された。父母は，「成績のよい」息子の行状には，一切干渉していなかった。また
17,■■■■■■■■◆慰霊巡拝（厚生労働省主催）対象者対象者慰霊巡拝を行う戦域における戦没者の遺族（配偶者、父母、子、兄弟姉妹）／原則として健康状態が良好な八十歳以下の方問い合わせ千葉県健康福祉指導課援護恩給室☎
18,、養父母を先にし実父母を後にし、同順位の祖父母については、養父母の父母を先にし実父母の父母を後にし、父母の養父母を先にし実父母
19,その家庭理想、神様が創造された内的・外的全体理想を相続してあげる家庭ができるのです。ですから、父母が祝福してあげるのです。その父母が、真の父母の代わりの立場に立つのです
20,信にして体得の真知なり、△此の国に於てや、兄弟姉妹は皆父母の家中に相共に愛して至善に止まらざるはなし、乃ち皆神の行に
21,た。ほかの賊ではなかったのだ」と嘆いた。秋丸は弟公の父とは父母を同じくする弟であり、葦と蘆の区別がないような兄弟の間柄だから、
22,子どもだけでは解決できないレベルの問題もあるでしょう。担任に相談したり、他の父母や学校側と話し合うことが必要になるかもしれません。そのさい、子どもの気持ちや考えに
23,第五十八条第７号による範例においては，〔同号〕ｃを例外として，子の父母の氏，約婚者の氏および死者の氏のほかに，これらの者の旧氏，
24,お笑い大好きな父にも早く見せてあげたいですね。そもそも、浅草花月ができて、父母がネットでチケットを買い、とっても楽しかったというので、大阪を離れてから初めて、
25,なったのだと思うのです。つまり古代のわらべ唄は、幼い子どもたちとその保育者である父母や祖父母たちとの合作であったと言いたいのですが、それでは、これら〈自然に呼びかける
26,んでしょうけど、右利きです。ちなみに、私と旦那は、右利きです（＾＾）でも、私の父母は小さい頃左利きで、昔だから直されたらしく、今は右利きですが、
27,ておられるのが見られる。悲しみに打たれ、地に倒れ、泣き叫んでいるあなたの父母や女たちや親族らをこの地上（俗世界）に捨てて、幾百コーティの神々にとりまかれ
28,になった立場を表したのです。そのような価値が設定されるのです。それゆえ父母が子を愛するときには、心と体を別々に愛するのではありません
29,ている（第１‐３‐二十九図）。さらに，中学生又は高校生の子どもを持つ父母が，子どもとどのように接しているかについて，ＮＨＫ世論調査部の「中学生・高校生の意識」調査からみる
30,これはまったく家族全員に思いがけない喜びをもたらす出来事だった。子供たちの大学進学がかない、父母の胸中の大きな願望がついに実現できたのである。さらに重要だったのは、父
31,母はパートで働きに出ており、父は職場が変わって夜勤が入るため、父母のすれ違いが多くなった。子供たち三人は、宿題をして風呂に行って、
32,第一順位は配偶者と子。配偶者と子が放棄をすれば、第二順位の直系尊属（父母、父母がいなければ祖父母）が相続人となる。この人たちが放棄をすると
33,を重んじ傾国を思う」、「此れより君王早に朝せず」、「遂に天下の父母の心をして、男を生むを重んぜず女を生むを重んぜしむ」と
34,ても…」孔敬昌の恩人である野津正治は、だいぶまえに死んでいる。一郎は父母とともに、三重県のその大豪邸での葬儀に出たことがある。その後も、
35,からの応援者は倉敷駅で検束された。会社からの通知で故郷から呼び寄せられた父母によって一部の争議団員が切り崩され、十日間の激闘の末、ついに十一月九日解団式となり
36,１月二十日（火）午後１時二十分〜２時四十分。平成二十年２月〜４月生まれの第一子と父母。四十組（申込順）。離乳食後期の話（簡単な試食あり），歯の手入れの話
37,民族の統一、国家の統一、世界の統一、天宙の統一、地上の真の父母と神様の愛の一族圏全体を代表することができる愛の基台の核心として立ててくださり、あなた
