,0
0,人口に占める兵員の数では、アメリカとフランスが拮抗している。もちろん日本は英独仏より低い。人口に占める兵員数が最も多い国はイスラエルで、千人に二十五人（二．五％
1,独仏より少ない２独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツ
2,です。辞書も、つねに父の関心の的でした。国語、漢和、英独仏、ラテン、ギリシャ、どんな辞書もこれで満足、ということはなかったようです。用途によって
3,会える」と明るい声で語った。二十一・四十フセイン政権が崩壊状態になったことについて、英独仏３カ国を訪問する川口外相は９日夜、成田空港で同行記者団に対し「まだ（米英軍が）全土を押さえ
4,みても、大統領制をとるアメリカが約四千六百人のスタッフを擁しているのは別格として、英独仏といった議院内閣制（フランスは「半大統領制」）をとる国々は四百五十人から九百人程度である。確か
5,独仏より多い３だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツのアメリカだが、
6,、学問的業績どころか、精神的文化的活動をしたとは見られない。逆に見くだされる。英独仏などのことばを母国語とする人は、何も翻訳などを読まなくても、
7,、ラテン語の修練も、じっくりと先を急がず身につけていってこそ、英独仏の言葉の勉強を深みのあるものにしていってくれる。ひとつのこと、
8,の整備・活用我が国の住宅事情を見ると、量的には充実しているが、一人当たり住宅床面積が英独仏の約四十ｍ２に比べ、三十三ｍ２にとどまるなど、質的な面についてはまだ十分と
9,だいたい同じ兵員の人口比は？１英独仏より低い２英独仏より高い３英独仏とほぼ同じ◆国防予算では断トツのアメリカだが、兵力で比較すると、
