,0
0,ない。全てＩＴでリアルタイムに決裁を行なう。一方で、スピードとクオリティを両立するための取り組みも盛ん。その典型例として「発散会議」と「収束会議」の二つがキヤノンにはある
1,の発音をじっくり聴き取ったり、海外のドラマや映画を懸命に見たりといったさまざまな取り組みを行うチャンスが現代の日本にはあふれています。本気になればいくらでも
2,第１号被保険者の保険料を単独で減免する市町村も一部にみられ，再び，徴収に向けた取り組みが行われている。被保険者の負担能力を市町村民税で決めたことによる徴収額やサービス利用者負担額に不公平
3,とわたしたち―環境との共生をめざして―なぜ取り組んだのかこれまでの取り組みの中で，先輩から後輩へ「人にやさしい環境」を考えるさまざまな活動が
4,高い取り組み割合を示しているのではないだろうか。図５‐二十一には、そのような取り組みを行った集落を地図上に示したものであるが、県の東部地域（周防地域）で
5,の保育園・公立幼稚園をこども園として統一することなどが挙げられます。そこで、これらの主な取り組みを今号と３月十五日号で紹介します。地域子育て支援センター・子どもつどいの広場４月から、宮口こども園の開園に
6,も昨年、この問題については大変貴重な意見として伺っておきたい、これから具体的な取り組みの中でこの問題を検討するというお約束をいただいたのですけれども、その後の取り組み
7,また、「あらゆる形態の人種差別の撤廃に関する国際条約」批准など少数民族に関する国連での人権伸長に関する取り組みに、わが国の政府ももっと積極的に取り組んでいただきたいと願っております。「アイヌ文化
8,有意義に生かしながら、自らの知恵をしぼって農業や地域の振興に役立たせている取り組みがあります。１構造改革の波を農業に生かす構造改革の目玉として国が推し進める構造改革特区制度
9,という役職を預かっておりまして、学生の皆さんと接触しながら、今政治方面への啓蒙活動に取り組みをさせていただいております。昨年の暮れには、学生の皆さんとも大会を
10,にまで広げたうえでの貴重な提言といえよう。すでにこのような方向の取り組みが開始されている。ドイツでは、まず包装廃棄物について、九十一年に施行された「包装廃棄物規制令
11,我が国の森林の基礎的データの整備に取り組む。（２）森林整備のための地域における取り組みに対する支援適切な森林整備を通じて森林の有する多面的機能の発揮を図る観点から、近年十分
12,やリサイクルの推進につきましては、行政の取り組みだけではなく、市民の皆さん一人ひとりによる取り組みが大切であることから、皆さんのご協力をよろしくお願いします。産業・まちづくり３問田辺市の主要産業
13,の向上に資するような体制を，国とも協力しつつ構築する。（３）国の取り組みのあり方事業・施設の安全確保として，加工事業者への定期検査の義務づけ，保安規定の遵守状況の検査
14,の活動を予定しています。環境問題には、市民や事業者の自発的な環境保全活動や取り組みが重要です。環境市民会議は、どなたでも自由に参加できます。ぜひ会議に参加して
15,作成する地域水田農業ビジョンのなかで明示し、その実現に向けて地域の関係者が一体となった取り組みを推進した。ⅱこのような取り組みを推進するなかで、地域において水田農業を担う
16,てくれました。地域を盛り上げ豊かな生涯現役社会を市では、生涯現役を目指す取り組みへの意欲が活発な校区を「生涯現役推進モデル校区」として指定。四月から一年間、八幡校区と
17,た参加型の保全・整備・利用活動を推進するとともに、市民参加によって森林整備と資源循環利用を一体的に進める等の新しい取り組みを推進する「里山林の新たな保全・利用推進事業」を実施します。森林の整備・保全は社会全体で
18,市町村で取り組んでいる、高齢者実態調査の全県とりまとめも九十八年度の仕事だ。ほかにも広域的な取り組みへの調整、保険給付、事業者と施設の指定、保険審査会の設置…など、法が
19,昼休みは執務室内を消灯する…と、課ごとに目標を掲げ、実践しています。各課の取り組みは、窓口前に掲示しています。「地球にいいこと」は小さな一歩から。
20,からの聞き取りによる。３）荒木［４］７〜十四頁。三つ目は、環境保全に関する取り組みである。浜中町は全国で三番目の面積をもつ霧多布湿原を有し、千九百九十三年にはラムサール条約登録地に
21,の認証取得が広がっているのもその表れと言えます。その一方で、環境に対する取り組みが企業のイメージを高め、社外から高い評価を受けることにつながる面もあります
22,二十年２月２日に、文化センターで推進運動の発表会と趣旨確認会を実施しました。今後、この取り組みに賛同し参加してみようと思われるグループや団体がありましたら、ぜひ、参画団体として申し出いただき
23,に有能な人）とも対等にディベイトできると言い切れるところにうかがえる。自分の生物に対する取り組みがあるからこそ，苦手なものもプラス思考にとらえることができた。自己有用感：自分が集団
24,に方法はない。全国には厳しい環境の中で、独自に防災対策への取り組みを進めている自治体も少なくない。そうした先進事例の一部を第４章では紹介している
25,傾斜地で栽培されるものも多く，機械化が進みにくいうえに，消費者ニーズに対応した高品質化への取り組みに伴い，みかんのように摘果等の作業時間の増加による労働時間の増加がみられる品目
26,ということについて、まずお聞かせいただきたいと思います。○谷津国務大臣先生御指摘のように、国民参加型の取り組みの推進が大事だというふうに私も思っておるわけであります。食料の自給率は
27,よう透明度の高い組織を作ること」と強調する。従来の自治体債を大きく打ち破る同市の取り組みは「進化する自治体」のあり方を示す―つのモデルだと言える。
28,計画につなげる。図１「心とからだの健康づくり」の展開２．日常生活における取り組み働くことで生じた疲労やストレスを解消するためには，日常生活における余暇などの自由
29,受けて同署は調査や必要に応じた支援を行うことができます。なお、この取り組みは全国的に広がっており、近隣の南丹市や亀岡市でも同様の協定を締結されてい
30,は都市レベルでの取り組みではあるが、すでに実践が積み重ねられており、あらゆる空間的範囲における取り組みに示唆を与える普遍的内容を持っている。ただ、本来都市づくりは長期間を要するものであり、
31,をきっかけに、誰もが校歌を抵抗なく歌えるようになりました。この取り組みの成功がきっかけとなって、その後の活動も積極的に行っています。夏頃
32,二酸化炭素削減量と節約金額については、環境省の「身近な地球温暖化対策―家庭でできる十の取り組み」で示されている数値です。１温度調節で減らそうエアコンは、家庭における電化製品の
33,効果を出していると考えられ、企業の発展のためには、ポジティブ・アクションを通じて様々な取り組みを行うことが重要であるといえる。また、両立支援について、（財）二十一世紀職業財団「女性労働者の
34,必要な段階を満たすためにも、それぞれの国家や都市、それぞれの世帯や企業の取り組みが不可欠である。また政府は、環境基準の遵守を義務付けることができるが、それを法的に
35,ていることを考慮に入れれば，経営条件の厳しい中，さらに規模の小さな企業については取り組みが一層不足しているものと考えられるため，行政としては，幅広い企業に対し，企業防災に関する
36,，防災機能を重要な機能であると評価する地方公共団体も出てきている。（都市的地域において市民農園の取り組みが増加している）市民農園は，都市住民にとって近場で本格的な農業を体験できる場として注目さ
37,てきた戦略の柱の優先順位が実は低かったという事実が判明したり、当初戦略レベルの取り組みと捉えていた施策が、実は粒の小さいものであり、戦略マップから除外しても支障
38,プライバシー保護に配慮したルール作りのため、二十一年十月施行をめざし、「（仮称）防犯カメラ条例」制定への取り組みを進めていきます。世田谷区本庁舎等整備審議会の設置区は、区役所本庁舎等（建築後約四十〜五十年経過）の持つ多く
39,ローインパクトの方法を模索しながらツアーを行っている。具体的には次のようなローインパクトの取り組みを行っている。１カヤックはエンジンつきの船とちがって静かで、どこにで
40,参加国間で実質的な合意をみたところである。（２）ハーモナイゼーションに向けての取り組み医薬品・医療機器の分野では，優れた製品をより早く患者に提供するため，各国における
41,、さまざまな人が混じっている。校長はいった。「次に、本校教師の取り組みについて、三年学年主任の東尾先生に報告してもらいます」東尾教諭は立った。「えー、
42,ブロッキング高気圧から吹き出します寒冷な北東気流によるものであるというふうに分析いたしております。その後の取り組みでございますが、冷夏など持続的な異常気象を引き起こす大気現象には、大気の運動だけでなく
43,低下）。累積債務問題については、財政赤字の削減、通貨発行量の抑制、国営企業の民営化への取り組み、先進諸国及び国際金融機関の支援を受けた「ブレイディ・プラン」が適用されたこと等により、ＧＮＰ
44,が可能である、こういうふうに伺っておりますが、総合的な調査を含む今後の取り組みを強く要望したいと思います。最後にちょっと大臣にお伺いしたいのでございますが、
45,ました。専門知識を持ち合わせない一学生として、この報告会をレポートします。■東久留米市での取り組み東久留米市では、二千一年十一月に「協働のまちづくり推進市民懇談会」を設置した。公募に応じ
46,に多くの不十分さを残した京都議定書ですが、採択されていなければ気候変動に対する世界の取り組みはさらに数年は遅れることになったでしょう。京都議定書の採択によって温室効果ガスの排出削減が時代の趨勢
47,や自転車盗の占める割合が高くなっています。地域が主体となって防犯への取り組みを継続していくためには、活動を継続しやすい環境を整備する必要があります《取り組み》１
48,地域における子育ての担い手として活用されている。（６）商店街の空き店舗を活用した取り組みかつての地域経済の中心であった商店街は、近年、空き店舗の増加等により、その
49,とは、景観法に基づいて指定するものです。指定された公益法人などは、市民の取り組みに対して情報提供を行ったり、景観上、重要な建造物や樹木を管理したりするほか、調査・研究
50,、地震予知や防災を目的とした衛星打ち上げ計画（東京都立航空工業高等専門学校）などがあり、スケールの大きな取り組みも行われている。高専ロボットコンテストの様子高等専門学校による産学連携の研究成果例○釧路高等専門学校（北海道）「岩盤調査ロボット
51,の拡大という一層厳しくなる国内市場の条件のもとで，そのような生産の合理化の取り組みは大きな制約をうけざるをえなかったこと，また「技術的合理化」の展開は，
52,四万五千八十二古河電池が千円ならば、ＧＳユアサは五百八十円もありえる、そんな見方もある。取り組みが良く、材料性が大きい。条件的には日経平均が目先下げても、再浮上が条件
53,挙げられ，消費者ニーズの多様化・高度化に応えるため，商品の品揃えや価格競争力のある輸入品への取り組みが不可欠になっていることがうかがえる。また，衣料品，家電製品などでは「国内メーカー自体が
54,）３）家庭で子育てをする親への支援の必要性と各地方自治体やＮＰＯなどの取り組み従来の子育て支援策は、どちらかというと、仕事と子育ての両立といった視点で
55,」の開催や、地域農業者の合意形成に基づき、農業生産を核として加工・流通・販売等への取り組みに必要な施設整備等への支援を行った。また、十五年度から、経営の零細
56,印象に残り、導入の必要性を強く感じた。４．消費者意識の壁ベンレー工場の取り組みを専務会で報告し、富士ゼロックスでのシステム構築を提案した（千九百九十三年三月）。小林陽太郎会長（当時
57,歴年として継続はしていますが、時間連続をしてはいないので、適当な取り組みの姿勢で対応できる逃げ道があって、緊張はしているが緊張感にかけています。
58,が充実すると考えられる。さらに経営側の取り組みもあれば制度は充実するであろう。組合の取り組みが熱心なほど制度もする充実するはずだが、とくに「活用支援得点」と「両立支援得点」
59,二十四日付で各都道府県教育委員会等に対して登校拒否問題の対応について局長通知を発しまして、学校や教育委員会に対して登校拒否問題の取り組みの一層の充実に努めるように要請したところでございます。先生も御指摘くださいました
60,ための国際的取り組みを進めることが急務となっている。このため、東アジア地域における地域協同の取り組みの第一歩として、環境庁は、「東アジア酸性雨モニタリングネットワーク構想」を提唱し、その実現に向けて平成５年度
61,に報告し、発表した。農水省食肉鶏卵課によると、日本ハム本社などの立ち入り調査では、こうした取り組みが実際に機能し、効果を上げるかどうかなどを調べている。首都圏営業部や甲子園営業部
62,は教育より研究が重視される風潮があり、同大によると、大学院でのこうした取り組みは初めてという。化学専攻は昨年、文部科学省の「二十一世紀ＣＯＥ（センター・オブ・エクセレンス）プログラム」に
63,の消費と排出、エネルギー消費等それぞれの場面において、環境への負荷を少なくしていくための取り組みが始まっている。ア商品購入の際の環境配慮商品購入は家庭への物質の入り口
64,、事業高は、販売事業が約七十八億円、購買事業が約三十二億円（二千三年度）となっている。浜中町農協の取り組みの中で他農協にはみられない先駆的とも言うべき活動を整理したものが
65,、市民の協力・参加を得て、サミットのテーマのうち特に温暖化・環境問題とアフリカ支援に関する市民の取り組みをアピールするとともに、まちを挙げて来客を歓迎し満足していただけるよう努め、併せて登別の
66,のようになっている。この変数間の相関をみると、企業規模は「経営側の取り組み」や「組合の取り組み」に相関していることや、「経営側の取り組み」と「
67,対処し，国民の不安感を払拭するためには，これらに加え，犯罪の発生を抑止するための取り組みを推進する必要がある。犯罪の発生抑止に万全を期すには，警察のみによる
