,0
0,ｈｉｓ２ｃｅｎｔｓ’ｗｏｒｔｈという表現の原意を生かして「安っぽい」と「押し売り」という日本語を用いたのはおもしろいが，この直訳風の意訳では，原文と
1,言うことを聞いていては暮らしが成り立つまいと、いつもそのジレンマに悩んで押し売りの前で首をひねるのだが、基本的には、押し売りは撃退すべきものだと
2,せるようにしてますからね。自宅にかかってくるのは、間違い電話か、押し売りばかり・・ちなみに、誰かに教わらなくても、きちんと話す事は出来ました
3,その考えも行動もすばやかった。彼らはなんと近所のレストランに飛びこんでアルバイトの押し売りをし、そのお金で宿をとったのだ。これが大変な騒動になっ
4,売手売主売値売渡価格売渡先絵巻物襟巻沖合置物奥書奥付押し売り押出機覚書｟博多｠織折返線織元織物卸売買上品買受人買掛金
5,愛の深さがわかってもらえた、と思うし〉紫の上は、幸福の押し売りをする源氏に、（わかってないのねえ、男って…）と深い嘆息を
6,男達からもよく声をかけられる。一度はマンションの近くまでつけられ、またしつこく押し売りに迫られたこともあるといっていた。そんな男達が、霧子の部屋に押し込み
7,てきた甲斐あって、町民のみなさんからパトロール中に声をかけていただくことや、押し売り、不審者などの相談が寄せられるようになり、その際には犯罪を未然に
8,ネックレスを身につければ頭がすっきりする。「パワーストーン」と銘打つと、新興宗教とか押し売りとか非科学的なヒーリングに通じるからでしょうね。私は自分が大病をしたこともあっ
9,と，男は驚いて立ち上がり，急にそわそわし始め，態度に落ち着きがなくなった。押し売りの容疑でひとまず駐在所に同行して調べたところ，男は詐欺で指名手配中の者であること
10,」というふうに切り込んでくるんだそうです。物を売る人がいるでしょう、押し売りが。「刑務所から出てきたばかりで生活に困ってるんで、このゴムひもを
11,上手く断ることができる言い方などってあるのでしょうか。悪い人ではないでしょうが、親切の押し売りは疲れてしまいます。お節介焼きなのですね。本人には分らないのですから困り者です
12,べきですね〜。ちなみに三十代はどれも七千円くらいするものを勧められましたが押し売りではなく必要なモノ！と言い切っていました。別の友人はＳＫ２を使っ
13,、さらに三年でも五年でもお好きに引いてけっこうです。役所の「ボケの押し売り」お断り私の知人が、古稀の祝いをしたので「あなたもやっと私
14,この世を去り、藤田家は伝三郎の子、平太郎が継いでいた。「親切の押し売り」とも言われた元来の性格から、岩下は藤田家の運営について平太郎に苦言
15,かに変調をきたしますよ」という。おわかりのとおり、ここからは羽毛布団の押し売りに入るわけである。高齢者用に一組、さらに来るはずもない来客用に一組、さらに湿気
16,では，原文とは違った意味になるような気がする。「親切の押し売り」とは限らないからだ。→訳者は英語の原意を生かしながら，日本語
17,心を向けていただきたいのである。つまり、「遠方より来る」の三崎甚平は、「押し売り」というエッセイの「私」であり、好江は「私」の眼を通した「
18,話すのを待ちます。だってね、もう女の声だと解ると、一方的な押し売りばっかりで「奥様ですか？」と勝手に話し出し困ってます。わざと男の声
19,」と切り出し、多加がまだ返事もしないうちに、吃りながら、「えらい押し売りみたいだすけど、今度みたいな機会やないと、あんな馬鹿でっかい奴は売れまへん
20,聞きおわるやいなや、「家では間にあっていますので」と言ってひっこんだ。押し売りの青年は、身をひるがえして庭を出て行った。私は逃げるよう
21,なもんか。おれも大坂が商いの町とはきいていたが、女の押し売りまであるとは知らなかった」則近は、公家衆にはめずらしい坂東顔に苦笑を
22,，図書館で行っている選定購入の基本的な考え方を示して，毅然と対処する。これらの押し売りが市長や議会事務局，教育委員会事務局などを通じて持ち込まれることがある。これら，庁内との関係については
23,てまわる。「おばさん、卵いりませんか」行き当たりばったりの戸別訪問。子供の押し売りみたいなとこもあったな。それでも、お馴染みなんかもできたりして。カゴ
24,とか、母なる愛に助けてほしいとか、そういうレベルじゃなくて、快楽の押し売りという特権は女性のものでして、これの抑圧というのは父なる抑圧以上に
25,。家内はあっけにとられた顔で私を見たが、ごく冷静に、押し売りからいちいち物を買ってはいられない、と言った。「面白くない」
26,という。（中略）私は茶の間にいる家内を呼んだ。私はもともと押し売りに弱く、いつも逃げ回っている。そして家の者が留守で仕方なくつかまったりすると
27,それごらんなさいと家内にいばられるのが癪だから、仕事部屋に隠してある。〉（「押し売り」昭和五十五年四月「宝石」）読者のなかには、すでに私の魂胆を
28,遠方より来る」は昭和五十一年一月号の「小説現代」に発表された作品であって、「押し売り」よりも四年以上も前に書かれたのであるから、両者のあいだにはおそらくなん
29,推測しつつ，相互扶助的な社会生活のしくみを法律上維持することにあり，報酬目当ての「親切の押し売り」を積極的に奨励するものではない。判例では，共有者の１人が各人の負担すべき
30,オークションの質問欄に関連グッズの押し売りの連絡はきますか？こちらに連絡してくれって・・・・・来ても
31,ｗｏｒｔｈの訳そしてフェスティンジャーさんがちょっとあいさつに出てきた，またまた安っぽい親切の押し売りにだ。◇ｐｕｔｉｎｈｉｓ２ｃｅｎｔｓ’ｗｏｒｔｈという表現の
32,の？」「からかわないでください。真面目に訊いてるんですから」「真面目の押し売り？剣城さんらしくないわね。私の名は千城寺円。奈良の山奥の小さな村の
33,の勉強の本や資料・関連商品を探してくださいと注文を受けたことはあります。でも押し売りはひどいね。その方とは、結局、いい友達といいますかメル友になり
34,と優越感のからみ合いが存在しているが、他人がありがた迷惑がっていることも知らず、親切の押し売りをする。このようなコンプレックスをメサイヤ・コンプレックスと言う。これは表面的には善意としてあらわれる
35,有難さを通り越して迷惑なほどの親切なのです。（親切というより、善意の押し売り）私がその人の親切を断ると、「人の親切を・・」と
36,もそのジレンマに悩んで押し売りの前で首をひねるのだが、基本的には、押し売りは撃退すべきものだというぐらいのことはわかっている。だが、その日の
37,、そういう自分を語り、そういう自分を見つめているのである。さきに引いた「押し売り」というエッセイのなかの「私」をふくめた三人は、ただ「遠方より来る
38,の商品を優先して売るとか、そういういわば、言葉はあれですけれども、押し売りのようなことになっちゃうんじゃないかと思うんですけれども、そこはどうですか。○
39,フェイシャルに行ってみたいと思うのですが知恵袋の過去の質問を読むと「高額の押し売りをされる」という回答が多く評判悪いみたいですね。実際、「高額」の
40,思う前にごらんあれ→→＜＜ｈｔｔｐ：／／ｎｏｒ．ｙｃ．ｔｏ／ｍｔ１６＿１４／＞＞たまにある、情報の押し売りです。ポストに入ってるダイレクトメールや携帯に入るあやしげな勧誘メールと同じだと思ってください
41,にたいして圧力をかけられる場合がある。特定の政治結社や団体による脅迫まがいの資料の押し売りもある。これらに対しては図書館での資料の選定の意義，図書館で行っている選定購入
42,、陰々滅々と二、三日口をきかないだけのことである。喧嘩の原因は押し売りだった。その日、物置の前でめずらしく自分でストーブの石油を入れていると
43,いい友達といいますかメル友になり、よく情報交換しています。はっきりいいます、押し売りはルール違反ですし、オークションで得た個人情報を自分勝手に悪用したわけですから、ヤフー
44,は撃退すべきものだというぐらいのことはわかっている。だが、その日の押し売りは障害者でもあった。たいへんむつかしいケースである。それで家内を呼んだのである。ところが家内
45,で「おせっかい」や「八方美人」と受け取る人もいて、一人よがりな“親切の押し売り”状態になってしまう事も…。人情味にあふれた温かい人柄です。他人
46,かえて言えば、われわれが最も忌み嫌う一つの状態として、いわゆる暴力団等によるところの押し売り、この形態もやはり訪問販売だと思うのであります。あるいはわれわれが最も忌み嫌う形の中
