,0
0,の後に、前二打席で好機で凡退の高橋がライトへタイムリーを放ち２点を勝ち越す。（稲葉は三打席連続四球と徹底して勝負を避けられる。）【６回表】中村にライト
1,ない一進一退の攻防は見ごたえがあった。最後の最後、残り十五秒でミスマガが１点勝ち越しそのままゲーム終了。シュートを打たないと何もはじまらない。相手がミスするかもしれないしね
2,スタメンに名を連ねた浜中が「復活」へ第一歩をしるした。八回二死満塁から勝ち越し二塁打を放ち、「無我夢中。この１年は本当につらかった」と感無量だった。
3,をたたえた。ＧＰファイナルで初めて金に勝ち、シニアでの対戦成績も３勝２敗と勝ち越した。「互いに刺激を与えあい、いいライバルと思う」と浅田真。試合後は金
4,たり来たりした。急成長はことしから。東三段目三十二枚目だった初場所から５場所連続で勝ち越した。名古屋場所は２番相撲から６連勝、東幕下二十三枚目の先場所は７戦全勝で優勝。目下十三連勝中だ
5,米国・サンディエゴのペトコパークで行われました。日本は同点の八回、巨人の小笠原道大選手の代打勝ち越し適時打などで、６対２で韓国を振り切り、１組の１位通過を決めました。
6,十二で終わった大相撲大阪場所。霧島が涙の引退発表を行い、残る幕内下位の力士は全員勝ち越した。めでたしめでたしであろう。十両陥落を逃れた力士たちは３月三十一日の伊勢神宮奉納相撲を皮切り
7,８回に同点にされて先発投手の勝ちを消して、次の回に味方が勝ち越して、９回は抑え投手が抑えた勝ち星とＢ．同点またはビハインドで出て、味方
8,小向の二塁打を口火に一死満塁から小川が走者一掃の二塁打を放つなど一気に４点を勝ち越した。小椋の粘り強い投球が打線の奮起を呼んだ。浦和学院は三回に連続二塁打
9,が確定しているのは埼玉８区、広島５区、鹿児島５区の三カ所。ともにここで勝ち越して勢いをつけ、夏の参院選や今国会で山積している重要法案の審議に臨みたいところ
10,をけん引。一回二死二塁で先制打を左前へ運び、同点の六回一死一、二塁では勝ち越し二塁打。九回は通算百本塁打となる五十一号２ランを左越えに放った。百十九試合目での五十一本塁打
11,」。甘く入った直球をたたくと、打球は左中間を深々と破り、走者一掃の勝ち越し二塁打に。「こんな体験は生まれて初めて。亀谷さんのためにも打ててよかった
12,及ばなかった。（春日）【浦和学院‐中京大中京】９回表中京大中京一死満塁、小川が左中間に走者一掃の勝ち越し二塁打を放つ。投手今成純、捕手今成亮（甲子園）自信持って投げた○…浦和学院の
