,0
0,、振り込め期限が・・・あれもこれもと・・・今回は頼まれて振り込めに行っただけで、そのほかはノータッチ。今回のことは、娘が友だちと
1,ため、振込み操作を中止すると思います。ネットバンキングの場合：振り込まれず、名義違いで振り込んだ人の口座に戻ります。手数料が２回分発生してしまいます。こちらから
2,てそこのブラジル大使館で日系人のおばちゃんと知り合った。ここの大使館は手数料を銀行に振り込まなければならない為、一緒に銀行に行って通訳してもらった。いろいろと話をしていると
3,ドルを持ってても問題ないわ。どこの銀行からでも外国にドルを振り込むことが出来る」エフィーは、目をくるくる廻し、いたずらっぽく言った。「もし、その
4,場合、皆様どのくらいなら待てますか？「明日振込みます」と言って１週間後に振り込まれた事があります。評価の良い人なら１週間くらい待つけど、悪い評価が多い人
5,ですが、手数料はかかりますか？今日落札したのですが、他銀行に新生銀行から振り込みますが、落札額と送料のみしかかからないのですか？教えてください。私も先日作っ
6,時給は六百八十円です。）普通、給料日が土日だったら金曜日か翌週の月曜には振り込みますよね？「口座振り込みする」といわれ、郵便局の通帳のコピーを渡してあるんです
7,で間違えて料金加算の画像（三千円）をクリックしてしまったようです。今日中に指定口座に振り込まないといけないと言って会社に行きました。住所や名前も登録したと
8,徴収方法が変わります。現在の方法（普通徴収）では、金融機関などに納付書で毎回振り込んだり、口座振替の手続きをしたりする必要がありますが、来年の十月以降に支払わ
9,何も残らなかった。それどころか、裁判が終わったあたりから３万円の養育費も振り込まれなくなる。養育費も払わずに逃げる父今でも正夫の弁護士を道
10,新生銀行は本当に月５回迄は振込手数料無料なんですか？今、他銀行へ振り込もうと思ったら「手数料三百円」と表示されました。今月初めて振込します。何か
11,安全パイってなんですか？麻雀用語であたる（振り込む）可能性の低い牌のことを言います。人間の場合は可もなく不可も
12,生みそうですし」「ではとりあえず一週間分の基本料金十四万円の他に五十万円ほど経費として振り込ませていただきますが、よろしいでしょうか」「もちろんです」総計六十四万円！三崎
13,イーバンクについて教えてください。イーバンクから他行（ジャパンネットなど）へ振り込んだ場合、相手の方にはどのように表示されるのですか？他の質問欄で
14,ここんところ、振り込め期限が・・・あれもこれもと・・・今回は頼まれて振り込めに
15,きます。被害に遭わないためには、次のことを心掛けましょう。◇すぐに振り込まない◇詐欺かもしれないと疑ってみる◇一人で判断しない◇家族や親族
16,ました。後日、メールで、重量オーバーで、不足分六百円近く請求されました。やはり、振り込まなくてはならないのでしょうか？どうか、よろしくお願い致します。本来なら振り込む必要なし。ですが振り込む意思の
17,支給されているのでしょう？うちの職場は、６月分の給料と一緒に夏のボーナスは振り込まれます。冬のボーナスは十二月二十日です。なので、６月末ぐらいから７月始めぐらいに出品なさる
18,）住民税還付の振り込め詐欺に注意をこの住民税の還付手続きが今、県下で激増している振り込め詐欺（還付金詐欺）に利用されることが心配されます。還付金を受ける人に対して市役所から
19,それで会社に電話したら払うっていうので６月ごろに振り込まれてるかどうか見たら振り込まれていませんでした。会社に電話したら経営が厳しく分割にしようかと思っ
20,出品者にお尋ねします。ヤフー簡単決済利用の場合、品物の発送は、落札者の手続き確認後（口座に振り込まれる以前）か、登録口座への入金確認後のどちらにされていますか？登録が
21,お持ちの出品者さんに出会うことができませぬ。まぁＪＮＢでもいいんだけどね。新生から振り込めばええし・・・メールと同じ文面だな。。。。。。。。
22,いらっしゃるのね・・・・会っちゃいましたか〜。連絡先も送ってこず「振り込んだんだから発送しろ！」と一方的にキレる人が多いので、注意してくださいね。
23,とのことなのですが（旧アドレス）信じて待つしかないのでしょうか。今日落札金額を振り込んでしまいました。初心者でちょっと心配なのですがこのような経験した方がいたら
24,、貰ったんだろう？他にも、謝礼が当たった人いますか？私も振り込まれてました。百五十円だったけど、振込みを信じてなかっただけに、本当
25,事でお聞きしたいのですが、ペイメントで振り込まれた場合も、普通に銀行などから振り込まれた場合も、その振り込まれた金融機関へ出向き、通帳の記帳をして入金
26,が退社する際、男性の厚生年金の脱退一時金約二十一万円を、男性に無断で開設した銀行口座に振り込ませ、その後、この口座から引き落とす手口でだまし取った疑い。デボラ・ウォーリーさん（米女優）
27,最近の犯人は、被害者に疑われにくいように、入念に下準備をしたり、お金を振り込ませる理由として、他の人に相談しにくいような理由を考えています。その電話の
28,、評価から言われることもなく。。」出品者は「落札されたけど落札者から振り込まれないけど、しつこく催促するのもめんどくさいので。。」お互いなんとなく流れてしまった（
29,住所の一部と苗字は覚えていました。前回の取引でその人は「明日振り込みます」と言いつつ全然振込みナシ。十日待って催促したら「すみません家を留守にして
30,で、初回メールは４日経ってからやっと来て、しかも勝手に着払いで、落札料金だけ振り込めとのこと。質問欄で５件ほど、「定形外はできますか？」と来てい
31,、さまざまな手口の振り込め詐欺の被害が急増しています。すぐに振り込まない、ひとりで振り込まない、怪しい電話などには、落ち着いて対応しましょう。■問い合わせ南区役所総務課安心安全係☎３７２‐６４３１
32,れていたので。）あまり正直いい気分ではありませんが、お金はちゃんと振り込んでくれるようですし・・・でも、こういうことって、相手に注意すべきな
33,請求書を出したら家族に見つからないように処理してしまおうと、開封後すぐにカネを振り込んでしまう人が多いからでもある。ポイントは、ツーショット・ダイヤルとか、サラリーローンとか、
34,のを一発で振り込んで、親の九千六百点。「おや？プロが一発で振り込むかねえ」と、西原さん。美しい性格である。滝石さんが反撃に出るけど不発が
35,十五ですべて落札者として非常に良いがついています。そちらの住所を教えないと振り込まないとかいうメールを出したら、相手の方が気分を害されるのでは？
36,だ人の口座に戻ります。手数料が２回分発生してしまいます。こちらから振り込んで返却するか、値引きするなどして相手に手数料を返さなくてはいけません
37,。すると「トラブル防止のため・・・」だと。「届かなかったときはすぐ振り込みます」「トラブルにあったことがあるので・・・」アホでしょうか？たった百十円に
38,振込できます。どれかが間違っていると振込はできませんので、誤った先に振り込んでしまうことは、普通はありません。また、ＡＴＭで振り込む際、振込先の口座
39,女がぽつぽつと出始めてね。どれも五万とか三万といった微々たる金を指定口座へ振り込ませる手口だ。今見せたテープは、野郎が銀行のＣＤで金を引き出した
40,最後には夫も自分の非を認め、調停で決めた養育費と慰謝料を毎月振り込んできます。滞ると裁判所から督促状がだせるので気持ちの上でも協議離婚より安心感が
41,ことですが、送料を落札者側で負担の商品を落札した場合、送料込みの代金を振り込みますよね。その送料が、七百五十円と言われて振り込んだのですが、商品は
42,医療機関で提示してください。窓口では医療費をお支払いいただき、診療の２か月後の月末に指定口座に振り込みます。（「自動償還方式」）ただし、「自動償還方式」非対応の医療機関や、県外の
43,ので、久々に箱のネット接続をオンにしました。この前買った三千五百ポイントを振り込んだり、ＤＬＣを落しましたが、今回はついでにゲームのランキング機能も有効にし
44,も少ないものである。家賃を振り込んだと思っていても、「家賃がまだ振り込まれていません」と正式な管理会社から連絡が入って「しまった」と気づく
45,なので他人に知られてはいけない」などと、行員がいない商業施設などのＡＴＭから振り込むよう指示なんだそうです。十万円を超える現金振り込みはＡＴＭでできないため、被害者が
46,ポストには投函できない大きさの荷物です。落札者は定形外希望で定形外の料金を振り込んできました。（もちろん出品者・自分も了承しています）本日（金曜なので）郵便局
47,の口座へ振込をし（自分名義の口座間なら振込手数料は無料ですので）それから大家さんに振り込んでるので手数料はかかりません。ひんぱんに振込む相手なら上記のような方法はいかが
48,郵便局と地方銀行の口座しかない状態です。ネット上に口座を持っている友達に代理で振り込んでもらう。
49,や番号案内等で調べて、直接問い合わせをしましょう電話のやり取りだけで、お金を振り込んでくれと言われた場合は、振り込め詐欺の危険性がありますので、手続きをする前
