,0
0,の最高意志を抑制」（「片倉日誌」）するとともに、より直接的に「日本人も内部へ飛び込んで仕事をなす」方針が打ち出され、このときさらに「国務院の権限を大に
1,のお偉方のところへいちばん最初、右も左もどこも知らない人なのに飛び込んだんです。食うにも食えずに、仕事もなしに、外人さんのところへ飛び込ん
2,も積極的に集め、納得した気になっていました。しかし、最終的にプールに飛び込むのは私ではありません。おかあさんはガラスをはさんだ待合室で隣に座っ
3,「―はい」汚れたサンダル履きのまま、玄児に続いて私が室内に飛び込んだその時、遠くでまた雷鳴が轟いた。心なしかこれも、先刻に比べ
4,の空が、ちょっぴり、目にはいったのだった。が、つぎの瞬間に飛び込んできたのは、紺がすりの着もののはしだった。いつも見なれている
5,方々にも河内屋の魚使うていただきたい思うとります」八兵衛は板倉の懐に飛び込んだ。暗に板倉に武家を紹介してほしいと匂わせた。「さすが河内屋、抜け目
6,、レザーに身を包んだヒゲもじゃのチンピラたちがその上にまたがっているのが目に飛び込んできた。彼らは路地裏を、ついてない鳥めがけて迫ってきた。
7,と考えているのか。あるいは、もうこういう学術論争でなくしてもう住民の真っただ中に飛び込んでこの解決のために何とか行政的対応をするのか、この点についての総裁の御見解
8,暴力を加える。傷を負った彼は、どうにか彼らの網をくぐり逃げたが、飛び込んだ家は皮肉にもカルメロの家だった。父の仇とは知らないメチェ
9,、くもりと雨のマークでした。くるみさんが窓をあけると、あたたかい風が飛び込んできました。外をのぞくと、空はどんよりとして、いまにも
10,た。彼はまだにやにやしている。あたしは彼の顔に水をかけて水中に飛び込み、プールの向こう端まで潜ったままで泳いでいった。あたしがプールから上がって
11,自分自身の苛立ちを、素戔嗚の苛立ちだと解釈しているのかもしれないが、車座の中に飛び込んでひと暴れしてやってもいいと思う程度には、大輔の中に苛立ちが積もっていた
12,落下する「ヒュ〜ッ」という鋭い口笛のような音を聞いたら、素早く防空壕に飛び込まないと危なかった。もし近くに掘った壕がなかった場合は、溝に飛び込ん
13,ダイバー・スーツを着込み、煙草大の水中呼吸器をくわえたハーンは、埠頭から海中に飛び込むなり、魚のように泳ぎ始めた。しなやかにくねる足ヒレの先から、泡の列
14,窓から中を覗くと、老夫婦の姿が厨房に見え、意を決して飛び込んでみる。カウンターは四席、テーブル席は四人、座敷のテーブル二つには八人が
15,の水深になると舟底は砂浜を突いて進めない。そのため兵士達は海に飛び込んで進軍しなければならない。水深１ｍで波がある海辺を軍装備のまま歩くなどとんでもない。
16,羅針盤がぼくたちの行く場所を確実に指示してくれた。走ってきた乗り合い馬車に飛び込む。すぐに猫の姿に戻ったバステがしばらくたってから鼻をフンフン鳴らし
17,ケアは出来ないんですか？」「病院を出た途端、小学生用の塾に飛び込んで掛け算を習う人間もいます。しかし、今の自分と、過去の自分の
18,亜美が顔を歪め、泣き出し、「怖かったの」と言いながら自分の胸に飛び込んでくるような気がした。だが、それは年甲斐もない、この場に
19,しがみついたまでは、おぼえている。大砲の音におびえてにげて、そして小川に飛び込み、アシの葉にしがみついたんだ。空には、大砲のあとが、わたがし
20,コレを見るべからず。後悔するよ。ヘッヘッヘ。Ｓ．Ｉ．という文字が目に飛び込む。なぜ、このページに自ら開こうとする力があるのだ？浅川は考えた
21,、そこを離れようとしたときのことです。彼女の目に不思議な光景が飛び込んできました。花屋の老主人が、ほとんど枯れてしまっていた鉢植えの木から、
22,オレのもとには、市井は今年の夏あたりにソロでデビューするのではないかという情報が飛び込んできた。事前に記しておくがこれはあくまでも噂だ。確証は得てい
23,飛び出してくる。右端と、左端の小屋の戸口へ、三人ずつの兵隊が飛び込んでいった。小さく悲鳴が聞こえた。怒鳴り声もまじる。兵隊たちが叫んでいるの
24,なんでも俺の正体まではバレていないと思うけれど、このままじゃいつ連中が飛び込んでくるかわからない。場所を変えて、とりあえず身の安全を確保して、
25,死後にひいたかたちにしたという考えと、生体轢断、つまり生きたまま自殺で飛び込んだという判断と、これまた真っ向から対立しました。ついにこの下山事件は自殺とも
26,血を押えた。フォークリフトの男もなすすべはなかった。スコットは座席に飛び込んで、バールの端で相手の顎の下の柔かいところを思いきり突きあげ、それは
27,注目したこの二人を詠み込んだ川柳もある。ところで、芭蕉が蛙の池に飛び込んだ音に「何か」を感じていたころ、英国では芭蕉より二才年上の
28,ている。一歩踏み出すごとに板の割れ目から得体の知れぬ海虫が走り出て、水中に飛び込んで行く。汚水の流れを幾つか越え、貧弱な松林が広がるところまで来る
29,大空のしめす連続体にいわば「句点」が打たれたこと、連続体に切断が飛び込んできたこと、ただそれだけのことに身体全体を揺すらせて、笑っているのである
30,ひとしきりあたふたした。そうして耳を澄ましてみると、露がころがるようにピアノの音色が飛び込んできた。まちがいない、モーツアルトのピアノソナタイ長調Ｋ三百三十一であった。音は
31,た。言い換えれば、野村の事故は、光を感知しないはずのセンサーに光が飛び込んだことになる。もちろん、室内照明のような指向性のない光では間違って感知することはない。
32,など貴重な史資料の数々が展示されている。玄関ホールに入ると、まず目に飛び込んでくるのが零式艦上戦闘機（ゼロ戦）だ。その脇を通ってエスカレーターで２階へ。
33,れた。「彼女が嫌がってるじゃないか」下品な英語が耳に飛び込んでくる。フォクストンがおれの顔を覗きこみ、笑っていた。脇腹に衝撃を受け
34,茂みにひそみ、人影がないのを見計らって、ホテルの玄関を駆け抜け、自室に飛び込んだのだという。バンコクの家に戻ってきた橋田からこの話を聞い
35,が、僅かに三枚。トボトボとうつむきながら歩いていると、目の前に看板が飛び込んできた。『ソフトクリーム二百五十円』カラカラに乾いてしまった心と体を潤し
36,渡り板の上で助走をつけ、何度も繰り返し海へ飛び込んだ。どれだけ遠くへ飛び込んでも、どれだけ深く潜っても、海は呆れるほど広く、怖いくらい深かった
37,。この緊急な場合の対応をやってもらわなければ困るわけですよ。施設に直接飛び込む。今はどこへ行っても対応してくれるけれども、介護保険になると、これは
38,しっかりもののジャンが活躍したのです。彼は果敢に税関室のドアを開けて中に飛び込んだかと思うと、すぐ戻ってきました。「話をつけた」
