,0
0,に生徒を支援し，動機づけられるようにして，少数民族，性別，公平の問題に取組まなければならない。・〔技術内容スタンダード〕は，技術の学習と他の教科領域における全米，州の
1,補助金以上に効果的に技術革新の達成を助けるものとし、諸規制の緩和についても各方面を通じて取組まざるを得ないとされている。千九百九十三年末、遺伝子工学法が改正され遺伝子工学実験、遺伝子工学プラントに関する許認可手続きが簡素化され
2,を通して取組んでいますが、部活動単位でも参加したり、朝の読書活動に全校生徒で取組むなど、静と動のめりはりで心を鍛え、文武両道で頑張っています。ホームページ
3,、安全に対する国民の信頼を回復することを基本認識とし、政府の取組み、事業者等において取組むべき対策等についての報告書を平成十一年十二月８日に取りまとめたところである。５コンピュータ西暦二千年問題
4,の不正義が存在してしまう。もし政治哲学者がこの問題に取組まなかったら、他に誰が取組むと言うのだろうか？＊当日の講演は“ＪｕｓｔｉｓａｎｄＰｏｌｉｔｉｃｓｉｎＤｉｆｆｅｒｅｎｔ
5,。でも、逆に言うと、一人でやると失敗する可能性が高い段階から自力で取組もうとするぐらい、子どもの内なる成長欲求はドトウの勢いなのです。ちかちゃんのよい
6,だ石井筆子。自らの子に障害があったことから知的障害のある児童の教育に取組み、障害児教育の母と呼ばれたその生涯を描きます（日本語字幕・音声ガイド付き）▷出演
7,、そして震災に対する不安にこたえるような公共事業を一日も早く実施をしていただきたい、取組んでいただきたい、そのように要望して、次の質問に移らせていただきます。経済運営について
8,を六十五％（海藻類は七十％）まで引き上げることをめざしている。日本の周辺漁場の資源回復に取組み，魚介類の利用率を高めることが求められている。水産物の生産量が減少しているに
9,ては、道が示した素案に基づき西胆振の各市町と連携して、調査・研究に取組みます。４都市基盤設備の推進◎公園美化・整備道路や公園、河川などの公共敷地の清掃や草刈り
10,世田谷区本庁舎等整備審議会の区民委員を募集します区は十六年度から４か年にわたり、庁舎整備に関する基礎的な調査研究に取組んできました。その結果、現在の庁舎について区民サービス、防災・災害対策、環境へ
11,財政的に可能にする経営的基盤も確立されている。第三に、こうした課題に取組む過程で、市民参加がどれだけの実質的役割を果たしえるかである。フライブルクでは市民主体の環境運動
12,のであった。全ドイツ憲法とオーストリアともあれ国民議会は、全ドイツ憲法の作成には全力をあげて取組んだ。それは「公論」によって新しい国民国家をつくり出そうとした壮大な試みだった
13,，人口十万未満の市及び町村に四百五十二名）置かれており，公害苦情の処理に積極的に取組んでいる。公害調整委員会は，地方公共団体が行う公害苦情の適切な処理のための指導及び情報
14,みんな伸び伸びと何かに取組んでいます。いや、正確にいうと中には「取組んでいない子」もいます。ただ、そこで私たちは「何かやりなさい！」
15,の自立」を中心とした事柄になった。さて、それらの課題と取組むうちに、英国に勤務していた息子が帰国して、五年間の「男の一人暮らし」
16,たので、とにかく激甚災害に指定をしていただきたい。大臣、これについでどのように取組んでいかれるのか、まず、その御姿勢をお伺いしたいと思います。○井上国務大臣お答え申し上げます
17,きのいえ」での受賞もお見事です。あぁ、日本人の映画への志や取組み、本当に誇りに思います。最大の拍手を〜。この短編、ニュースで細切れ
18,だけであった。その後は、商業印刷向けのさらに緻密なドット字形の開発に、二十年も取組んだ。あれから十年後には、アウトライン方式が主流となり、字形の外郭形状をデジタル化し
19,きた人物。今、商店街ネットワークでは、震災対策プロジェクト、物流事業、商品開発、社会公益事業などに取組んでいる。中でも震災対策プロジェクトでは、阪神大震災の悲劇を繰り返さないようにと、高齢者・子供・女性
20,に行ってきているが、近年は、特に環境案件や地方開発に資する案件についても積極的に取組んでいる。（５）エイズは、タイの深刻な社会問題となっており、タイは
21,ておるという現状を改革しなければなりませんから、これはその改革に向けて今取組んでおる最中でありますし、また、管理教育とおっしゃいますが、学校は児童生徒が集団生活を通じて
22,一層の販売強化を目指している。〈町民一体となって商店街の活性化と魅力ある街づくりに取組んだ事例〉山口県のＤ町における商店街は，店舗密度が低くまた核となる施設も
23,月煌々火消しの鳶は江戸の花不秋月十二和合取組みお相撲さん宣秋ナウ一焼酎に枝豆可なり一膳屋
24,住宅関連データシステムなどの整備、行政内部における推進体制整備、高齢者などの住宅リフォームに係る建築士の養成・登録などに取組むとしている。このように、県は先導的に公営住宅を供給するという役割から、
25,，今までよりも栄養の取り方を意識するようにもなったので，このホームプロジェクトに取組んでよかったと思っている。カルシウムを多く含む食品一覧表（冷蔵庫に掲示）１食分の使用量
26,仕事を探そうと思った時点で、誰しもいくらかの意欲を持って仕事に取組もうとしたはずだ。それが、仕事を毎日しているうちに、徐々に意欲
27,柱に、保育料の軽減や小学生への医療費助成、総合食育センターの整備など三十三の施策に取組みます。わらすっこ条例（仮称）は、保護者、地域住民、学校関係者、事業者などが連携し、
28,中高齢者の生きがいづくりとしても有効である。また、地域住民同士が子どもを預け合うような事業にも取組む必要がある。３子どもが輝くまちづくりへ子どもが輝かない社会には、
29,レースは人間の情熱とエネルギーの多くを要求する激しいスポーツである。速く走ろうと真剣に取組めばやることはいくらでもある。どんなにエネルギーがあっても足りないほどだ
30,嫌う吉田の心情がみえてくるではないか。ＧＨＱにあって日本の司法制度改革に取組んだオプラーは、吉田におけるこの徹底した保守主義と占領権力への抵抗心についてこういう。「
31,の精神を生み出す基礎になると考えられる。サステイナブル・シティは、ヨーロッパでは実際に取組まれ、典型例といわれる都市がでてきている。一例をみてみよう。ドイツの
32,は危ういと危機感を抱いた檮原町と檮原町森林組合は、一体となって森林保護と林業振興に取組んだのだ。その取組みの主なものを拾ってみると、次のとおりだ。▽千九百九十三年
33,今では重要性が広く認識されており、年金ＡＬＭなどを活用して、主体的にアセット・アロケーションに取組む年金制度の管理者が増えています。また、運用機関においても、複数の選択肢を示すなど
34,耐久レースの世界チャンピオンである。パリダカには八十一年シトロエンＣＸで参加。翌八十二年からはメルツェデス二百八十ＧＥで本格的に取組み、八十三年優勝。八十四年からはポルシェで走っている。このイクス車のもうひとつの大きな話題は
35,ふつう」にみえる他の生徒にとってもリスクとなる可能性のある問題であると意識して取組む必要がある。軽度の発達障害をもつ生徒との対応では，生徒のもつ
36,、過去３回にわたって中長期的な復興援助調整メカニズムとしての「カンボディア復興国際委員会」（ＩＣＯＲＣ）を主催し自ら議長として取組むなど、カンボディアの復興プロセスに指導力を発揮してきた。こうした支援を受け、カンボディア
37,の提案型」であったが，今では「自らがどう参画できるか」をテーマに取組むようになるなど，まだ半年間で７回の開催であるが，早くも市民の意識変化が
38,彼によるものである。現在はＷ３Ｃディレクターとして、次世代のウェブ技術「セマンティックＷｅｂ」の標準化に取組んでいる。
39,根ざした積極的活動を展開していることが、■■氏はＰＴＡ活動において、講演会開催など意欲的に取組む中で、全体の活性化に寄与していることが認められたものです。成人善行表彰■■■■氏
40,た。初めの段階で、反復練習で基礎を徹底的にたたき込んだうえで、いわゆる総合的学習に取組むというパターンをとります。読み書き計算を学力作りの中核にすることにした理由のひとつに
41,水田営農、水利用事情等を踏まえた畑地化等を推進する。また、需要に即した高品質の麦・大豆生産に取組む生産者に対する支援や耕種農家と畜産農家の連携による水田を活用した飼料作物生産に取組む生産者に対する支援策
42,。また、宿泊施設としても「ゼロエミッション」を目標におき、廃棄物量の大幅な削減に取組んでいます。軽井沢でのエコツアーの一場面（財）日本交通公社提供ウ里地の身近な自然、
43,が、女性だけの「おんな山師集団」をつくり、間伐作業や林道の草刈りなどの活動に取組んでいる。総面積の九十三％が森林という同県東部の智頭町は、高齢化や人口流出などで林業
44,浮かび上がっています。また、全校生徒で学校や地域のクリーン作戦などのボランティア活動にも積極的に取組んでいます。☆心身ともに鍛える部活動・生徒活動！本校の部活動は、野球部、サッカー部、
45,ていくことは大切なことですよね。そこで長崎市では、さまざまな健康づくり事業・介護予防事業に取組んでいます。特に平成十八年度の介護保険事業の制度改正により、六十五歳以上の高齢者のかたが要介護状態に
46,ね。約束する」クリスティーナはリュークをじっと見つめた。彼の表情は大きな難事業に取組もうとする人のように断固たる決意がみなぎっていた。「そのかわり、きみ
47,極左暴力集団は，その時々の社会問題や政治課題を取り上げ，労働者結集による組織拡大，党建設に重点的に取組んだ。特に，平成７年１月十七日に発生した阪神・淡路大震災を勢力拡大の絶好の機会と
48,、単純な皇室典範改正の論議でなく「国の骨格にかかわる問題」として憲法論の中で取組むことになったのである。容認論大勢の中、時期尚早論も衆院憲法調査会は「最高法規としての憲法の
49,地域のさまざまなサービス資源の情報を収集し，各資源間での連絡・調整を行うといったネットワークづくりにも取組む必要がある。施設入居高齢者に対するソーシャルワーク住み慣れた自宅を離れ施設で暮らす高齢者は，新しい
50,に学ぶということは難しくなる。子どもたち一人ひとりが，自分なりの学び方ができるような実践に取組むと，障害のある子もそのクラスの一員として十分参加できる。私はそのような
51,にまとうわけですが、頼朝はこれに対抗するものを武士団がつくれるかという課題に取組んだわけです。このとき、頼朝はまさに天才的な発想をしました。巻狩
52,では，人口十万人対罹患率二十四．八とまだ高い状況にある。厚生省公衆衛生審議会結核予防部会は「緊急に取組むべき結核対策について」千九百九十八年７月３日付で提言し，翌年「結核緊急事態宣言」を行っている。提言の
53,、図書館の普及の構想が発展したものである。この図書館の普及は当時全国的に取組まれていた「公民教育の徹底」の具体化の一つとして考えられたものであったが
54,いいますか考え方をマニュアル化していくか、そういうようなことを中心にして今取組んでいるのが実態でございます。○木庭健太郎君是非、そういう点を進めていただきたいと
55,ている一般図書の書架に行くのですから，われわれ司書の専門性を賭けて「間接レファレンス」にも取組むべきだと考えます。２．４間接レファレンス利用者は，調べものや探しものがあるとき，
56,。出版社としても迷惑だろう。それを充分承知しながら、ここ二、三年猛進するように取組んだ。昭和四十二年（千九百六十七）、最初に訪韓した時から、三十年間にわたって集めた資料
57,せっかく開発した製品が発売されると、すぐに市場から消え、また新しいものの開発に取組まなくてはならない。そこに無常を感じました」（九十八年五月二十二日）地下鉄にサリンを
58,今後はサハラ以南アフリカ、南アジアのＬＬＤＣ等、より困難の大きい地域や国に対してより積極的に取組む必要がある。特に現在のアフリカの状況に鑑みれば構造調整支援に対する緊急なニーズに応える
59,です。今後とも、ごみの排出ルールを守り、さらなるごみの減量とリサイクルの推進に取組んでいただきますよう、市民の皆さんのご協力をよろしくお願いします。この特集に関するお問い合わせはごみ有料化ホットライン
60,ています。既に調達方針の公表を行った国の機関ではグリーン購入に積極的に取組むために、基本方針の判断の基準を満たす物品等を原則として百％調達することとしています
61,各国の反トラスト法が国際貿易、そして最終的にはより広範な競争政策の側面に及ぼす影響に取組むため、ＡＰＥＣが作業部会を創設するようわれわれは提言する（「競争政策」の正確な適用範囲を
62,た出来事や、周囲の人から聞いた話などをどんどん組み入れて、新しい作品作りに取組んでいった。『夜壺』には、大阪公演も含めて、ぼくは春公演の半分以上
63,（３〜十ＧＨｚ）で実現するための超広帯域移動通信伝送技術、最適な通信手段をソフトウェアにより実現するためのソフトウェア無線技術等に関する研究開発に取組んでいる。図表新世代移動通信システムのイメージ及びスケジュール電気通信審議会（現情報通信審議会）答申により作成（７）無線インターネット
64,課題です。和田弘一郎氏をはじめ多くの育種家が、耐暑性のある品種、日本らしい品種の作出に取組み、成果を上げています。それらをご紹介しましょう。‘太陽’（Ｔａｉｙｏ）アルボレウムや
65,行われた。第３‐１‐２表全国青少年健全育成強調月間における主な事業２青少年の非行問題に取組む全国強調月間内閣府では，毎年７月を「青少年の非行問題に取組む全国強調月間」として定め，
66,。各比率のいずれかが早期健全化基準を超えると財政健全化計画を策定し、自主的な改善努力による財政健全化に取組むことになります。練馬区の状況は、右下の表の通りです。いずれの比率も
67,な、今後に向けた安定した国内生産そして消費に対して寄与していくことができる、こういう方向で取組んでいきたい。以上であります。○木村（太）委員副大臣の御答弁を聞いても
68,も第四土曜日のプロジェクト開催日には横浜の会場に駆けつけるほどだ。福村さんは「働きながら取組む企業人のボランティア」にこだわる。勤め先から一銭の活動費も貰ってないにもかかわらず
69,その情報を発信してほしい」と訴えた。続いて、栗原市で野菜の水耕栽培に取組む法人代表や地元産米で酒造りをする蔵人らが事例を紹介。一次産業による地域の活性化を考え
70,と「天地人」の放送開始に背中を押されて計画を前倒し。年度途中に新規事業に取組むという行政としては異例の対応で、ファンの要望に応えた。今回は大ヒット
71,の問題は総務庁の所管でございますし、私は公務員の週休二日制という問題に取組んでいるわけでございます。しかし国民に対するサービスを落とさないようにするとするならば
72,ばかりでは、話は進まない。太田にできることを農業者と話し合いながら前向きに取組んでいきたいと思う。太田市平日夜間急病診療所（飯塚町千五百四十九‐１太田市総合健康センター２階）をご利用ください。◇診療科目
73,で、極度の混乱状態にあった。このあと再建に、国も国民も協力して取組む。米国や英国では、早くも原子力の平和利用として、原子力発電所計画が進められてい
74,をつくっていた。「将来のことを考えれば、本腰をいれてバイオと取組むべきだって、隆三さんはいつか言ってたけど」「企業っていうものは
75,ています。アメリカでは日本より先に教育荒廃が進んで、焦って教育改革に取組みました。しかも、その際の改革というのは、実は日本のマネをした
76,こととし、わが国の市場をグローバルスタンダード（世界標準）競争にするように積極的に取組むという狙いが込められていた。これに先立つこと二カ月、経団連は九十四年五月に
77,合意に基づき，原則として十七年（二千五年）までの全廃を目指して具体的な削減計画に取組むこととされている。このため，既に８年から臭化メチルの他の農薬への代替
78,ように、間違っているとしても、それが私という一個の人格が真面目に取組み、真剣に反応した一つの例であるということは事実である。禅の世界を
79,な。彼らとしては、いきなり工場に乗り込んできて、現場に入りこんで改善活動に取組むトレーナーたちを、煙たいと感じてしまったのかもしれない。その結果、むしろ、現場を優先さ
80,」企業を百とした割合。効果があった事項は、ポジティブ・アクションに「既に取組んでいる」企業を百とした割合。
81,そして、子どもたちは進級・進学していくので、同じ子どもたちで検証したいと思っても、再度研究実践に取組むことは不可能である。どんな場合でも制約はつきものであるので、ことさら問題にする
