,0
0,みて、翌千七百八十一年にはバージニア州も同様の決定をくだした。ただ連邦に土地を差出すにあたって、バージニアは次のような条件をつけた。（１）将来西部
1,前に、わしの連れが挨拶したいそうですわ」松村に私は名刺を差出した。「大阪府警捜査一課…どうも剣吞ですな」「吉永はんは例の
2,たので、要領の悪い給仕のように突っ立ったまま、ティッシュの箱を取って差出した。コンスエロは立ちあがって、ふたたび椅子にすわった。息づかいは荒く、瞳は濡れ
3,ライステラスが描かれている。「ご覧になりますか？」富岡さんはスケッチブックを差出してくれた。「よろしいんですか？」わたしはありがたく拝見することにした。一ページ目
4,れる人が地域にいても，近隣の誰もが簡単に援助の手を差出すことがむずかしくなってきた。また，職住の分離などで自分の住んでいる地域へ
5,組んで、何かを隠し持っているらしい。「えへへ」と笑うと、メロンパンを差出した。「みんなで一緒に食べようよ」「そ、そうですね」
6,わけか、急に丁寧な口調になって、右京之介は一本の筆と徳利を差出してきた。その中に入ったドロリとしたものを見て、弥太は首
7,太刀を」信長は床几からずかりと腰をあげて、前髪立の小姓の差出す愛刀を握った。小姓に思いつめた表情がある。森蘭丸という。森可成
8,てきた。「よかったら、どうぞ」彼は私にサンドイッチの包みを差出した。よく見ると、彼の手にはもうひとつの包みがあった。
9,、お使いだよ。さあ、これ手紙」といって、白いふうとうを、たけしくんに差出しました。たけしくんが、それを受け取ると、へんな子どもは、くるっと後ろを
10,て、一ドル乃至五ドル程度を入れている。天羽乙七と賢治も、受付で白封筒を差出し、中程の椅子に坐った。二列前に、妻の両親の畑中夫妻の姿も見え
11,何カ月も―」キャリンは不意に口をつぐんだ。ラフェが書類の束を差出したのだ。「これが親権の証明書で、こっちが娘のパスポートだ。頼む
12,日なのよ」女性はローガンの顔から視線を引き離すと、ルシンダに手を差出した。「エミリー・アップルゲイトです。〈フォーチュン・テキサス〉社で、ローガンの補佐として働いています」「
13,「このあいだの約束、覚えていらっしゃるでしょう？」「もちろん」空閑が差出した右腕に、アンネッテが気取ったポーズで左腕をからませた。シュタウフェンベルクがなんと
14,が京都御所に逃げ込もうとするのに御門を鎖して、この股肱の臣を北条泰時方に差出して「謀臣の計」アニ朕ガ志ナランヤと弁明して人身御供に供し、自らは「君側の
15,て、「ゴミが入っているみたいですわ」と自分の茶碗を浅見の前に差出し、浅見の茶碗の中の、あるかなしかのゴミを小指で掬って、
