,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,会館,を窺っていた。観光も終り車が会場に着いた。当初、町の会館の予定であったが、少し大きすぎた。急遽、お寺の本堂の広間に変更に,"['を', '窺っ', 'て', 'い', 'た', '。', '観光', 'も', '終り', '車', 'が', '会場', 'に', '着い', 'た', '。', '当初', '、', '町', 'の', '会館', 'の', '予定', 'で', 'あっ', 'た', 'が', '、', '少し', '大き', 'すぎ', 'た', '。', '急遽', '、', 'お寺', 'の', '本堂', 'の', '広間', 'に', '変更', 'に']",['会館'],NO,会館,NO,NO
1,会館,京都・水と緑をまもる連絡会」関係者らと八月十三日、急遽「『ポン・デ・ザール橋を考える』緊急市民集会」を会館「かもがわ」で開催した。参加者二十五名。ポン・デ・ザールが市民の関心にほとんどなっ,"['京都', '・', '水', 'と', '緑', 'を', 'まもる', '連絡', '会', '」', '関係', '者', 'ら', 'と', '八月', '十', '三', '日', '、', '急遽', '「', '『', 'ポン・デ・ザール', '橋', 'を', '考える', '』', '緊急', '市民', '集会', '」', 'を', '会館', '「', 'かも', 'が', 'わ', '」', 'で', '開催', 'し', 'た', '。', '参加', '者', '二', '十', '五', '名', '。', 'ポン・デ・ザール', 'が', '市民', 'の', '関心', 'に', 'ほとんど', 'なっ']",['会館'],NO,会館,NO,NO
2,会館,「雑司が谷です」「なんだ、将棋会館のそばか」「はあ、会館の裏手にあるレストランのマスターの娘です。食事をしに行って、その時,"['「', '雑司が谷', 'です', '」', '「', 'なん', 'だ', '、', '将棋', '会館', 'の', 'そば', 'か', '」', '「', 'はあ', '、', '会館', 'の', '裏手', 'に', 'ある', 'レストラン', 'の', 'マスター', 'の', '娘', 'です', '。', '食事', 'を', 'し', 'に', '行っ', 'て', '、', 'その', '時']",['会館'],NO,会館,NO,NO
3,会館,「雑司が谷です」「なんだ、将棋会館のそばか」「はあ、会館の裏手にあるレストランのマスターの娘です。食事をしに行って、その時,"['「', '雑司が谷', 'です', '」', '「', 'なん', 'だ', '、', '将棋', '会館', 'の', 'そば', 'か', '」', '「', 'はあ', '、', '会館', 'の', '裏手', 'に', 'ある', 'レストラン', 'の', 'マスター', 'の', '娘', 'です', '。', '食事', 'を', 'し', 'に', '行っ', 'て', '、', 'その', '時']",['会館'],NO,会館,NO,NO
4,会館,２により、社会福祉事業として行われる席貸しは、非課税として取扱われています。また、会館の席貸しが社会福祉事業に該当しない場合であっても、（１）貴法人の主たる目的,"['２', 'により', '、', '社会', '福祉', '事業', 'として', '行わ', 'れる', '席貸し', 'は', '、', '非課税', 'として', '取扱わ', 'れ', 'て', 'い', 'ます', '。', 'また', '、', '会館', 'の', '席貸し', 'が', '社会', '福祉', '事業', 'に', '該当', 'し', 'ない', '場合', 'で', 'あっ', 'て', 'も', '、', '（', '１', '）', '貴', '法人', 'の', '主たる', '目的']",['会館'],NO,会館,NO,NO
5,会館,答えまで揃っていた。コーラス前後のそれぞれ二、三十分、誰かが身をひそめる場所は会館の中にいくらでもある。たとえばパーティ会場に隣接して十四、五人は会食できる小部屋が,"['答え', 'まで', '揃っ', 'て', 'い', 'た', '。', 'コーラス', '前後', 'の', 'それぞれ', '二', '、', '三', '十', '分', '、', '誰か', 'が', '身', 'を', 'ひそめる', '場所', 'は', '会館', 'の', '中', 'に', 'いくら', 'で', 'も', 'ある', '。', 'たとえば', 'パーティ', '会場', 'に', '隣接', 'し', 'て', '十', '四', '、', '五', '人', 'は', '会食', 'できる', '小', '部屋', 'が']",['会館'],NO,会館,NO,NO
6,会館,款に計上される公会堂、県（市）民会館、その他特定の行政目的をもたない会館、宿泊施設等に対する使用料である。２民生使用料歳出予算の（款）民生費に計上される財産,"['款', 'に', '計上', 'さ', 'れる', '公会堂', '、', '県', '（', '市', '）', '民', '会館', '、', 'その他', '特定', 'の', '行政', '目的', 'を', 'もた', 'ない', '会館', '、', '宿泊', '施設', '等', 'に対する', '使用', '料', 'で', 'ある', '。', '２', '民生', '使用', '料', '歳出', '予算', 'の', '（', '款', '）', '民生', '費', 'に', '計上', 'さ', 'れる', '財産']",['会館'],NO,会館,NO,NO
7,会館,款に計上される公会堂、県（市）民会館、その他特定の行政目的をもたない会館、宿泊施設等に対する使用料である。２民生使用料歳出予算の（款）民生費に計上される財産,"['款', 'に', '計上', 'さ', 'れる', '公会堂', '、', '県', '（', '市', '）', '民', '会館', '、', 'その他', '特定', 'の', '行政', '目的', 'を', 'もた', 'ない', '会館', '、', '宿泊', '施設', '等', 'に対する', '使用', '料', 'で', 'ある', '。', '２', '民生', '使用', '料', '歳出', '予算', 'の', '（', '款', '）', '民生', '費', 'に', '計上', 'さ', 'れる', '財産']",['会館'],NO,会館,NO,NO
8,会館,造る基準はあったんでしょうか。○政府参考人（青柳親房君）私どもが設置しております病院、会館あるいは老人ホーム、保養施設などの福祉施設につきましては、当時の様々な社会的な要請,"['造る', '基準', 'は', 'あっ', 'た', 'ん', 'でしょ', 'う', 'か', '。', '○', '政府', '参考', '人', '（', '青柳', '親房', '君', '）', '私', 'ども', 'が', '設置', 'し', 'て', 'おり', 'ます', '病院', '、', '会館', 'あるいは', '老人', 'ホーム', '、', '保養', '施設', 'など', 'の', '福祉', '施設', 'に', 'つき', 'まし', 'て', 'は', '、', '当時', 'の', '様々', 'な', '社会', '的', 'な', '要請']",['会館'],NO,会館,NO,NO
9,会館,が演奏します。▼日時など３月十六日（日）午前十時三十分、メセナひらかた会館。無料。▼申込市役所別館３階市民活動課で受付中。電話・ファクス（住所・氏名・電話番号・ファクス番号を明記）可。,"['が', '演奏', 'し', 'ます', '。', '▼', '日時', 'など', '３月', '十', '六', '日', '（', '日', '）', '午前', '十', '時', '三', '十', '分', '、', 'メセナ', 'ひらか', 'た', '会館', '。', '無料', '。', '▼', '申込', '市役所', '別館', '３', '階', '市民', '活動', '課', 'で', '受付', '中', '。', '電話', '・', 'ファクス', '（', '住所', '・', '氏名', '・', '電話', '番号', '・', 'ファクス', '番号', 'を', '明記', '）', '可', '。']",['会館'],NO,会館,NO,NO
10,会館,を持つ者には、その内情を詳しく知っておかなければならない必要から、あたふたと教室や会館や図書館などの諸施設を駆け巡らなければならなかったしで、新米生らしい多忙さの中で、日々は,"['を', '持つ', '者', 'に', 'は', '、', 'その', '内情', 'を', '詳しく', '知っ', 'て', 'おか', 'なけれ', 'ば', 'なら', 'ない', '必要', 'から', '、', 'あたふた', 'と', '教室', 'や', '会館', 'や', '図書館', 'など', 'の', '諸', '施設', 'を', '駆け', '巡ら', 'なけれ', 'ば', 'なら', 'なかっ', 'た', 'し', 'で', '、', '新米', '生', 'らしい', '多忙', 'さ', 'の', '中', 'で', '、', '日々', 'は']",['会館'],NO,会館,NO,NO
11,会館,。▼日時など３月６日（木）午後１時三十分〜４時三十分。メセナひらかた会館。無料。対象は市内に建築物を所有している人。▼申込２月４日午前９時,"['。', '▼', '日時', 'など', '３月', '６', '日', '（', '木', '）', '午後', '１', '時', '三', '十', '分', '〜', '４', '時', '三', '十', '分', '。', 'メセナ', 'ひらか', 'た', '会館', '。', '無料', '。', '対象', 'は', '市内', 'に', '建築', '物', 'を', '所有', 'し', 'て', 'いる', '人', '。', '▼', '申込', '２月', '４', '日', '午前', '９', '時']",['会館'],NO,会館,NO,NO
12,会館,ができて、そうして所によっては全くそれが利用されてないというような大きな会館などがあることも、私よく存じ上げております。しかし、ただいま第一議員会館のお話がござい,"['が', 'でき', 'て', '、', 'そうして', '所', 'によって', 'は', '全く', 'それ', 'が', '利用', 'さ', 'れ', 'て', 'ない', 'という', 'よう', 'な', '大きな', '会館', 'など', 'が', 'ある', 'こと', 'も', '、', '私', 'よく', '存じ上げ', 'て', 'おり', 'ます', '。', 'しかし', '、', 'ただいま', '第', '一', '議員', '会館', 'の', 'お話', 'が', 'ござい']",['会館'],NO,会館,NO,NO
13,会館,ができて、そうして所によっては全くそれが利用されてないというような大きな会館などがあることも、私よく存じ上げております。しかし、ただいま第一議員会館のお話がござい,"['が', 'でき', 'て', '、', 'そうして', '所', 'によって', 'は', '全く', 'それ', 'が', '利用', 'さ', 'れ', 'て', 'ない', 'という', 'よう', 'な', '大きな', '会館', 'など', 'が', 'ある', 'こと', 'も', '、', '私', 'よく', '存じ上げ', 'て', 'おり', 'ます', '。', 'しかし', '、', 'ただいま', '第', '一', '議員', '会館', 'の', 'お話', 'が', 'ござい']",['会館'],NO,会館,NO,NO
14,会館,んか。▼日時など２月十三日（水）午前十時〜正午、メセナひらかた会館。無料。保育あり（１歳〜就学前児。要予約。先着６人）。▼申込電話・ファクスで,"['ん', 'か', '。', '▼', '日時', 'など', '２月', '十', '三', '日', '（', '水', '）', '午前', '十', '時', '〜', '正午', '、', 'メセナ', 'ひらか', 'た', '会館', '。', '無料', '。', '保育', 'あり', '（', '１', '歳', '〜', '就学', '前', '児', '。', '要', '予約', '。', '先着', '６', '人', '）', '。', '▼', '申込', '電話', '・', 'ファクス', 'で']",['会館'],NO,会館,NO,NO
15,会館,の婦人部長のキヨコ・クワノの家であった。面接に向かう途中、伸一は、ロサンゼルスの会館の候補にあげられていた建物を視察した。それは、イースト・ロサンゼルスにあり、郵便局,"['の', '婦人', '部長', 'の', 'キヨコ・クワノ', 'の', '家', 'で', 'あっ', 'た', '。', '面接', 'に', '向かう', '途中', '、', '伸一', 'は', '、', 'ロサンゼルス', 'の', '会館', 'の', '候補', 'に', 'あげ', 'られ', 'て', 'い', 'た', '建物', 'を', '視察', 'し', 'た', '。', 'それ', 'は', '、', 'イースト', '・', 'ロサンゼルス', 'に', 'あり', '、', '郵便', '局']",['会館'],NO,会館,NO,NO
16,会館,使える、広い、立派な会館がほしい…”そして、アメリカの首脳幹部と、新しい会館の設置について検討を進めていたのである。思えば、七年前、伸一が初めてニューヨーク,"['使える', '、', '広い', '、', '立派', 'な', '会館', 'が', 'ほしい', '…', '”', 'そして', '、', 'アメリカ', 'の', '首脳', '幹部', 'と', '、', '新しい', '会館', 'の', '設置', 'について', '検討', 'を', '進め', 'て', 'い', 'た', 'の', 'で', 'ある', '。', '思え', 'ば', '、', '七', '年', '前', '、', '伸一', 'が', '初めて', 'ニューヨーク']",['会館'],NO,会館,NO,NO
17,会館,使える、広い、立派な会館がほしい…”そして、アメリカの首脳幹部と、新しい会館の設置について検討を進めていたのである。思えば、七年前、伸一が初めてニューヨーク,"['使える', '、', '広い', '、', '立派', 'な', '会館', 'が', 'ほしい', '…', '”', 'そして', '、', 'アメリカ', 'の', '首脳', '幹部', 'と', '、', '新しい', '会館', 'の', '設置', 'について', '検討', 'を', '進め', 'て', 'い', 'た', 'の', 'で', 'ある', '。', '思え', 'ば', '、', '七', '年', '前', '、', '伸一', 'が', '初めて', 'ニューヨーク']",['会館'],NO,会館,NO,NO
18,会館,。「ニューヨークもメンバーが増え、会館が狭くなってきていますので、さらに大きな会館を設置しようと思いますがいかがですか！」大拍手が起こった。ここに,"['。', '「', 'ニューヨーク', 'も', 'メンバー', 'が', '増え', '、', '会館', 'が', '狭く', 'なっ', 'て', 'き', 'て', 'い', 'ます', 'ので', '、', 'さらに', '大きな', '会館', 'を', '設置', 'しよ', 'う', 'と', '思い', 'ます', 'が', 'いかが', 'です', 'か', '！', '」', '大', '拍手', 'が', '起こっ', 'た', '。', 'ここ', 'に']",['会館'],NO,会館,NO,NO
19,会館,。「ニューヨークもメンバーが増え、会館が狭くなってきていますので、さらに大きな会館を設置しようと思いますがいかがですか！」大拍手が起こった。ここに,"['。', '「', 'ニューヨーク', 'も', 'メンバー', 'が', '増え', '、', '会館', 'が', '狭く', 'なっ', 'て', 'き', 'て', 'い', 'ます', 'ので', '、', 'さらに', '大きな', '会館', 'を', '設置', 'しよ', 'う', 'と', '思い', 'ます', 'が', 'いかが', 'です', 'か', '！', '」', '大', '拍手', 'が', '起こっ', 'た', '。', 'ここ', 'に']",['会館'],NO,会館,NO,NO
20,会館,武庫川女子大学・■■■■准教授。▼日時など２月二十日（水）午後２時〜４時三十分、メセナひらかた会館。無料。保育あり（１〜６歳。２月１日から電話・ファクスで児童生徒課へ。先着６人）。当日直接会場,"['武庫川女子大学', '・', '■', '■', '■', '■', '准', '教授', '。', '▼', '日時', 'など', '２月', '二', '十', '日', '（', '水', '）', '午後', '２', '時', '〜', '４', '時', '三', '十', '分', '、', 'メセナ', 'ひらか', 'た', '会館', '。', '無料', '。', '保育', 'あり', '（', '１', '〜', '６', '歳', '。', '２月', '１', '日', 'から', '電話', '・', 'ファクス', 'で', '児童', '生徒', '課', 'へ', '。', '先着', '６', '人', '）', '。', '当日', '直接', '会場']",['会館'],NO,会館,NO,NO
21,会館,遺体は、身内と親しい者だけが集まって密葬に付され、二週間後、自宅近くの会館で「偲ぶ会」が開かれた。死に方が尋常ではなかったので、生前親しかった,"['遺体', 'は', '、', '身内', 'と', '親しい', '者', 'だけ', 'が', '集まっ', 'て', '密葬', 'に', '付さ', 'れ', '、', '二', '週間', '後', '、', '自宅', '近く', 'の', '会館', 'で', '「', '偲ぶ', '会', '」', 'が', '開か', 'れ', 'た', '。', '死に', '方', 'が', '尋常', 'で', 'は', 'なかっ', 'た', 'ので', '、', '生前', '親しかっ', 'た']",['会館'],NO,会館,NO,NO
