,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,保健室,だｎ（ｒｙ友達と遊んだ事算数がとてもキライだった（いまも）こと保健室が凄く癒される空間だったこと教室の風景担任の家担任が家庭訪問に来た,"['だ', 'ｎ', '（', 'ｒｙ', '友達', 'と', '遊ん', 'だ', '事', '算数', 'が', 'とても', 'キライ', 'だっ', 'た', '（', 'いま', 'も', '）', 'こと', '保健', '室', 'が', '凄く', '癒さ', 'れる', '空間', 'だっ', 'た', 'こと', '教室', 'の', '風景', '担任', 'の', '家', '担任', 'が', '家庭', '訪問', 'に', '来', 'た']","['保健', '室']",YES,保健室,NO,NO
1,保健室,↓↓↓苦しい…（；艸；｀。）背中も痛いし…早く帰りたい保健室行こうかまよってるし…リアル苦しいやばい…,"['↓', '↓', '↓', '苦しい', '…', '（', '；', '艸', '；', '｀', '。', '）', '背中', 'も', '痛い', 'し', '…', '早く', '帰り', 'たい', '保健', '室', '行こ', 'う', 'か', 'まよっ', 'てる', 'し', '…', 'リアル', '苦しい', 'やばい', '…']","['保健', '室']",YES,保健室,NO,NO
2,保健室,た。「念のために保健室に行ったほうがいいわね。私、保健室の先生がいるか確認してくるね」と、花子は更衣室を出ていく。,"['た', '。', '「', '念', 'の', 'ため', 'に', '保健', '室', 'に', '行っ', 'た', 'ほう', 'が', 'いい', 'わ', 'ね', '。', '私', '、', '保健', '室', 'の', '先生', 'が', 'いる', 'か', '確認', 'し', 'て', 'くる', 'ね', '」', 'と', '、', '花子', 'は', '更衣', '室', 'を', '出', 'て', 'いく', '。']","['保健', '室']",YES,保健室,NO,NO
3,保健室,た。「念のために保健室に行ったほうがいいわね。私、保健室の先生がいるか確認してくるね」と、花子は更衣室を出ていく。,"['た', '。', '「', '念', 'の', 'ため', 'に', '保健', '室', 'に', '行っ', 'た', 'ほう', 'が', 'いい', 'わ', 'ね', '。', '私', '、', '保健', '室', 'の', '先生', 'が', 'いる', 'か', '確認', 'し', 'て', 'くる', 'ね', '」', 'と', '、', '花子', 'は', '更衣', '室', 'を', '出', 'て', 'いく', '。']","['保健', '室']",YES,保健室,NO,NO
4,保健室,。授業が始まって数十分してから、終わったので、ビクビクしながら廊下を歩いて（保健室に行こうかどうか悩みながら・・・）いたら、別のクラスの男の,"['。', '授業', 'が', '始まっ', 'て', '数', '十', '分', 'し', 'て', 'から', '、', '終わっ', 'た', 'ので', '、', 'ビクビク', 'し', 'ながら', '廊下', 'を', '歩い', 'て', '（', '保健', '室', 'に', '行こ', 'う', 'か', 'どうか', '悩み', 'ながら', '・', '・', '・', '）', 'い', 'たら', '、', '別', 'の', 'クラス', 'の', '男', 'の']","['保健', '室']",YES,保健室,NO,NO
5,保健室,としている神崎は、職員室に机を持っていない。学校に到着するとまずまっさきに保健室に行き、白衣を着る。白衣は仕事着であると同時に、神崎のいささか教師ずれした私服を,"['と', 'し', 'て', 'いる', '神崎', 'は', '、', '職員', '室', 'に', '机', 'を', '持っ', 'て', 'い', 'ない', '。', '学校', 'に', '到着', 'する', 'と', 'まず', 'まっさきに', '保健', '室', 'に', '行き', '、', '白衣', 'を', '着る', '。', '白衣', 'は', '仕事', '着', 'で', 'ある', 'と', '同時に', '、', '神崎', 'の', 'いささか', '教師', 'ずれ', 'し', 'た', '私服', 'を']","['保健', '室']",YES,保健室,NO,NO
6,保健室,七月の林間学舎に備えて、乗り物に弱い児童のために「乗り物酔い防止の自律訓練」を保健室で行ったが、育子も来ていた。そして、林間学舎に参加することができた。一学期間,"['七月', 'の', '林間', '学舎', 'に', '備え', 'て', '、', '乗り物', 'に', '弱い', '児童', 'の', 'ため', 'に', '「', '乗り物', '酔い', '防止', 'の', '自律', '訓練', '」', 'を', '保健', '室', 'で', '行っ', 'た', 'が', '、', '育子', 'も', '来', 'て', 'い', 'た', '。', 'そして', '、', '林間', '学舎', 'に', '参加', 'する', 'こと', 'が', 'でき', 'た', '。', '一', '学', '期間']","['保健', '室']",YES,保健室,NO,NO
7,保健室,をしている。淡々と作業をこなし少々孤独な面もある。学校で言えば保健室みたいな所。そんな場所なのでちょっと息抜きをしたくなったり、グチをこぼしたく,"['を', 'し', 'て', 'いる', '。', '淡々', 'と', '作業', 'を', 'こなし', '少々', '孤独', 'な', '面', 'も', 'ある', '。', '学校', 'で', '言え', 'ば', '保健', '室', 'みたい', 'な', '所', '。', 'そんな', '場所', 'な', 'ので', 'ちょっと', '息抜き', 'を', 'し', 'たく', 'なっ', 'たり', '、', 'グチ', 'を', 'こぼし', 'たく']","['保健', '室']",YES,保健室,NO,NO
8,保健室,約百人は精神的な変調がしばしば体に表れるという。原因不明の頭痛や腹痛などで保健室を利用する子は、多い日で九十人に上る。長期的なケア体制が求められている,"['約', '百', '人', 'は', '精神', '的', 'な', '変調', 'が', 'しばしば', '体', 'に', '表れる', 'と', 'いう', '。', '原因', '不明', 'の', '頭痛', 'や', '腹痛', 'など', 'で', '保健', '室', 'を', '利用', 'する', '子', 'は', '、', '多い', '日', 'で', '九', '十', '人', 'に', '上る', '。', '長期', '的', 'な', 'ケア', '体制', 'が', '求め', 'られ', 'て', 'いる']","['保健', '室']",YES,保健室,NO,NO
9,保健室,環境を整えながら、励まして行かすこともできるでしょう。一時的に、遅刻や早退、保健室の利用なども考えてみることもできます。大切なことは、子どもの様子を,"['環境', 'を', '整え', 'ながら', '、', '励まし', 'て', '行かす', 'こと', 'も', 'できる', 'でしょ', 'う', '。', '一時', '的', 'に', '、', '遅刻', 'や', '早退', '、', '保健', '室', 'の', '利用', 'など', 'も', '考え', 'て', 'みる', 'こと', 'も', 'でき', 'ます', '。', '大切', 'な', 'こと', 'は', '、', '子ども', 'の', '様子', 'を']","['保健', '室']",YES,保健室,NO,NO
