,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,出所,「あの人たちの目的はお金だ。開発すれば、もうかる人がいる。お金の出所は国だから、わんさかと払ってくれるからね。公共事業というのは、国民みんなの便利,"['「', 'あの', '人', 'たち', 'の', '目的', 'は', 'お金', 'だ', '。', '開発', 'すれ', 'ば', '、', 'もうかる', '人', 'が', 'いる', '。', 'お金', 'の', '出所', 'は', '国', 'だ', 'から', '、', 'わんさ', 'か', 'と', '払っ', 'て', 'くれる', 'から', 'ね', '。', '公共', '事業', 'という', 'の', 'は', '、', '国民', 'みんな', 'の', '便利']",['出所'],NO,出所,NO,NO
1,出所,は消えることなく、今度は厚生労働省に大規模なハッキングが仕掛けられることに。ハッキングの出所である授産施設を訪れたトグサは、そこで一人の少年と出会うのだった。授産施設で,"['は', '消える', 'こと', 'なく', '、', '今度', 'は', '厚生', '労働省', 'に', '大', '規模', 'な', 'ハッキング', 'が', '仕掛け', 'られる', 'こと', 'に', '。', 'ハッキング', 'の', '出所', 'で', 'ある', '授産', '施設', 'を', '訪れ', 'た', 'トグサ', 'は', '、', 'そこで', '一', '人', 'の', '少年', 'と', '出会う', 'の', 'だっ', 'た', '。', '授産', '施設', 'で']",['出所'],NO,出所,NO,NO
2,出所,ストレイチーへの手紙」十三．十一．十二．ラッセルは、それに疑念を抱き、その話の出所を調べるのに最善を尽くした。「明らかに」、と彼はケインズに書い,"['ストレイチー', 'へ', 'の', '手紙', '」', '十', '三', '．', '十', '一', '．', '十', '二', '．', 'ラッセル', 'は', '、', 'それ', 'に', '疑念', 'を', '抱き', '、', 'その', '話', 'の', '出所', 'を', '調べる', 'のに', '最善', 'を', '尽くし', 'た', '。', '「', '明らか', 'に', '」', '、', 'と', '彼', 'は', 'ケインズ', 'に', '書い']",['出所'],NO,出所,NO,NO
3,出所,ＢＩＳで最終尻を集中決済する、民間銀行によるＥＣＵクリアリング・システムが出来上がっている。表十‐２民間ＥＣＵ市場（出所）『ＥＣ中銀総裁会議年報』千九百九十一／九十二年。●単一ＥＣ通貨の発行ＥＭＵ「第３段階」では、まずＥＣＵ,"['ＢＩＳ', 'で', '最終', '尻', 'を', '集中', '決済', 'する', '、', '民間', '銀行', 'による', 'ＥＣＵ', 'クリア', 'リング', '・', 'システム', 'が', '出来上がっ', 'て', 'いる', '。', '表', '十', '‐', '２', '民間', 'ＥＣＵ', '市場', '（', '出所', '）', '『', 'ＥＣ', '中', '銀', '総裁', '会議', '年報', '』', '千', '九', '百', '九', '十', '一', '／', '九', '十', '二', '年', '。', '●', '単一', 'ＥＣ', '通貨', 'の', '発行', 'ＥＭＵ', '「', '第', '３', '段階', '」', 'で', 'は', '、', 'まず', 'ＥＣＵ']",['出所'],NO,出所,NO,NO
4,出所,がどこでライブルを手に入れたかは知らないといい張っているが、おれは出所はあいつ以外にないと踏んでる。ここまで詳しく知っていながら、そこだけ知らないなんて,"['が', 'どこ', 'で', 'ライ', 'ブル', 'を', '手', 'に', '入れ', 'た', 'か', 'は', '知ら', 'ない', 'と', 'いい', '張っ', 'て', 'いる', 'が', '、', 'おれ', 'は', '出所', 'は', 'あいつ', '以外', 'に', 'ない', 'と', '踏ん', 'でる', '。', 'ここ', 'まで', '詳しく', '知っ', 'て', 'い', 'ながら', '、', 'そこ', 'だけ', '知ら', 'ない', 'なんて']",['出所'],NO,出所,NO,NO
5,出所,商標権者または専用使用権者は、混同防止表示を請求することができます（商標法二十四条の四）。→商標権移転後、出所の混同が生ずれば取り消される商標権が移転した結果、同一の商品・サービスに使用する類似,"['商標', '権', '者', 'または', '専用', '使用', '権', '者', 'は', '、', '混同', '防止', '表示', 'を', '請求', 'する', 'こと', 'が', 'でき', 'ます', '（', '商標', '法', '二', '十', '四', '条', 'の', '四', '）', '。', '→', '商標', '権', '移転', '後', '、', '出所', 'の', '混同', 'が', '生ずれ', 'ば', '取り消さ', 'れる', '商標', '権', 'が', '移転', 'し', 'た', '結果', '、', '同一', 'の', '商品', '・', 'サービス', 'に', '使用', 'する', '類似']",['出所'],NO,出所,NO,NO
6,出所,た。「問題の旭川中央署の会計書類が出所不明というけど、それなら調べればいい。出所や真偽を調べるのが捜査だ。おれたちは捜査機関なんだ。出所不明だからノーコメントという,"['た', '。', '「', '問題', 'の', '旭川', '中央', '署', 'の', '会計', '書類', 'が', '出所', '不明', 'と', 'いう', 'けど', '、', 'それなら', '調べれ', 'ば', 'いい', '。', '出所', 'や', '真偽', 'を', '調べる', 'の', 'が', '捜査', 'だ', '。', 'おれ', 'たち', 'は', '捜査', '機関', 'な', 'ん', 'だ', '。', '出所', '不明', 'だ', 'から', 'ノーコメント', 'という']",['出所'],NO,出所,NO,NO
7,出所,た。「問題の旭川中央署の会計書類が出所不明というけど、それなら調べればいい。出所や真偽を調べるのが捜査だ。おれたちは捜査機関なんだ。出所不明だからノーコメントという,"['た', '。', '「', '問題', 'の', '旭川', '中央', '署', 'の', '会計', '書類', 'が', '出所', '不明', 'と', 'いう', 'けど', '、', 'それなら', '調べれ', 'ば', 'いい', '。', '出所', 'や', '真偽', 'を', '調べる', 'の', 'が', '捜査', 'だ', '。', 'おれ', 'たち', 'は', '捜査', '機関', 'な', 'ん', 'だ', '。', '出所', '不明', 'だ', 'から', 'ノーコメント', 'という']",['出所'],NO,出所,NO,NO
8,出所,た。「問題の旭川中央署の会計書類が出所不明というけど、それなら調べればいい。出所や真偽を調べるのが捜査だ。おれたちは捜査機関なんだ。出所不明だからノーコメントという,"['た', '。', '「', '問題', 'の', '旭川', '中央', '署', 'の', '会計', '書類', 'が', '出所', '不明', 'と', 'いう', 'けど', '、', 'それなら', '調べれ', 'ば', 'いい', '。', '出所', 'や', '真偽', 'を', '調べる', 'の', 'が', '捜査', 'だ', '。', 'おれ', 'たち', 'は', '捜査', '機関', 'な', 'ん', 'だ', '。', '出所', '不明', 'だ', 'から', 'ノーコメント', 'という']",['出所'],NO,出所,NO,NO
9,出所,に召集された華人代表者の名前、地位、所属を示せば以下の通りであった。出所：興亜機関「港九中国紳士録」千九百四十二年一月十日（防衛庁防衛研究所資料『昭和十七年陸亜密大日記』第七号３分２）おわりに香港の,"['に', '召集', 'さ', 'れ', 'た', '華人', '代表', '者', 'の', '名前', '、', '地位', '、', '所属', 'を', '示せ', 'ば', '以下', 'の', '通り', 'で', 'あっ', 'た', '。', '出所', '：', '興亜', '機関', '「', '港', '九', '中国', '紳士録', '」', '千', '九', '百', '四', '十', '二', '年', '一月', '十', '日', '（', '防衛庁', '防衛', '研究所', '資料', '『', '昭和', '十', '七年陸亜密大日記', '』', '第', '七', '号', '３', '分', '２', '）', 'おわり', 'に', '香港', 'の']",['出所'],NO,出所,NO,NO
